Orthogroup	Loxodonta_africana	Urocitellus_parryii
OG0000009	XP_010599501.2, XP_003423760.3, XP_023397179.1, XP_010600918.1	XP_026237619.1
OG0000010	XP_003412116.1, XP_023398287.1, XP_003423630.1, XP_003422377.1, XP_023406372.1, XP_023398137.1, XP_010599946.1, XP_003423564.1, XP_003422375.3, XP_023397312.1, XP_023406370.1, XP_023397837.1, XP_010600684.1, XP_023398285.1, XP_010600453.1, XP_023406371.1, XP_003412118.1, XP_003423465.1, XP_003422376.1	XP_026235001.1
OG0000010	XP_003423464.1, XP_003422374.1, XP_023398143.1, XP_023398345.1, XP_003412115.1, XP_023398480.1, XP_010599936.1, XP_003423563.1, XP_003422972.1, XP_003423562.1, XP_003422401.1, XP_003422971.1, XP_003423565.1, XP_003422378.1, XP_023394658.1, XP_003423667.1, XP_023397301.1, XP_003412114.1	XP_026237833.1, XP_026234999.1, XP_026235002.1
OG0000010	XP_003412119.2, XP_003412120.2	XP_026235003.1, XP_026235031.1, XP_026235037.1, XP_026235026.1, XP_026235005.1, XP_026235024.1
OG0000011	XP_010589626.1	XP_026240285.1
OG0000011	XP_010589614.1	XP_026240157.1
OG0000011	XP_003404600.1	XP_026240169.1
OG0000011	XP_003404609.1	XP_026240287.1
OG0000011	XP_003404608.1	XP_026240286.1
OG0000011	XP_003404607.1, XP_003404606.1	XP_026240203.1
OG0000011	XP_023405595.1	XP_026240223.1
OG0000011	XP_003404605.1	XP_026240234.1
OG0000011	XP_003404603.1	XP_026240156.1
OG0000011	XP_023405607.1	XP_026240283.1, XP_026240273.1, XP_026240279.1
OG0000012	XP_010594127.1	XP_026267998.1
OG0000012	XP_023410900.1, XP_003416054.1	XP_026236424.1, XP_026236422.1
OG0000012	XP_023410899.1, XP_023394892.1, XP_023394886.1, XP_010598043.1	XP_026265286.1
OG0000012	XP_003416100.1	XP_026267996.1
OG0000012	XP_010594105.2, XP_010598058.2, XP_023398515.1, XP_023410896.1, XP_010594114.2, XP_010598057.1, XP_010594116.2, XP_010594112.1, XP_023410897.1, XP_023394889.1, XP_003420251.1, XP_023410890.1, XP_010594103.1, XP_010594107.1, XP_010594126.1, XP_010594111.1, XP_003420237.1, XP_003420235.1, XP_003420233.1, XP_003416051.1, XP_003416050.2, XP_023410903.1, XP_023394893.1, XP_023410889.1, XP_003420250.1, XP_010594108.1, XP_010594104.1, XP_003420252.1, XP_023410895.1, XP_023394887.1, XP_023394888.1, XP_010598040.1, XP_003420234.1, XP_010594110.1, XP_003420248.2, XP_010598055.1	XP_026265287.1
OG0000013	XP_023398492.1	XP_026267604.1
OG0000013	XP_003413463.1, XP_003413462.2, XP_003413461.2, XP_003423702.1, XP_023408238.1, XP_003423701.2	XP_026237059.1, XP_026237056.1, XP_026237061.1
OG0000013	XP_003423616.2, XP_023398096.1, XP_003423491.1, XP_003423716.2, XP_003423082.3, XP_003423081.3, XP_003423080.2, XP_010600893.1, XP_003423501.1, XP_003423084.3, XP_023398154.1, XP_023398099.1, XP_003423406.2, XP_010600648.1, XP_003423750.2, XP_003423763.1, XP_023398236.1, XP_003423646.1, XP_010600645.1, XP_010600765.1, XP_023398155.1, XP_003423635.1, XP_023398157.1, XP_023398098.1, XP_023398235.1, XP_010600767.1, XP_010600647.1, XP_023398156.1, XP_023398231.1, XP_023398293.1, XP_023398464.1, XP_010600703.2, XP_023398233.1, XP_010600958.2, XP_023398124.1, XP_023398344.1, XP_010600764.1, XP_023398152.1, XP_003423634.3, XP_003423518.3, XP_023398101.1, XP_010600529.1, XP_010600530.1, XP_023398127.1, XP_003423567.2	XP_026267646.1
OG0000013	XP_023398125.1, XP_010600994.2, XP_010600679.2, XP_023398339.1, XP_003423698.3, XP_010600704.1, XP_010600869.1, XP_003423770.1, XP_010600643.1	XP_026267655.1, XP_026267654.1
OG0000014	XP_010584944.1, XP_023399387.1	XP_026237452.1
OG0000014	XP_023399372.1	XP_026237457.1
OG0000014	XP_023399412.1, XP_023399408.1, XP_010584955.2, XP_023399413.1, XP_010584957.1, XP_023399443.1, XP_023399414.1	XP_026238215.1, XP_026235497.1
OG0000014	XP_023399405.1	XP_026235530.1, XP_026235521.1
OG0000016	XP_003407381.1, XP_003407700.1, XP_023401100.1, XP_003407699.1, XP_003407706.1, XP_003407703.1, XP_023401101.1	XP_026254324.1, XP_026238530.1, XP_026254325.1, XP_026254326.1, XP_026253371.1, XP_026253373.1
OG0000017	XP_023413222.1, XP_003417700.1, XP_003417799.2, XP_023413220.1	XP_026241043.1, XP_026241097.1
OG0000018	XP_010595256.1	XP_026261538.1
OG0000018	XP_023403167.1, XP_023403166.1	XP_026263466.1
OG0000018	XP_023396107.1, XP_023396108.1, XP_003421240.1, XP_023396106.1	XP_026237964.1
OG0000019	XP_003418668.1, XP_003423141.1, XP_003418671.1, XP_003423142.1, XP_003418670.1, XP_003423143.1, XP_003418669.1, XP_003423625.1, XP_003423144.1, XP_003423146.1, XP_003423145.1	XP_026237322.1, XP_026237907.1, XP_026237350.1
OG0000019	XP_003423152.2	XP_026237347.1
OG0000019	XP_010600381.1, XP_003418673.1, XP_010600382.1, XP_003418770.1	XP_026237352.1
OG0000019	XP_003423150.2	XP_026237905.1
OG0000020	XP_023399274.1, XP_023399266.1, XP_023399261.1, XP_023399869.1	XP_026237159.1
OG0000021	XP_003421879.3, XP_003421891.2, XP_003421896.3	XP_026269162.1, XP_026238265.1
OG0000021	XP_010599494.1	XP_026238466.1
OG0000021	XP_003405014.3	XP_026238206.1
OG0000021	XP_010596465.1, XP_023397628.1	XP_026238208.1
OG0000022	XP_023405713.1	XP_026240262.1
OG0000022	XP_023405791.1	XP_026240150.1
OG0000022	XP_023405753.1	XP_026240155.1
OG0000022	XP_023405672.1	XP_026240267.1, XP_026240268.1
OG0000022	XP_023405683.1	XP_026240151.1
OG0000022	XP_023405761.1	XP_026240264.1
OG0000022	XP_023408412.1	XP_026240207.1
OG0000022	XP_023405686.1	XP_026240152.1
OG0000023	XP_023399116.1	XP_026237819.1, XP_026237812.1
OG0000024	XP_023414015.1, XP_023414014.1, XP_023396972.1, XP_003418353.3	XP_026236673.1, XP_026258497.1, XP_026236675.1
OG0000024	XP_010596288.1, XP_003423049.1, XP_003423308.1, XP_003423050.1, XP_023397321.1, XP_003423307.1, XP_023398548.1, XP_010599716.1, XP_003422134.1, XP_003418355.1, XP_003423483.2, XP_010596276.1, XP_003422128.1, XP_010599724.1, XP_010596285.1, XP_003422132.2, XP_003418357.2, XP_010596282.2, XP_003422133.1, XP_010596283.1, XP_003422131.1, XP_003418359.1, XP_010596287.1, XP_010596279.1, XP_003422408.1, XP_010599952.1, XP_023414009.1, XP_023397328.1, XP_003423692.2, XP_003422129.2, XP_010596286.1, XP_023397324.1, XP_010600832.1, XP_003422405.1, XP_023398407.1, XP_010599725.1	XP_026236680.1, XP_026258469.1, XP_026258479.1, XP_026236677.1, XP_026258471.1, XP_026258470.1, XP_026236684.1, XP_026236676.1, XP_026258467.1
OG0000024	XP_003422135.2, XP_003422117.2, XP_010599718.1	XP_026236679.1, XP_026236681.1
OG0000026	XP_003421750.1	XP_026238000.1
OG0000026	XP_010593038.2	XP_026258673.1
OG0000027	XP_023397082.1	XP_026246086.1
OG0000027	XP_010594690.1	XP_026262798.1
OG0000027	XP_010600174.1, XP_023403761.1, XP_010597188.1	XP_026257455.1
OG0000027	XP_010589075.1	XP_026235932.1
OG0000027	XP_023404513.1	XP_026247615.1
OG0000027	XP_010594676.1	XP_026262797.1
OG0000027	XP_010594685.1	XP_026262767.1
OG0000028	XP_003421459.1, XP_003421458.2, XP_003421393.1, XP_003421394.2	XP_026262292.1, XP_026262312.1, XP_026262313.1, XP_026262359.1
OG0000028	XP_003421462.1	XP_026262354.1, XP_026262314.1, XP_026262353.1, XP_026262305.1
OG0000029	XP_003418984.1, XP_003418985.1, XP_003419000.1	XP_026258206.1, XP_026258216.1
OG0000029	XP_003410244.2, XP_010588697.2	XP_026238363.1, XP_026237985.1
OG0000029	XP_003418983.1, XP_003419008.1, XP_003418982.1, XP_003418979.1, XP_003418997.1, XP_023414851.1, XP_010596888.1, XP_003418989.1, XP_003418980.2, XP_003410246.1, XP_010588698.2, XP_003410245.1, XP_003418981.1, XP_003410398.1, XP_003410397.1	XP_026237982.1, XP_026237984.1, XP_026238362.1, XP_026237981.1, XP_026238364.1, XP_026238418.1, XP_026258215.1, XP_026238417.1
OG0000031	XP_003421878.1	XP_026238465.1
OG0000031	XP_010598978.2, XP_010598992.1	XP_026270394.1
OG0000031	XP_003421172.1, XP_003421169.1, XP_010600828.2, XP_003421174.1, XP_003421170.1, XP_003421173.1	XP_026256185.1
OG0000032	XP_010592223.1	XP_026238683.1
OG0000032	XP_003404853.1	XP_026240260.1
OG0000032	XP_003404850.1	XP_026240179.1, XP_026240277.1, XP_026240214.1, XP_026240275.1
OG0000032	XP_010589555.1	XP_026240211.1
OG0000032	XP_023405548.1	XP_026240212.1
OG0000033	XP_023412690.1, XP_023412695.1, XP_023412688.1	XP_026238436.1
OG0000033	XP_023412689.1, XP_023412699.1	XP_026238435.1
OG0000034	XP_023396128.1	XP_026270890.1, XP_026238303.1, XP_026238250.1, XP_026238302.1, XP_026237958.1, XP_026238300.1, XP_026237374.1, XP_026237375.1, XP_026236419.1, XP_026237933.1, XP_026238249.1, XP_026237934.1, XP_026237957.1, XP_026237935.1, XP_026237936.1, XP_026237146.1
OG0000035	XP_003418690.1	XP_026247160.1
OG0000035	XP_003415269.1	XP_026268245.1
OG0000035	XP_003409293.1	XP_026236885.1
OG0000035	XP_003408097.1	XP_026241721.1
OG0000035	XP_003413731.1	XP_026253217.1
OG0000036	XP_023402679.1	XP_026237206.1
OG0000036	XP_023402678.1, XP_023402681.1, XP_003409270.1, XP_023402680.1, XP_003409272.1	XP_026237203.1, XP_026237204.1, XP_026237205.1, XP_026237207.1, XP_026238032.1
OG0000038	XP_023398170.1, XP_023397817.1, XP_003423248.1	XP_026236227.1
OG0000038	XP_010600568.1, XP_023398165.1	XP_026236222.1
OG0000038	XP_003422674.1, XP_023398379.1, XP_023397987.1, XP_003423129.1	XP_026237400.1, XP_026237398.1, XP_026237393.1, XP_026237389.1
OG0000039	XP_003417907.1	XP_026262914.1
OG0000039	XP_003420000.1	XP_026268040.1
OG0000039	XP_003406436.1	XP_026271275.1
OG0000040	XP_023411544.1	XP_026256465.1
OG0000040	XP_023395897.1, XP_003405469.1, XP_003405468.1	XP_026256463.1
OG0000040	XP_023395853.1, XP_010594517.1, XP_003405461.1	XP_026256464.1
OG0000040	XP_023395770.1	XP_026256472.1
OG0000041	XP_023398386.1, XP_003423044.1, XP_023397894.1, XP_003422742.1, XP_003423623.1, XP_010600256.1, XP_010600503.1, XP_023398385.1, XP_003423001.1, XP_023398526.1, XP_003422709.1, XP_010600257.2, XP_023397905.1, XP_003423045.2, XP_003423002.1, XP_003423054.1, XP_023397898.1, XP_010600712.1	XP_026237394.1, XP_026237402.1
OG0000041	XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1	XP_026237390.1, XP_026237391.1, XP_026237894.1, XP_026237395.1
OG0000042	XP_010590492.2	XP_026261070.1, XP_026261068.1, XP_026261071.1
OG0000044	XP_003416454.1	XP_026270368.1
OG0000044	XP_023397189.1, XP_023411492.1	XP_026238635.1
OG0000045	XP_023412232.1	XP_026246245.1
OG0000045	XP_003416837.1	XP_026246339.1
OG0000045	XP_010594913.2	XP_026246340.1
OG0000045	XP_003416978.1, XP_003416977.1	XP_026246333.1, XP_026246335.1, XP_026246334.1
OG0000045	XP_010594915.1	XP_026246336.1
OG0000048	XP_023398867.1, XP_023398863.1, XP_023399788.1	XP_026238478.1, XP_026259478.1
OG0000048	XP_010584712.1	XP_026238476.1, XP_026259481.1, XP_026238531.1
OG0000049	XP_010587012.1	XP_026238013.1
OG0000049	XP_023402084.1	XP_026258464.1, XP_026238012.1
OG0000049	XP_010593953.1	XP_026245541.1, XP_026245546.1, XP_026245252.1, XP_026245254.1, XP_026245258.1, XP_026245255.1, XP_026245256.1, XP_026245259.1
OG0000050	XP_023401108.1, XP_023401106.1, XP_023401107.1, XP_003407522.1	XP_026242226.1, XP_026242282.1, XP_026242221.1
OG0000051	XP_010592337.1	XP_026255320.1
OG0000051	XP_010595976.1	XP_026265318.1
OG0000051	XP_023408848.1	XP_026255301.1
OG0000051	XP_010593035.1	XP_026258432.1
OG0000051	XP_010595977.1	XP_026265330.1
OG0000051	XP_010593034.1	XP_026258425.1
OG0000052	XP_023415736.1	XP_026265990.1
OG0000052	XP_023415722.1, XP_010597642.1, XP_023415721.1, XP_023415723.1, XP_023415724.1	XP_026266000.1
OG0000054	NP_001267816.1	XP_026270998.1, XP_026271004.1
OG0000054	XP_003415217.1	XP_026236607.1
OG0000054	XP_003415004.1	XP_026236611.1, XP_026236602.1, XP_026236612.1
OG0000056	XP_003412113.2, XP_023397629.1, XP_010601026.1, XP_010600263.1, XP_010600683.1, XP_010600687.1, XP_010600686.1, XP_010599948.1, XP_010601073.1, XP_023398466.1, XP_003412274.1, XP_023397839.1, XP_010600591.1, XP_003422382.1, XP_023397625.1, XP_010600983.1, XP_003422400.1, XP_023398318.1, XP_010600450.2, XP_010590582.2, XP_010600841.1, XP_003422967.1, XP_010599943.2, XP_010590580.1	XP_026237827.1, XP_026237836.1, XP_026235023.1, XP_026235025.1, XP_026237828.1, XP_026237423.1, XP_026237835.1, XP_026237832.1, XP_026235015.1, XP_026234998.1
OG0000057	XP_023413479.1, XP_023413547.1	XP_026252071.1, XP_026252070.1, XP_026252069.1
OG0000057	XP_023408522.1, XP_010595922.1	XP_026252061.1
OG0000057	XP_023413538.1	XP_026252062.1
OG0000058	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1	XP_026239838.1, XP_026239844.1, XP_026239836.1, XP_026239840.1, XP_026239843.1, XP_026239837.1, XP_026239835.1, XP_026239839.1, XP_026239834.1, XP_026239841.1, XP_026239833.1, XP_026239845.1, XP_026239842.1
OG0000060	XP_010599816.1, XP_010599817.1	XP_026267874.1
OG0000061	XP_023397963.1	XP_026251389.1
OG0000062	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1	XP_026240359.1
OG0000063	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1	XP_026240951.1, XP_026240950.1
OG0000064	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1	XP_026240727.1, XP_026240720.1, XP_026240726.1, XP_026240723.1, XP_026240721.1, XP_026240722.1, XP_026240725.1, XP_026240724.1, XP_026240719.1, XP_026240718.1
OG0000065	XP_010588064.1, XP_003410116.1	XP_026239723.1, XP_026239722.1, XP_026239720.1, XP_026239721.1
OG0000066	XP_010592277.1, XP_010592278.1, XP_010592279.1, XP_010592276.1, XP_023408909.1	XP_026244187.1
OG0000067	XP_010599789.1, XP_003423726.1	XP_026236572.1
OG0000067	XP_003404995.1, XP_003404996.1, XP_003404997.1, XP_003420723.1, XP_003422180.1, XP_003420722.1, XP_003422181.1, XP_003423408.1	XP_026238203.1
OG0000068	XP_003422804.1	XP_026267428.1, XP_026267431.1
OG0000068	XP_023397700.1	XP_026267408.1
OG0000068	XP_003422802.1, XP_003422797.1, XP_003422801.1, XP_023397697.1, XP_003422800.1	XP_026267409.1
OG0000069	XP_003412414.1	XP_026267381.1
OG0000069	XP_010599078.1	XP_026259294.1
OG0000069	XP_010599088.1	XP_026259295.1
OG0000069	XP_010599087.1	XP_026259328.1
OG0000069	XP_010587034.1	XP_026257779.1
OG0000069	XP_023402289.1	XP_026250043.1
OG0000070	XP_010586192.1	XP_026254290.1
OG0000070	XP_010589597.1	XP_026238079.1
OG0000071	XP_003423116.1, XP_010600554.1, XP_003423115.1, XP_010600557.1	XP_026235182.1
OG0000072	XP_023402648.1, XP_023402655.1, XP_023402641.1, XP_023402651.1, XP_003409261.1, XP_023402645.1, XP_023402644.1, XP_023402652.1, XP_023402654.1, XP_023402643.1, XP_023402647.1, XP_023402646.1, XP_023402653.1, XP_023402649.1, XP_023402640.1, XP_023402642.1, XP_023402650.1	XP_026250638.1
OG0000073	XP_023397904.1, XP_010600495.2, XP_003423015.2, XP_003423011.2, XP_010600489.1, XP_003423326.1, XP_010600516.1, XP_003423006.1, XP_010600996.1, XP_003423007.1, XP_010600709.1, XP_010600517.1, XP_003423013.3, XP_003423008.1, XP_003423432.1, XP_023398259.1, XP_010601011.1, XP_023397903.1, XP_023397613.1, XP_003423010.2, XP_023411822.1, XP_003423012.2, XP_003423017.2, XP_010601075.2, XP_003423435.1, XP_003423016.2, XP_003416748.1, XP_023397888.1, XP_003422684.1, XP_003423063.2, XP_010600788.2, XP_010600252.1, XP_010601051.2, XP_023397896.1, XP_010600708.1, XP_003423396.2, XP_023398260.1, XP_003422681.2, XP_003423062.2, XP_003422770.1, XP_003422369.1, XP_010600258.1, XP_003422393.2, XP_023398367.1, XP_003423677.3, XP_003422687.1, XP_003423764.1	XP_026235392.1, XP_026235393.1
OG0000073	XP_003422997.2, XP_003422682.2, XP_023398158.1	XP_026237892.1
OG0000074	XP_003420108.1	XP_026256772.1
OG0000075	XP_023394872.1, XP_010598359.2	XP_026247983.1
OG0000075	XP_003421271.1	XP_026237986.1, XP_026259296.1
OG0000075	XP_003420215.1	XP_026247979.1
OG0000076	XP_023405724.1	XP_026240269.1
OG0000076	XP_010589665.2, XP_023405722.1	XP_026240265.1
OG0000076	XP_023405706.1	XP_026240153.1
OG0000076	XP_023405781.1	XP_026240261.1
OG0000076	XP_023405771.1	XP_026240263.1
OG0000077	XP_023398818.1	XP_026247781.1
OG0000077	XP_010595592.1, XP_023412867.1	XP_026254605.1
OG0000078	XP_023414046.1, XP_023414012.1, XP_023414036.1, XP_023414040.1, XP_023414006.1, XP_023414017.1, XP_023414056.1, XP_023414091.1, XP_023414079.1, XP_023414002.1, XP_023414022.1, XP_023414008.1, XP_023414016.1, XP_023414004.1, XP_023414003.1, XP_023414051.1, XP_023414070.1, XP_023414028.1, XP_023414064.1, XP_023414010.1, XP_023414018.1, XP_003405220.1, XP_023414072.1, XP_023414085.1, XP_023414081.1	XP_026248742.1, XP_026248740.1, XP_026248741.1, XP_026248739.1, XP_026248743.1
OG0000079	XP_010591405.1, XP_003404746.1, XP_023407941.1, XP_023407952.1	XP_026237408.1, XP_026237407.1, XP_026237406.1, XP_026237410.1, XP_026237409.1
OG0000081	XP_010591698.1, XP_023397292.1, XP_023398458.1	XP_026238355.1, XP_026238588.1, XP_026237626.1, XP_026238576.1, XP_026238580.1, XP_026238669.1, XP_026238571.1, XP_026238482.1
OG0000083	XP_023399155.1	XP_026237839.1
OG0000083	XP_010584861.2	XP_026237843.1, XP_026237841.1, XP_026237844.1
OG0000083	XP_010584866.1	XP_026237840.1
OG0000083	XP_010584887.1, XP_010584888.1, XP_023399201.1, XP_023399158.1, XP_023399175.1, XP_010584876.1, XP_023399176.1, XP_010584882.1, XP_023399156.1, XP_023399208.1	XP_026237849.1
OG0000084	XP_010586430.1, XP_010586431.1, XP_023401214.1, XP_023401216.1, XP_010586432.1, XP_023401215.1, XP_003408064.1, XP_023401213.1	XP_026249387.1, XP_026249389.1, XP_026249390.1, XP_026249386.1, XP_026249388.1
OG0000085	XP_003413458.2, XP_003422953.2	XP_026237062.1
OG0000085	XP_003413452.2, XP_003413157.1, XP_023407704.1, XP_003413158.2, XP_023407703.1, XP_003423725.2, XP_023398363.1, XP_023398230.1, XP_023398493.1, XP_023398327.1, XP_003423521.1, XP_023408239.1, XP_003413454.2, XP_003413455.1, XP_023407700.1	XP_026237047.1, XP_026237052.1, XP_026237043.1, XP_026237051.1, XP_026237053.1, XP_026238257.1, XP_026237049.1, XP_026237058.1
OG0000086	XP_003418974.1	XP_026236713.1
OG0000086	XP_003419385.1	XP_026257517.1
OG0000086	XP_023409299.1	XP_026253784.1
OG0000087	XP_023403955.1, XP_010588626.1, XP_023403956.1, XP_023403982.1, XP_010588735.1, XP_010588627.2	XP_026236560.1, XP_026236561.1, XP_026251965.1, XP_026236562.1
OG0000087	XP_023403957.1, XP_023403954.1	XP_026236559.1
OG0000088	XP_023414947.1	XP_026255196.1
OG0000089	XP_003423294.1, XP_003422403.1, XP_003423533.1, XP_003423709.1, XP_003423754.1, XP_003422671.1, XP_003422672.1, XP_003423690.1, XP_003423774.1, XP_023397300.1, XP_003423296.1, XP_010599937.1, XP_010600253.1, XP_003423691.2, XP_003423295.1, XP_003423756.3, XP_023397304.1, XP_003422391.1, XP_003423718.2, XP_003423599.2, XP_003412110.1, XP_003412111.1	XP_026235390.1, XP_026235380.1, XP_026235385.1, XP_026235383.1, XP_026235386.1, XP_026235382.1, XP_026235379.1, XP_026235387.1, XP_026235375.1
OG0000090	XP_010594360.1, XP_010594361.1	XP_026251494.1
OG0000092	XP_003423397.1, XP_003423699.1, XP_023397675.1	XP_026235362.1, XP_026235364.1, XP_026235361.1
OG0000092	XP_003423398.1, XP_023397677.1	XP_026235366.1
OG0000092	XP_023397680.1, XP_010600624.1, XP_023398535.1, XP_023398073.1	XP_026235365.1
OG0000092	XP_023398349.1, XP_003423183.2, XP_003422775.1, XP_003423672.1	XP_026235360.1
OG0000092	XP_003423700.1, XP_003423636.2, XP_003422773.1	XP_026235389.1
OG0000093	XP_010594545.1	XP_026261477.1
OG0000095	XP_003416349.1, XP_003416348.1, XP_003416347.1	XP_026251480.1, XP_026251479.1
OG0000096	XP_003406307.2	XP_026263269.1, XP_026263264.1, XP_026263266.1, XP_026263267.1, XP_026263268.1
OG0000096	XP_003417893.1	XP_026238210.1, XP_026254701.1, XP_026237445.1
OG0000099	XP_023405867.1, XP_023405864.1, XP_023405866.1, XP_023405863.1	XP_026265511.1
OG0000099	XP_023405875.1	XP_026257870.1
OG0000099	XP_010589883.1	XP_026237588.1
OG0000100	XP_010591477.1	XP_026270647.1, XP_026270646.1
OG0000100	XP_003422537.1	XP_026268919.1
OG0000101	XP_010599683.1	XP_026266268.1, XP_026266270.1
OG0000103	XP_023404728.1, XP_023404730.1, XP_003410798.2, XP_003410652.1, XP_003410650.1	XP_026267848.1, XP_026267862.1, XP_026269364.1, XP_026268481.1
OG0000104	XP_023414212.1	XP_026238452.1
OG0000105	XP_010593685.2	XP_026251880.1
OG0000106	XP_023414383.1	XP_026255265.1
OG0000106	XP_023405554.1	XP_026235236.1
OG0000106	XP_023411596.1	XP_026252729.1
OG0000107	XP_003421414.1, XP_003421421.1, XP_003421422.1	XP_026262387.1
