Orthogroup	Loxodonta_africana	Echinops_telfairi
OG0000013	XP_010600764.1, XP_023398152.1, XP_003423634.3, XP_003423518.3, XP_023398101.1	XP_030744122.1, XP_004714364.1, XP_030744186.1, XP_004714369.1, XP_004714366.1, XP_004714365.1, XP_030744172.1, XP_004714368.1, XP_004714371.1, XP_004714370.1
OG0000013	XP_010600529.1, XP_010600530.1, XP_023398127.1, XP_003423567.2	XP_030744124.1
OG0000013	XP_023398125.1, XP_010600994.2, XP_010600679.2, XP_023398339.1, XP_003423698.3, XP_010600704.1, XP_010600869.1, XP_003423770.1, XP_010600643.1	XP_004714373.1
OG0000014	XP_010584944.1, XP_023399387.1	XP_045148253.1
OG0000014	XP_023399412.1, XP_023399408.1, XP_010584955.2, XP_023399413.1, XP_010584957.1, XP_023399443.1, XP_023399414.1	XP_045148265.1, XP_045148272.1
OG0000015	XP_023408235.1	XP_004716911.2
OG0000015	XP_010591674.2	XP_004717435.1, XP_004716912.1, XP_004717434.1
OG0000015	XP_003422952.1, XP_003422951.1, XP_003423714.1, XP_003413441.1, XP_003413443.1, XP_003413444.1, XP_023407695.1, XP_003413442.1, XP_023407673.1, XP_003413449.1, XP_003422959.1, XP_003423745.1, XP_003422954.2, XP_003413446.1, XP_003423590.1, XP_003413448.2, XP_023397828.1	XP_012863144.1, XP_004714358.1, XP_004717432.1, XP_004717986.1, XP_004714381.1
OG0000015	XP_003413450.1, XP_010601001.1, XP_023407697.1, XP_003423589.2, XP_003422950.1, XP_003422956.1, XP_023407699.1, XP_003423696.3, XP_003422957.2	XP_004717431.1
OG0000016	XP_010586204.1	XP_004706676.1
OG0000016	XP_023401131.1, XP_023401102.1, XP_023398452.1, XP_023401103.1, XP_023398430.1, XP_003407701.1, XP_003407380.1	XP_004706619.1, XP_004706620.1, XP_004706617.1
OG0000017	XP_023413222.1, XP_003417700.1, XP_003417799.2, XP_023413220.1	XP_004706266.3, XP_045141789.1, XP_004706264.2, XP_004706261.3, XP_004706258.3, XP_004706267.1, XP_004706268.1, XP_004706259.1, XP_004706260.1, XP_030740246.2
OG0000017	XP_003422523.1	XP_004706000.1
OG0000017	XP_003421166.1, XP_003421167.1, XP_003421171.2, XP_003423476.1, XP_003423477.1, XP_023396033.1, XP_003423478.1	XP_004717472.1
OG0000017	XP_003407515.2, XP_010586307.1	XP_004712662.1
OG0000018	XP_010595256.1, XP_003410978.1	XP_012859399.1
OG0000018	XP_023403167.1, XP_023403166.1	XP_004716622.1
OG0000018	XP_023396107.1, XP_023396108.1, XP_003421240.1, XP_023396106.1	XP_004696931.1
OG0000019	XP_023414395.1, XP_023397997.1	XP_004712788.1, XP_004712719.1, XP_004712720.1, XP_004712787.1, XP_004712721.1, XP_004712791.1
OG0000019	XP_003423149.2, XP_003423148.2	XP_004712786.1, XP_004712718.2
OG0000019	XP_003418816.1, XP_003423153.1	XP_004698479.1
OG0000019	XP_003423152.2	XP_004712790.1
OG0000019	XP_010600381.1, XP_003418673.1, XP_010600382.1, XP_003418770.1	XP_004712724.1
OG0000019	XP_003423150.2	XP_004712723.1
OG0000020	XP_023399274.1, XP_023399266.1, XP_023399261.1, XP_023399869.1	XP_030742134.1
OG0000020	XP_023399870.1	XP_045148328.1
OG0000021	XP_003422178.2, XP_003423157.2	XP_012860623.1, XP_004697282.1, XP_004697280.1
OG0000021	XP_003421251.1	XP_004697311.1, XP_012860657.2, XP_030744718.1
OG0000021	XP_023396125.1	XP_012860659.1
OG0000021	XP_003421879.3, XP_003421891.2, XP_003421896.3	XP_004717377.1, XP_012863941.2, XP_004717372.2, XP_004717798.2, XP_004717375.1, XP_004717804.3
OG0000021	XP_010599494.1	XP_004717803.1
OG0000021	XP_023397618.1, XP_010598586.2, XP_023409443.1, XP_010598561.1	XP_030744588.1
OG0000021	XP_023397622.1, XP_003423689.1	XP_030744587.1
OG0000021	XP_003405014.3	XP_004697297.1
OG0000021	XP_003423706.1, XP_003423543.1, XP_023398470.1, XP_003421246.1, XP_003420774.1, XP_023397996.1, XP_003423139.1	XP_004697300.1
OG0000021	XP_010596465.1, XP_023397628.1	XP_004697303.1
OG0000021	XP_010596431.1	XP_012861777.1
OG0000022	XP_023405713.1	XP_012861131.1
OG0000022	XP_023405791.1	XP_012860159.3
OG0000022	XP_023405753.1	XP_030744626.2
OG0000022	XP_023405761.1	XP_045140666.1
OG0000022	XP_023408412.1	XP_004697099.2
OG0000022	XP_023405686.1	XP_030744629.2
OG0000023	XP_023398977.1, XP_023398979.1, XP_023399058.1, XP_023399048.1, XP_023399061.1	XP_030742182.1
OG0000023	XP_023399116.1	XP_004710771.1, XP_045148514.1, XP_012862162.1
OG0000023	XP_010585287.2, XP_023399851.1, XP_023399850.1, XP_023399132.1	XP_045148358.1
OG0000024	XP_023414015.1, XP_023414014.1, XP_023396972.1, XP_003418353.3	XP_004714285.1
OG0000026	XP_010593038.2	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1
OG0000027	XP_023397082.1	XP_012861603.1
OG0000027	XP_010600174.1, XP_023403761.1, XP_010597188.1	XP_012862391.1
OG0000027	XP_010589075.1	XP_004710335.1
OG0000027	XP_023404513.1	XP_012862704.1
OG0000028	XP_003421460.1	XP_004715035.1
OG0000028	XP_003421459.1, XP_003421458.2, XP_003421393.1, XP_003421394.2	XP_004715034.1
OG0000028	XP_003421462.1	XP_004715045.2, XP_045152990.1
OG0000029	XP_003418984.1, XP_003418985.1, XP_003419000.1	XP_004706573.1, XP_004706506.1
OG0000029	XP_003410244.2, XP_010588697.2	XP_012861092.2
OG0000029	XP_003418983.1, XP_003419008.1, XP_003418982.1, XP_003418979.1, XP_003418997.1, XP_023414851.1, XP_010596888.1, XP_003418989.1, XP_003418980.2, XP_003410246.1, XP_010588698.2, XP_003410245.1, XP_003418981.1, XP_003410398.1, XP_003410397.1	XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2
OG0000031	XP_003421878.1	XP_004717805.1
OG0000031	XP_023396098.1, XP_023397619.1	XP_004697319.1
OG0000031	XP_010598978.2, XP_010598992.1	XP_004717464.1, XP_012863974.1
OG0000031	XP_003421172.1, XP_003421169.1, XP_010600828.2, XP_003421174.1, XP_003421170.1, XP_003421173.1	XP_004717473.1
OG0000033	XP_023412690.1, XP_023412695.1, XP_023412688.1	XP_045155424.1
OG0000033	XP_023412689.1	XP_045155427.1
OG0000033	XP_023412699.1	XP_045155234.1
OG0000033	XP_023412685.1	XP_004709367.1, XP_012861717.2
OG0000035	XP_003418690.1	XP_004712740.1
OG0000035	XP_003415269.1	XP_004712219.1
OG0000035	XP_003409293.1	XP_030741765.1
OG0000035	XP_003417431.1	XP_045150155.1
OG0000035	XP_003408097.1	XP_004703656.1
OG0000035	XP_003413731.1	XP_030740512.1
OG0000036	XP_003409026.2	XP_012859662.1, XP_045147370.1
OG0000036	XP_023402679.1	XP_004701113.1
OG0000036	XP_023402678.1, XP_023402681.1, XP_003409270.1, XP_023402680.1, XP_003409272.1	XP_004701114.1
OG0000036	XP_003409268.2, XP_003409269.2	XP_004701111.1
OG0000038	XP_023398170.1, XP_023397817.1, XP_003423248.1	XP_012861542.1
OG0000039	XP_003417907.1	XP_004711707.2
OG0000039	XP_023397432.1, XP_010600937.1	XP_045156035.1
OG0000039	XP_003420000.1	XP_004716151.1
OG0000039	XP_003406436.1	XP_004702928.1
OG0000040	XP_003405458.1	XP_004711553.1
OG0000040	XP_003405456.1	XP_004711554.1
OG0000040	XP_003405459.1	XP_004711560.1
OG0000040	XP_023395897.1, XP_003405469.1, XP_003405468.1	XP_004711551.1, XP_004711550.1
OG0000040	XP_003405467.1, XP_003405465.1	XP_004711481.1
OG0000040	XP_003405455.1, XP_003405457.1	XP_004711555.1
OG0000040	XP_023395861.1	XP_004711552.1
OG0000040	XP_003405444.1	XP_030740611.1
OG0000040	XP_003405466.1, XP_003405462.1	XP_004711558.1
OG0000040	XP_023395853.1, XP_010594517.1, XP_003405461.1	XP_004711556.1, XP_004711557.1
OG0000040	XP_023395770.1	XP_004711562.2
OG0000041	XP_023398386.1, XP_003423044.1, XP_023397894.1, XP_003422742.1, XP_003423623.1, XP_010600256.1, XP_010600503.1, XP_023398385.1, XP_003423001.1, XP_023398526.1, XP_003422709.1, XP_010600257.2, XP_023397905.1, XP_003423045.2, XP_003423002.1, XP_003423054.1, XP_023397898.1, XP_010600712.1	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1
OG0000041	XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1	XP_012861540.1
OG0000043	XP_003423639.1, XP_003412080.1, XP_003412087.1, XP_003412081.1, XP_010601023.1, XP_003412231.1, XP_003412084.1, XP_003423681.1, XP_003423550.1, XP_023406384.1, XP_003412232.1, XP_003412230.1, XP_010590555.2, XP_003412085.1, XP_003423682.1, XP_003423777.1, XP_003412086.1, XP_003412082.1, XP_003412229.2, XP_003423724.1, XP_003412236.1	XP_012863712.2, XP_030741683.1, XP_030741692.1
OG0000044	XP_023411493.1, XP_023411495.1	XP_004712586.2
OG0000045	XP_023412232.1	XP_045149228.1
OG0000045	XP_010594913.2	XP_012861750.1
OG0000045	XP_003416978.1, XP_003416977.1	XP_012861749.1
OG0000045	XP_010594915.1	XP_004709407.1
OG0000048	XP_010584712.1	XP_045148625.1, XP_030742216.1, XP_045148205.1
OG0000049	XP_010587012.1	XP_012859118.1
OG0000049	XP_010593953.1	XP_004696508.2
OG0000050	XP_023400730.1	XP_004712657.1
OG0000051	XP_010592337.1	XP_045139744.1
OG0000051	XP_010595976.1	XP_045150200.1
OG0000051	XP_023408848.1	XP_004704466.1
OG0000051	XP_010593035.1	XP_045154467.1
OG0000051	XP_010595977.1	XP_045150193.1
OG0000051	XP_010593034.1	XP_004710098.1
OG0000052	XP_023415736.1	XP_004700778.2
OG0000053	XP_023403949.1	XP_030744715.1
OG0000053	XP_023403950.1	XP_030744716.1
OG0000054	NP_001267816.1	XP_045154396.1
OG0000054	XP_003415217.1	XP_030743721.1
OG0000054	XP_003415004.1	XP_004714839.1, XP_045154300.1
OG0000055	XP_003412241.1	XP_004716482.1
OG0000055	XP_003412075.1, XP_023406383.1, XP_003412076.1, XP_003412078.1, XP_003412079.1, XP_003412077.1	XP_004716475.2, XP_004716476.1, XP_004716458.1, XP_004716457.1, XP_004716474.1
OG0000056	XP_023397629.1, XP_010601026.1, XP_010600263.1, XP_010600683.1, XP_010600687.1, XP_010600686.1, XP_010599948.1, XP_010601073.1, XP_023398466.1, XP_003412274.1, XP_023397839.1, XP_010600591.1, XP_003422382.1, XP_023397625.1	XP_012861559.1
OG0000056	XP_003422400.1, XP_023398318.1, XP_010600450.2, XP_010590582.2	XP_045146929.1
OG0000056	XP_010600841.1, XP_003422967.1, XP_010599943.2, XP_010590580.1	XP_012861555.1
OG0000057	XP_023413548.1	XP_045151837.1, XP_045150218.1
OG0000057	XP_023413479.1, XP_023413547.1	XP_045152239.1
OG0000057	XP_023408522.1, XP_010595922.1	XP_045150220.1, XP_045151593.1
OG0000057	XP_023413538.1	XP_045152873.1
OG0000058	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1	XP_004715220.1
OG0000060	XP_010599816.1, XP_010599817.1	XP_012862321.2
OG0000061	XP_023397963.1	XP_045145283.1
OG0000062	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1	XP_004715350.1
OG0000063	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1
OG0000064	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1
OG0000065	XP_010588064.1, XP_003410116.1	XP_045149856.1, XP_012864194.1, XP_012861157.1, XP_045153963.1, XP_004715316.1, XP_012861920.1, XP_045144280.1, XP_012859355.1, XP_045151737.1, XP_045142791.1, XP_045139513.1, XP_012862319.1, XP_045140326.1, XP_045146233.1, XP_012859413.1, XP_012859674.1, XP_012859279.1
OG0000067	XP_010599789.1, XP_003423726.1	XP_004697275.1
OG0000067	XP_003404995.1, XP_003404996.1, XP_003404997.1, XP_003420723.1, XP_003422180.1, XP_003420722.1, XP_003422181.1, XP_003423408.1	XP_012861343.1, XP_004697249.1
OG0000068	XP_003422796.1, XP_003422799.1, XP_003422795.1, XP_003422798.1, XP_023397698.1, XP_003422803.1	XP_004715058.2, XP_004715057.2, XP_004708545.1, XP_004715056.1
OG0000068	XP_003422802.1, XP_003422797.1, XP_003422801.1, XP_023397697.1, XP_003422800.1	XP_030743378.2
OG0000069	XP_003412414.1	XP_004707765.1
OG0000069	XP_010599078.1	XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1
OG0000069	XP_010599088.1	XP_004715688.1
OG0000069	XP_010599087.1	XP_004715687.1
OG0000069	XP_010587034.1	XP_004698759.1
OG0000069	XP_023402289.1	XP_004698825.1
OG0000070	XP_010586192.1	XP_030741226.1
OG0000070	XP_010589597.1	XP_045148084.1
OG0000071	XP_010600554.1, XP_003423115.1, XP_010600557.1	XP_045140953.1, XP_012863904.1, XP_045145303.1, XP_004717218.1, XP_004717217.1, XP_045150248.1, XP_045147057.1, XP_045150814.1, XP_045143373.1, XP_045153070.1, XP_045145703.1, XP_045148069.1, XP_045151994.1, XP_045154633.1
OG0000072	XP_023402648.1, XP_023402655.1, XP_023402641.1, XP_023402651.1, XP_003409261.1, XP_023402645.1, XP_023402644.1, XP_023402652.1, XP_023402654.1, XP_023402643.1, XP_023402647.1, XP_023402646.1, XP_023402653.1, XP_023402649.1, XP_023402640.1, XP_023402642.1, XP_023402650.1	XP_004701095.1, XP_045147551.1
OG0000073	XP_010601011.1, XP_023397903.1, XP_023397613.1, XP_003423010.2	XP_030741736.2
OG0000073	XP_023411822.1, XP_003423012.2, XP_003423017.2, XP_010601075.2, XP_003423435.1, XP_003423016.2, XP_003416748.1, XP_023397888.1, XP_003422684.1, XP_003423063.2, XP_010600788.2, XP_010600252.1, XP_010601051.2, XP_023397896.1, XP_010600708.1, XP_003423396.2, XP_023398260.1, XP_003422681.2, XP_003423062.2, XP_003422770.1, XP_003422369.1, XP_010600258.1, XP_003422393.2, XP_023398367.1, XP_003423677.3, XP_003422687.1, XP_003423764.1	XP_004708562.3, XP_012861568.1, XP_045147036.1, XP_004708561.2
OG0000074	XP_010597906.1, XP_023394765.1, XP_003420109.1, XP_023394764.1	XP_012861662.1
OG0000075	XP_023394872.1, XP_010598359.2	XP_012859131.1, XP_045144281.1
OG0000075	XP_003421271.1	XP_004715682.1
OG0000076	XP_023405724.1	XP_045140664.1
OG0000076	XP_023405769.1	XP_012860147.2
OG0000076	XP_023405781.1	XP_004697101.1
OG0000076	XP_023405771.1	XP_045140667.1
OG0000077	XP_023398818.1	XP_004701504.1
OG0000077	XP_010595592.1, XP_023412867.1	XP_004716948.1
OG0000078	XP_023414046.1, XP_023414012.1, XP_023414036.1, XP_023414040.1, XP_023414006.1, XP_023414017.1, XP_023414056.1, XP_023414091.1, XP_023414079.1, XP_023414002.1, XP_023414022.1, XP_023414008.1, XP_023414016.1, XP_023414004.1, XP_023414003.1, XP_023414051.1, XP_023414070.1, XP_023414028.1, XP_023414064.1, XP_023414010.1, XP_023414018.1, XP_003405220.1, XP_023414072.1, XP_023414085.1, XP_023414081.1	XP_045144918.1
OG0000079	XP_010591405.1, XP_003404746.1, XP_023407941.1, XP_023407952.1	XP_045140817.1, XP_004696894.1, XP_045140816.1
OG0000080	XP_003422818.1, XP_023397707.1, XP_003422816.1, XP_023397706.1	XP_030743379.1
OG0000081	XP_010591698.1, XP_023397292.1, XP_023398458.1	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1
OG0000082	XP_003419087.1	XP_045140481.1, XP_030744706.2, XP_030744510.1, XP_045140480.1
OG0000082	XP_023414943.1, XP_023414921.1	XP_030744509.1, XP_045140482.1, XP_045140483.1, XP_045140777.1
OG0000083	XP_010584862.2	XP_045148499.1
OG0000083	XP_010584866.1	XP_045148500.1
OG0000083	XP_010584887.1, XP_010584888.1, XP_023399201.1, XP_023399158.1, XP_023399175.1, XP_010584876.1, XP_023399176.1, XP_010584882.1, XP_023399156.1, XP_023399208.1	XP_045148495.1
OG0000083	XP_023399163.1, XP_023399167.1, XP_023399166.1, XP_023399854.1	XP_045148509.1
OG0000084	XP_010586430.1, XP_010586431.1, XP_023401214.1, XP_023401216.1, XP_010586432.1, XP_023401215.1, XP_003408064.1, XP_023401213.1	XP_045141025.1, XP_045141026.1, XP_004703689.1
OG0000085	XP_003413458.2, XP_003422953.2	XP_004714378.1
OG0000085	XP_003413452.2, XP_003413157.1, XP_023407704.1, XP_003413158.2, XP_023407703.1, XP_003423725.2, XP_023398363.1, XP_023398230.1, XP_023398493.1, XP_023398327.1, XP_003423521.1, XP_023408239.1, XP_003413454.2, XP_003413455.1, XP_023407700.1	XP_004717398.1, XP_004717958.1
OG0000086	XP_003418974.1	XP_004705744.1
OG0000086	XP_003419385.1	XP_045154464.1
OG0000086	XP_023409299.1, XP_023409300.1, XP_023409301.1, XP_023409298.1	XP_004707070.1
OG0000087	XP_023403955.1, XP_010588626.1, XP_023403956.1, XP_023403982.1, XP_010588735.1, XP_010588627.2	XP_004713160.1, XP_030744700.1, XP_004713170.2
OG0000087	XP_023403954.1	XP_030744519.1
OG0000088	XP_023414947.1	XP_045140349.1, XP_045140348.1, XP_045140350.1
OG0000089	XP_003423294.1, XP_003422403.1, XP_003423533.1, XP_003423709.1, XP_003423754.1, XP_003422671.1, XP_003422672.1, XP_003423690.1, XP_003423774.1, XP_023397300.1, XP_003423296.1, XP_010599937.1, XP_010600253.1, XP_003423691.2, XP_003423295.1, XP_003423756.3, XP_023397304.1, XP_003422391.1, XP_003423718.2, XP_003423599.2, XP_003412110.1, XP_003412111.1	XP_004708559.1, XP_004708552.1, XP_004708556.1
OG0000090	XP_010594360.1, XP_010594361.1	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1
OG0000092	XP_003423397.1, XP_003423699.1, XP_023397675.1	XP_004708546.1
OG0000092	XP_003423398.1, XP_023397677.1, XP_023397680.1, XP_010600624.1, XP_023398535.1, XP_023398073.1, XP_023398349.1, XP_003423183.2, XP_003422775.1, XP_003423672.1, XP_003423700.1, XP_003423636.2, XP_003422773.1	XP_004708548.1
OG0000093	XP_010594545.1	XP_045142014.1
OG0000095	XP_003416351.1	XP_045148615.1, XP_045150606.1
OG0000095	XP_003416350.1	XP_045151807.1
OG0000096	XP_003406307.2	XP_004703093.1
OG0000096	XP_003417893.1	XP_004700028.1
OG0000097	XP_023398536.1, XP_023408225.1, XP_023410812.1, XP_010593968.2, XP_023396292.1	XP_045147096.1
OG0000097	XP_010598514.1, XP_010598515.1, XP_023395482.1, XP_023402385.1, XP_023395158.1, XP_023395159.1	XP_045149909.1
OG0000097	XP_010598958.2, XP_023396002.1, XP_023397094.1, XP_023395163.1, XP_023402988.1	XP_045149908.1
OG0000097	XP_023396228.1, XP_023408139.1, XP_023408160.1, XP_010591605.1	XP_045145677.1
OG0000097	XP_023398381.1, XP_023398406.1, XP_023398447.1, XP_010600963.1, XP_023408142.1, XP_010591607.2, XP_010587799.1, XP_023415632.1, XP_010591433.1, XP_010600210.1, XP_010600611.2	XP_045141370.1
OG0000097	XP_023408083.1, XP_010599763.1, XP_010599759.1, XP_023408137.1, XP_010591604.2, XP_023408138.1, XP_023396289.1, XP_023396288.1, XP_023395436.1	XP_045156095.1
OG0000097	XP_023408143.1, XP_023408145.1, XP_023408144.1	XP_045145697.1, XP_045156094.1
