Orthogroup	Loxodonta_africana	Saimiri_boliviensis_boliviensis
OG0000009	XP_023398360.1, XP_023396632.1, XP_023397413.1, XP_010599502.2, XP_023396647.1, XP_023398346.1, XP_023396648.1, XP_010599487.1	XP_039323181.1, XP_039323182.1, XP_039322117.1, XP_039323153.1, XP_039323204.1, XP_039323205.1, XP_039323297.1, XP_039322063.1, XP_039318499.1, XP_039318502.1, XP_039323216.1, XP_039323349.1, XP_039322104.1, XP_039323189.1, XP_039323188.1, XP_010330939.2, XP_039318501.1, XP_039323282.1, XP_039323265.1, XP_039323139.1
OG0000010	XP_003412116.1, XP_023398287.1, XP_003423630.1, XP_003422377.1, XP_023406372.1, XP_023398137.1, XP_010599946.1, XP_003423564.1, XP_003422375.3, XP_023397312.1, XP_023406370.1, XP_023397837.1, XP_010600684.1, XP_023398285.1, XP_010600453.1, XP_023406371.1, XP_003412118.1, XP_003423465.1, XP_003422376.1	XP_003920480.2
OG0000010	XP_003423464.1, XP_003422374.1, XP_023398143.1, XP_023398345.1, XP_003412115.1, XP_023398480.1, XP_010599936.1, XP_003423563.1, XP_003422972.1, XP_003423562.1, XP_003422401.1, XP_003422971.1, XP_003423565.1, XP_003422378.1, XP_023394658.1, XP_003423667.1, XP_023397301.1, XP_003412114.1	XP_039327173.1, XP_039327209.1, XP_003920482.2, XP_003920481.2, XP_003920130.2
OG0000011	XP_010589626.1	XP_039316464.1, XP_039327340.1
OG0000011	XP_010589614.1	XP_039316746.1
OG0000011	XP_003404600.1	XP_010340082.2
OG0000011	XP_003404609.1	XP_039326277.1
OG0000011	XP_003404610.1	XP_039326275.1
OG0000011	XP_003404608.1	XP_039328082.1, XP_039328036.1
OG0000011	XP_003404607.1	XP_039316705.1, XP_039327835.1
OG0000011	XP_003404606.1	XP_039316566.1, XP_039316636.1, XP_039316502.1, XP_039323306.1
OG0000011	XP_023405595.1	XP_039328029.1
OG0000011	XP_003404605.1	XP_039328885.1
OG0000011	XP_003404603.1	XP_039326453.1
OG0000011	XP_023405607.1	XP_010340091.2
OG0000011	XP_003404858.2	XP_039328900.1
OG0000011	XP_010589642.2	XP_010340171.2
OG0000012	XP_010594127.1	XP_003924128.1
OG0000012	XP_023410900.1, XP_003416054.1	XP_003924126.1
OG0000012	XP_023410899.1, XP_023394892.1, XP_023394886.1, XP_010598043.1	XP_003924124.1
OG0000012	XP_010594105.2, XP_010598058.2, XP_023398515.1, XP_023410896.1, XP_010594114.2, XP_010598057.1, XP_010594116.2, XP_010594112.1, XP_023410897.1, XP_023394889.1, XP_003420251.1, XP_023410890.1, XP_010594103.1, XP_010594107.1, XP_010594126.1, XP_010594111.1, XP_003420237.1, XP_003420235.1, XP_003420233.1, XP_003416051.1, XP_003416050.2, XP_023410903.1, XP_023394893.1, XP_023410889.1, XP_003420250.1, XP_010594108.1, XP_010594104.1, XP_003420252.1, XP_023410895.1, XP_023394887.1, XP_023394888.1, XP_010598040.1, XP_003420234.1, XP_010594110.1, XP_003420248.2, XP_010598055.1	XP_010333145.2, XP_003924121.2, XP_003924123.1, XP_010333149.2, XP_010333147.2, XP_010333148.2, XP_003924122.2
OG0000013	XP_023398492.1	XP_003938964.1
OG0000014	XP_010584944.1, XP_023399387.1	XP_003944066.2
OG0000014	XP_023399372.1	XP_039321716.1
OG0000014	XP_023399410.1, XP_023399411.1, XP_010584956.1	XP_003944453.2
OG0000014	XP_023399401.1	XP_039322204.1
OG0000014	XP_023399412.1, XP_023399408.1, XP_010584955.2, XP_023399413.1, XP_010584957.1, XP_023399443.1, XP_023399414.1	XP_003944055.1, XP_003944052.3, XP_003944450.2
OG0000014	XP_023399405.1	XP_039322215.1, XP_010330682.2, XP_010330643.2, XP_010330639.1, XP_003944452.2, XP_010330631.1, XP_039322199.1
OG0000015	XP_023408235.1	XP_003938968.2
OG0000016	XP_023401131.1, XP_023401102.1, XP_023398452.1, XP_023401103.1, XP_023398430.1, XP_003407701.1, XP_003407380.1	XP_003928173.1
OG0000016	XP_003407381.1, XP_003407700.1, XP_023401100.1, XP_003407699.1, XP_003407706.1, XP_003407703.1, XP_023401101.1	XP_010337088.2, XP_003928167.1, XP_003928172.2, XP_003928166.1, XP_003928171.1, XP_003928170.2, XP_003928165.1
OG0000017	XP_023413222.1, XP_003417700.1, XP_003417799.2, XP_023413220.1	XP_039334162.1
OG0000017	XP_003421166.1, XP_003421167.1, XP_003421171.2, XP_003423476.1, XP_003423477.1, XP_023396033.1, XP_003423478.1	XP_003944789.1
OG0000018	XP_010595256.1, XP_003410978.1	XP_003931776.1
OG0000018	XP_023403166.1	XP_003942033.1
OG0000018	XP_023411474.1, XP_023411484.1, XP_023411483.1	XP_039318517.1
OG0000019	XP_010600381.1, XP_003418673.1, XP_010600382.1, XP_003418770.1	XP_003935823.1
OG0000019	XP_003423150.2	XP_003935822.1
OG0000021	XP_003421251.1, XP_023396125.1	XP_003935417.2
OG0000022	XP_023405713.1	XP_010336464.1
OG0000022	XP_023405791.1	XP_039328169.1
OG0000022	XP_023405679.1	XP_039328208.1
OG0000022	XP_023405693.1	XP_010339946.2
OG0000022	XP_023405753.1	XP_003920570.1
OG0000022	XP_023405676.1	XP_010336450.2
OG0000022	XP_023405672.1	XP_010336498.1
OG0000022	XP_023405683.1	XP_010336445.2
OG0000022	XP_023405761.1	XP_003920574.1
OG0000022	XP_023408412.1	XP_010336467.2
OG0000022	XP_023405686.1	XP_039328684.1
OG0000023	XP_023399116.1	XP_010330421.2, XP_039322035.1
OG0000023	XP_023399088.1, XP_023399852.1, XP_023399107.1	XP_003944291.1
OG0000024	XP_010596288.1, XP_003423049.1, XP_003423308.1, XP_003423050.1, XP_023397321.1, XP_003423307.1, XP_023398548.1, XP_010599716.1, XP_003422134.1, XP_003418355.1, XP_003423483.2, XP_010596276.1, XP_003422128.1, XP_010599724.1, XP_010596285.1, XP_003422132.2, XP_003418357.2, XP_010596282.2, XP_003422133.1, XP_010596283.1, XP_003422131.1, XP_003418359.1, XP_010596287.1, XP_010596279.1, XP_003422408.1, XP_010599952.1, XP_023414009.1, XP_023397328.1, XP_003423692.2, XP_003422129.2, XP_010596286.1, XP_023397324.1, XP_010600832.1, XP_003422405.1, XP_023398407.1, XP_010599725.1	XP_003923612.1
OG0000026	XP_010593038.2	XP_010344692.1, XP_010344690.1, XP_010344691.1
OG0000027	XP_023397082.1	XP_010334588.2
OG0000027	XP_010594690.1	XP_010348076.2
OG0000027	XP_010600174.1, XP_023403761.1, XP_010597188.1	XP_039335895.1
OG0000027	XP_010589075.1	XP_039318403.1
OG0000027	XP_023404513.1	XP_003939105.2
OG0000027	XP_010594676.1	XP_039328209.1
OG0000027	XP_010594685.1	XP_010348074.2
OG0000028	XP_003421459.1, XP_003421458.2, XP_003421393.1, XP_003421394.2	XP_003920501.1
OG0000028	XP_003421462.1	XP_003920200.1, XP_003920202.2
OG0000031	XP_023396098.1, XP_023397619.1	XP_010344198.2
OG0000031	XP_010598978.2, XP_010598992.1	XP_003944778.3
OG0000031	XP_003421186.3	XP_003944777.1
OG0000032	XP_010592223.1	XP_039327708.1
OG0000032	XP_003404853.1	XP_039327697.1
OG0000032	XP_003404851.2, XP_010589568.1	XP_039327669.1, XP_039327692.1
OG0000032	XP_003404850.1	XP_039327661.1, XP_010340077.2, XP_010340056.2, XP_039327705.1, XP_039328729.1, XP_003920557.2
OG0000032	XP_010589555.1	XP_039327657.1
OG0000033	XP_023412690.1, XP_023412695.1, XP_023412688.1	XP_003931817.1, XP_003931818.2, XP_039332378.1, XP_003931922.1
OG0000033	XP_023412689.1, XP_023412699.1	XP_003931923.1, XP_010340770.1
OG0000033	XP_023412685.1	XP_010340761.1
OG0000034	XP_023396128.1	XP_003944973.2
OG0000035	XP_003418690.1	XP_039318843.1
OG0000035	XP_003415269.1	XP_039320122.1
OG0000035	XP_003409293.1	XP_003922471.1
OG0000035	XP_010594571.1	XP_039316629.1
OG0000035	XP_010595197.1	XP_039331779.1
OG0000035	XP_003417431.1	XP_010349143.2
OG0000035	XP_003408097.1	XP_003925881.1
OG0000036	XP_023402679.1	XP_003922417.1, XP_003922419.1
OG0000036	XP_003409268.2, XP_003409269.2	XP_003922415.1
OG0000038	XP_010600568.1, XP_023398165.1, XP_003422674.1, XP_023398379.1, XP_023397987.1, XP_003423129.1, XP_003423126.2, XP_023398173.1, XP_023398161.1, XP_023397816.1, XP_023398166.1, XP_003423035.1, XP_003422721.1, XP_023398167.1, XP_023398168.1, XP_023398162.1, XP_003422724.1, XP_003423245.1, XP_023398163.1, XP_023397912.1, XP_023398092.1, XP_003422727.1, XP_003422916.1, XP_023398311.1, XP_003423037.1, XP_023397892.1, XP_003423038.1, XP_003423494.1, XP_003422732.1, XP_023397810.1, XP_003423242.1, XP_023398091.1, XP_003423495.1, XP_003422734.1, XP_003423125.1, XP_003422675.1, XP_003423128.1	XP_039327428.1, XP_003920141.1
OG0000039	XP_003417907.1	XP_039318609.1
OG0000039	XP_003420000.1	XP_003932683.1
OG0000039	XP_003406436.1	XP_039319462.1, XP_039319460.1
OG0000040	XP_003405455.1, XP_003405457.1	XP_003927936.1
OG0000040	XP_023395770.1	XP_039328176.1
OG0000041	XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1	XP_010335862.2, XP_003920143.2
OG0000042	XP_010590492.2	XP_010335516.2
OG0000043	XP_003423639.1, XP_003412080.1, XP_003412087.1, XP_003412081.1, XP_010601023.1, XP_003412231.1, XP_003412084.1, XP_003423681.1, XP_003423550.1, XP_023406384.1, XP_003412232.1, XP_003412230.1, XP_010590555.2, XP_003412085.1, XP_003423682.1, XP_003423777.1, XP_003412086.1, XP_003412082.1, XP_003412229.2, XP_003423724.1, XP_003412236.1	XP_003920426.2, XP_003919855.1, XP_010335361.2
OG0000044	XP_003416454.1	XP_003942034.2
OG0000044	XP_023411493.1, XP_023411495.1	XP_039318565.1
OG0000044	XP_023397189.1	XP_039318564.1, XP_003944781.1
OG0000045	XP_023412232.1	XP_039331909.1
OG0000045	XP_003416837.1	XP_039332728.1
OG0000045	XP_010594913.2	XP_039332730.1
OG0000045	XP_003416978.1, XP_003416977.1	XP_003929291.1, XP_003929292.1
OG0000045	XP_010594915.1	XP_010338158.2
OG0000046	XP_023408052.1	XP_010331142.2
OG0000048	XP_023398867.1, XP_023398863.1, XP_023399788.1	XP_010329363.1
OG0000048	XP_010584712.1	XP_010329364.2
OG0000049	XP_010587012.1	XP_003924537.2, XP_010333524.2, XP_039323980.1
OG0000049	XP_023402084.1	XP_003924539.3
OG0000049	XP_010593953.1	XP_039324393.1, XP_039324392.1
OG0000051	XP_010592337.1	XP_039329306.1
OG0000051	XP_010595976.1	XP_003925510.1
OG0000051	XP_023408848.1	XP_003928297.2
OG0000051	XP_010593035.1	XP_039320049.1
OG0000051	XP_010595977.1	XP_039325459.1
OG0000051	XP_010593034.1	XP_010344666.1
OG0000052	XP_023415736.1	XP_039319167.1
OG0000052	XP_023415722.1, XP_010597642.1, XP_023415721.1, XP_023415723.1, XP_023415724.1	XP_039319076.1, XP_039319077.1, XP_010341812.2
OG0000054	NP_001267816.1	XP_010346811.2
OG0000054	XP_003415217.1	XP_039315845.1
OG0000054	XP_003415004.1	XP_003937935.2
OG0000055	XP_003412241.1	XP_003919853.2
OG0000055	XP_003412088.1, XP_003412237.1, XP_023406386.1	XP_003919854.1
OG0000055	XP_003412075.1, XP_023406383.1, XP_003412076.1, XP_003412078.1, XP_003412079.1, XP_003412077.1	XP_003919856.1
OG0000057	XP_023413548.1	XP_039325467.1, XP_039325466.1
OG0000057	XP_023413479.1, XP_023413547.1	XP_039325468.1
OG0000057	XP_023413538.1	XP_039325470.1
OG0000058	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1	XP_039333546.1, XP_039333545.1, XP_003936708.1
OG0000060	XP_010599816.1, XP_010599817.1	XP_010334009.1
OG0000061	XP_023397963.1	XP_003941474.2
OG0000062	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1	XP_039318532.1, XP_010336326.2
OG0000063	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1	XP_039324680.1, XP_003924508.1, XP_039324679.1
OG0000064	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1	XP_039328643.1, XP_039328646.1, XP_039328642.1, XP_010343090.1, XP_010343102.1, XP_039328645.1, XP_039328644.1, XP_010343114.1
OG0000065	XP_010588064.1, XP_003410116.1	XP_039319995.1, XP_039317636.1, XP_010345370.1, XP_039331288.1, XP_039317957.1, XP_039324597.1, XP_010333645.2, XP_039333689.1, XP_039322287.1, XP_010338802.1, XP_010335664.1, XP_010347307.1, XP_039324407.1, XP_039328566.1, XP_010334330.2, XP_039331279.1, XP_003930903.1
OG0000066	XP_010592277.1, XP_010592278.1, XP_010592279.1, XP_010592276.1, XP_023408909.1	XP_039335034.1, XP_039330040.1, XP_039331148.1, XP_039326074.1, XP_039318798.1, XP_039327391.1
OG0000067	XP_010599789.1, XP_003423726.1	XP_039320219.1
OG0000067	XP_003404995.1, XP_003404996.1, XP_003404997.1, XP_003420723.1, XP_003422180.1, XP_003420722.1, XP_003422181.1, XP_003423408.1	XP_003935341.2
OG0000068	XP_003422804.1	XP_003920213.2
OG0000069	XP_003412414.1	XP_039316972.1
OG0000069	XP_010599078.1	XP_010329563.1
OG0000069	XP_010599088.1	XP_003943448.2
OG0000069	XP_010599087.1	XP_039319973.1
OG0000069	XP_010587034.1	XP_003924565.1
OG0000069	XP_023402289.1	XP_003939886.1, XP_010348853.1
OG0000070	XP_010589597.1	XP_010347594.1
OG0000071	XP_010600554.1, XP_003423115.1, XP_010600557.1	XP_039323347.1, XP_039328075.1, XP_039322209.1, XP_039322210.1, XP_039326950.1, XP_039327033.1, XP_039327034.1, XP_039326556.1, XP_039329271.1, XP_039329027.1, XP_039320004.1, XP_039323150.1, XP_039317784.1, XP_039326952.1, XP_039316808.1, XP_039315920.1, XP_039320871.1, XP_039317781.1, XP_039324505.1, XP_039315994.1, XP_003943373.1, XP_039320364.1, XP_039333673.1, XP_039319966.1, XP_039334837.1, XP_039320872.1
OG0000072	XP_023402648.1, XP_023402655.1, XP_023402641.1, XP_023402651.1, XP_003409261.1, XP_023402645.1, XP_023402644.1, XP_023402652.1, XP_023402654.1, XP_023402643.1, XP_023402647.1, XP_023402646.1, XP_023402653.1, XP_023402649.1, XP_023402640.1, XP_023402642.1, XP_023402650.1	XP_003922405.1
OG0000074	XP_010597906.1, XP_023394765.1, XP_003420109.1, XP_023394764.1	XP_039327198.1, XP_039327202.1, XP_039327201.1, XP_039327199.1, XP_039327203.1, XP_039327204.1, XP_039327200.1
OG0000074	XP_003420108.1	XP_010332594.1, XP_003923466.1
OG0000075	XP_023394872.1, XP_010598359.2	XP_010349790.1
OG0000075	XP_003421271.1	XP_003943457.1, XP_010329571.1
OG0000076	XP_023405724.1	XP_010336471.1
OG0000076	XP_010589665.2, XP_023405722.1	XP_010336477.2
OG0000076	XP_023405706.1	XP_010336456.1
OG0000076	XP_023405697.1	XP_039328402.1
OG0000076	XP_023405769.1	XP_010336460.1
OG0000076	XP_023405781.1	XP_003920575.2
OG0000076	XP_023405771.1	XP_003920580.2
OG0000077	XP_023398818.1	XP_003921883.1, XP_039327768.1
OG0000077	XP_010595592.1, XP_023412867.1	XP_039328044.1
OG0000078	XP_023414046.1, XP_023414012.1, XP_023414036.1, XP_023414040.1, XP_023414006.1, XP_023414017.1, XP_023414056.1, XP_023414091.1, XP_023414079.1, XP_023414002.1, XP_023414022.1, XP_023414008.1, XP_023414016.1, XP_023414004.1, XP_023414003.1, XP_023414051.1, XP_023414070.1, XP_023414028.1, XP_023414064.1, XP_023414010.1, XP_023414018.1, XP_003405220.1, XP_023414072.1, XP_023414085.1, XP_023414081.1	XP_010335563.1
OG0000079	XP_010591405.1, XP_003404746.1, XP_023407941.1, XP_023407952.1	XP_010331048.1, XP_039316255.1, XP_010331049.1, XP_039316258.1, XP_039316256.1, XP_039316254.1, XP_039316253.1, XP_010331053.1, XP_039316257.1, XP_003944806.1, XP_010331052.1
OG0000080	XP_003422818.1	XP_039326925.1, XP_039326924.1
OG0000080	XP_023397707.1, XP_003422816.1, XP_023397706.1	XP_010333275.1, XP_010333278.2
OG0000081	XP_010591698.1, XP_023397292.1, XP_023398458.1	XP_039318415.1, XP_039330004.1, XP_039323272.1, XP_039330005.1, XP_039330500.1
OG0000082	XP_023414920.1, XP_023414942.1, XP_003419087.1	XP_039336381.1, XP_010336666.2, XP_010336667.2
OG0000083	XP_023399155.1	XP_003944264.1
OG0000083	XP_010584862.2	XP_003944271.2
OG0000083	XP_010584861.2	XP_039323029.1
OG0000083	XP_010584866.1	XP_003944266.1
OG0000083	XP_010584887.1, XP_010584888.1, XP_023399201.1, XP_023399158.1, XP_023399175.1, XP_010584876.1, XP_023399176.1, XP_010584882.1, XP_023399156.1, XP_023399208.1	XP_039322867.1, XP_039322866.1
OG0000084	XP_010586430.1, XP_010586431.1, XP_023401214.1, XP_023401216.1, XP_010586432.1, XP_023401215.1, XP_003408064.1, XP_023401213.1	XP_010334934.1, XP_039323793.1, XP_039323799.1, XP_039323797.1, XP_039323800.1, XP_010334935.1, XP_010334936.1, XP_039323801.1
OG0000086	XP_003419385.1	XP_039318297.1
OG0000086	XP_023409299.1, XP_023409300.1	XP_003929141.1
OG0000086	XP_023409301.1	XP_039332666.1
OG0000087	XP_023403955.1, XP_010588626.1, XP_023403956.1, XP_023403982.1, XP_010588735.1, XP_010588627.2	XP_003927726.3, XP_003927728.1, XP_003927727.1
OG0000088	XP_023414947.1	XP_039336522.1, XP_039336525.1, XP_039336523.1, XP_039336521.1
OG0000089	XP_003423294.1, XP_003422403.1, XP_003423533.1, XP_003423709.1, XP_003423754.1, XP_003422671.1, XP_003422672.1, XP_003423690.1, XP_003423774.1, XP_023397300.1, XP_003423296.1, XP_010599937.1, XP_010600253.1, XP_003423691.2, XP_003423295.1, XP_003423756.3, XP_023397304.1, XP_003422391.1, XP_003423718.2, XP_003423599.2, XP_003412110.1, XP_003412111.1	XP_003920486.2
OG0000090	XP_010594360.1, XP_010594361.1	XP_010329648.1
OG0000093	XP_010594545.1	XP_010329932.1
OG0000095	XP_003416351.1	XP_010329684.2
OG0000095	XP_003416349.1, XP_003416348.1, XP_003416347.1	XP_003943507.1
OG0000095	XP_003416350.1	XP_003943511.1
OG0000096	XP_003406307.2	XP_010335039.2
OG0000096	XP_003417893.1	XP_039318544.1
OG0000099	XP_010589883.1	XP_039335344.1
OG0000100	XP_010591477.1	XP_039330327.1, XP_039330326.1
OG0000100	XP_003422537.1	XP_003934223.1, XP_010343016.1
OG0000101	XP_010599683.1	XP_010349156.1, XP_003940188.1
OG0000102	XP_003414225.1, XP_003414221.2, XP_023410885.1, XP_003415961.1, XP_003415958.1	XP_003931951.2, XP_003931955.1, XP_039324150.1, XP_003931957.1, XP_003931959.2, XP_003931963.1
OG0000103	XP_023404728.1, XP_023404730.1, XP_003410798.2, XP_003410652.1, XP_003410650.1	XP_003939107.1, XP_003939110.2, XP_039334774.1, XP_039334779.1
OG0000104	XP_010589616.1, XP_010589617.2, XP_023405166.1, XP_003411151.1, XP_003411149.1	XP_003943324.2, XP_010329420.2, XP_039330409.1
OG0000104	XP_023414212.1	XP_039330507.1, XP_003943302.2
OG0000105	XP_010593685.2	XP_039318127.1, XP_039318128.1
OG0000106	XP_023414383.1	XP_003930828.1
OG0000106	XP_023405554.1	XP_039323985.1
OG0000106	XP_023411596.1	XP_003934194.1
OG0000107	XP_010599187.1, XP_010599189.1, XP_010599188.1, XP_010599214.1, XP_010599185.1, XP_010599190.1, XP_010599195.1, XP_010599191.1, XP_010599192.1, XP_010599193.1, XP_010599194.1	XP_010332917.2
OG0000108	XP_023396044.1	XP_010345593.1, XP_039325580.1
OG0000109	XP_003407595.1	XP_003925465.1
OG0000109	XP_003407916.1	XP_010329964.2
OG0000109	XP_003407920.1, XP_003407921.1	XP_003943899.2, XP_010330044.2
OG0000110	XP_023411919.1	XP_003929179.1
OG0000110	XP_023411883.1	XP_003929189.1, XP_039331915.1
OG0000110	XP_023412142.1, XP_023412134.1	XP_039332486.1
OG0000111	XP_010598278.1, XP_023395165.1, XP_003420482.1, XP_003420485.1, XP_003420483.1, XP_003420484.1, XP_010598279.1	XP_039317041.1, XP_039317022.1
OG0000113	XP_003422081.1, XP_003414877.1, XP_003414879.1	XP_003944326.2, XP_010330481.1, XP_010330485.1, XP_010330484.1, XP_010330482.1, XP_003944318.1, XP_010330483.1, XP_010349174.1, XP_003940208.1
OG0000114	XP_003406146.1, XP_003406145.1, XP_010600572.1	XP_003925650.1
OG0000114	XP_003406147.1	XP_003925649.1
OG0000115	XP_010594619.1	XP_010348067.1, XP_003939159.1
OG0000115	XP_003421242.1	XP_039320196.1
OG0000116	XP_003404581.1	XP_039324253.1
OG0000118	XP_003407108.1	XP_039328588.1, XP_010344036.2, XP_039328584.1, XP_039328587.1, XP_039328583.1, XP_039328585.1, XP_039328586.1
OG0000119	XP_010587572.1, XP_003408964.1, XP_010587571.1	XP_010334972.1, XP_003930067.1, XP_039333853.1, XP_010338933.1, XP_010338936.1, XP_010338935.1, XP_010338934.1
OG0000120	XP_023411608.1	XP_003934288.1
OG0000121	XP_023406825.1, XP_023406828.1, XP_010590715.1, XP_023406823.1, XP_023406822.1, XP_010590713.1, XP_023406826.1, XP_023406824.1, XP_010590712.1, XP_010590714.1, XP_023406827.1	XP_010344410.1, XP_039317051.1
OG0000122	XP_023395590.1	XP_003937411.2
OG0000122	XP_010589125.1	XP_039323537.1, XP_003942212.1, XP_010328314.1, XP_039321049.1, XP_039318995.1, XP_039329947.1, XP_039320981.1, XP_039327395.1, XP_039335777.1, XP_039330610.1, XP_039320737.1
OG0000123	XP_003423694.1, XP_003423536.1, XP_023411882.1, XP_023412059.1, XP_003417047.3, XP_003423537.1, XP_003417050.1	XP_003933125.2
OG0000124	XP_010598490.2	XP_039331406.1, XP_010334463.2
OG0000124	XP_023397791.1	XP_039331473.1
OG0000124	XP_023397803.1	XP_010334417.2
OG0000124	XP_023397802.1	XP_003920544.2
OG0000125	XP_023409170.1	XP_003942839.2
OG0000125	XP_003414778.1, XP_003414508.1, XP_023409451.1	XP_039332456.1, XP_039332455.1, XP_010328942.2
OG0000125	XP_003414509.1	XP_003942837.1
OG0000127	XP_023404329.1, XP_010588794.1, XP_023404330.1	XP_010338390.1, XP_003929523.1
OG0000128	XP_023411501.1	XP_003927334.1
OG0000128	XP_023411461.1	XP_003927335.1
OG0000128	XP_023411499.1	XP_003945327.2, XP_010336299.1
OG0000128	XP_003416479.1, XP_003416519.3	XP_003927336.1
OG0000129	XP_003404183.1, XP_003404480.1	XP_039323474.1, XP_039323473.1, XP_039331471.1, XP_039323475.1, XP_039323809.1
OG0000130	XP_003421545.1, XP_003421542.1	XP_003923415.2
OG0000130	XP_003421541.1	XP_003923416.1
OG0000130	XP_003421543.1, XP_010599267.1	XP_003923414.2
