Orthogroup	Mus_musculus	Homo_sapiens
OG0000004	NP_835491.1, NP_835492.1, NP_783591.2, NP_835489.1, NP_835493.1	NP_066390.1
OG0000004	NP_835736.1	NP_254280.1
OG0000004	NP_038577.1	NP_003507.1
OG0000004	NP_835585.3	NP_778235.1
OG0000004	NP_808356.1	NP_808760.1
OG0000004	NP_783593.1	NP_003508.1
OG0000005	NP_667141.1	NP_473446.1
OG0000005	NP_666396.1	NP_001005519.2
OG0000006	XP_030110853.2	XP_024302798.1
OG0000008	NP_001277279.1	NP_001269444.1
OG0000008	NP_033592.2	NP_001129745.1
OG0000008	NP_001408747.1	NP_001275729.1
OG0000008	NP_067301.1, NP_001346164.1, NP_001038947.1	NP_001191385.1, NP_066986.1
OG0000008	NP_001276518.1	NP_057349.2, NP_008887.2
OG0000008	NP_035888.2	NP_001310956.1, NP_001121695.1, NP_001277137.1, NP_001277138.1, XP_011531546.1
OG0000008	NP_082406.2, XP_006504688.1, NP_766351.3	XP_047298751.1, NP_001310955.1, NP_001277139.1, NP_001310957.1
OG0000008	NP_001355257.1	XP_016878441.1
OG0000010	XP_017174101.1, NP_667184.2	NP_001005275.2
OG0000010	NP_667001.1	NP_001005272.3, NP_001005274.1
OG0000010	NP_667194.1	NP_001005512.2
OG0000011	NP_444373.1	NP_061992.3, NP_061753.1
OG0000011	NP_444370.1	NP_061763.1
OG0000011	NP_444357.1	NP_061759.1
OG0000011	NP_444375.2	NP_061757.1
OG0000011	NP_444374.2	NP_061754.1, NP_061755.1
OG0000011	NP_444358.2	NP_061760.2
OG0000011	NP_444371.3	NP_061993.3, NP_061756.1
OG0000011	NP_444372.2	NP_066008.2
OG0000011	NP_444360.1, NP_444364.3, NP_444362.3	NP_061761.1
OG0000011	NP_444368.1	NP_001290074.1, NP_061762.2
OG0000011	NP_444363.1, NP_444361.1, NP_444365.1, NP_444359.3, NP_444366.3, NP_444367.1	NP_056484.2
OG0000011	NP_444377.3	NP_061758.1
OG0000012	NP_776144.1	NP_775970.2
OG0000012	XP_006527991.1, NP_001094920.1	NP_001373794.1, XP_011543815.1, NP_002356.2
OG0000012	NP_001028664.2	XP_011543814.1, NP_002355.2, NP_002358.1, NP_803134.1, NP_002354.2, NP_796379.1
OG0000013	NP_001011824.1, NP_001011823.1	NP_001001958.1
OG0000013	NP_997028.1	NP_001005193.2
OG0000014	NP_666291.2	NP_060349.1
OG0000014	NP_033603.2	NP_001010879.2
OG0000015	NP_666770.1, NP_666769.1, NP_666772.1	XP_047294550.1
OG0000016	NP_034637.1, NP_996754.1, NP_032362.2, NP_032360.2, NP_996753.1, NP_996858.1, NP_796335.1, NP_996750.1, NP_034632.2, NP_034635.2, NP_032359.2, NP_034634.1, NP_034633.2, NP_796321.1	NP_002160.1, NP_066282.1, NP_076918.1, NP_008831.3, NP_002163.2, NP_002164.1, NP_066401.2, NP_067091.1, NP_002162.1, NP_066546.1, NP_002166.2, NP_000596.2, NP_002161.2
OG0000017	NP_667071.1	NP_001357568.2
OG0000017	NP_667152.1, NP_667153.1	NP_036495.1
OG0000018	NP_032237.1	NP_002098.1, NP_001365976.1, NP_001365975.1, NP_001365972.1
OG0000018	NP_835734.2, NP_783584.1	NP_066403.2
OG0000018	NP_038576.1	NP_001005464.1
OG0000018	NP_835514.1	NP_066298.1, NP_003521.2, NP_003526.1, NP_001368928.1, NP_003525.1, NP_003524.1, NP_001363866.1, NP_003520.1, NP_003523.1, NP_003527.1, NP_003528.1
OG0000018	NP_001304932.1	NP_003484.1
OG0000019	NP_666514.2	NP_001005504.1, NP_001005224.1, XP_016857897.1, NP_001395315.1, NP_001005221.2, NP_001005277.1
OG0000019	NP_666660.1	NP_001005326.1
OG0000020	XP_006539695.1, NP_035220.2, NP_001160144.1, NP_001371139.1, XP_006539491.1, NP_035219.2, XP_036008671.1, NP_001357997.1, XP_036008674.1, NP_001344323.1, XP_006539697.1	NP_001291386.2, NP_001347096.1, NP_001307889.1, NP_036408.4, NP_001277199.1, NP_006857.2, NP_001124389.2, XP_047294068.1, NP_001277200.1, XP_047294036.1, NP_001075106.2, NP_005865.3, NP_001265333.2, NP_006854.1, NP_006856.3
OG0000020	XP_006539826.1, NP_001074708.2	NP_871714.1, NP_067073.1
OG0000021	NP_666402.2	NP_112208.1
OG0000022	NP_291065.3	NP_061740.2
OG0000022	NP_291072.1	NP_061737.1
OG0000022	NP_291073.1	NP_003726.1
OG0000022	NP_291067.1	NP_061742.1
OG0000022	NP_291068.2	NP_061743.1
OG0000022	NP_291070.1	NP_061744.1
OG0000022	NP_291069.1	NP_114477.1
OG0000022	NP_291071.1	NP_061736.1
OG0000022	NP_291066.1	NP_061741.1
OG0000022	NP_291062.1	NP_061735.1
OG0000022	NP_291063.1	NP_061738.1
OG0000022	NP_291064.1	NP_061739.2
OG0000023	NP_001104528.1, XP_006540653.1, XP_036008866.1, NP_848821.2	NP_001763.3, XP_011525833.1
OG0000023	NP_112458.2, XP_006541381.1	NP_443729.1, NP_201586.1, NP_055200.1, XP_011525023.1, XP_011525036.1, NP_055257.2, NP_001185487.1, XP_011525034.1
OG0000024	NP_666650.1, NP_667041.2, NP_666958.1, NP_666957.1	NP_001002905.1, NP_001005198.2
OG0000026	NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1	NP_001164491.1, NP_689636.3, XP_011529158.1
OG0000027	NP_033473.1	XP_047301630.1
OG0000027	NP_033474.1	NP_116093.1
OG0000027	NP_059075.1	NP_061816.1
OG0000027	NP_001029051.2	NP_079079.1
OG0000027	NP_033475.1	NP_525125.2, NP_005992.1
OG0000027	NP_035783.1	NP_001257328.1
OG0000028	NP_001011841.1, NP_666786.1, NP_666906.1, NP_001011840.1, NP_666414.1, NP_666902.1	NP_001005469.1
OG0000028	NP_666916.1	NP_001005566.1
OG0000029	NP_667211.2, NP_667212.2	NP_001004737.1, NP_001004736.2
OG0000029	NP_667210.2, NP_001011662.2, NP_667208.2	NP_001005517.1
OG0000029	NP_667207.2, XP_030104978.1, NP_667213.2, NP_667209.1	NP_001005516.1
OG0000031	NP_001011789.1	NP_001004492.1
OG0000031	NP_001011820.1, NP_666754.2	NP_149046.2
OG0000031	NP_666753.2	NP_036499.1
OG0000032	NP_619603.1	NP_061729.1
OG0000032	NP_001167625.1, NP_031792.1	NP_061730.1
OG0000032	NP_001288188.1, NP_034087.2, NP_957695.1	NP_061733.1, NP_114063.1
OG0000032	NP_034089.1	NP_061731.1
OG0000032	NP_473413.1	NP_061723.1
OG0000032	NP_932785.1	NP_061728.1
OG0000032	NP_001288185.1, NP_031793.2	NP_061732.1, NP_061734.1
OG0000032	NP_619602.1	NP_061724.1
OG0000032	NP_034090.1	NP_061725.1
OG0000032	NP_619604.1	NP_061727.1
OG0000033	XP_030101751.1, NP_001346741.1	XP_005257047.1, NP_009192.2
OG0000033	XP_006533136.1, NP_742047.1	NP_852114.2
OG0000033	NP_001334580.1, NP_954691.3	NP_777552.3, XP_005257084.1
OG0000033	NP_001162624.1, XP_017170043.1	XP_047291363.1, NP_620587.2
OG0000034	NP_001160200.1, NP_598934.1, NP_598933.1, NP_598930.1, NP_001160192.1, NP_598929.1, NP_598927.1, NP_598926.1, NP_598928.1, NP_001160191.1, NP_598931.1, NP_444467.2, NP_001095049.1, XP_017176828.1, XP_017176912.1, NP_598938.1, NP_444468.2, NP_598940.1, NP_598939.1, NP_444466.2, NP_444465.2, XP_006505735.1, NP_598937.1, XP_017176915.1, NP_598945.2, NP_444462.1, NP_001095003.1, NP_602318.2, NP_598932.1, NP_001160201.1, NP_598948.1, NP_001160182.1, NP_444461.2, NP_598946.2, NP_598936.1, NP_598935.2, NP_444463.2, NP_598944.1, NP_598943.1	NP_776257.1
OG0000035	NP_033738.1	NP_001393411.1
OG0000035	NP_033736.1, NP_001258970.1	NP_001091.1
OG0000035	NP_031418.1	NP_001135417.1
OG0000035	NP_031419.1	NP_001092.1
OG0000035	NP_033739.1	NP_001186883.1, NP_001605.1
OG0000035	NP_780706.1	NP_001017992.1
OG0000035	NP_033740.2	NP_001606.1
OG0000036	NP_082365.1, XP_006527418.1	NP_000763.1
OG0000038	NP_666801.2, NP_997557.2, NP_997018.2, NP_666521.2, NP_666520.2, NP_667057.2, NP_667223.1	NP_001005202.1
OG0000039	NP_076205.1	NP_821080.1
OG0000039	NP_033476.1	NP_001060.1
OG0000039	NP_035785.1	NP_821133.1
OG0000039	NP_666228.1	NP_006079.1
OG0000039	NP_033477.2	NP_001276052.1
OG0000039	NP_075768.1	NP_006077.2
OG0000039	NP_001074440.1	XP_016883574.1, NP_110400.1
OG0000039	NP_080749.2	NP_001290453.1
OG0000041	NP_001355135.1, NP_666478.1	NP_001004747.2
OG0000041	NP_666803.1, NP_666802.2, NP_861539.2, XP_006499622.1, NP_666941.2	NP_001004746.2
OG0000042	NP_780740.2, NP_001030040.2, NP_991379.3, NP_997421.1, NP_991364.1	NP_001290544.1, NP_473371.1
OG0000042	NP_001275730.1, NP_705744.2, NP_694707.2, NP_694735.2, NP_001371138.1, NP_001368930.1, NP_997423.1	NP_001380507.1, NP_671732.3, NP_473372.3, NP_001357393.1, NP_473373.2
OG0000043	NP_666422.1, NP_666708.1, NP_666948.1, NP_666949.1, NP_666946.1, NP_666709.1, NP_666707.1, NP_001011811.1, NP_001011810.2, NP_666943.1, NP_666710.1, NP_666944.1, NP_666419.2, NP_666476.1, NP_666423.1, NP_666954.1, NP_666637.1, NP_666636.1, NP_001011871.1, NP_666950.1, NP_666945.1	NP_703145.1
OG0000044	NP_291074.1	NP_001029249.1, NP_778224.1
OG0000044	NP_835582.1	NP_003529.1
OG0000044	NP_783585.1, NP_694813.1	NP_003533.1
OG0000044	NP_835500.1	NP_003535.1
OG0000044	NP_001182350.1	NP_003536.1
OG0000044	NP_835499.1	NP_003534.1
OG0000045	NP_001093105.1, XP_006532475.1	XP_011522172.1, NP_002461.2
OG0000045	NP_001074719.1	NP_003793.2
OG0000045	XP_036012291.1, NP_796343.2	NP_002463.2
OG0000045	NP_034985.2	NP_060003.2, XP_016880165.1
OG0000048	NP_031701.3, XP_030098465.1	XP_016881688.1, NP_001349424.1, NP_001806.2
OG0000048	NP_036057.1	NP_001091976.3, XP_016882919.1
OG0000048	NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1	XP_011525292.1, NP_002474.4, XP_011525508.1, NP_001807.2, XP_011524642.1, XP_011525288.1, XP_011525428.1, NP_001106881.1, NP_002776.3, NP_112536.2, XP_005259122.1, NP_002772.3, XP_016882492.1, NP_001123486.1, NP_001123640.1, NP_001193579.1, NP_002774.2, XP_047295059.1, NP_002771.2, NP_001027020.1, NP_002773.1, XP_016882496.1, NP_002775.3, NP_066296.2, NP_001284702.1, NP_001123639.1, NP_874366.1, XP_016881634.1, NP_001278413.1, NP_001703.2
OG0000049	NP_065063.1	NP_003804.2
OG0000049	NP_787953.2	NP_001265056.1, NP_001265055.1, XP_011529858.1, NP_001124175.1, NP_001124177.1, NP_001124176.1, NP_055084.3, NP_001265054.1
OG0000050	NP_996786.1	NP_001004451.1
OG0000050	NP_666838.1	NP_473448.1, XP_024303284.1, NP_001004452.1
OG0000051	NP_034061.2	NP_001836.3
OG0000051	NP_031760.2, XP_036013028.1	XP_005246334.1, NP_000082.2
OG0000051	NP_034062.3	NP_001837.2
OG0000051	XP_011246185.1, NP_444415.2	NP_001274687.1, XP_006724680.1
OG0000051	XP_011236954.1, NP_031761.1	XP_005246338.1, NP_000083.3
OG0000051	XP_006528759.1, NP_001156627.1	XP_011529151.2, NP_203699.1
OG0000052	NP_001157093.1	NP_085144.1, XP_011528694.1
OG0000052	XP_030104641.1, NP_776104.1, NP_001162131.1, NP_776147.1, NP_001156355.1, NP_001402939.1, NP_001402942.1, NP_001402940.1, NP_001402941.1, NP_001344825.1, XP_006520997.3, NP_001075439.1, NP_001344824.1, XP_011244068.1, NP_001158112.1, NP_083695.2, XP_006520340.1, NP_780600.1, NP_001128274.1, XP_011244013.1, NP_001020019.2	NP_663612.2, XP_011528379.1, NP_112092.2, NP_001130013.1, NP_001349856.1, NP_003652.2, NP_001130012.1, NP_663318.1, NP_663615.1, XP_047297460.1, NP_663693.1
OG0000053	XP_011244468.1, XP_006523200.2, XP_006523187.1, XP_006523182.1, NP_001365591.1, XP_006523197.1, XP_006523192.1, XP_006523195.1, XP_030105245.1, XP_030105227.1, XP_030105247.1, NP_001344928.1, XP_030105249.1, XP_030105240.1, XP_006523186.1, XP_006523199.1, XP_006523198.1, XP_006523183.1, XP_006523185.1, NP_034804.1, XP_006523188.1, XP_006523181.1, NP_001157087.1, XP_030105235.1, XP_006523193.1	NP_853647.1
OG0000053	XP_030105238.1	NP_853651.1
OG0000054	XP_030108264.1, NP_001396544.1	NP_001358691.1, XP_047289901.1
OG0000055	NP_064687.2, NP_666984.1	NP_703146.1
OG0000056	NP_997023.1, NP_666435.1, NP_001011761.1, NP_001011804.1, XP_011237863.1	NP_001001920.2
OG0000057	XP_017174374.2, XP_036011217.1, XP_036011223.1, NP_001013839.1	XP_047302368.1, NP_009168.4
OG0000057	NP_084470.1, XP_006529132.1, XP_036011762.1, XP_036018110.1, XP_011248127.1, NP_780606.3	NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3
OG0000057	NP_001359160.1	NP_001073860.1
OG0000058	NP_001263422.1, XP_006511699.1, NP_001263411.1, NP_001263415.1, NP_001263414.1, NP_001263410.1, NP_034147.1, NP_001263421.1	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2
OG0000059	XP_017172475.1, NP_666990.2, NP_001011791.1, NP_001011807.2, NP_666434.2, NP_666509.2, NP_666433.1, NP_666696.2, XP_017172474.1	NP_001005482.2, NP_001005515.1, NP_001005338.1, NP_001005514.1, NP_001005479.2
OG0000060	NP_064410.1, NP_001397567.1, NP_001397566.1, XP_036019016.1	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1
OG0000061	NP_084235.1, XP_017174827.1	NP_001380590.1
OG0000062	NP_001186233.1, NP_001186234.1, XP_011242683.1, NP_033150.2	NP_000323.2
OG0000063	NP_001163872.1, NP_848860.1, NP_001351820.1, XP_006515972.1, NP_001351821.1	NP_001335475.1, NP_001335476.1, XP_047286992.1, NP_001335472.1, NP_872332.1, NP_001335471.1, NP_001335473.1, NP_001335478.1, NP_001335477.1, NP_001335470.1
OG0000064	NP_001408048.1, NP_001408050.1, NP_001153028.1, NP_001408047.1, NP_001153030.1, NP_001408049.1, NP_001153029.1, NP_031669.3, NP_001153027.1, XP_006535686.1	NP_000063.2
OG0000065	NP_033108.1, NP_001311462.1, XP_006511723.1, NP_001311463.1, XP_036010295.1, XP_036020498.1, XP_036016113.1, XP_036017248.1, XP_036015591.1, XP_030099758.1	NP_000983.1
OG0000066	XP_036018682.1, XP_036014184.1, XP_036021533.1, NP_001395918.1, NP_001395917.1, NP_062621.2, XP_036013010.1, XP_036011071.1	NP_000973.2
OG0000067	NP_001011531.3, NP_997036.2, NP_667090.1, NP_001011861.3, NP_666713.2, NP_997578.1	NP_001004694.2, NP_001004697.1, NP_001004696.2, NP_001004693.1
OG0000068	NP_666899.1	NP_001004729.1
OG0000069	NP_780707.1, XP_006519052.1	XP_011542667.1, NP_009188.1
OG0000069	XP_011245927.1, NP_001093931.1	NP_443158.1, NP_001096620.1, NP_001171853.1, XP_016884741.1, NP_001096621.1
OG0000069	NP_694809.1	NP_037496.4
OG0000069	NP_081714.2	NP_006020.4
OG0000069	NP_001136409.1, NP_071718.1	NP_071434.2
OG0000070	XP_036019590.1	NP_001338394.1, NP_001338407.1, NP_001372622.1, NP_001338406.1, NP_001164668.1, NP_001164666.1, NP_001372623.1, NP_001338393.1, NP_001372630.1, NP_001372624.1
OG0000070	NP_001408084.1, NP_001408087.1, NP_001156869.1, NP_001408082.1, NP_001408085.1, NP_001408094.1, NP_001408096.1, NP_001408088.1, NP_034618.2, XP_006502857.1, NP_001408095.1, NP_001408093.1, NP_001408081.1, NP_001408086.1, NP_001033787.1, NP_001408091.1, NP_001408090.1	XP_011539191.1
OG0000071	NP_001106186.1, NP_081096.3, NP_001347656.1, NP_001347657.1, NP_001257647.1, NP_079654.1, XP_030098981.1, NP_109619.1	NP_066362.2, NP_006426.2
OG0000072	XP_011245661.1, NP_082595.1	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1
OG0000074	NP_001290168.1, NP_001290160.1, NP_032061.1	NP_001107007.1, NP_001107008.1, NP_000794.3, NP_001107006.1, XP_005273913.1
OG0000074	NP_001399363.1, NP_001399368.1, NP_001399365.1, NP_001239483.1, NP_001399364.1, NP_001399362.1, NP_001399360.1, NP_001399366.1, NP_032060.2, NP_001399367.1, NP_001239481.1, NP_001399358.1, XP_006507427.1, NP_001239482.1, NP_001399357.1, NP_001399359.1, NP_001399361.1	NP_000793.1, NP_057941.1, NP_057936.1, NP_057937.1
OG0000075	XP_017173961.1, NP_001078975.1	NP_066386.3, NP_001238757.2, NP_001011543.3
OG0000076	NP_291054.1	NP_003727.1
OG0000076	NP_291055.1	NP_061748.1
OG0000076	NP_291057.1	NP_061750.1
OG0000076	NP_291056.1	NP_061749.1
OG0000076	NP_291052.3	NP_061745.1
OG0000076	NP_291053.1	NP_061746.1
OG0000077	NP_444493.1, NP_001346900.1	NP_001382099.1
OG0000077	NP_666242.2, NP_932758.1	NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1, NP_001317180.1, NP_001317179.1
OG0000077	NP_034577.1	NP_002127.1
OG0000077	NP_001034218.1	NP_112420.1
OG0000078	NP_035521.1, NP_001345425.1, NP_001345844.1, XP_006513469.1	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1
OG0000079	NP_001103619.1, NP_001103620.1, XP_006532461.1, NP_001103618.1, NP_034924.3	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1
OG0000080	NP_080916.1	NP_001361795.1, NP_001361787.1, NP_001361786.1, NP_001361793.1, NP_001361796.1, NP_001299838.1, NP_001299840.1, NP_001361784.1, NP_001361779.1, NP_001361789.1, NP_001361782.1, NP_071357.2, NP_001299839.1, NP_001361790.1, NP_001361798.1, NP_001135991.1, NP_001135992.1, NP_001361799.1, NP_001361783.1, NP_001361785.1, NP_001361788.1, NP_001361733.1, NP_001361794.1, NP_001361777.1, NP_001361780.1, NP_001356386.1, NP_001361792.1, NP_942144.1, NP_001361781.1, NP_001135993.1, NP_001361778.1, NP_001361791.1, NP_001361797.1
OG0000081	XP_006539346.1, NP_084224.1	NP_001139816.2, XP_011539781.1, NP_001009611.2, NP_001091846.1, NP_001287820.1, NP_001010890.2, NP_001297063.1, NP_001293001.1, NP_001010889.1, NP_001013425.2, NP_001093322.2, XP_016856758.1, NP_001012277.2, NP_001012276.2, NP_001074299.2
OG0000082	NP_001191963.1	NP_941968.2
OG0000084	NP_001357555.1, NP_001171137.2, NP_001034333.3, NP_001357556.1	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1
OG0000085	NP_667036.2, NP_001011748.1, NP_666451.1	NP_001005191.1
OG0000086	XP_006499529.1, NP_001005342.1	NP_659445.1, XP_047282487.1, NP_001350416.1
OG0000086	NP_001366222.1, NP_001366224.1, NP_001366223.1, NP_079623.1	NP_113665.3
OG0000086	NP_001005341.1	XP_047297311.1, NP_037445.1, NP_001005404.1, XP_016880110.1
OG0000087	NP_034801.1, NP_081446.1, XP_030105222.1, NP_473441.1, NP_899012.1, NP_081431.1	NP_853631.1, NP_853630.2, NP_853652.1
OG0000087	NP_038741.1	NP_853655.1, NP_853654.1
OG0000088	NP_001258622.1, NP_001258624.1, NP_001258620.1, NP_062638.1, NP_001034145.1, NP_001258618.1, XP_006523005.1, NP_001258619.1, NP_001034146.1, NP_001258623.1, NP_001258621.1, NP_001258616.1	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1
OG0000089	NP_001011834.1, NP_666851.2, NP_666850.1, NP_666848.1, NP_666871.2, NP_667047.1, NP_666849.1, NP_666869.2, NP_996559.1, NP_666405.1	NP_001001960.1
OG0000090	NP_001390709.1, NP_001390712.1, NP_001390707.1, NP_001390715.1, NP_001390708.1, NP_001390710.1, NP_001390711.1, NP_001390714.1, NP_001390694.1, NP_001390699.1, NP_001390696.1, NP_001390693.1, NP_001390698.1, NP_001390695.1, NP_001390697.1, NP_001390701.1, NP_001390700.1, NP_001390705.1, NP_061370.2, NP_001390716.1, NP_001390719.1, NP_001390718.1, NP_001390713.1, NP_001185823.1, NP_001390717.1, XP_017168066.1	NP_001277071.1, NP_005673.3, NP_001357361.1, NP_001139243.1, NP_001357358.1, NP_001357357.1, NP_001357360.1, NP_001357359.1, NP_001357363.1, XP_005256294.1, NP_001357362.1, NP_001139245.1, NP_001357370.1, NP_958932.1, NP_958933.1, NP_001357369.1, NP_001357368.1, NP_001139242.1, NP_001357364.1, NP_001139244.1, NP_001357365.1, NP_001357383.1, NP_001357380.1, NP_001277072.1, NP_001357382.1, NP_001277073.1, NP_001357371.1, NP_001357367.1, NP_001357366.1, NP_001139246.1
OG0000093	XP_017176645.1	NP_001165415.1, NP_001354564.1, NP_001354587.1, NP_001354619.1, NP_001354629.1, NP_001354604.1, NP_001354569.1, NP_001354571.1, NP_079430.3, NP_001354615.1, NP_001354605.1, NP_001354627.1, NP_001354570.1, NP_001354603.1, NP_001354606.1, NP_001354621.1, NP_001354597.1, NP_001354596.1, NP_001354574.1, NP_001354618.1, NP_001354624.1, NP_001354637.1, NP_001354568.1, NP_001354608.1, NP_001354578.1, NP_001354576.1, NP_001354580.1, NP_001354622.1, NP_001354572.1, NP_001354633.1, NP_001354631.1, NP_001354577.1, NP_001354567.1, NP_001354598.1, NP_001354582.1, NP_001354594.1, NP_001354601.1, NP_001354623.1, NP_001354563.1, NP_001354562.1, NP_001354617.1, NP_001354573.1, NP_001354630.1, NP_001354589.1, NP_001354609.1, NP_001354600.1, NP_001354599.1, NP_001354591.1, NP_001354612.1, NP_001124437.1, NP_001354593.1, NP_001354614.1, NP_001354625.1, NP_001354626.1, NP_001354634.1, NP_001354607.1, NP_001354565.1, NP_001354611.1, NP_001354635.1, NP_001354632.1, NP_001354628.1, NP_001354620.1, NP_001354575.1, NP_001354602.1, NP_001354610.1, NP_001354613.1, NP_001354584.1, NP_001354595.1, NP_001354616.1, NP_001165416.1, NP_001165417.1, NP_001354566.1
OG0000095	NP_032657.1	NP_116324.2
OG0000095	NP_038631.1	NP_005945.1
OG0000095	NP_038630.1, XP_006530815.1	NP_005937.2, NP_005938.1, NP_005942.1, NP_005940.1, NP_005944.1
OG0000095	XP_036019391.1	NP_005943.1
OG0000096	NP_035589.1	NP_002631.3, NP_001353127.1, NP_942130.1, NP_001335296.1, NP_001027018.1, NP_001335298.1, NP_001335297.1, NP_001263419.1, NP_001335299.1
OG0000096	NP_683744.2, NP_001369781.1, XP_036014126.1, NP_035584.1, XP_006516684.1, NP_001157590.1, NP_033280.1, NP_001230121.1, XP_011242601.1, NP_001157589.1	NP_001258754.1, NP_004559.4, NP_001361445.1, NP_001284629.1, NP_001284628.1, NP_001258753.1, NP_001361444.1, NP_001182220.2, XP_011512974.1, NP_001258752.1, NP_001258751.1, NP_001361446.1
OG0000099	XP_006535434.1, NP_001166930.1, NP_001166931.1, XP_006530146.1, NP_001002898.1	XP_011527588.1, NP_061026.2, NP_001129316.1, XP_005260698.1
OG0000099	XP_006535548.1, NP_001075156.1, XP_006530155.1, NP_001070147.1	NP_001397731.1, XP_047295839.1
