Orthogroup	Mus_musculus	Rattus_norvegicus
OG0000006	XP_036020530.1, XP_011237194.2	XP_063132126.1, XP_063129896.1, XP_063138877.1, XP_063142959.1, XP_038956440.2
OG0000006	XP_036018054.1	XP_063133756.1
OG0000007	NP_598961.1	NP_001009510.1
OG0000007	NP_598953.1	NP_001008907.1
OG0000007	NP_598956.3, NP_598952.1	NP_001009512.1
OG0000007	NP_598954.2	XP_017446036.1
OG0000007	NP_598951.1	NP_001008905.1
OG0000007	NP_598955.1	NP_001009514.1, NP_001009526.2
OG0000007	NP_001160207.1	XP_038952937.1, XP_038952929.1, XP_038952945.1
OG0000007	NP_598991.2, NP_665841.1, NP_001165543.1, NP_598990.2	NP_001008946.1, NP_001008952.1, XP_063136835.1, NP_001008953.1
OG0000007	NP_665847.1	XP_038953067.1, NP_001395759.1
OG0000007	NP_598992.1, NP_001161012.1	XP_038953164.1
OG0000007	NP_598989.1	NP_001009511.1
OG0000008	NP_001277279.1	XP_063143134.1, NP_478116.2, XP_063117366.1, XP_063117412.1
OG0000008	NP_033592.2	XP_017457697.2
OG0000008	NP_001408747.1	XP_008757447.1, XP_008757448.1, XP_017445996.1
OG0000008	NP_067301.1, NP_001346164.1, NP_001038947.1	XP_006248929.1, NP_001178593.1
OG0000008	NP_001276518.1	XP_221917.5, NP_001414121.1
OG0000008	NP_035888.2	NP_001100474.2
OG0000008	NP_082406.2, XP_006504688.1	NP_001163875.1, XP_038945496.1
OG0000008	NP_766351.3	XP_063122443.1, XP_008764233.1
OG0000008	NP_001355257.1	NP_001020936.1, XP_063134265.1
OG0000009	NP_001108547.1, XP_030105660.1	NP_001161825.1
OG0000009	NP_034521.1, NP_034522.2, XP_011244602.1, NP_034520.2, NP_001355671.1, NP_001411251.1, NP_001411253.1, NP_001411252.1, NP_001411248.1, NP_075613.3, NP_001411249.1, NP_997531.1, NP_001355670.1, NP_001188389.1, NP_034524.3, NP_001137161.1, XP_017173254.1, NP_001357747.1, XP_006524864.1, NP_001074501.2, NP_001390291.1, XP_006523736.1, NP_034510.3	NP_001008834.1, XP_063135479.1, NP_001008845.1, NP_001008841.1, XP_038954892.1, XP_063135474.1, NP_001008838.1, NP_001008836.1, XP_063135475.1, XP_038954887.1, NP_001008842.1, NP_001008839.1, XP_063135491.1, XP_063135177.1, NP_001029158.1, XP_063135032.1, NP_001008827.1, XP_063135457.1, NP_001008833.1, XP_063135487.1, NP_001008830.1, XP_038954604.1, NP_001008840.1, NP_001008832.1, XP_038954582.1, XP_063135164.1, NP_001008835.1, NP_001008829.1, XP_063135035.1
OG0000010	XP_017174101.1, NP_667184.2	NP_001000513.1, NP_001001064.1
OG0000010	NP_667181.1	XP_038962000.1, NP_001000627.1
OG0000010	NP_667177.2	NP_001000571.1
OG0000010	NP_667176.1, NP_997451.1	NP_001000625.1, NP_001000360.1
OG0000010	NP_667002.2	NP_001000623.1
OG0000010	NP_001011796.2, NP_001011529.1, NP_666485.1	NP_001000923.1, NP_001000622.1, NP_001000624.1
OG0000010	NP_666687.1	NP_001000361.1
OG0000010	XP_017173903.1, NP_666666.1	NP_001000626.1, XP_038961551.1
OG0000010	NP_667003.2	NP_001001066.1
OG0000010	NP_666999.2	NP_001001065.1
OG0000010	NP_667001.1	NP_001000359.1
OG0000010	NP_667019.1	XP_230251.8, XP_038962510.1
OG0000010	NP_667179.1	NP_001000570.1
OG0000010	NP_667180.1	NP_001001378.1
OG0000010	NP_667194.1	NP_001001067.1
OG0000011	NP_444373.1	NP_001395834.1
OG0000011	NP_444370.1	XP_001055818.2
OG0000011	NP_444357.1	NP_001102593.2
OG0000011	NP_444375.2	NP_001102865.1
OG0000011	NP_444376.1	NP_001108076.1
OG0000011	NP_444374.2	NP_001395838.1
OG0000011	NP_444358.2	NP_001014783.1
OG0000011	NP_444371.3	NP_001014804.1
OG0000011	NP_444372.2	NP_001391845.1
OG0000011	NP_444360.1	NP_001108074.2
OG0000011	NP_444364.3	NP_001102860.1
OG0000011	NP_444362.3	NP_001395766.1
OG0000011	NP_444369.3	NP_001395668.1
OG0000011	NP_444368.1	NP_001395844.1
OG0000011	NP_444363.1	NP_001014779.1
OG0000011	NP_444361.1	NP_001014780.1
OG0000011	NP_444365.1	NP_001108075.1, XP_017456388.1
OG0000011	NP_444359.3	NP_001108073.1
OG0000011	NP_444366.3	NP_001395689.1
OG0000011	NP_444367.1	NP_775122.2
OG0000011	NP_444377.3	NP_001403744.1
OG0000012	NP_776144.1	NP_001037711.1, XP_063136102.1
OG0000012	XP_006527991.1, NP_001094920.1	XP_003752106.1
OG0000012	NP_112448.1, NP_034889.1, NP_032571.2	NP_001171154.1
OG0000012	NP_001028664.2	XP_038956259.1, XP_063136443.1, XP_063136444.1
OG0000013	NP_001011824.1, NP_001011823.1	NP_001000881.1
OG0000013	NP_666733.1	NP_001000433.1, NP_001000874.1
OG0000013	NP_666734.1	NP_001000876.1
OG0000013	NP_667117.1	XP_017451017.1, NP_001000432.1, NP_001000429.1
OG0000014	NP_666291.2	XP_006228239.1, XP_008757305.3, NP_001178549.1
OG0000014	NP_033603.2	XP_038956264.1
OG0000015	NP_666774.1	NP_001406638.1
OG0000015	NP_666770.1	NP_001000864.1
OG0000015	NP_666769.1	XP_017451703.1, NP_001000865.1, NP_001000867.1, NP_001001005.1
OG0000015	NP_666772.1	XP_038938790.1, XP_002729926.5
OG0000015	NP_666739.1	NP_001000434.1, NP_001000868.1, NP_001000984.1
OG0000015	NP_666737.2, NP_035131.1, NP_001012265.1	NP_001000871.1
OG0000015	NP_666773.1, XP_030100252.1	NP_001000870.1, NP_001000985.1
OG0000016	NP_996754.1, NP_032362.2, NP_032360.2, NP_996753.1, NP_996858.1, NP_796335.1, NP_996750.1, NP_034632.2, NP_034635.2, NP_032359.2, NP_034634.1, NP_034633.2	XP_063144747.1, NP_001396331.1, NP_001395994.1, NP_001014786.1, XP_063144748.1, NP_001258147.1, NP_001395778.1, XP_063144746.1, XP_063144647.1, XP_038967486.1, XP_038967487.1, XP_038967484.1, NP_001388886.1, XP_038967483.1, XP_038967485.1, XP_038967482.1, XP_038967481.1, XP_063144745.1, XP_038967480.1, XP_063144648.1, XP_003750010.2, NP_001100137.1, NP_001395977.1, NP_001395720.1
OG0000017	NP_667071.1	NP_999995.1
OG0000017	NP_001011863.1, NP_001349594.1, NP_035132.2	NP_001000038.1, NP_001001098.1
OG0000017	NP_667152.1	NP_001000387.1
OG0000017	NP_667153.1	NP_064491.1
OG0000017	NP_666404.1	NP_001000492.1
OG0000018	NP_032237.1	NP_001389155.1, NP_001389154.1
OG0000018	NP_835734.2, NP_783584.1	XP_063133017.1
OG0000018	NP_038576.1	XP_063133018.1
OG0000018	NP_835514.1	NP_001395691.1
OG0000018	NP_659539.1	NP_001013074.1
OG0000018	NP_001304932.1	NP_001103112.1
OG0000018	NP_001074488.1, NP_001357860.1	XP_063118698.1
OG0000019	NP_666953.1	NP_001000602.1, NP_001000580.1
OG0000019	NP_666661.2	XP_063141268.1, NP_001000915.1, NP_001000377.2
OG0000019	NP_001011787.1, NP_001011803.2	NP_001000606.1, NP_001000917.1
OG0000019	NP_997034.1	NP_001000375.1
OG0000019	NP_666474.1	NP_001000603.1
OG0000019	NP_666514.2	NP_001000579.1, NP_001000918.1, XP_017447455.1, NP_001000608.1
OG0000019	NP_666513.2	XP_017447447.1, NP_001000607.1
OG0000019	NP_666386.1	NP_001000604.1
OG0000019	NP_666660.1	NP_001000601.1, NP_001000376.1
OG0000020	XP_006539695.1, NP_035220.2, NP_001160144.1, NP_001371139.1, XP_006539491.1, NP_035219.2, XP_036008671.1, NP_001357997.1, XP_036008674.1	XP_003748759.1, NP_001406420.1, XP_063122326.1, XP_063137121.1
OG0000020	NP_001344323.1, XP_006539697.1	NP_001300853.1, XP_001076302.3, NP_113901.2
OG0000020	XP_006539826.1, NP_001074708.2	NP_001070261.1, XP_008757210.1
OG0000020	XP_036011513.1, NP_001278821.1, NP_032173.1, NP_038560.1	NP_001406335.1, XP_063139091.1
OG0000021	NP_666401.1, NP_666399.1, NP_666843.1	NP_001000509.1, NP_001001115.1
OG0000021	NP_001011753.2, NP_001013593.2, XP_011244764.1	NP_001000276.1, NP_001000887.1, NP_001000886.1, NP_001000271.1
OG0000021	NP_666489.1, NP_996552.1, NP_001011829.1, NP_667101.1	NP_001000274.1, NP_001000889.1, NP_001000273.1, XP_038954398.1, NP_001000275.1, NP_001000888.1
OG0000021	NP_666402.2	NP_001000557.1
OG0000022	NP_291065.3	XP_008770293.3
OG0000022	NP_291072.1	NP_001032230.1
OG0000022	NP_291073.1	NP_001032414.1
OG0000022	NP_291067.1	XP_038953329.1
OG0000022	NP_291068.2	NP_001014773.1
OG0000022	NP_291070.1	NP_001032235.1
OG0000022	NP_291069.1	NP_001032233.1
OG0000022	NP_291071.1	NP_001032212.1
OG0000022	NP_291066.1	NP_001032214.1
OG0000022	NP_291062.1	NP_001032217.1
OG0000022	NP_291063.1	NP_001032216.1
OG0000022	NP_291064.1	NP_001032231.1
OG0000023	NP_001104528.1, XP_006540653.1	XP_017445590.1
OG0000023	XP_036008866.1, NP_848821.2	NP_001388743.1
OG0000023	XP_036008858.1, NP_663556.1	XP_006229008.1, NP_001099719.2
OG0000023	NP_112458.2, XP_006541381.1	XP_056841157.1
OG0000024	NP_666650.1	NP_775152.2
OG0000024	NP_667041.2	NP_001000517.1, NP_001000518.1, NP_001000463.1
OG0000024	NP_666958.1	NP_001000800.1
OG0000024	NP_666957.1	NP_001000801.1, XP_063122016.1
OG0000024	NP_667037.1, NP_666822.1	NP_001000475.1, XP_063121153.1, XP_063121152.1, NP_001000472.1, XP_006243206.2
OG0000024	NP_001011826.1	NP_001000792.1, XP_017451293.1
OG0000024	NP_666820.2	NP_001001087.2, NP_001000471.1
OG0000024	NP_666651.1	NP_001000596.1
OG0000024	NP_666824.1, NP_666825.1	NP_001000599.1, XP_017451271.1, NP_001000473.1
OG0000026	XP_006528255.1, NP_001020555.2, XP_006528244.1, NP_001020554.1, NP_001092772.1, XP_006528185.1, XP_006528203.1, NP_001075139.1	XP_063136467.1, XP_063136477.1, XP_063136469.1, XP_063136468.1, XP_063136476.1, XP_017445661.2, NP_001395829.1
OG0000026	NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1	XP_006257363.1, NP_001102791.1
OG0000027	NP_033473.1	XP_063123300.1
OG0000027	NP_033474.1	NP_001011995.1
OG0000027	NP_059075.1	NP_001019510.1
OG0000027	NP_001029051.2	NP_001099588.1, XP_063132306.1
OG0000027	NP_033475.1, NP_033472.1	NP_001019507.1
OG0000027	NP_035783.1	NP_071634.1
OG0000027	NP_035784.1	NP_001037735.1
OG0000028	NP_001011841.1, NP_666786.1	XP_063126169.1, NP_001000756.1, NP_001001019.1
OG0000028	NP_666906.1	XP_003749122.1, NP_001000754.1
OG0000028	NP_001011840.1	XP_038952475.1
OG0000028	NP_666414.1	NP_001000556.1
OG0000028	NP_666902.1	NP_001396078.1
OG0000028	NP_666909.1	NP_001000252.1
OG0000028	NP_666908.2	NP_001396075.1
OG0000028	NP_666916.1	NP_001000255.1
OG0000029	NP_667210.2	NP_001000725.1
OG0000029	NP_001011662.2, NP_667208.2	NP_001001009.1, NP_001000049.1
OG0000029	NP_667207.2, XP_030104978.1	NP_001000046.1, NP_001000047.1
OG0000029	NP_667213.2	NP_001000045.1, NP_001000048.1
OG0000029	NP_667209.1	NP_001000531.1
OG0000030	XP_030110290.1	XP_063136707.1, XP_038956661.2, XP_063136720.1, XP_063136699.1, XP_063136698.1, XP_063136743.1, XP_063136718.1, XP_063136719.1, XP_063136717.1, XP_063136722.1, XP_063136721.1, XP_063136723.1, XP_063136668.1, XP_063136676.1, XP_063136675.1, XP_063136725.1, XP_063136716.1, XP_063136724.1, XP_063136681.1, XP_063136748.1, XP_063136747.1
OG0000030	NP_001357804.1	XP_063136701.1, XP_063136712.1, XP_063136713.1, XP_063136714.1, XP_063136715.1, XP_063136702.1, XP_063136693.1, XP_063136728.1, XP_063136686.1, XP_063136694.1, XP_063136700.1, XP_063136692.1, XP_063141231.1, XP_038962034.2, XP_063141219.1, XP_063141242.1, XP_063136754.1, XP_063136753.1, XP_063136682.1, XP_063140868.1, XP_063136745.1, XP_063136742.1, XP_063141225.1, XP_063141224.1, XP_063141236.1, XP_063136756.1, XP_063141250.1, XP_063141215.1, XP_063141245.1, XP_063126904.1, XP_063127027.1, XP_063141214.1, XP_063141247.1, XP_038962039.2, XP_063141260.1, XP_063141257.1, XP_063141255.1, XP_063127026.1, XP_063141232.1, XP_063127029.1, XP_063141243.1, XP_063141218.1, XP_063141261.1, XP_063141263.1, XP_063141256.1, XP_063141223.1
OG0000031	NP_667273.1	NP_001001110.1
OG0000031	NP_001011789.1	NP_001001097.1
OG0000031	NP_001011820.1, NP_666754.2	NP_068632.1
OG0000032	NP_001167625.1, NP_031792.1	NP_446385.1
OG0000033	NP_001355168.1, NP_598919.1	XP_038942577.1, NP_001161757.1, NP_001161756.1, XP_003751005.2, XP_002727889.3, XP_038942115.1, XP_038943721.1, XP_577143.3
OG0000033	XP_030101751.1, NP_001346741.1	XP_038942584.1, NP_001192277.1
OG0000033	XP_006533136.1, NP_742047.1	NP_001160049.1, XP_038942799.1
OG0000033	NP_001334580.1, NP_954691.3	NP_001161136.1
OG0000033	NP_001162624.1, XP_017170043.1	XP_017452644.1, NP_001020282.1
OG0000033	NP_663412.1, XP_030102331.1, NP_001095126.1, NP_001095127.1, NP_954671.1, XP_006533716.1, XP_006531943.1, XP_036012057.1	NP_001395662.1, XP_038943714.1, XP_017453231.1, NP_001189392.1
OG0000034	NP_001160200.1	NP_714951.2
OG0000034	NP_598934.1	XP_038964991.1, NP_001009515.1
OG0000034	NP_598933.1	XP_038964992.1, NP_001009529.1, NP_001009530.1, NP_001009528.1
OG0000034	NP_598930.1, NP_001160192.1, NP_598929.1, NP_598927.1, NP_598926.1, NP_598928.1, NP_001160191.1, NP_598931.1	XP_038964452.1
OG0000034	XP_017176912.1, NP_598938.1, NP_444468.2, NP_598940.1, NP_598939.1	NP_001009531.1
OG0000034	NP_444466.2	NP_001009519.1
OG0000034	NP_444465.2	NP_001009523.1
OG0000034	XP_017176915.1, NP_598945.2, NP_444462.1	NP_001395783.1, NP_001008970.1
OG0000034	NP_001095003.1, NP_602318.2	XP_038964445.2, NP_001008922.1, XP_038964989.1, XP_038964990.1
OG0000034	NP_598932.1, NP_001160201.1	XP_038964442.1
OG0000034	NP_598948.1, NP_001160182.1, NP_444461.2, NP_598946.2	NP_001008906.1
OG0000034	NP_598936.1, NP_598935.2	XP_038964435.1, NP_001008912.2
OG0000034	NP_598944.1	NP_001009513.1
OG0000034	NP_598943.1	NP_001009521.1
OG0000035	NP_033738.1	NP_062056.1
OG0000035	NP_033736.1, NP_001258970.1	NP_062085.1
OG0000035	NP_031418.1	NP_112266.1
OG0000035	NP_031419.1	NP_112406.1
OG0000035	NP_033739.1	NP_001396275.1, NP_001120921.1
OG0000035	NP_780706.1	NP_001099879.1
OG0000035	NP_033740.2	NP_037025.1, XP_006236790.1
OG0000036	XP_017173651.1, NP_001001446.3	NP_114027.2, XP_017445274.1
OG0000036	NP_082365.1, XP_006527418.1	NP_001406456.1, NP_001258283.1
OG0000036	NP_082467.2, NP_001011707.1	XP_038952632.1
OG0000036	NP_001360866.1, NP_034132.2, NP_031841.3	NP_058854.1, XP_038961177.2, XP_038957345.2, XP_063136433.1
OG0000036	XP_011245537.1, NP_663474.2	NP_612521.2, XP_038946459.1
OG0000038	NP_667230.1	NP_001000932.1
OG0000038	NP_997557.2, NP_997018.2, NP_666521.2	XP_038961558.1, NP_001000677.1
OG0000038	NP_666520.2	NP_001000931.1
OG0000038	NP_667223.1	NP_001000682.1, XP_063140372.1
OG0000039	NP_076205.1	NP_001013908.2
OG0000039	NP_033476.1	NP_001102589.1
OG0000039	NP_035785.1	NP_775125.1
OG0000039	NP_666228.1	NP_954525.2
OG0000039	NP_033477.2	NP_543158.1
OG0000039	NP_075768.1	NP_640347.2
OG0000039	NP_001074440.1	XP_003749686.1
OG0000039	NP_080749.2	NP_001020846.1
OG0000040	NP_666393.1	NP_001001078.1
OG0000040	NP_666392.1	NP_001000993.1
OG0000040	NP_666668.2	NP_001000424.1, XP_006242382.1
OG0000040	NP_667247.1	NP_001000423.1
OG0000041	NP_001355135.1, NP_666478.1	NP_001000318.1, NP_001000315.1
OG0000041	NP_666477.1	NP_001000317.1, XP_017447043.1, NP_001000676.1
OG0000041	NP_666803.1	NP_001000312.1
OG0000041	NP_666802.2	NP_001000673.1
OG0000041	NP_861539.2, XP_006499622.1, NP_666941.2	NP_001000316.1, NP_001000930.1
OG0000042	NP_780740.2	NP_001395703.1
OG0000042	NP_001030040.2, NP_991379.3	XP_001077174.4, NP_001002285.1, XP_017445002.1, NP_001002280.1
OG0000042	NP_997421.1, NP_991364.1	NP_001002284.1, NP_001002287.1
OG0000042	NP_001275730.1, NP_705744.2, NP_694707.2, NP_694735.2, NP_001371138.1, NP_001368930.1	NP_665730.2
OG0000042	NP_997423.1	NP_750845.3
OG0000043	NP_666422.1	NP_001000221.1
OG0000043	NP_666708.1	NP_001001038.1, NP_001000218.1
OG0000043	NP_666949.1	NP_001000220.1
OG0000043	NP_666946.1	NP_001001037.1
OG0000043	NP_666709.1	NP_001000222.1
OG0000043	NP_666710.1	NP_001000947.2, XP_063136785.1, NP_001000219.1
OG0000043	NP_666944.1	NP_001389380.1
OG0000043	NP_666419.2, NP_666476.1	NP_001000228.1, NP_001000999.1
OG0000043	NP_666423.1	NP_001395731.1, NP_001000227.1
OG0000043	NP_666954.1	NP_001000230.1
OG0000043	NP_666637.1, NP_666636.1	NP_001000210.1
OG0000043	NP_001011871.1	XP_063136786.1, NP_001000732.1, NP_001000733.1
OG0000043	NP_666950.1	NP_001000226.1, NP_001000730.1
OG0000043	NP_666945.1	XP_063141804.1, NP_001000214.1
OG0000044	NP_783583.1, NP_835515.1, NP_291074.1, NP_835582.1, NP_783587.1	NP_001395688.1
OG0000044	NP_835500.1	NP_073177.1
OG0000044	NP_001182350.1	NP_001258150.1
OG0000045	NP_001093105.1, XP_006532475.1	NP_036736.1
OG0000045	NP_001074719.1	NP_001414391.1
OG0000045	NP_109604.1, XP_017169807.1	NP_001128630.1, XP_038941362.1
OG0000045	XP_036012291.1, NP_796343.2	NP_001093955.1
OG0000045	NP_001034634.2	NP_001128629.1, XP_038942828.1
OG0000045	NP_034985.2	NP_062198.1
OG0000046	NP_077764.2, XP_006509811.1	XP_063131212.1, NP_001028858.2, NP_001380700.1
OG0000046	XP_006524022.1, NP_001094915.1	XP_006241147.1, NP_001178915.1
OG0000046	NP_570952.1	XP_006241111.1, NP_695230.1
OG0000046	XP_036016649.1, NP_001093657.1, NP_001343232.1	XP_038934451.1, NP_775147.1
OG0000046	NP_001095058.1, NP_001355664.1, XP_006524820.1	NP_001102830.1, XP_063120218.1
OG0000046	NP_598888.1	NP_775146.1, XP_063119146.1
OG0000046	NP_001191262.1, XP_030105833.1, NP_001191263.1, NP_001344717.1, NP_071879.1, NP_001191265.1, NP_001191264.1	XP_008763402.1, NP_062569.2
OG0000048	NP_031701.3, XP_030098465.1	NP_775461.1
OG0000048	NP_036057.1	NP_446371.1
OG0000048	NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1	NP_001029032.1, XP_063131131.1
OG0000049	NP_065063.1	XP_008763105.3
OG0000049	NP_035911.2, NP_001020551.3, XP_006509516.1, NP_001009548.1	NP_001407912.1
OG0000049	XP_006509324.1, NP_034216.3	NP_001395610.1
OG0000050	NP_996786.1	NP_001000385.1
OG0000050	NP_666838.1	NP_001000826.1
OG0000050	NP_667151.1	NP_001000386.1
OG0000050	NP_667157.1	XP_038961561.1, NP_001000969.1
OG0000050	NP_667159.1, XP_030107398.1	NP_001001014.1
OG0000050	NP_667154.1	NP_001000384.1
OG0000050	NP_667156.1	NP_001000382.1
OG0000050	NP_667162.1	NP_001000828.1, NP_001000383.1
OG0000050	NP_667158.1	NP_001000560.1
OG0000050	NP_666839.1	NP_001000381.1
OG0000050	NP_667149.1, NP_667160.1	NP_001000379.1
OG0000050	NP_667161.1	NP_001000559.1, NP_001000829.1
OG0000050	NP_667155.1	NP_001000827.1, XP_063140376.1
OG0000051	NP_034061.2	NP_001128481.1
OG0000051	NP_031760.2, XP_036013028.1	NP_001400917.1, XP_038939825.1
OG0000051	NP_034062.3	NP_001414185.1
OG0000051	XP_011246185.1, NP_444415.2	NP_001414189.1
OG0000051	XP_011236954.1, NP_031761.1	NP_001008333.1
OG0000051	XP_006528759.1, NP_001156627.1	XP_006257375.1, NP_001413925.1
OG0000052	XP_030104641.1, NP_776104.1, NP_001162131.1, NP_776147.1, NP_001156355.1, NP_001402939.1, NP_001402942.1, NP_001402940.1, NP_001402941.1	XP_008763864.1, NP_001020237.1
OG0000052	NP_001344825.1, XP_006520997.3, NP_001075439.1, NP_001344824.1	XP_006242004.3
OG0000052	XP_011244068.1, NP_001158112.1, NP_083695.2, XP_006520340.1, NP_780600.1, NP_001128274.1, XP_011244013.1, NP_001020019.2	XP_006241996.1, NP_001128273.1, NP_001413816.1
OG0000053	XP_011244468.1	XP_006248166.1
OG0000053	XP_006523200.2, XP_006523187.1	XP_006248156.1, XP_038944664.1, XP_063127036.1, XP_006248159.1, XP_008766829.1
OG0000053	XP_006523182.1, NP_001365591.1	XP_006248165.2
OG0000053	XP_030105247.1	XP_038944660.1
OG0000053	NP_001344928.1, XP_030105249.1, XP_030105240.1	XP_063126917.1, XP_006248167.1
OG0000053	XP_006523199.1	XP_063127032.1, XP_006248182.1
OG0000053	XP_006523198.1	XP_063127034.1, XP_006248158.1, XP_008766831.1, XP_006248154.1
OG0000053	XP_006523183.1, XP_006523185.1	XP_006248160.1
OG0000053	NP_001157087.1	XP_063127033.1
OG0000053	XP_030105235.1, XP_006523193.1	XP_063127035.1
OG0000054	XP_030108264.1, NP_001396544.1	NP_058775.1
OG0000055	NP_667136.1	NP_001000216.1
OG0000055	NP_001005488.1	NP_001000209.1, NP_001000211.1
OG0000055	NP_667135.1, NP_667137.1	NP_001000213.1
OG0000055	NP_666985.1	NP_001395676.1
OG0000055	NP_666986.1	NP_001000734.1
