Orthogroup	Mus_musculus	Ursus_americanus
OG0000024	NP_667037.1, NP_666822.1, NP_001011826.1, NP_666820.2, NP_666651.1	XP_045653577.1
OG0000024	NP_666824.1, NP_666825.1	XP_045653509.1, XP_045653508.1
OG0000026	XP_006528255.1, NP_001020555.2, XP_006528244.1, NP_001020554.1, NP_001092772.1, XP_006528185.1, XP_006528203.1, NP_001075139.1	XP_045672087.1
OG0000026	NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1	XP_045654475.1, XP_045654494.1, XP_045654484.1, XP_045654502.1, XP_045654510.1
OG0000027	NP_033473.1	XP_045633509.1
OG0000027	NP_033474.1	XP_045657089.1
OG0000027	NP_059075.1	XP_045631313.1
OG0000027	NP_001029051.2	XP_045668843.1
OG0000027	NP_033475.1	XP_045671137.1
OG0000027	NP_035783.1	XP_045657088.1
OG0000027	NP_035784.1	XP_045657091.1
OG0000028	NP_001011841.1, NP_666786.1, NP_666906.1, NP_001011840.1, NP_666414.1, NP_666902.1	XP_045643020.1, XP_045643013.1
OG0000028	NP_666909.1, NP_666908.2	XP_045643014.1, XP_045643018.1
OG0000028	NP_666916.1	XP_045643015.1
OG0000029	NP_667211.2, NP_667212.2	XP_045641565.1, XP_045641598.1
OG0000029	NP_667210.2, NP_001011662.2, NP_667208.2	XP_045641600.1
OG0000029	NP_667207.2, XP_030104978.1, NP_667213.2, NP_667209.1	XP_045641603.1, XP_045641599.1, XP_045641566.1, XP_045641567.1, XP_045641597.1, XP_045641604.1, XP_045641608.1
OG0000031	NP_667273.1	XP_045672053.1
OG0000031	NP_001011789.1	XP_045659913.1, XP_045659986.1
OG0000031	NP_001011820.1, NP_666754.2, NP_666753.2	XP_045656313.1, XP_045656312.1
OG0000031	NP_997455.1	XP_045656296.1, XP_045656558.1
OG0000032	NP_034091.1	XP_045650430.1
OG0000032	NP_034090.1	XP_045650429.1
OG0000033	XP_030101751.1, NP_001346741.1	XP_045670367.1
OG0000033	XP_006533136.1, NP_742047.1	XP_045670271.1, XP_045670269.1, XP_045670270.1
OG0000033	NP_001334580.1, NP_954691.3	XP_045670249.1
OG0000033	NP_001162624.1, XP_017170043.1	XP_045669873.1
OG0000034	NP_001160200.1, NP_598934.1, NP_598933.1, NP_598930.1, NP_001160192.1, NP_598929.1, NP_598927.1, NP_598926.1, NP_598928.1, NP_001160191.1, NP_598931.1, NP_444467.2, NP_001095049.1, XP_017176828.1, XP_017176912.1, NP_598938.1, NP_444468.2, NP_598940.1, NP_598939.1, NP_444466.2, NP_444465.2, XP_006505735.1, NP_598937.1, XP_017176915.1, NP_598945.2, NP_444462.1, NP_001095003.1, NP_602318.2, NP_598932.1, NP_001160201.1, NP_598948.1, NP_001160182.1, NP_444461.2, NP_598946.2, NP_598936.1, NP_598935.2, NP_444463.2, NP_598944.1, NP_598943.1	XP_045635028.1, XP_045659988.1
OG0000035	NP_033738.1	XP_045628381.1
OG0000035	NP_001258970.1	XP_045639549.1, XP_045639550.1
OG0000035	NP_031418.1	XP_045658329.1
OG0000035	NP_031419.1	XP_045669289.1
OG0000035	NP_033739.1	XP_045630929.1
OG0000035	NP_780706.1	XP_045650270.1
OG0000035	NP_033740.2	XP_045644253.1
OG0000036	XP_017173651.1, NP_001001446.3	XP_045665317.1, XP_045665320.1, XP_045665319.1
OG0000036	XP_011245537.1, NP_663474.2	XP_045641026.1, XP_045641029.1, XP_045641028.1
OG0000038	NP_667230.1, NP_666801.2, NP_997557.2, NP_997018.2, NP_666521.2, NP_666520.2, NP_667057.2, NP_667223.1	XP_045642452.1, XP_045642453.1, XP_045642950.1, XP_045642454.1
OG0000039	NP_076205.1	XP_045667593.1
OG0000039	NP_033476.1	XP_045667466.1
OG0000039	NP_035785.1	XP_045656493.1
OG0000039	NP_666228.1	XP_045659670.1
OG0000039	NP_033477.2	XP_045632691.1
OG0000039	NP_001074440.1	XP_045670590.1
OG0000039	NP_080749.2	XP_045671051.1
OG0000040	NP_666393.1	XP_045656782.1
OG0000040	NP_666392.1	XP_045656701.1, XP_045656770.1
OG0000040	NP_666668.2	XP_045656771.1
OG0000040	NP_667247.1	XP_045656781.1
OG0000041	NP_001355135.1, NP_666478.1	XP_045642449.1, XP_045642450.1, XP_045642448.1, XP_045642441.1
OG0000041	NP_666803.1, NP_666802.2, NP_861539.2, XP_006499622.1, NP_666941.2	XP_045642937.1, XP_045642938.1
OG0000042	NP_780740.2, NP_001030040.2, NP_991379.3, NP_997421.1, NP_991364.1	XP_045664621.1
OG0000043	NP_666422.1, NP_666708.1, NP_666948.1, NP_666949.1, NP_666946.1, NP_666709.1, NP_666707.1, NP_001011811.1, NP_001011810.2, NP_666943.1, NP_666710.1, NP_666944.1, NP_666419.2, NP_666476.1, NP_666423.1, NP_666954.1, NP_666637.1, NP_666636.1, NP_001011871.1, NP_666950.1, NP_666945.1	XP_045639029.1
OG0000044	NP_291074.1	XP_045656420.1
OG0000044	NP_783587.1	XP_045656375.1
OG0000044	NP_694813.1	XP_045633101.1
OG0000044	NP_783586.1, NP_835500.1	XP_045656374.1
OG0000044	NP_001182350.1	XP_045656373.1
OG0000045	NP_001093105.1, XP_006532475.1	XP_045653186.1
OG0000045	NP_001074719.1	XP_045653193.1
OG0000045	XP_036012291.1, NP_796343.2	XP_045653194.1
OG0000045	NP_001034634.2	XP_045653188.1, XP_045653187.1, XP_045653189.1
OG0000045	NP_034985.2	XP_045653191.1
OG0000046	XP_006524022.1, NP_001094915.1, NP_570952.1, XP_036016649.1, NP_001093657.1, NP_001343232.1	XP_045634549.1
OG0000048	NP_031701.3, XP_030098465.1, NP_036057.1	XP_045642300.1
OG0000048	NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1	XP_045635920.1, XP_045631446.1, XP_045631649.1, XP_045635528.1, XP_045631374.1
OG0000049	NP_065063.1	XP_045663942.1
OG0000049	NP_787953.2	XP_045655350.1
OG0000049	NP_035911.2, NP_001020551.3, XP_006509516.1, NP_001009548.1, XP_006509324.1, NP_034216.3	XP_045655349.1
OG0000050	NP_996786.1	XP_045646965.1
OG0000050	NP_666838.1	XP_045647115.1, XP_045646964.1, XP_045647114.1
OG0000050	NP_667151.1, NP_667157.1, NP_667159.1, XP_030107398.1, NP_667154.1, NP_667156.1, NP_667162.1, NP_667158.1, NP_666839.1, NP_667149.1, NP_667160.1, NP_667161.1, NP_667155.1	XP_045647113.1
OG0000051	NP_034061.2	XP_045628930.1
OG0000051	NP_031760.2, XP_036013028.1	XP_045631233.1
OG0000051	NP_034062.3	XP_045628928.1, XP_045628929.1
OG0000051	XP_011246185.1, NP_444415.2	XP_045642234.1
OG0000051	XP_011236954.1, NP_031761.1	XP_045631224.1
OG0000051	XP_006528759.1, NP_001156627.1	XP_045634948.1
OG0000052	NP_001157093.1	XP_045635810.1
OG0000052	XP_030104641.1, NP_776104.1, NP_001162131.1, NP_776147.1, NP_001156355.1, NP_001402939.1, NP_001402942.1, NP_001402940.1, NP_001402941.1, NP_001344825.1, XP_006520997.3, NP_001075439.1, NP_001344824.1, XP_011244068.1, NP_001158112.1, NP_083695.2, XP_006520340.1, NP_780600.1, NP_001128274.1, XP_011244013.1, NP_001020019.2	XP_045635764.1, XP_045635765.1, XP_045635773.1, XP_045635772.1, XP_045635763.1, XP_045635768.1, XP_045635771.1, XP_045635767.1, XP_045635762.1, XP_045635769.1, XP_045635766.1, XP_045635475.1, XP_045635474.1, XP_045635921.1, XP_045635473.1, XP_045635518.1
OG0000053	XP_030105238.1	XP_045641655.1
OG0000054	XP_030108264.1, NP_001396544.1	XP_045640444.1
OG0000055	NP_667136.1	XP_045639049.1
OG0000055	NP_001005488.1	XP_045639031.1
OG0000056	NP_997023.1, NP_666435.1, NP_001011761.1, NP_001011804.1, XP_011237863.1	XP_045642850.1
OG0000057	XP_017174374.2, XP_036011217.1, XP_036011223.1, NP_001013839.1	XP_045650108.1
OG0000057	NP_084470.1, XP_006529132.1, XP_036011762.1, XP_036018110.1, XP_011248127.1, NP_780606.3	XP_045650116.1
OG0000057	NP_001359160.1	XP_045650100.1
OG0000058	NP_001263422.1, XP_006511699.1, NP_001263411.1, NP_001263415.1, NP_001263414.1, NP_001263410.1, NP_034147.1, NP_001263421.1	XP_045634346.1, XP_045634343.1, XP_045634340.1, XP_045634342.1, XP_045634345.1, XP_045634341.1, XP_045634347.1
OG0000059	XP_017172475.1, NP_666990.2, NP_001011791.1, NP_001011807.2, NP_666434.2, NP_666509.2, NP_666433.1, NP_666696.2, XP_017172474.1	XP_045641569.1, XP_045641571.1, XP_045641607.1, XP_045641610.1, XP_045641612.1, XP_045641573.1, XP_045641572.1, XP_045641611.1, XP_045641606.1, XP_045641602.1
OG0000060	NP_064410.1, NP_001397567.1, NP_001397566.1, XP_036019016.1	XP_045667340.1, XP_045667346.1, XP_045667360.1, XP_045667304.1, XP_045667329.1, XP_045667375.1, XP_045667351.1, XP_045667389.1, XP_045667321.1, XP_045667290.1, XP_045667308.1, XP_045667381.1, XP_045667313.1, XP_045667305.1, XP_045667284.1, XP_045667398.1, XP_045667367.1, XP_045667298.1
OG0000061	NP_032675.2, XP_011248383.1, NP_001074754.1, NP_032674.1, NP_001012323.1, XP_006538108.1, NP_001009550.1, NP_001034633.1, NP_001157998.1, NP_001334063.1, NP_001186935.1, NP_001334058.1, NP_001334060.1, NP_001186928.1, NP_001186933.1, NP_001186924.1, XP_003688833.1, XP_006537578.1, XP_006537546.1, XP_006537549.1, XP_030108871.1, XP_030108860.1, XP_030108849.1, XP_006537554.1, XP_006537544.1, XP_006537552.1, XP_006537543.1, XP_006537714.1, XP_006537550.1, XP_006537547.1, NP_001156483.1, NP_001156482.1, NP_112465.2, NP_001039015.1, NP_001128599.1, NP_001268908.1, NP_001186865.1, NP_001116119.1, NP_001334083.1, NP_001186262.1	XP_045670758.1
OG0000061	NP_084235.1, XP_017174827.1	XP_045669635.1
OG0000062	NP_001186233.1, NP_001186234.1, XP_011242683.1, NP_033150.2	XP_045667536.1, XP_045667538.1, XP_045667540.1, XP_045667541.1, XP_045667539.1, XP_045667535.1, XP_045667537.1
OG0000063	NP_001163872.1, NP_848860.1, NP_001351820.1, XP_006515972.1, NP_001351821.1	XP_045666392.1
OG0000064	NP_001408048.1, NP_001408050.1, NP_001153028.1, NP_001408047.1, NP_001153030.1, NP_001408049.1, NP_001153029.1, NP_031669.3, NP_001153027.1, XP_006535686.1	XP_045649335.1, XP_045649336.1, XP_045649338.1, XP_045649339.1, XP_045649340.1, XP_045649337.1
OG0000065	NP_033108.1, NP_001311462.1, XP_006511723.1, NP_001311463.1, XP_036010295.1, XP_036020498.1, XP_036016113.1, XP_036017248.1, XP_036015591.1, XP_030099758.1	XP_045663223.1
OG0000066	XP_036011071.1	XP_045656564.1
OG0000067	NP_001011531.3, NP_997036.2, NP_667090.1, NP_001011861.3, NP_666713.2, NP_997578.1	XP_045628274.1, XP_045628275.1, XP_045628278.1, XP_045628279.1, XP_045635016.1, XP_045635015.1, XP_045628277.1, XP_045635014.1, XP_045635013.1
OG0000068	NP_666899.1	XP_045642476.1, XP_045643028.1, XP_045643026.1, XP_045643024.1, XP_045643025.1, XP_045642475.1
OG0000068	NP_666895.1	XP_045642474.1
OG0000069	NP_780707.1, XP_006519052.1	XP_045630052.1
OG0000069	NP_694809.1	XP_045644762.1
OG0000069	NP_081714.2	XP_045663810.1
OG0000070	NP_001334107.1, NP_001344119.1, NP_001408080.1, NP_001408092.1, NP_001408097.1, NP_001408083.1, NP_001408089.1, XP_036019590.1	XP_045636453.1
OG0000070	NP_001408084.1, NP_001408087.1, NP_001156869.1, NP_001408082.1, NP_001408085.1, NP_001408094.1, NP_001408096.1, NP_001408088.1, NP_034618.2, XP_006502857.1, NP_001408095.1, NP_001408093.1, NP_001408081.1, NP_001408086.1, NP_001033787.1, NP_001408091.1, NP_001408090.1	XP_045655412.1
OG0000071	NP_001106186.1, NP_081096.3, NP_001347656.1, NP_001347657.1, NP_001257647.1, NP_079654.1, XP_030098981.1, NP_109619.1	XP_045626763.1, XP_045626722.1
OG0000072	XP_011245661.1, NP_082595.1	XP_045640951.1, XP_045640952.1, XP_045640955.1, XP_045640950.1, XP_045640954.1, XP_045640957.1, XP_045640953.1, XP_045640956.1
OG0000073	NP_667239.2	XP_045642928.1
OG0000074	NP_001290168.1, NP_001290160.1, NP_032061.1	XP_045638737.1, XP_045638729.1
OG0000074	NP_001399363.1, NP_001399368.1, NP_001399365.1, NP_001239483.1, NP_001399364.1, NP_001399362.1, NP_001399360.1, NP_001399366.1, NP_032060.2, NP_001399367.1, NP_001239481.1, NP_001399358.1, XP_006507427.1, NP_001239482.1, NP_001399357.1, NP_001399359.1, NP_001399361.1	XP_045638730.1
OG0000075	NP_076263.1	XP_045660960.1
OG0000075	NP_001349815.1	XP_045644393.1, XP_045660188.1
OG0000076	NP_291055.1	XP_045650398.1
OG0000076	NP_291056.1	XP_045650395.1
OG0000076	NP_291052.3	XP_045650403.1
OG0000076	NP_291053.1	XP_045650394.1
OG0000077	NP_666242.2, NP_932758.1	XP_045662121.1
OG0000077	NP_001034218.1	XP_045656813.1
OG0000078	NP_035521.1, NP_001345425.1, NP_001345844.1, XP_006513469.1	XP_045645657.1, XP_045645656.1
OG0000079	NP_001103619.1, NP_001103620.1, XP_006532461.1, NP_001103618.1, NP_034924.3	XP_045634963.1, XP_045634960.1, XP_045634965.1, XP_045634959.1, XP_045634961.1, XP_045634962.1, XP_045634964.1
OG0000080	NP_080916.1	XP_045642704.1, XP_045642705.1
OG0000081	XP_006539346.1, NP_084224.1	XP_045633911.1
OG0000082	NP_001191963.1	XP_045632334.1
OG0000084	NP_001357555.1, NP_001171137.2, NP_001034333.3, NP_001357556.1	XP_045643339.1, XP_045643338.1, XP_045643343.1, XP_045643336.1, XP_045643335.1, XP_045643341.1, XP_045643337.1, XP_045643344.1, XP_045643342.1, XP_045643345.1
OG0000085	NP_667036.2, NP_001011748.1, NP_666451.1	XP_045630221.1, XP_045630359.1
OG0000086	NP_001366222.1, NP_001366224.1, NP_001366223.1, NP_079623.1	XP_045641894.1
OG0000086	NP_001005341.1	XP_045658490.1
OG0000087	NP_038735.2	XP_045641652.1
OG0000087	NP_034801.1, NP_081446.1, XP_030105222.1, NP_473441.1, NP_899012.1, NP_081431.1	XP_045641651.1, XP_045641650.1, XP_045641647.1, XP_045641646.1, XP_045641648.1
OG0000087	NP_038741.1	XP_045641653.1
OG0000088	NP_001258622.1, NP_001258624.1, NP_001258620.1, NP_062638.1, NP_001034145.1, NP_001258618.1, XP_006523005.1, NP_001258619.1, NP_001034146.1, NP_001258623.1, NP_001258621.1, NP_001258616.1	XP_045669495.1, XP_045669496.1, XP_045669497.1, XP_045669498.1, XP_045669494.1
OG0000089	NP_667047.1, NP_666849.1, NP_666869.2, NP_996559.1, NP_666405.1	XP_045642922.1, XP_045642925.1
OG0000090	NP_001390709.1, NP_001390712.1, NP_001390707.1, NP_001390715.1, NP_001390708.1, NP_001390710.1, NP_001390711.1, NP_001390714.1, NP_001390694.1, NP_001390699.1, NP_001390696.1, NP_001390693.1, NP_001390698.1, NP_001390695.1, NP_001390697.1, NP_001390701.1, NP_001390700.1, NP_001390705.1, NP_061370.2, NP_001390716.1, NP_001390719.1, NP_001390718.1, NP_001390713.1, NP_001185823.1, NP_001390717.1, XP_017168066.1	XP_045662824.1, XP_045662821.1, XP_045662822.1, XP_045662823.1, XP_045662825.1
OG0000092	NP_666861.2, NP_666406.2, NP_666743.1, NP_997449.1, NP_666742.2	XP_045642909.1
OG0000093	XP_017176645.1	XP_045669385.1
OG0000095	NP_032657.1	XP_045662670.1
OG0000095	NP_038631.1	XP_045662671.1
OG0000095	NP_038630.1, XP_006530815.1	XP_045662783.1
OG0000095	XP_036019391.1	XP_045662784.1, XP_045662786.1
OG0000096	NP_035589.1	XP_045646194.1
OG0000096	NP_683744.2, NP_001369781.1, XP_036014126.1, NP_035584.1, XP_006516684.1, NP_001157590.1, NP_033280.1, NP_001230121.1, XP_011242601.1, NP_001157589.1	XP_045667579.1
OG0000099	XP_006535434.1, NP_001166930.1, NP_001166931.1, XP_006530146.1, NP_001002898.1	XP_045666676.1, XP_045663749.1, XP_045663763.1
OG0000099	XP_006535548.1, NP_001075156.1, XP_006530155.1, NP_001070147.1	XP_045666662.1
OG0000099	NP_001277948.1, XP_036015585.1	XP_045663783.1, XP_045663791.1
OG0000100	NP_001407899.1, NP_001407898.1, NP_001407900.1, NP_001153489.1, NP_032168.1, NP_001153488.1	XP_045659404.1
OG0000100	NP_034442.1, XP_006504616.1	XP_045629752.1
OG0000101	NP_001334416.1	XP_045650931.1
OG0000101	NP_063921.1, NP_001300646.1, NP_001300645.1	XP_045655963.1
OG0000102	NP_690024.1, NP_705826.1	XP_045627453.1
OG0000104	XP_036021572.1, NP_001411600.1, NP_083785.3, XP_011247895.1, NP_001034735.2, NP_919317.2, XP_011247687.1	XP_045657785.1, XP_045657784.1
OG0000105	XP_036011259.1	XP_045646725.1, XP_045646724.1
OG0000106	NP_075017.2	XP_045649626.1
OG0000106	NP_058034.1	XP_045642224.1
OG0000106	NP_001371255.1	XP_045632846.1
OG0000106	XP_017176539.1	XP_045629838.1
OG0000107	NP_667076.1, NP_001011785.1, NP_001011534.1	XP_045642464.1, XP_045642995.1, XP_045642993.1, XP_045642996.1
OG0000107	NP_666646.1, NP_666645.1, XP_006499612.1, NP_666644.1	XP_045642992.1
OG0000108	NP_001408428.1, NP_001408427.1, NP_001153191.1, NP_035021.1, NP_001408425.1, NP_001408424.1, NP_001408426.1, NP_001408423.1, NP_001153189.1, NP_001153190.1, NP_001408431.1, NP_001408429.1, NP_001408430.1	XP_045651824.1, XP_045651822.1, XP_045651823.1
OG0000109	NP_062347.2	XP_045636487.1
OG0000110	NP_001300856.1, NP_031519.1, NP_001300854.1, NP_001300855.1	XP_045653389.1
OG0000110	NP_033844.1, XP_017169720.1, NP_001278060.1, NP_001278061.1	XP_045653379.1, XP_045653380.1
OG0000110	XP_006532975.1, NP_660119.1, NP_001191181.1	XP_045653378.1
OG0000111	NP_001243902.1, XP_017177923.1, NP_034219.3, NP_001001559.2, NP_031913.1, NP_958811.2	XP_045666826.1
OG0000113	XP_006528649.1, NP_001346208.1, NP_001346206.1, NP_001025149.2, NP_001346207.1, NP_079631.2, NP_001352047.1, NP_001352046.1, NP_808587.1	XP_045660196.1, XP_045645435.1, XP_045635373.1
OG0000114	NP_658906.1	XP_045662089.1
OG0000114	NP_031802.2	XP_045662083.1
