Orthogroup	Mus_musculus	Sus_scrofa
OG0000035	NP_780706.1	XP_005674537.3
OG0000035	NP_033740.2	XP_020943030.1
OG0000036	XP_017173651.1, NP_001001446.3	NP_001302663.1, NP_999579.1, XP_020927835.1
OG0000038	NP_667230.1, NP_666801.2, NP_997557.2, NP_997018.2, NP_666521.2, NP_666520.2, NP_667057.2, NP_667223.1	XP_001927724.1, XP_020941136.1, XP_003481008.2
OG0000039	NP_076205.1	NP_001230363.1
OG0000039	NP_033476.1	XP_020955779.1
OG0000039	NP_035785.1	NP_001038077.1
OG0000039	NP_666228.1	XP_003122400.2
OG0000039	NP_033477.2	XP_003480860.1
OG0000039	NP_001074440.1	NP_001107168.1
OG0000039	NP_080749.2	XP_020951690.1
OG0000040	NP_666393.1	XP_020946908.1
OG0000040	NP_666392.1	XP_003355697.1
OG0000040	NP_666668.2	XP_013853443.1
OG0000040	NP_667247.1	XP_005664233.2
OG0000041	NP_001355135.1, NP_666478.1	XP_013843095.2
OG0000041	NP_666803.1, NP_666802.2, NP_861539.2, XP_006499622.1, NP_666941.2	XP_013842752.2, XP_020940716.1
OG0000042	NP_780740.2, NP_001030040.2, NP_991379.3, NP_997421.1, NP_991364.1	XP_013849950.2
OG0000043	NP_666422.1, NP_666708.1, NP_666948.1, NP_666949.1, NP_666946.1, NP_666709.1, NP_666707.1, NP_001011811.1, NP_001011810.2, NP_666943.1, NP_666710.1, NP_666944.1, NP_666419.2, NP_666476.1, NP_666423.1, NP_666954.1, NP_666637.1, NP_666636.1, NP_001011871.1, NP_666950.1, NP_666945.1	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1
OG0000044	NP_835515.1, NP_291074.1, NP_835582.1, NP_783587.1	XP_020955509.1
OG0000044	NP_694813.1	XP_020945589.1, XP_020954094.1, XP_005665718.2
OG0000044	NP_783586.1, NP_835500.1	XP_020955508.1
OG0000045	NP_001093105.1, XP_006532475.1	XP_013836784.2
OG0000045	NP_001074719.1	XP_020921943.1
OG0000045	XP_036012291.1, NP_796343.2	XP_020921928.1
OG0000045	NP_001034634.2	XP_020921875.1, NP_999301.1
OG0000045	NP_034985.2	XP_020921694.1, NP_001116613.1
OG0000046	XP_006524022.1, NP_001094915.1, NP_570952.1, XP_036016649.1, NP_001093657.1, NP_001343232.1	XP_020935383.1, NP_001231565.1, XP_020939262.1, XP_020939264.1, XP_020939272.1, XP_020939271.1
OG0000048	NP_031701.3, XP_030098465.1, NP_036057.1	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1
OG0000048	NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1	XP_020953209.1, XP_020953207.1
OG0000049	NP_065063.1	XP_020955073.1, XP_020955736.1
OG0000049	NP_035911.2, NP_001020551.3, XP_006509516.1, NP_001009548.1, XP_006509324.1, NP_034216.3	XP_020929837.1
OG0000050	NP_996786.1	XP_003122186.1
OG0000050	NP_666838.1	XP_020931565.1, XP_020931552.1, XP_020941061.1, XP_020931504.1, XP_020937924.1, XP_020940885.1, XP_001926789.1, XP_020941065.1, XP_020937929.1, XP_020937899.1, XP_020937887.1, XP_020937921.1, XP_020937915.1, XP_003122180.1, XP_003353698.3, XP_003122193.2, XP_003122195.1, XP_001927196.5, XP_020931440.1, XP_020937889.1, XP_013849280.2, XP_020940908.1, XP_020931499.1, XP_020941107.1, XP_020931536.1, XP_020937916.1, XP_020937891.1, XP_020940988.1, XP_020937893.1, XP_013849275.1, XP_003353699.2, XP_020937927.1, XP_020931467.1, XP_013849276.2, XP_003122183.3, XP_020937911.1
OG0000050	NP_667151.1, NP_667157.1, NP_667159.1, XP_030107398.1, NP_667154.1, NP_667156.1, NP_667162.1, NP_667158.1, NP_666839.1, NP_667149.1, NP_667160.1, NP_667161.1, NP_667155.1	XP_020937926.1
OG0000051	NP_034061.2	XP_020921569.1
OG0000051	NP_031760.2, XP_036013028.1	XP_020930931.1
OG0000051	NP_034062.3	XP_020921568.1, XP_020921567.1
OG0000051	XP_011246185.1, NP_444415.2	XP_020935520.1
OG0000051	XP_011236954.1, NP_031761.1	XP_020930930.1
OG0000051	XP_006528759.1, NP_001156627.1	XP_020936437.1
OG0000052	NP_001157093.1	XP_003126117.4
OG0000052	XP_030104641.1, NP_776104.1, NP_001162131.1, NP_776147.1, NP_001156355.1, NP_001402939.1, NP_001402942.1, NP_001402940.1, NP_001402941.1, NP_001344825.1, XP_006520997.3, NP_001075439.1, NP_001344824.1, XP_011244068.1, NP_001158112.1, NP_083695.2, XP_006520340.1, NP_780600.1, NP_001128274.1, XP_011244013.1, NP_001020019.2	XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2
OG0000054	XP_030108264.1, NP_001396544.1	XP_005663291.1, NP_001096150.2
OG0000055	NP_667136.1	XP_013834548.2
OG0000055	NP_001005488.1	XP_003482552.2
OG0000055	NP_667135.1, NP_667137.1, NP_666985.1, NP_666986.1, NP_666706.1, NP_666947.1	XP_020937587.1, XP_020958366.1, XP_020917939.1, XP_020937586.1, XP_020937588.1, XP_020958367.1, XP_020917938.1, XP_020937019.1, XP_020937018.1, XP_020917937.1, XP_003129448.2
OG0000055	NP_064687.2, NP_666984.1	XP_013854347.2, XP_020917933.1
OG0000056	NP_997023.1, NP_666435.1, NP_001011761.1, NP_001011804.1, XP_011237863.1	XP_020938036.1
OG0000057	XP_017174374.2, XP_036011217.1, XP_036011223.1, NP_001013839.1	XP_003133754.1
OG0000057	NP_084470.1, XP_006529132.1, XP_036011762.1, XP_036018110.1, XP_011248127.1, NP_780606.3	XP_020931305.1
OG0000057	NP_001359160.1	XP_020931321.1, XP_020931326.1
OG0000058	NP_001263422.1, XP_006511699.1, NP_001263411.1, NP_001263415.1, NP_001263414.1, NP_001263410.1, NP_034147.1, NP_001263421.1	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1
OG0000059	XP_017172475.1, NP_666990.2, NP_001011791.1, NP_001011807.2, NP_666434.2, NP_666509.2, NP_666433.1, NP_666696.2, XP_017172474.1	XP_020924529.1, XP_020924626.1, XP_013836624.1, XP_013836617.1, XP_005657182.2, XP_020924540.1, XP_020926348.1, XP_013845622.2, XP_020925489.1, XP_003358904.1, XP_003358905.2, XP_020925490.1, XP_003132775.3, XP_003358912.2, XP_020925493.1, XP_003358906.2, XP_020925488.1, XP_020925494.1, XP_013836638.1, XP_005657183.1, XP_005654132.1
OG0000060	NP_064410.1, NP_001397567.1, NP_001397566.1, XP_036019016.1	NP_999516.1, XP_005652470.1
OG0000061	NP_032675.2, XP_011248383.1, NP_001074754.1, NP_032674.1, NP_001012323.1, XP_006538108.1, NP_001009550.1, NP_001034633.1, NP_001157998.1, NP_001334063.1, NP_001186935.1, NP_001334058.1, NP_001334060.1, NP_001186928.1, NP_001186933.1, NP_001186924.1, XP_003688833.1, XP_006537578.1, XP_006537546.1, XP_006537549.1, XP_030108871.1, XP_030108860.1, XP_030108849.1, XP_006537554.1, XP_006537544.1, XP_006537552.1, XP_006537543.1, XP_006537714.1, XP_006537550.1, XP_006537547.1, NP_001156483.1, NP_001156482.1, NP_112465.2, NP_001039015.1, NP_001128599.1, NP_001268908.1, NP_001186865.1, NP_001116119.1, NP_001334083.1, NP_001186262.1	NP_998979.1
OG0000061	NP_084235.1, XP_017174827.1	XP_005660610.1
OG0000062	NP_001186233.1, NP_001186234.1, XP_011242683.1, NP_033150.2	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1
OG0000063	NP_001163872.1, NP_848860.1, NP_001351820.1, XP_006515972.1, NP_001351821.1	XP_005656395.2
OG0000064	NP_001408048.1, NP_001408050.1, NP_001153028.1, NP_001408047.1, NP_001153030.1, NP_001408049.1, NP_001153029.1, NP_031669.3, NP_001153027.1, XP_006535686.1	NP_001038087.1, XP_005667748.1
OG0000065	NP_033108.1, NP_001311462.1, XP_006511723.1, NP_001311463.1, XP_036010295.1, XP_036020498.1, XP_036016113.1, XP_036017248.1, XP_036015591.1, XP_030099758.1	NP_999115.1, XP_005669619.1
OG0000066	XP_036018682.1, XP_036014184.1, XP_036021533.1, NP_001395918.1, NP_001395917.1, NP_062621.2, XP_036013010.1, XP_036011071.1	XP_003482913.1
OG0000067	NP_001011531.3, NP_997036.2, NP_667090.1, NP_001011861.3, NP_666713.2, NP_997578.1	XP_003354450.1, XP_003354451.1, XP_020941137.1, XP_020941146.1, XP_020940731.1, XP_003124268.1, XP_003124267.1
OG0000068	NP_666899.1	XP_020937829.1, XP_003122780.2, XP_020937358.1, XP_020938085.1, XP_020941123.1, XP_020938095.1, XP_020937552.1, XP_020938094.1, XP_020938045.1, XP_020938047.1, XP_003353895.1, XP_003122741.2, XP_003122742.1, XP_020938096.1, XP_020938092.1, XP_020938046.1, XP_020941120.1, XP_020938083.1, XP_020941121.1, XP_020938084.1, XP_003122781.2, XP_020938086.1
OG0000068	NP_666895.1	XP_020940332.1
OG0000069	NP_780707.1, XP_006519052.1	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1
OG0000069	XP_011245927.1, NP_001093931.1	XP_020936151.1
OG0000069	NP_081714.2	XP_020955156.1
OG0000069	NP_001136409.1, NP_071718.1	XP_020955290.1
OG0000070	NP_001334107.1, NP_001344119.1, NP_001408080.1, NP_001408092.1, NP_001408097.1, NP_001408083.1, NP_001408089.1, XP_036019590.1	XP_020918409.1
OG0000071	NP_001106186.1, NP_081096.3, NP_001347656.1, NP_001347657.1, NP_001257647.1, NP_079654.1, XP_030098981.1, NP_109619.1	NP_001188311.1
OG0000072	XP_011245661.1, NP_082595.1	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1
OG0000073	NP_667239.2	XP_013842558.2, XP_020937803.1
OG0000073	NP_997448.1, NP_666409.2	XP_013843078.2, XP_020956458.1
OG0000074	NP_001290168.1, NP_001290160.1, NP_032061.1	NP_999018.1, XP_005653705.1
OG0000074	NP_001399363.1, NP_001399368.1, NP_001399365.1, NP_001239483.1, NP_001399364.1, NP_001399362.1, NP_001399360.1, NP_001399366.1, NP_032060.2, NP_001399367.1, NP_001239481.1, NP_001399358.1, XP_006507427.1, NP_001239482.1, NP_001399357.1, NP_001399359.1, NP_001399361.1	XP_013854644.1, NP_999476.1
OG0000075	NP_076263.1	XP_013841926.1, XP_005673996.1
OG0000075	XP_017173961.1, NP_001078975.1	XP_020935538.1
OG0000075	NP_001349815.1	XP_020936228.1
OG0000076	NP_291054.1	XP_020940586.1, XP_020940577.1
OG0000076	NP_291057.1	XP_020940588.1, XP_020940576.1
OG0000076	NP_291052.3	XP_013850711.2
OG0000076	NP_291053.1	XP_020940578.1
OG0000077	NP_666242.2, NP_932758.1	XP_003133549.1
OG0000077	NP_034577.1	NP_001070686.1
OG0000077	NP_001034218.1	XP_005663911.1
OG0000078	NP_035521.1, NP_001345425.1, NP_001345844.1, XP_006513469.1	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1
OG0000079	NP_001103619.1, NP_001103620.1, XP_006532461.1, NP_001103618.1, NP_034924.3	XP_005653026.1, NP_001072136.1
OG0000080	NP_080916.1	XP_020940361.1
OG0000081	XP_006539346.1, NP_084224.1	XP_003482015.1, XP_005665076.2, XP_020953255.1, XP_003356200.1, XP_003356201.1, XP_020953254.1, XP_003127664.2, XP_005665073.2, XP_020953253.1
OG0000082	NP_001191963.1	XP_003359050.3
OG0000084	NP_001357555.1, NP_001171137.2, NP_001034333.3, NP_001357556.1	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1
OG0000085	NP_667036.2, NP_001011748.1, NP_666451.1	XP_003123299.1, XP_003123284.1, XP_003123282.1, XP_003123283.1, XP_020941171.1, XP_003123287.1, XP_020941174.1, XP_020941168.1, XP_003123298.3
OG0000086	XP_006499529.1, NP_001005342.1	XP_003122765.1
OG0000086	NP_001005341.1	XP_003133037.1, XP_003131734.2, XP_020922951.1, XP_020922950.1
OG0000087	NP_034801.1, NP_081446.1, XP_030105222.1, NP_473441.1, NP_899012.1, NP_081431.1	XP_005657196.2, XP_013845637.2, XP_003358961.3
OG0000088	NP_001258622.1, NP_001258624.1, NP_001258620.1, NP_062638.1, NP_001034145.1, NP_001258618.1, XP_006523005.1, NP_001258619.1, NP_001034146.1, NP_001258623.1, NP_001258621.1, NP_001258616.1	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1
OG0000089	NP_667047.1, NP_666849.1, NP_666869.2, NP_996559.1, NP_666405.1	XP_020937107.1, XP_020937786.1
OG0000090	NP_001390709.1, NP_001390712.1, NP_001390707.1, NP_001390715.1, NP_001390708.1, NP_001390710.1, NP_001390711.1, NP_001390714.1, NP_001390694.1, NP_001390699.1, NP_001390696.1, NP_001390693.1, NP_001390698.1, NP_001390695.1, NP_001390697.1, NP_001390701.1, NP_001390700.1, NP_001390705.1, NP_061370.2, NP_001390716.1, NP_001390719.1, NP_001390718.1, NP_001390713.1, NP_001185823.1, NP_001390717.1, XP_017168066.1	NP_001229985.1, XP_020948987.1
