Orthogroup	Mus_musculus	Ictidomys_tridecemlineatus
OG0000011	NP_444369.3	XP_021581395.1
OG0000011	NP_444363.1, NP_444361.1, NP_444365.1, NP_444359.3, NP_444366.3, NP_444367.1	XP_013213560.1, XP_005324320.1
OG0000011	NP_444377.3	XP_021581335.1
OG0000012	NP_776144.1	XP_005329220.1
OG0000012	XP_006527991.1, NP_001094920.1	XP_021584687.1
OG0000012	NP_112448.1, NP_034889.1, NP_032571.2	XP_005329233.1, XP_005329232.1
OG0000012	NP_001028664.2	XP_040144109.1
OG0000013	NP_001011824.1, NP_001011823.1	XP_013216903.1
OG0000013	NP_997028.1	XP_013216899.1
OG0000013	NP_667117.1	XP_005342933.2, XP_040146943.1, XP_005332219.2
OG0000014	NP_666291.2	XP_021576769.1
OG0000014	NP_033603.2	XP_013221372.3
OG0000015	NP_666774.1	XP_040147035.1
OG0000015	NP_666770.1, NP_666769.1	XP_013221554.1, XP_005342190.2
OG0000015	NP_666772.1	XP_040147037.1
OG0000016	NP_034637.1, NP_996754.1, NP_032362.2, NP_032360.2, NP_996753.1, NP_996858.1, NP_796335.1, NP_996750.1, NP_034632.2, NP_034635.2, NP_032359.2, NP_034634.1, NP_034633.2, NP_796321.1	XP_013218640.1, XP_013218639.1, XP_013218641.1, XP_005335969.1, XP_005335970.1, XP_005335982.1, XP_005335971.1, XP_013218637.1, XP_013218636.1
OG0000017	NP_666450.2	XP_021587110.1
OG0000017	NP_001011863.1, NP_001349594.1, NP_035132.2	XP_013215216.2
OG0000017	NP_666404.1	XP_005319549.1
OG0000018	NP_032236.1, XP_006532311.1, NP_032237.1	XP_005332630.1
OG0000018	NP_835734.2, NP_783584.1	XP_005331196.1
OG0000018	NP_038576.1	XP_021590090.1
OG0000018	NP_835514.1	XP_021590092.1
OG0000018	NP_001304932.1	XP_005342614.1
OG0000018	NP_001074488.1, NP_001357860.1	XP_013214667.1
OG0000019	NP_666953.1, NP_666661.2, NP_001011787.1, NP_001011803.2, NP_997034.1, NP_666474.1	XP_005337209.1, XP_005337210.1, XP_005342124.1, XP_005337214.1
OG0000019	NP_666514.2	XP_005337215.1, XP_040144992.1
OG0000019	NP_666513.2	XP_005337230.1
OG0000019	NP_666386.1	XP_005337206.1, XP_005337211.1, XP_005337213.1, XP_005337212.1
OG0000019	NP_666660.1	XP_005337207.1
OG0000020	XP_006539695.1, NP_035220.2, NP_001160144.1, NP_001371139.1, XP_006539491.1, NP_035219.2, XP_036008671.1, NP_001357997.1, XP_036008674.1, NP_001344323.1, XP_006539697.1	XP_040135762.1, XP_040135767.1, XP_040135766.1, XP_040135768.1
OG0000020	XP_006539826.1, NP_001074708.2	XP_040135765.1, XP_021577041.2
OG0000021	NP_666401.1, NP_666399.1, NP_666843.1, NP_001011753.2, NP_001013593.2, XP_011244764.1, NP_666489.1, NP_996552.1, NP_001011829.1, NP_667101.1	XP_013221841.1, XP_005341283.1, XP_005338900.1, XP_005338883.1
OG0000021	NP_666402.2	XP_005338882.1, XP_013221669.1
OG0000022	NP_291065.3	XP_013213574.1
OG0000022	NP_291072.1	XP_013213552.1
OG0000022	NP_291073.1	XP_005324326.2
OG0000022	NP_291068.2	XP_013213585.2
OG0000022	NP_291069.1	XP_021581332.1
OG0000022	NP_291071.1	XP_013213586.1
OG0000022	NP_291066.1	XP_013213555.1
OG0000022	NP_291064.1	XP_005324347.1
OG0000023	NP_001104528.1, XP_006540653.1, XP_036008866.1, NP_848821.2	XP_040134939.1, XP_021577018.2
OG0000024	NP_666650.1, NP_667041.2	XP_005339563.1, XP_013215405.1
OG0000024	NP_666958.1, NP_666957.1	XP_013220287.1
OG0000024	NP_667037.1, NP_666822.1, NP_001011826.1, NP_666820.2, NP_666651.1	XP_005339562.1, XP_013220292.1, XP_005339559.1, XP_005339605.1, XP_005339604.1, XP_013220289.1, XP_005339611.1, XP_005339609.1
OG0000024	NP_666824.1, NP_666825.1	XP_013220297.1, XP_005339612.1
OG0000026	XP_006528255.1, NP_001020555.2, XP_006528244.1, NP_001020554.1, NP_001092772.1, XP_006528185.1, XP_006528203.1, NP_001075139.1	XP_040142789.1, XP_040142791.1, XP_040142780.1, XP_040142788.1, XP_040142787.1
OG0000026	NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1	XP_040139817.1, XP_040139796.1, XP_040139827.1, XP_040139822.1, XP_021580893.1, XP_021580898.1, XP_040139802.1, XP_040139784.1, XP_040139812.1, XP_021580894.1, XP_021580895.1
OG0000027	NP_033473.1	XP_005330561.1
OG0000027	NP_033474.1	XP_005324967.1
OG0000027	NP_001029051.2	XP_040133806.1
OG0000027	NP_033475.1, NP_033472.1	XP_005334559.2
OG0000027	NP_035783.1, NP_035784.1	XP_005324965.1
OG0000028	NP_001011840.1, NP_666414.1	XP_013216725.1, XP_013216733.1, XP_013216705.1, XP_013216734.1, XP_013216727.1, XP_005331624.1, XP_005331721.1, XP_013216726.1, XP_013216740.1, XP_013216744.1, XP_013216722.1, XP_013216731.1, XP_005331720.1, XP_013216730.1, XP_013216721.2
OG0000028	NP_666902.1	XP_013216707.1
OG0000028	NP_666909.1, NP_666908.2	XP_005331626.1, XP_013216709.1, XP_005331724.1, XP_005331725.1, XP_005331715.1, XP_005331616.1, XP_005331617.1
OG0000029	NP_667207.2, XP_030104978.1, NP_667213.2, NP_667209.1	XP_040126529.1, XP_013221811.1, XP_005342657.1, XP_005342694.1, XP_005342692.1, XP_013221849.1, XP_013221850.1
OG0000031	NP_667273.1	XP_005338901.1, XP_005342398.1
OG0000031	NP_001011789.1	XP_005341354.1
OG0000031	NP_001011820.1, NP_666754.2	XP_005337155.1
OG0000031	NP_997455.1	XP_005328675.1
OG0000032	NP_619604.1	XP_021581396.1
OG0000033	NP_001334580.1, NP_954691.3	XP_021589393.1
OG0000034	NP_001160200.1	XP_040137375.1, XP_013221951.1, XP_021577264.1, XP_021575884.1, XP_013222002.1, XP_021577263.1, XP_040145010.1
OG0000034	NP_598934.1, NP_598933.1, NP_598930.1, NP_001160192.1, NP_598929.1, NP_598927.1, NP_598926.1, NP_598928.1, NP_001160191.1, NP_598931.1, NP_444467.2, NP_001095049.1, XP_017176828.1, XP_017176912.1, NP_598938.1, NP_444468.2, NP_598940.1, NP_598939.1, NP_444466.2, NP_444465.2, XP_006505735.1, NP_598937.1, XP_017176915.1, NP_598945.2, NP_444462.1, NP_001095003.1, NP_602318.2, NP_598932.1, NP_001160201.1, NP_598948.1, NP_001160182.1, NP_444461.2, NP_598946.2, NP_598936.1, NP_598935.2, NP_444463.2, NP_598944.1, NP_598943.1	XP_005342559.3, XP_040136147.1, XP_040136148.1, XP_005342370.3, XP_013220658.1, XP_005342640.1, XP_005342641.1, XP_005342739.1
OG0000035	NP_033738.1	XP_005337186.1
OG0000035	NP_001258970.1	XP_005320443.1
OG0000035	NP_031418.1	XP_005339240.1
OG0000035	NP_031419.1	XP_005340097.1, XP_005340095.1
OG0000035	NP_033739.1	XP_005332707.2
OG0000035	NP_780706.1	XP_005319663.1
OG0000035	NP_033740.2	XP_013215822.1
OG0000036	NP_082365.1, XP_006527418.1	XP_005333768.1
OG0000036	NP_082467.2, NP_001011707.1, NP_034131.2, NP_598905.2, NP_996260.1, XP_006527235.1, NP_001360866.1, NP_034132.2, NP_031841.3	XP_013217590.1, XP_021587606.1, XP_040128500.1, XP_005335361.2, XP_040128499.1, XP_005335356.1
OG0000036	XP_011245537.1, NP_663474.2	XP_005335354.1
OG0000038	NP_667230.1	XP_005331749.1
OG0000038	NP_666801.2, NP_997557.2, NP_997018.2, NP_666521.2	XP_021586319.1, XP_013221695.1, XP_005342450.1, XP_005331761.1, XP_005342444.1, XP_013221694.1
OG0000039	NP_076205.1	XP_005327562.1
OG0000039	NP_033476.1	XP_005327565.1
OG0000039	NP_035785.1	XP_005341100.1
OG0000039	NP_666228.1	XP_005336936.1
OG0000039	NP_033477.2	XP_005332148.1
OG0000039	NP_075768.1	XP_005335464.1
OG0000039	NP_001074440.1	XP_005327158.1
OG0000040	NP_666393.1	XP_013213851.1
OG0000040	NP_666392.1	XP_005325163.1
OG0000040	NP_667247.1	XP_005325161.1
OG0000041	NP_001355135.1, NP_666478.1	XP_013221691.1, XP_013221690.1
OG0000041	NP_666803.1	XP_013221697.1, XP_013221693.1, XP_013221692.1
OG0000041	NP_666802.2	XP_013221787.1
OG0000041	NP_861539.2, XP_006499622.1, NP_666941.2	XP_013221688.1, XP_005342442.1, XP_040142692.1
OG0000042	NP_780740.2, NP_001030040.2, NP_991379.3, NP_997421.1, NP_991364.1	XP_040139669.1, XP_005326898.2, XP_005336026.2
OG0000042	NP_001275730.1, NP_705744.2, NP_694707.2, NP_694735.2, NP_001371138.1, NP_001368930.1	XP_040139674.1
OG0000043	NP_666422.1, NP_666708.1, NP_666948.1, NP_666949.1, NP_666946.1, NP_666709.1, NP_666707.1, NP_001011811.1, NP_001011810.2, NP_666943.1, NP_666710.1, NP_666944.1, NP_666419.2, NP_666476.1, NP_666423.1, NP_666954.1, NP_666637.1, NP_666636.1, NP_001011871.1, NP_666950.1, NP_666945.1	XP_013221030.1
OG0000044	NP_783583.1, NP_835515.1, NP_291074.1, NP_835582.1, NP_783587.1	XP_005337152.1
OG0000044	NP_694813.1	XP_040143434.1, XP_005331192.1
OG0000044	NP_835500.1	XP_040139588.1
OG0000044	NP_835499.1	XP_040143435.1
OG0000045	NP_001093105.1, XP_006532475.1	XP_005332936.1
OG0000045	NP_001074719.1	XP_005332932.1
OG0000045	NP_109604.1, XP_017169807.1	XP_013217180.1, XP_040125382.1, XP_013217178.1
OG0000045	XP_036012291.1, NP_796343.2	XP_021587077.1
OG0000045	NP_001034634.2	XP_040126471.1
OG0000045	NP_034985.2	XP_005332934.1
OG0000046	NP_001095058.1, NP_001355664.1, XP_006524820.1, NP_598888.1, NP_001191262.1, XP_030105833.1, NP_001191263.1, NP_001344717.1, NP_071879.1, NP_001191265.1, NP_001191264.1	XP_040146918.1
OG0000048	NP_031701.3, XP_030098465.1	XP_013218855.2
OG0000048	NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1	XP_005338303.3, XP_040134911.1
OG0000049	NP_065063.1	XP_040130229.1
OG0000049	NP_787953.2	XP_040149893.1, XP_040149885.1, XP_005325599.1
OG0000049	NP_035911.2, NP_001020551.3, XP_006509516.1, NP_001009548.1, XP_006509324.1, NP_034216.3	XP_013215733.3, XP_040123842.1, XP_040125817.1, XP_005334390.2, XP_040125827.1
OG0000050	NP_666838.1	XP_005321215.1
OG0000050	NP_667151.1, NP_667157.1, NP_667159.1, XP_030107398.1, NP_667154.1, NP_667156.1, NP_667162.1, NP_667158.1, NP_666839.1, NP_667149.1, NP_667160.1, NP_667161.1, NP_667155.1	XP_021579380.1, XP_013212110.1, XP_005321207.1
OG0000051	NP_034061.2	XP_005317186.1
OG0000051	NP_031760.2, XP_036013028.1	XP_013214570.1
OG0000051	NP_034062.3	XP_005317045.1
OG0000051	XP_011246185.1, NP_444415.2	XP_040140047.1
OG0000051	XP_011236954.1, NP_031761.1	XP_040123860.1, XP_040123859.1, XP_021582811.1, XP_040123857.1
OG0000051	XP_006528759.1, NP_001156627.1	XP_040137955.1
OG0000052	NP_001157093.1	XP_040137742.1, XP_040134609.1
OG0000053	XP_011244468.1, XP_006523200.2, XP_006523187.1, XP_006523182.1, NP_001365591.1, XP_006523197.1, XP_006523192.1, XP_006523195.1, XP_030105245.1, XP_030105227.1, XP_030105247.1, NP_001344928.1, XP_030105249.1, XP_030105240.1, XP_006523186.1, XP_006523199.1, XP_006523198.1, XP_006523183.1, XP_006523185.1, NP_034804.1, XP_006523188.1, XP_006523181.1, NP_001157087.1	XP_005323663.1, XP_005323664.1, XP_005323673.1, XP_005323669.1, XP_040143123.1, XP_005323662.1, XP_005323671.1, XP_005323672.1, XP_005323666.1, XP_005323668.1, XP_005323670.1
OG0000053	XP_030105235.1, XP_006523193.1	XP_021581028.1, XP_021580927.1
OG0000054	XP_030108264.1, NP_001396544.1	XP_040143179.1, XP_013221082.1
OG0000055	NP_001005488.1	XP_005341142.1
OG0000055	NP_667135.1, NP_667137.1, NP_666985.1, NP_666986.1, NP_666706.1, NP_666947.1	XP_005341134.1
OG0000055	NP_064687.2, NP_666984.1	XP_040142716.1
OG0000056	NP_997023.1	XP_005341596.1
OG0000056	NP_666435.1, NP_001011761.1, NP_001011804.1, XP_011237863.1	XP_005341589.2, XP_005330105.2, XP_005330107.1, XP_013216073.1, XP_013216064.1, XP_005330108.1, XP_005330006.1, XP_005329998.1
OG0000057	XP_017174374.2, XP_036011217.1, XP_036011223.1, NP_001013839.1	XP_040123927.1
OG0000057	NP_084470.1, XP_006529132.1, XP_036011762.1, XP_036018110.1, XP_011248127.1, NP_780606.3	XP_005326507.1
OG0000057	XP_011246334.1, NP_796029.2	XP_040123929.1
OG0000057	NP_001359160.1	XP_040124065.1
OG0000058	NP_001263422.1, XP_006511699.1, NP_001263411.1, NP_001263415.1, NP_001263414.1, NP_001263410.1, NP_034147.1, NP_001263421.1	XP_013214838.1, XP_005326978.1, XP_040125642.1, XP_040125644.1, XP_040125643.1, XP_013214840.1, XP_013214841.1, XP_040125641.1, XP_021583143.1, XP_040125645.1
OG0000059	XP_017172475.1, NP_666990.2, NP_001011791.1, NP_001011807.2, NP_666434.2	XP_005336829.1
OG0000059	NP_666509.2, NP_666433.1	XP_005336830.1
OG0000059	NP_666696.2, XP_017172474.1	XP_005336835.1, XP_005336834.1, XP_005336833.1, XP_005336831.1, XP_005336832.1
OG0000060	NP_064410.1, NP_001397567.1, NP_001397566.1, XP_036019016.1	XP_040125959.1, XP_040125955.1, XP_040125958.1, XP_040125951.1, XP_040125950.1, XP_021590911.1, XP_040125956.1, XP_040125953.1, XP_021590913.1, XP_040125954.1, XP_021590912.1, XP_005338352.1, XP_040125957.1
OG0000061	NP_032675.2, XP_011248383.1, NP_001074754.1, NP_032674.1, NP_001012323.1, XP_006538108.1, NP_001009550.1, NP_001034633.1, NP_001157998.1, NP_001334063.1, NP_001186935.1, NP_001334058.1, NP_001334060.1, NP_001186928.1, NP_001186933.1, NP_001186924.1, XP_003688833.1, XP_006537578.1, XP_006537546.1, XP_006537549.1, XP_030108871.1, XP_030108860.1, XP_030108849.1, XP_006537554.1, XP_006537544.1, XP_006537552.1, XP_006537543.1, XP_006537714.1, XP_006537550.1, XP_006537547.1, NP_001156483.1, NP_001156482.1, NP_112465.2, NP_001039015.1, NP_001128599.1, NP_001268908.1, NP_001186865.1, NP_001116119.1, NP_001334083.1, NP_001186262.1	XP_005329807.1
OG0000061	NP_084235.1, XP_017174827.1	XP_005337051.1
OG0000062	NP_001186233.1, NP_001186234.1, XP_011242683.1, NP_033150.2	XP_005329195.1
OG0000063	NP_001163872.1, NP_848860.1, NP_001351820.1, XP_006515972.1, NP_001351821.1	XP_040130435.1, XP_040130436.1, XP_040130430.1, XP_040130433.1, XP_021580498.1, XP_021580497.1, XP_040130434.1, XP_040130432.1, XP_021580501.1, XP_040130431.1, XP_021580495.1
OG0000064	NP_001408048.1, NP_001408050.1, NP_001153028.1, NP_001408047.1, NP_001153030.1, NP_001408049.1, NP_001153029.1, NP_031669.3, NP_001153027.1, XP_006535686.1	XP_013220820.1, XP_013220823.1, XP_040147630.1, XP_040147629.1, XP_040147632.1, XP_005340727.1, XP_013220822.1, XP_040147631.1, XP_013220821.1
OG0000065	NP_033108.1, NP_001311462.1, XP_006511723.1, NP_001311463.1, XP_036010295.1, XP_036020498.1, XP_036016113.1, XP_036017248.1, XP_036015591.1, XP_030099758.1	XP_040147114.1, XP_040125725.1, XP_013214925.1, XP_005327044.1
OG0000066	XP_036011071.1	XP_005333004.1
OG0000067	NP_001011531.3, NP_997036.2, NP_667090.1, NP_001011861.3, NP_666713.2, NP_997578.1	XP_040128093.1, XP_005342374.1, XP_005341491.1, XP_040125492.1, XP_005341494.1
OG0000068	NP_666899.1	XP_005331711.2
OG0000068	NP_666895.1	XP_005331611.1
OG0000069	NP_780707.1, XP_006519052.1	XP_005339955.1
OG0000069	XP_011245927.1, NP_001093931.1	XP_040142748.1, XP_040142751.1
OG0000069	NP_694809.1	XP_005338558.1
OG0000069	NP_081714.2	XP_005321271.1
OG0000069	NP_001136409.1, NP_071718.1	XP_005339204.1, XP_040132166.1
OG0000070	NP_001408084.1, NP_001408087.1, NP_001156869.1, NP_001408082.1, NP_001408085.1, NP_001408094.1, NP_001408096.1, NP_001408088.1, NP_034618.2, XP_006502857.1, NP_001408095.1, NP_001408093.1, NP_001408081.1, NP_001408086.1, NP_001033787.1, NP_001408091.1, NP_001408090.1	XP_040144576.1
OG0000071	NP_001028804.1, NP_001106186.1, NP_081096.3, NP_001347656.1, NP_001347657.1, NP_001257647.1, NP_079654.1, XP_030098981.1, NP_109619.1	XP_021576711.1
OG0000072	XP_011245661.1, NP_082595.1	XP_021588893.1, XP_040129688.1, XP_040129687.1, XP_021588891.1, XP_005335343.1, XP_021588892.1, XP_021588895.1, XP_021588896.1, XP_040129689.1, XP_021588894.1
OG0000073	NP_667239.2	XP_005342816.1, XP_005342237.1
OG0000073	NP_997448.1, NP_666409.2	XP_013221782.1
OG0000074	NP_001290168.1, NP_001290160.1, NP_032061.1	XP_040140831.1, XP_040140832.1, XP_005323213.1
OG0000074	NP_001399363.1, NP_001399368.1, NP_001399365.1, NP_001239483.1, NP_001399364.1, NP_001399362.1, NP_001399360.1, NP_001399366.1, NP_032060.2, NP_001399367.1, NP_001239481.1, NP_001399358.1, XP_006507427.1, NP_001239482.1, NP_001399357.1, NP_001399359.1, NP_001399361.1	XP_005323210.1, XP_005323211.1
OG0000075	NP_076263.1	XP_040144985.1
OG0000075	XP_017173961.1, NP_001078975.1	XP_013221794.2, XP_040142725.1, XP_005338587.1
OG0000075	NP_001349815.1	XP_040142267.1
OG0000076	NP_291054.1	XP_005324331.2, XP_005324330.2
OG0000076	NP_291057.1	XP_005324328.1
OG0000076	NP_291052.3	XP_013213557.1
OG0000076	NP_291053.1	XP_021581334.1
OG0000077	NP_666242.2, NP_932758.1	XP_040150448.1
OG0000077	NP_001034218.1	XP_013213894.1
OG0000078	NP_035521.1, NP_001345425.1, NP_001345844.1, XP_006513469.1	XP_021589222.1, XP_021589221.1, XP_013218509.1, XP_040136333.1, XP_040136334.1, XP_013218507.1, XP_013218508.1, XP_040136331.1, XP_040136332.1
OG0000079	NP_001103619.1, NP_001103620.1, XP_006532461.1, NP_001103618.1, NP_034924.3	XP_013220941.1, XP_005340932.1, XP_005340931.1
OG0000080	NP_080916.1	XP_040140226.1, XP_040140227.1, XP_005331613.1, XP_040140229.1, XP_040140228.1, XP_040140224.1
OG0000081	XP_006539346.1, NP_084224.1	XP_021575563.1, XP_040145147.1, XP_040145142.1, XP_021576963.1, XP_013221456.1, XP_013221526.3, XP_021576301.1, XP_005341988.2, XP_005335236.1, XP_005342842.1, XP_040145077.1, XP_013221831.1, XP_013218252.1, XP_021588814.1, XP_021577065.1, XP_040145140.1, XP_005318914.1, XP_040141003.1, XP_040137918.1
OG0000082	NP_001191963.1	XP_021575720.2
OG0000084	NP_001357555.1, NP_001171137.2, NP_001034333.3, NP_001357556.1	XP_040129409.1, XP_021578200.1, XP_040129406.1, XP_040129405.1, XP_040129407.1, XP_040129408.1
OG0000085	NP_667036.2	XP_005342171.1
OG0000085	NP_001011748.1	XP_021576992.1, XP_005342205.1, XP_013221555.1, XP_013221556.1
OG0000085	NP_666451.1	XP_005342187.1, XP_005342175.2, XP_005342206.1
OG0000086	XP_006499529.1, NP_001005342.1	XP_040140257.1
OG0000086	NP_001366222.1, NP_001366224.1, NP_001366223.1, NP_079623.1	XP_005323877.1
OG0000086	NP_001005341.1	XP_040145207.1, XP_005321618.1, XP_040124999.1
OG0000087	NP_038735.2	XP_005323604.1
OG0000087	NP_034801.1, NP_081446.1, XP_030105222.1, NP_473441.1	XP_005323680.1, XP_005323681.1
OG0000087	NP_899012.1, NP_081431.1	XP_005323682.1
OG0000087	NP_038741.1	XP_040143119.1
OG0000088	NP_001258622.1, NP_001258624.1, NP_001258620.1, NP_062638.1, NP_001034145.1, NP_001258618.1, XP_006523005.1, NP_001258619.1, NP_001034146.1, NP_001258623.1, NP_001258621.1, NP_001258616.1	XP_021581027.1
OG0000089	NP_001011834.1, NP_666851.2, NP_666850.1	XP_005342230.1, XP_005342231.1, XP_005342228.1, XP_005342229.1, XP_005342224.1
OG0000089	NP_666869.2, NP_996559.1, NP_666405.1	XP_005342226.1, XP_005342227.1, XP_005342243.1, XP_021577011.1, XP_005342241.1
OG0000090	NP_001390709.1, NP_001390712.1, NP_001390707.1, NP_001390715.1, NP_001390708.1, NP_001390710.1, NP_001390711.1, NP_001390714.1, NP_001390694.1, NP_001390699.1, NP_001390696.1, NP_001390693.1, NP_001390698.1, NP_001390695.1, NP_001390697.1, NP_001390701.1, NP_001390700.1, NP_001390705.1, NP_061370.2, NP_001390716.1, NP_001390719.1, NP_001390718.1, NP_001390713.1, NP_001185823.1, NP_001390717.1, XP_017168066.1	XP_013221796.1
OG0000092	NP_666861.2, NP_666406.2, NP_666743.1, NP_997449.1, NP_666742.2	XP_005342974.1, XP_013221256.1, XP_005341611.1, XP_013221255.1, XP_005341610.1, XP_005341613.1
OG0000093	XP_017176645.1	XP_005339885.1
OG0000095	NP_032657.1	XP_040134807.1, XP_005318255.1, XP_040134808.1
OG0000095	NP_038631.1	XP_021577054.1
