Orthogroup	Homo_sapiens	Ictidomys_tridecemlineatus
OG0000026	NP_001164491.1, NP_689636.3, XP_011529158.1	XP_040139817.1, XP_040139796.1, XP_040139827.1, XP_040139822.1, XP_021580893.1, XP_021580898.1, XP_040139802.1, XP_040139784.1, XP_040139812.1, XP_021580894.1, XP_021580895.1
OG0000027	XP_047301630.1	XP_005330561.1
OG0000027	NP_116093.1	XP_005324967.1
OG0000027	NP_079079.1	XP_040133806.1
OG0000027	NP_997195.2, NP_525125.2, NP_005992.1	XP_005334559.2
OG0000027	NP_001257328.1, NP_006073.2	XP_005324965.1
OG0000028	NP_001005469.1	XP_013216720.1, XP_013216706.1, XP_013216725.1, XP_013216733.1, XP_013216705.1, XP_013216734.1, XP_013216727.1, XP_005331624.1, XP_005331721.1, XP_013216726.1, XP_013216740.1, XP_013216744.1, XP_013216722.1, XP_013216731.1, XP_005331720.1, XP_013216730.1, XP_013216721.2, XP_013216708.1, XP_005331676.1, XP_013216707.1
OG0000028	NP_001005489.1	XP_013216742.1, XP_005331627.1, XP_005331726.1, XP_005331628.1, XP_005331629.1
OG0000029	NP_001005516.1	XP_040126529.1, XP_013221811.1, XP_005342657.1, XP_005342694.1, XP_005342692.1, XP_013221849.1, XP_013221850.1
OG0000031	NP_001004492.1	XP_005341354.1
OG0000031	NP_001005226.1	XP_005342610.1, XP_005341277.1, XP_005341276.1, XP_005338884.1
OG0000031	NP_149046.2	XP_005337155.1
OG0000031	NP_001013373.1	XP_005341500.1
OG0000032	NP_061727.1	XP_021581396.1
OG0000033	NP_777552.3, XP_005257084.1	XP_021589393.1
OG0000034	NP_776257.1	XP_005340382.1, XP_005341790.1, XP_040137376.1, XP_005341835.1, XP_013221896.1, XP_013221797.2, XP_040145017.1, XP_040145009.1, XP_021577046.2, XP_040137375.1, XP_013221951.1, XP_021577264.1, XP_021575884.1, XP_013222002.1, XP_021577263.1, XP_040145010.1, XP_005342559.3, XP_040136147.1, XP_040136148.1, XP_005342370.3, XP_013220658.1, XP_005342640.1, XP_005342641.1, XP_005342739.1
OG0000035	NP_001393411.1	XP_005337186.1
OG0000035	NP_001091.1	XP_005320444.1, XP_005320443.1
OG0000035	NP_001135417.1	XP_005339240.1
OG0000035	NP_001092.1	XP_005340097.1, XP_005340095.1
OG0000035	NP_001186883.1, NP_001605.1	XP_005332707.2
OG0000035	NP_001017992.1	XP_005319663.1
OG0000035	NP_001606.1	XP_005329403.1, XP_013215822.1
OG0000036	NP_000763.1	XP_005333768.1, XP_005333769.1, XP_021587598.1
OG0000038	NP_001005202.1	XP_021586319.1, XP_013221695.1, XP_005342450.1, XP_005331761.1, XP_005342444.1, XP_013221694.1
OG0000039	NP_821080.1	XP_005327562.1
OG0000039	NP_001060.1	XP_005327565.1
OG0000039	NP_821133.1	XP_005341100.1
OG0000039	NP_006079.1	XP_005336936.1
OG0000039	NP_001276052.1	XP_005332148.1
OG0000039	NP_006077.2	XP_005335464.1
OG0000039	XP_016883574.1, NP_110400.1	XP_005327158.1
OG0000041	NP_001004747.2	XP_013221691.1, XP_013221690.1
OG0000041	NP_001004745.1	XP_013221696.1, XP_013221689.1, XP_005342624.1
OG0000041	NP_001004746.2	XP_013221697.1, XP_013221693.1, XP_013221692.1, XP_013221787.1, XP_013221688.1, XP_005342442.1, XP_040142692.1
OG0000042	NP_001290544.1, NP_473371.1	XP_040139669.1, XP_005326898.2, XP_005336026.2
OG0000042	NP_001380507.1, NP_671732.3, NP_473372.3, NP_001357393.1, NP_473373.2	XP_005326905.1, XP_005326904.1, XP_040139671.1, XP_040139672.1, XP_005326901.2, XP_040139674.1
OG0000043	NP_703145.1	XP_013221030.1
OG0000044	NP_068803.1, NP_001029249.1, NP_778224.1, NP_003529.1	XP_005337152.1
OG0000044	NP_003533.1	XP_040136898.1, XP_040143434.1, XP_005331192.1
OG0000044	NP_003535.1	XP_040139588.1
OG0000044	NP_003534.1	XP_040143435.1
OG0000045	XP_011522172.1, NP_002461.2	XP_005332936.1
OG0000045	NP_003793.2	XP_005332932.1
OG0000045	NP_002463.2	XP_021587077.1
OG0000045	NP_060003.2, XP_016880165.1	XP_005332934.1
OG0000046	XP_024307109.1, NP_009184.1, XP_016882661.1, XP_016882304.1	XP_040146919.1
OG0000048	XP_016881688.1, NP_001349424.1, NP_001806.2	XP_013218855.2
OG0000048	XP_011525292.1, NP_002474.4, XP_011525508.1, NP_001807.2, XP_011524642.1, XP_011525288.1, XP_011525428.1, NP_001106881.1, NP_002776.3, NP_112536.2, XP_005259122.1, NP_002772.3, XP_016882492.1, NP_001123486.1, NP_001123640.1, NP_001193579.1, NP_002774.2, XP_047295059.1, NP_002771.2, NP_001027020.1, NP_002773.1, XP_016882496.1, NP_002775.3, NP_066296.2, NP_001284702.1, NP_001123639.1, NP_874366.1, XP_016881634.1, NP_001278413.1, NP_001703.2	XP_005338303.3, XP_040134911.1
OG0000049	NP_003804.2	XP_040130229.1
OG0000049	NP_003805.4, XP_005268208.1	XP_005343150.2
OG0000049	NP_001265056.1, NP_001265055.1, XP_011529858.1, NP_001124175.1, NP_001124177.1, NP_001124176.1, NP_055084.3, NP_001265054.1	XP_013214161.1, XP_040149893.1, XP_040149885.1, XP_005325599.1
OG0000050	NP_001004452.1	XP_005321215.1
OG0000051	NP_001836.3	XP_005317186.1
OG0000051	XP_005246334.1, NP_000082.2	XP_013214570.1
OG0000051	NP_001837.2	XP_005317045.1
OG0000051	NP_001274687.1, XP_006724680.1	XP_040140047.1
OG0000051	XP_005246338.1, NP_000083.3	XP_040123860.1, XP_040123859.1, XP_021582811.1, XP_040123857.1
OG0000051	XP_011529151.2, NP_203699.1	XP_040137955.1
OG0000052	NP_085144.1, XP_011528694.1	XP_040137742.1, XP_040134609.1
OG0000053	NP_853647.1	XP_005323663.1, XP_005323664.1, XP_005323673.1, XP_005323669.1, XP_040143123.1, XP_005323662.1, XP_005323671.1, XP_005323672.1, XP_005323666.1, XP_005323668.1, XP_005323670.1, XP_021581028.1, XP_021580927.1
OG0000054	NP_001358691.1, XP_047289901.1	XP_013221082.1
OG0000054	NP_001307581.1, NP_001754.2	XP_040132532.1, XP_040143180.1, XP_040144994.1, XP_005341253.2, XP_013221079.1, XP_013221071.2, XP_040144997.1, XP_005341251.1, XP_040144996.1, XP_040144998.1, XP_005341246.2, XP_040144995.1
OG0000054	NP_001756.2, XP_005245636.1	XP_005339464.1
OG0000054	NP_001755.1, XP_011508421.1	XP_040145000.1, XP_005339490.2
OG0000055	NP_703146.1	XP_040142716.1
OG0000056	NP_001001920.2	XP_005341596.1, XP_005341589.2, XP_005330105.2, XP_005330107.1, XP_013216073.1, XP_013216064.1, XP_005330108.1, XP_005330006.1, XP_005329998.1
OG0000057	XP_047302368.1, NP_009168.4	XP_040123927.1
OG0000057	NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3	XP_005326507.1
OG0000057	NP_001073860.1	XP_040124065.1
OG0000058	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2	XP_013214838.1, XP_005326978.1, XP_040125642.1, XP_040125644.1, XP_040125643.1, XP_013214840.1, XP_013214841.1, XP_040125641.1, XP_021583143.1, XP_040125645.1
OG0000059	NP_001005482.2, NP_001005515.1, NP_001005338.1, NP_001005514.1, NP_001005479.2	XP_013218997.2, XP_005336829.1, XP_005336830.1, XP_005336835.1, XP_005336834.1, XP_005336833.1, XP_005336831.1, XP_005336832.1
OG0000060	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1	XP_040125959.1, XP_040125955.1, XP_040125958.1, XP_040125951.1, XP_040125950.1, XP_021590911.1, XP_040125956.1, XP_040125953.1, XP_021590913.1, XP_040125954.1, XP_021590912.1, XP_005338352.1, XP_040125957.1
OG0000061	NP_001380590.1	XP_005337051.1
OG0000062	NP_000323.2	XP_005329195.1
OG0000063	NP_001335475.1, NP_001335476.1, XP_047286992.1, NP_001335472.1, NP_872332.1, NP_001335471.1, NP_001335473.1, NP_001335478.1, NP_001335477.1, NP_001335470.1	XP_040130435.1, XP_040130436.1, XP_040130430.1, XP_040130433.1, XP_021580498.1, XP_021580497.1, XP_040130434.1, XP_040130432.1, XP_021580501.1, XP_040130431.1, XP_021580495.1
OG0000064	NP_000063.2	XP_013220820.1, XP_013220823.1, XP_040147630.1, XP_040147629.1, XP_040147632.1, XP_005340727.1, XP_013220822.1, XP_040147631.1, XP_013220821.1
OG0000065	NP_000983.1	XP_040147114.1, XP_040125725.1, XP_013214925.1, XP_005327044.1
OG0000066	NP_000973.2	XP_005333004.1
OG0000067	NP_001004136.1, NP_001001827.1	XP_005341499.1
OG0000067	NP_001004694.2, NP_001004697.1, NP_001004696.2	XP_040128093.1, XP_005342374.1, XP_005341491.1, XP_040125492.1, XP_005341494.1
OG0000068	NP_001004729.1	XP_005331711.2
OG0000069	XP_011542667.1, NP_009188.1	XP_005339955.1
OG0000069	NP_443158.1, NP_001096620.1, NP_001171853.1, XP_016884741.1, NP_001096621.1	XP_040142748.1, XP_040142751.1
OG0000069	NP_116271.3	XP_021591066.1
OG0000069	NP_037496.4	XP_005338558.1
OG0000069	NP_006020.4	XP_005321271.1
OG0000069	NP_071434.2	XP_005339204.1, XP_040132166.1
OG0000070	NP_001338403.1, NP_001338402.1, NP_001338401.1, NP_001338405.1, NP_001372632.1, NP_001338404.1, NP_004423.2, NP_001338396.1, NP_001338397.1, NP_001338398.1, NP_001338399.1, NP_001338400.1, NP_001372631.1, NP_001372634.1, NP_001372625.1	XP_040141790.1
OG0000070	XP_011539191.1	XP_040144576.1
OG0000071	NP_003632.4, NP_066362.2, NP_006426.2	XP_021576711.1
OG0000072	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1	XP_021588893.1, XP_040129688.1, XP_040129687.1, XP_021588891.1, XP_005335343.1, XP_021588892.1, XP_021588895.1, XP_021588896.1, XP_040129689.1, XP_021588894.1
OG0000074	NP_001107007.1, NP_001107008.1, NP_000794.3, NP_001107006.1, XP_005273913.1	XP_040140831.1, XP_040140832.1, XP_005323213.1
OG0000074	NP_000793.1, NP_057941.1, NP_057936.1, NP_057937.1	XP_005323210.1, XP_005323211.1
OG0000075	NP_066386.3, NP_001238757.2, NP_001011543.3	XP_040142725.1, XP_005338587.1
OG0000076	NP_003727.1	XP_005324331.2, XP_005324330.2
OG0000076	NP_061750.1	XP_005324328.1
OG0000076	NP_061745.1	XP_013213557.1
OG0000076	NP_061746.1	XP_021581334.1
OG0000077	NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1	XP_040150448.1
OG0000077	NP_001376249.1, NP_001011724.1, NP_001011725.1	XP_013213528.1
OG0000077	NP_112420.1	XP_013213894.1
OG0000078	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1	XP_021589222.1, XP_021589221.1, XP_013218509.1, XP_040136333.1, XP_040136334.1, XP_013218507.1, XP_013218508.1, XP_040136331.1, XP_040136332.1
OG0000079	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1	XP_013220941.1, XP_005340932.1, XP_005340931.1
OG0000080	NP_001361795.1, NP_001361787.1, NP_001361786.1, NP_001361793.1, NP_001361796.1, NP_001299838.1, NP_001299840.1, NP_001361784.1, NP_001361779.1, NP_001361789.1, NP_001361782.1, NP_071357.2, NP_001299839.1, NP_001361790.1, NP_001361798.1, NP_001135991.1, NP_001135992.1, NP_001361799.1, NP_001361783.1, NP_001361785.1, NP_001361788.1, NP_001361733.1, NP_001361794.1, NP_001361777.1, NP_001361780.1, NP_001356386.1, NP_001361792.1, NP_942144.1, NP_001361781.1, NP_001135993.1, NP_001361778.1, NP_001361791.1, NP_001361797.1	XP_040140226.1, XP_040140227.1, XP_005331613.1, XP_040140229.1, XP_040140228.1, XP_040140224.1
OG0000081	NP_001305055.1, NP_001305056.1, XP_011528336.1, NP_001278646.1, NP_001278648.1, NP_996838.1, NP_996839.1, NP_996837.1, NP_996836.1, NP_006106.1, NP_001278645.1, NP_001278644.1	XP_005341438.1, XP_040147102.1
OG0000081	NP_001139816.2, XP_011539781.1, NP_001009611.2, NP_001091846.1, NP_001287820.1, NP_001010890.2, NP_001297063.1, NP_001293001.1, NP_001010889.1, NP_001013425.2, NP_001093322.2, XP_016856758.1, NP_001012277.2, NP_001012276.2, NP_001074299.2	XP_021575563.1, XP_040145147.1, XP_040145142.1, XP_021576963.1, XP_013221456.1, XP_013221526.3, XP_021576301.1, XP_005341988.2, XP_005335236.1, XP_005342842.1, XP_040145077.1, XP_013221831.1, XP_013218252.1, XP_021588814.1, XP_021577065.1, XP_040145140.1, XP_005318914.1, XP_040141003.1, XP_040137918.1
OG0000082	NP_941968.2	XP_021575720.2
OG0000082	NP_941972.1, NP_941962.1, NP_941961.3, NP_941960.2	XP_021575770.1, XP_040143062.1
OG0000083	NP_055465.1, NP_001309213.1, NP_001309214.1, XP_024307574.1	XP_013221660.2
OG0000083	NP_001026891.2	XP_021577079.1
OG0000083	NP_079316.2	XP_005342382.1
OG0000083	XP_016882583.1, NP_067645.3	XP_040135107.1
OG0000084	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1	XP_040129409.1, XP_021578200.1, XP_040129406.1, XP_040129405.1, XP_040129407.1, XP_040129408.1
OG0000085	NP_001005191.1	XP_005342171.1, XP_021576992.1, XP_005342205.1, XP_013221555.1, XP_013221556.1, XP_005342187.1, XP_005342175.2, XP_005342206.1, XP_013221558.1, XP_005342170.1, XP_005342207.1, XP_005342188.1
OG0000086	NP_659445.1, XP_047282487.1, NP_001350416.1	XP_040140257.1
OG0000086	NP_113665.3	XP_005323877.1
OG0000086	XP_047297311.1, NP_037445.1	XP_040145207.1
OG0000086	XP_016880110.1	XP_040124999.1
OG0000087	NP_853631.1, NP_853630.2, NP_853652.1	XP_005323680.1, XP_005323681.1, XP_005323682.1, XP_021581031.1
OG0000087	NP_853655.1, NP_853654.1	XP_040143119.1
OG0000088	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1	XP_021581027.1
OG0000089	NP_001001960.1	XP_005342230.1, XP_005342231.1, XP_005342228.1, XP_005342229.1, XP_005342224.1, XP_005342226.1, XP_005342227.1, XP_005342243.1, XP_021577011.1, XP_005342241.1
OG0000090	NP_001277071.1, NP_005673.3, NP_001357361.1, NP_001139243.1, NP_001357358.1, NP_001357357.1, NP_001357360.1, NP_001357359.1, NP_001357363.1, XP_005256294.1, NP_001357362.1, NP_001139245.1, NP_001357370.1, NP_958932.1, NP_958933.1, NP_001357369.1, NP_001357368.1, NP_001139242.1, NP_001357364.1, NP_001139244.1, NP_001357365.1, NP_001357383.1, NP_001357380.1, NP_001277072.1, NP_001357382.1, NP_001277073.1, NP_001357371.1, NP_001357367.1, NP_001357366.1, NP_001139246.1	XP_013221796.1
OG0000092	NP_001382988.1	XP_005341609.1
OG0000092	NP_001001967.1	XP_021577012.1
OG0000093	NP_001165415.1, NP_001354564.1, NP_001354587.1, NP_001354619.1, NP_001354629.1, NP_001354604.1, NP_001354569.1, NP_001354571.1, NP_079430.3, NP_001354615.1, NP_001354605.1, NP_001354627.1, NP_001354570.1, NP_001354603.1, NP_001354606.1, NP_001354621.1, NP_001354597.1, NP_001354596.1, NP_001354574.1, NP_001354618.1, NP_001354624.1, NP_001354637.1, NP_001354568.1, NP_001354608.1, NP_001354578.1, NP_001354576.1, NP_001354580.1, NP_001354622.1, NP_001354572.1, NP_001354633.1, NP_001354631.1, NP_001354577.1, NP_001354567.1, NP_001354598.1, NP_001354582.1, NP_001354594.1, NP_001354601.1, NP_001354623.1, NP_001354563.1, NP_001354562.1, NP_001354617.1, NP_001354573.1, NP_001354630.1, NP_001354589.1, NP_001354609.1, NP_001354600.1, NP_001354599.1, NP_001354591.1, NP_001354612.1, NP_001124437.1, NP_001354593.1, NP_001354614.1, NP_001354625.1, NP_001354626.1, NP_001354634.1, NP_001354607.1, NP_001354565.1, NP_001354611.1, NP_001354635.1, NP_001354632.1, NP_001354628.1, NP_001354620.1, NP_001354575.1, NP_001354602.1, NP_001354610.1, NP_001354613.1, NP_001354584.1, NP_001354595.1, NP_001354616.1, NP_001165416.1, NP_001165417.1, NP_001354566.1	XP_005339885.1
OG0000095	NP_116324.2	XP_040134807.1, XP_005318255.1, XP_040134808.1
OG0000095	NP_005945.1	XP_021577054.1
OG0000095	XP_047293202.1	XP_005318256.1
OG0000095	NP_005940.1, NP_005944.1	XP_005318257.1, XP_005318258.1
OG0000096	NP_002631.3, NP_001353127.1, NP_942130.1, NP_001335296.1, NP_001027018.1, NP_001335298.1, NP_001335297.1, NP_001263419.1, NP_001335299.1	XP_005323057.1, XP_013213016.1
OG0000096	NP_001258754.1, NP_004559.4, NP_001361445.1, NP_001284629.1, NP_001284628.1, NP_001258753.1, NP_001361444.1, NP_001182220.2, XP_011512974.1, NP_001258752.1, NP_001258751.1, NP_001361446.1	XP_021577205.1, XP_005335225.1, XP_005342091.1
OG0000099	XP_011527588.1, NP_061026.2, NP_001129316.1, XP_005260698.1	XP_040131356.1, XP_040131136.1, XP_040131134.1
OG0000099	NP_001397731.1, XP_047295839.1	XP_005342780.2
OG0000099	NP_001317657.1, XP_005260727.1	XP_005320610.2
