Orthogroup	Homo_sapiens	Sarcophilus_harrisii
OG0000009	NP_001229971.1, NP_002108.4, XP_054186779.1, NP_005505.2, XP_041536702.1, NP_002107.3, NP_001229687.1, NP_001350496.1, XP_054186575.1, XP_016866296.1, NP_005507.3	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2
OG0000010	NP_001005275.2	XP_031800130.1
OG0000010	NP_001005272.3, NP_001005274.1, NP_001005512.2	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1
OG0000011	NP_061992.3, NP_061753.1, NP_061763.1, NP_061759.1, NP_061757.1, NP_061754.1, NP_061755.1, NP_061760.2, NP_061993.3, NP_061756.1, NP_066008.2, NP_061761.1, NP_001290074.1, NP_061762.2, NP_056484.2, NP_061758.1	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3
OG0000016	NP_002168.1, NP_002160.1, NP_066282.1, NP_076918.1, NP_008831.3, NP_002163.2, NP_002164.1, NP_066401.2, NP_067091.1, NP_002162.1, NP_066546.1, NP_002166.2, NP_000596.2, NP_002161.2	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1
OG0000017	NP_001357568.2	XP_012398581.1
OG0000017	NP_036495.1	XP_003758428.1, XP_003758978.1, XP_003759273.1
OG0000018	NP_002098.1, NP_001365976.1, NP_001365975.1, NP_001365972.1	XP_031822886.1
OG0000018	NP_001116847.1	XP_023359832.1
OG0000018	NP_066403.2	XP_023358477.2
OG0000019	NP_001005504.1, NP_001005224.1, XP_016857897.1, NP_001395315.1, NP_001005221.2, NP_001005277.1	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2
OG0000019	NP_001005326.1	XP_031805360.1
OG0000021	NP_001001966.1, NP_001004732.2	XP_012404626.1, XP_003769277.1, XP_003769271.1, XP_003769272.1, XP_031820467.1, XP_003769273.1
OG0000022	NP_061740.2, NP_061737.1, NP_003726.1, NP_061742.1, NP_061743.1, NP_061744.1, NP_114477.1, NP_061736.1, NP_061741.1, NP_061735.1, NP_061738.1, NP_061739.2	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1
OG0000024	NP_001002905.1, NP_001005198.2	XP_003764405.1
OG0000026	NP_001164491.1, NP_689636.3, XP_011529158.1	XP_012397681.1, XP_012397680.1, XP_012397682.1
OG0000027	XP_047301630.1	XP_003765946.1
OG0000027	NP_116093.1	XP_023360032.2, XP_031820681.1
OG0000027	NP_061816.1	XP_023360426.1
OG0000027	NP_997195.2, NP_525125.2, NP_005992.1	XP_031804908.1
OG0000027	NP_001257328.1	XP_012407220.2
OG0000028	NP_001005469.1, NP_001005489.1, NP_001005566.1	XP_003774032.2
OG0000029	NP_001004737.1, NP_001004736.2, NP_001005517.1, NP_001005516.1	XP_003766414.1
OG0000031	NP_001004492.1	XP_003770492.1
OG0000031	NP_001005226.1, NP_149046.2, NP_036499.1, NP_001001915.1, NP_001013373.1	XP_003765338.1, XP_012400082.1, XP_031817645.1
OG0000032	NP_061730.1, NP_061733.1, NP_114063.1, NP_061731.1, NP_061723.1, NP_061728.1, NP_061732.1, NP_061734.1, NP_061724.1, NP_061726.1, NP_061725.1, NP_061727.1	XP_031809273.1
OG0000033	NP_006669.1, XP_016879522.1, XP_005257047.1, NP_009192.2	XP_012403541.1
OG0000033	XP_047291363.1, NP_620587.2	XP_023358276.2
OG0000035	NP_001393411.1	XP_003756019.1
OG0000035	NP_001091.1	XP_003767872.1
OG0000035	NP_001135417.1	XP_031812848.1, XP_031812850.1
OG0000035	NP_001092.1	XP_003761602.1
OG0000035	NP_001186883.1, NP_001605.1	XP_031821487.1
OG0000035	NP_001017992.1	XP_003759426.1
OG0000035	NP_001606.1	XP_031805495.1
OG0000036	NP_000763.1, NP_001185784.1, NP_001185782.1, NP_001185783.1, NP_000761.3, NP_000760.1, NP_000762.2	XP_003755303.1, XP_003755291.1
OG0000039	NP_821080.1	XP_031802795.1
OG0000039	NP_001060.1	XP_003760265.2
OG0000039	NP_821133.1	XP_003768941.1
OG0000039	NP_006079.1	XP_003757584.1
OG0000039	NP_001276052.1	XP_031803594.1
OG0000039	NP_006077.2	XP_031805964.1
OG0000039	XP_016883574.1, NP_110400.1	XP_031807551.1
OG0000039	NP_001290453.1	XP_003760117.1
OG0000041	NP_001004747.2, NP_001004745.1, NP_001004746.2	XP_023362197.2, XP_031799550.1
OG0000042	NP_001290544.1, NP_473371.1, NP_001380507.1, NP_671732.3, NP_473372.3, NP_001357393.1, NP_473373.2	XP_031798147.1
OG0000044	NP_068803.1, NP_001029249.1, NP_778224.1, NP_003529.1	XP_023353357.1
OG0000044	NP_003533.1	XP_012405112.1
OG0000044	NP_003530.1, NP_003532.1, NP_003535.1	XP_031801760.1
OG0000044	NP_003537.1	XP_023359833.2
OG0000045	XP_011522172.1, NP_002461.2	XP_003759383.1
OG0000045	NP_003793.2	XP_031821400.1
OG0000045	NP_002463.2	XP_003759381.1
OG0000045	NP_060003.2, XP_016880165.1	XP_031821399.1
OG0000046	NP_001073.3, NP_001186137.1, NP_001186138.1, NP_001356625.1, NP_000887.2, NP_076433.3, NP_001122404.1, NP_067010.3, XP_024307109.1, NP_009184.1, XP_016882661.1, XP_016882304.1	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1
OG0000048	NP_008821.2, NP_001278414.1, XP_016881688.1, NP_001349424.1, NP_001806.2, NP_001091976.3, XP_016882919.1, XP_011525292.1, NP_002474.4, XP_011525508.1, NP_001807.2, XP_011524642.1, XP_011525288.1, XP_011525428.1, NP_001106881.1, NP_002776.3, NP_112536.2, XP_005259122.1, NP_002772.3, XP_016882492.1, NP_001123486.1, NP_001123640.1, NP_001193579.1, NP_002774.2, XP_047295059.1, NP_002771.2, NP_001027020.1, NP_002773.1, XP_016882496.1, NP_002775.3, NP_066296.2, NP_001284702.1, NP_001123639.1, NP_874366.1, XP_016881634.1, NP_001278413.1, NP_001703.2	XP_012402396.1
OG0000049	NP_003804.2, NP_003805.4, XP_005268208.1, NP_001265056.1, NP_001265055.1, XP_011529858.1, NP_001124175.1, NP_001124177.1, NP_001124176.1, NP_055084.3, NP_001265054.1	XP_003756342.1, XP_031808465.1
OG0000050	NP_001004451.1, NP_473448.1, XP_024303284.1, NP_001004452.1	XP_023363165.1
OG0000051	NP_001836.3	XP_003765783.1
OG0000051	XP_005246334.1, NP_000082.2	XP_031813804.1
OG0000051	NP_001837.2	XP_023356253.1, XP_003765782.2
OG0000051	NP_001274687.1, XP_006724680.1, XP_005246338.1, NP_000083.3	XP_031813802.1, XP_031813803.1
OG0000051	XP_011529151.2, NP_203699.1	XP_031800822.1
OG0000052	NP_085144.1, XP_011528694.1, NP_663612.2, XP_011528379.1, NP_112092.2, NP_001130013.1, NP_001349856.1, NP_003652.2, NP_001130012.1, NP_663318.1, NP_663615.1, XP_047297460.1, NP_663693.1	XP_023360233.1, XP_031794166.1
OG0000053	NP_853646.1, NP_853647.1, NP_853651.1	XP_031820019.1, XP_023357177.1, XP_031820025.1, XP_031815092.1, XP_031815091.1, XP_031820027.1, XP_031820028.1, XP_023354635.1, XP_023354634.1, XP_031820032.1, XP_031817123.1, XP_031820020.1, XP_031820023.1, XP_031820030.1, XP_023354638.1
OG0000054	NP_001358691.1, XP_047289901.1, NP_001307581.1, NP_001754.2, NP_001756.2, XP_005245636.1, NP_001755.1, XP_011508421.1	XP_012403485.2
OG0000055	NP_703146.1	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1
OG0000056	NP_001001920.2	XP_003773826.1, XP_003773836.1, XP_003773828.1
OG0000057	XP_047302368.1, NP_009168.4, NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3, NP_001073860.1	XP_031825154.1
OG0000058	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2	XP_031815049.1, XP_031815044.1, XP_031815058.1
OG0000060	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1
OG0000061	NP_001380590.1	XP_031810834.1
OG0000062	NP_000323.2	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1
OG0000063	NP_001335475.1, NP_001335476.1, XP_047286992.1, NP_001335472.1, NP_872332.1, NP_001335471.1, NP_001335473.1, NP_001335478.1, NP_001335477.1, NP_001335470.1	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1
OG0000064	NP_000063.2	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1
OG0000065	NP_000983.1	XP_003762637.1
OG0000066	NP_000973.2	XP_012402739.1, XP_003766943.1
OG0000068	NP_001004729.1	XP_031797906.1
OG0000069	XP_011542667.1, NP_009188.1, NP_443158.1, NP_001096620.1, NP_001171853.1, XP_016884741.1, NP_001096621.1, NP_116271.3, NP_037496.4, NP_006020.4, NP_071434.2	XP_012396962.1
OG0000070	NP_001338403.1, NP_001338402.1, NP_001338401.1, NP_001338405.1, NP_001372632.1, NP_001338404.1, NP_004423.2, NP_001338396.1, NP_001338397.1, NP_001338398.1, NP_001338399.1, NP_001338400.1, NP_001372631.1, NP_001372634.1, NP_001372625.1	XP_031799314.1
OG0000070	XP_011539191.1	XP_031825010.1
OG0000071	NP_003632.4, NP_066362.2, NP_006426.2	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1
OG0000072	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1	XP_031812030.1, XP_023363032.1
OG0000074	NP_001107007.1, NP_001107008.1, NP_000794.3, NP_001107006.1, XP_005273913.1, NP_000795.2, NP_000793.1, NP_057941.1, NP_057936.1, NP_057937.1	XP_031817868.1, XP_031817870.1, XP_031817869.1
OG0000076	NP_003727.1, NP_061748.1, NP_061750.1, NP_061749.1, NP_061747.2, NP_061745.1, NP_061746.1	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2
OG0000077	NP_001382099.1, NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1, NP_001317180.1, NP_001317179.1	XP_031816276.1
OG0000077	NP_112420.1	XP_003772367.1
OG0000078	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1
OG0000079	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1
OG0000080	NP_945185.1, NP_001136176.1, NP_001136175.1, NP_001361795.1, NP_001361787.1, NP_001361786.1, NP_001361793.1, NP_001361796.1, NP_001299838.1, NP_001299840.1, NP_001361784.1, NP_001361779.1, NP_001361789.1, NP_001361782.1, NP_071357.2, NP_001299839.1, NP_001361790.1, NP_001361798.1, NP_001135991.1, NP_001135992.1, NP_001361799.1, NP_001361783.1, NP_001361785.1, NP_001361788.1, NP_001361733.1, NP_001361794.1, NP_001361777.1, NP_001361780.1, NP_001356386.1, NP_001361792.1, NP_942144.1, NP_001361781.1, NP_001135993.1, NP_001361778.1, NP_001361791.1, NP_001361797.1	XP_012408351.1, XP_012408350.1
OG0000082	NP_941968.2, NP_941972.1, NP_941962.1, NP_941961.3, NP_941960.2	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1
OG0000083	NP_001308252.1, NP_055465.1, NP_001309213.1, NP_001309214.1, XP_024307574.1, NP_001026891.2, NP_079316.2, XP_016882583.1, NP_067645.3, NP_075562.2, XP_047295194.1	XP_031804876.1
OG0000084	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1
OG0000085	NP_001005191.1	XP_003763133.1, XP_003761019.2
OG0000086	XP_047282487.1	XP_003773922.1
OG0000086	NP_113665.3	XP_003762123.1
OG0000086	XP_047297311.1, NP_037445.1	XP_031804914.1
OG0000088	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1	XP_023354622.1
OG0000089	NP_001001960.1	XP_012408110.1, XP_003773886.1
OG0000090	NP_001277071.1, NP_005673.3, NP_001357361.1, NP_001139243.1, NP_001357358.1, NP_001357357.1, NP_001357360.1, NP_001357359.1, NP_001357363.1, XP_005256294.1, NP_001357362.1, NP_001139245.1, NP_001357370.1, NP_958932.1, NP_958933.1, NP_001357369.1, NP_001357368.1, NP_001139242.1, NP_001357364.1, NP_001139244.1, NP_001357365.1, NP_001357383.1, NP_001357380.1, NP_001277072.1, NP_001357382.1, NP_001277073.1, NP_001357371.1, NP_001357367.1, NP_001357366.1, NP_001139246.1	XP_031805765.1
OG0000092	NP_001382988.1, NP_001001967.1	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1
OG0000093	NP_001165415.1, NP_001354564.1, NP_001354587.1, NP_001354619.1, NP_001354629.1, NP_001354604.1, NP_001354569.1, NP_001354571.1, NP_079430.3, NP_001354615.1, NP_001354605.1, NP_001354627.1, NP_001354570.1, NP_001354603.1, NP_001354606.1, NP_001354621.1, NP_001354597.1, NP_001354596.1, NP_001354574.1, NP_001354618.1, NP_001354624.1, NP_001354637.1, NP_001354568.1, NP_001354608.1, NP_001354578.1, NP_001354576.1, NP_001354580.1, NP_001354622.1, NP_001354572.1, NP_001354633.1, NP_001354631.1, NP_001354577.1, NP_001354567.1, NP_001354598.1, NP_001354582.1, NP_001354594.1, NP_001354601.1, NP_001354623.1, NP_001354563.1, NP_001354562.1, NP_001354617.1, NP_001354573.1, NP_001354630.1, NP_001354589.1, NP_001354609.1, NP_001354600.1, NP_001354599.1, NP_001354591.1, NP_001354612.1, NP_001124437.1, NP_001354593.1, NP_001354614.1, NP_001354625.1, NP_001354626.1, NP_001354634.1, NP_001354607.1, NP_001354565.1, NP_001354611.1, NP_001354635.1, NP_001354632.1, NP_001354628.1, NP_001354620.1, NP_001354575.1, NP_001354602.1, NP_001354610.1, NP_001354613.1, NP_001354584.1, NP_001354595.1, NP_001354616.1, NP_001165416.1, NP_001165417.1, NP_001354566.1	XP_031797313.1
OG0000095	NP_116324.2	XP_003757317.1
OG0000095	NP_001288196.1, NP_005945.1	XP_031810396.1
OG0000096	NP_002631.3, NP_001353127.1, NP_942130.1, NP_001335296.1, NP_001027018.1, NP_001335298.1, NP_001335297.1, NP_001263419.1, NP_001335299.1, NP_001258754.1, NP_004559.4, NP_001361445.1, NP_001284629.1, NP_001284628.1, NP_001258753.1, NP_001361444.1, NP_001182220.2, XP_011512974.1, NP_001258752.1, NP_001258751.1, NP_001361446.1	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1
OG0000099	NP_001397731.1, XP_047295839.1	XP_012409388.1
OG0000099	NP_001317657.1, XP_005260727.1	XP_031805182.1, XP_031810473.1
OG0000100	NP_001269468.1	XP_031818873.1
OG0000100	NP_005264.2	XP_031821197.1, XP_031821198.1, XP_003768867.1
OG0000101	NP_001382108.1, NP_001382109.1, NP_001351158.1, NP_001351154.1, NP_001351156.1, NP_001382110.1, NP_001382107.1, NP_001351169.1, NP_001351161.1, NP_001351159.1, NP_001382106.1, NP_001351155.1, NP_001351157.1, NP_001382119.1, NP_001351166.1, NP_001351167.1, NP_001351165.1, NP_001351164.1, NP_001244222.1, NP_001351163.1, NP_001351162.1, NP_062543.1, NP_001027565.1, NP_001351176.1, NP_001382117.1, NP_001351177.1, NP_001382113.1, NP_001351175.1, NP_001382118.1, NP_001350501.1, NP_001351174.1, NP_001382112.1, NP_001351160.1, NP_001382105.1, NP_001382116.1, NP_001351173.1, NP_001351168.1, NP_005511.1, NP_001382111.1	XP_031809394.1
OG0000102	NP_001067.2, XP_054184520.1, NP_001068.1, NP_001065.2, NP_001066.1, XP_016864074.1, XP_016863792.1, NP_444267.1, XP_011529852.1, NP_001064.1, NP_066962.2	XP_031799036.1, XP_031799035.1
OG0000103	NP_001240837.1, NP_001345.1, NP_001344.2, NP_001809.4, NP_001382901.1, XP_047281112.1	XP_003772476.1
OG0000104	NP_443173.2, NP_997281.2, NP_940862.2	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1
OG0000105	NP_077021.1	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1
OG0000106	XP_011513765.1, NP_067046.1	XP_012395236.2
OG0000106	XP_047271680.1	XP_031797249.1
OG0000106	NP_001311387.1, NP_001311388.1, NP_037424.2	XP_031796163.1
OG0000106	NP_000423.2	XP_003761065.1
OG0000107	NP_001005323.1	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1
OG0000108	NP_001008492.1, NP_001307960.1, NP_001307964.1, NP_001307963.1, NP_001307959.1, NP_001307962.1, NP_001307961.1, NP_001336231.1, NP_001336218.1, NP_001008491.1, NP_001269902.1, NP_001336217.1, NP_006146.1, NP_004395.1, NP_001336219.1, NP_001336220.1, NP_001336216.1, XP_024308688.1, NP_001269901.1, NP_001307958.1, NP_001336235.1, NP_001336233.1, NP_001336234.1, NP_001336237.1, NP_001336243.1, NP_001336242.1, NP_001336240.1, NP_001336244.1, NP_001336239.1, NP_001336241.1, NP_001336238.1, NP_001336236.1	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1
OG0000109	NP_063950.2	XP_003763301.1
OG0000110	XP_011522164.2, NP_001172.1, NP_550434.1, NP_001188281.1, NP_550435.1, NP_550436.1, XP_011522163.1, NP_001662.1, NP_001184145.1, XP_011521915.1	XP_023358533.1
OG0000114	NP_005201.2, XP_016858891.1	XP_003766021.1
OG0000114	NP_008822.2, NP_055432.2, NP_066269.1, XP_054188132.1	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1
OG0000115	NP_001399849.1, NP_001399844.1, NP_001399847.1	XP_031793850.1, XP_031793851.1, XP_031793853.1
OG0000115	NP_001019398.1	XP_031816213.1
OG0000115	NP_001019399.1, NP_001649.1	XP_031816220.1
OG0000116	NP_057067.1	XP_031805759.1
OG0000116	NP_003329.1	XP_031812821.1
OG0000117	NP_001001918.1	XP_003765335.1, XP_003766613.1, XP_012402410.2, XP_012402716.2, XP_031813166.1, XP_031813167.1, XP_003765333.2, XP_003766611.1, XP_012402411.1, XP_031817647.1, XP_031813164.1, XP_003765336.1, XP_003766610.2
OG0000118	NP_001371270.1, NP_001371264.1, NP_705895.1, NP_001371266.1, NP_001371272.1, NP_001371269.1, NP_001371274.1, NP_001371267.1, NP_001371268.1, NP_001371265.1, NP_001371271.1, NP_109377.1, NP_001371273.1, NP_001371275.1	XP_031796389.1
