Orthogroup	Homo_sapiens	Urocitellus_parryii
OG0000004	NP_778235.1	XP_026259837.1
OG0000004	NP_808760.1	XP_026269954.1
OG0000004	NP_003508.1	XP_026259838.1
OG0000004	NP_734466.1	XP_026263475.1
OG0000005	NP_473446.1	XP_026237754.1, XP_026236696.1
OG0000006	XP_024302798.1	XP_026236425.1
OG0000006	XP_047289367.1	XP_026270592.1
OG0000007	NP_065684.1	XP_026235559.1
OG0000008	NP_001269444.1	XP_026249121.1
OG0000008	NP_001129745.1	XP_026268615.1
OG0000008	NP_001123370.1, NP_001034980.1	XP_026268556.1
OG0000008	NP_001275729.1	XP_026235043.1
OG0000008	NP_001191385.1, NP_066986.1	XP_026262971.1
OG0000008	NP_057349.2, NP_008887.2	XP_026262968.1
OG0000008	NP_001191442.1	XP_026246737.1
OG0000008	NP_001310956.1, NP_001121695.1, NP_001277137.1, NP_001277138.1, XP_011531546.1	XP_026237339.1, XP_026262695.1
OG0000008	XP_016878441.1	XP_026260312.1
OG0000010	NP_001005275.2	XP_026235016.1
OG0000010	NP_001005272.3, NP_001005274.1	XP_026237833.1, XP_026234999.1, XP_026235002.1
OG0000010	NP_001005512.2	XP_026235003.1, XP_026235031.1, XP_026235037.1, XP_026235026.1, XP_026235005.1, XP_026235024.1
OG0000011	NP_061992.3, NP_061753.1	XP_026240285.1
OG0000011	NP_061763.1	XP_026240157.1
OG0000011	NP_061759.1	XP_026240169.1
OG0000011	NP_061757.1	XP_026240287.1
OG0000011	NP_061754.1, NP_061755.1	XP_026240286.1
OG0000011	NP_061993.3, NP_061756.1, NP_066008.2	XP_026240203.1
OG0000011	NP_061761.1	XP_026240223.1
OG0000011	NP_001290074.1, NP_061762.2	XP_026240156.1
OG0000011	NP_056484.2	XP_026240283.1, XP_026240273.1, XP_026240279.1
OG0000012	NP_775970.2	XP_026267998.1
OG0000012	NP_872312.2	XP_026236424.1, XP_026236422.1
OG0000012	NP_001373794.1, XP_011543815.1, NP_002356.2	XP_026265286.1
OG0000012	XP_011543814.1, NP_002355.2, NP_002358.1, NP_803134.1, NP_002354.2, NP_796379.1	XP_026265287.1
OG0000012	NP_001264236.1, XP_047298311.1	XP_026252549.1
OG0000013	NP_001001958.1	XP_026267604.1
OG0000013	NP_001005193.2, NP_001005192.2	XP_026267646.1
OG0000014	NP_001277247.1	XP_026237452.1
OG0000014	NP_001019767.1	XP_026237457.1
OG0000014	NP_775902.2, NP_001317546.1, NP_001166244.1	XP_026237453.1
OG0000014	XP_047294519.1	XP_026238218.1
OG0000014	NP_060349.1	XP_026238215.1
OG0000014	NP_001010879.2	XP_026235497.1
OG0000014	NP_001363152.1, NP_001138461.1, XP_047295265.1, XP_005259324.1, NP_079038.2, NP_001303957.1, NP_001303959.1, XP_016881793.1, NP_001303956.1, NP_001303958.1, NP_597717.1, NP_116217.1, XP_047294178.1, NP_775903.3	XP_026235530.1
OG0000014	NP_001252526.1	XP_026235521.1
OG0000015	XP_047294550.1	XP_026237050.1, XP_026237057.1, XP_026238370.1, XP_026238358.1, XP_026238520.1, XP_026237048.1, XP_026238002.1, XP_026238003.1, XP_026238256.1, XP_026237055.1
OG0000016	NP_002160.1, NP_066282.1, NP_076918.1, NP_008831.3, NP_002163.2, NP_002164.1, NP_066401.2, NP_067091.1, NP_002162.1, NP_066546.1, NP_002166.2, NP_000596.2, NP_002161.2	XP_026254324.1, XP_026238530.1, XP_026254325.1, XP_026254326.1, XP_026253371.1, XP_026253373.1
OG0000017	NP_001357568.2	XP_026241043.1, XP_026241097.1
OG0000017	NP_036495.1	XP_026242115.1
OG0000018	NP_002098.1, NP_001365976.1, NP_001365975.1	XP_026261538.1
OG0000018	NP_001116847.1, NP_066403.2	XP_026263466.1
OG0000018	NP_001005464.1	XP_026263454.1
OG0000018	NP_003484.1	XP_026237964.1
OG0000019	NP_001005504.1, NP_001005224.1, XP_016857897.1, NP_001395315.1, NP_001005221.2, NP_001005277.1	XP_026237345.1
OG0000019	NP_001005326.1	XP_026237905.1
OG0000021	NP_112208.1	XP_026238466.1
OG0000022	NP_061740.2	XP_026240262.1
OG0000022	NP_061737.1	XP_026240150.1
OG0000022	NP_061743.1	XP_026240155.1
OG0000022	NP_114477.1	XP_026240267.1, XP_026240268.1
OG0000022	NP_061736.1	XP_026240151.1
OG0000022	NP_061741.1	XP_026240264.1
OG0000022	NP_061735.1	XP_026240207.1
OG0000022	NP_061738.1	XP_026240188.1
OG0000022	NP_061739.2	XP_026240152.1
OG0000023	XP_047293947.1, NP_001092082.1	XP_026237819.1
OG0000023	NP_003821.1	XP_026237812.1
OG0000024	NP_001002905.1, NP_001005198.2	XP_026236673.1, XP_026258497.1, XP_026236675.1
OG0000026	NP_001164491.1, NP_689636.3, XP_011529158.1	XP_026258673.1
OG0000027	XP_047301630.1	XP_026246086.1
OG0000027	NP_116093.1	XP_026262798.1
OG0000027	NP_001290044.1, NP_001290045.1, NP_001290046.1	XP_026257455.1
OG0000027	NP_061816.1	XP_026235932.1
OG0000027	NP_079079.1	XP_026247615.1
OG0000027	NP_001257328.1	XP_026262797.1
OG0000028	NP_001005469.1	XP_026262339.1, XP_026262308.1, XP_026262335.1, XP_026262348.1, XP_026262307.1, XP_026262356.1, XP_026262338.1, XP_026262331.1, XP_026262340.1, XP_026262349.1, XP_026262336.1, XP_026262347.1, XP_026262341.1, XP_026262306.1, XP_026262337.1, XP_026262311.1, XP_026262310.1, XP_026262309.1
OG0000028	NP_001005489.1	XP_026262354.1, XP_026262314.1, XP_026262353.1
OG0000028	NP_001005566.1	XP_026262305.1
OG0000029	NP_001004737.1, NP_001004736.2	XP_026258206.1, XP_026258216.1
OG0000029	NP_001005517.1	XP_026238363.1, XP_026237985.1
OG0000029	NP_001005516.1	XP_026237982.1, XP_026237984.1, XP_026238362.1, XP_026237981.1, XP_026238364.1, XP_026238418.1, XP_026258215.1, XP_026238417.1
OG0000031	NP_001005226.1	XP_026237275.1, XP_026269175.1, XP_026236879.1
OG0000031	NP_149046.2	XP_026270394.1
OG0000031	NP_001013373.1	XP_026236570.1
OG0000032	NP_061733.1, NP_114063.1	XP_026240211.1
OG0000032	NP_061727.1	XP_026240212.1
OG0000033	NP_006669.1, XP_016879522.1, XP_005257047.1, NP_009192.2, NP_001311002.1, NP_001392440.1	XP_026238436.1
OG0000033	NP_852114.2	XP_026260557.1
OG0000033	NP_777552.3, XP_005257084.1	XP_026238435.1
OG0000034	NP_776257.1	XP_026270890.1, XP_026238303.1, XP_026238250.1, XP_026238302.1, XP_026237958.1, XP_026238300.1, XP_026237374.1, XP_026237375.1, XP_026236419.1, XP_026237933.1, XP_026238249.1, XP_026237934.1, XP_026237957.1, XP_026237935.1, XP_026237936.1, XP_026237146.1
OG0000035	NP_001393411.1	XP_026247160.1
OG0000035	NP_001091.1	XP_026268236.1, XP_026268245.1
OG0000035	NP_001135417.1	XP_026236885.1
OG0000035	NP_001017992.1	XP_026241721.1
OG0000035	NP_001606.1	XP_026253217.1
OG0000036	NP_000763.1	XP_026238486.1
OG0000036	NP_001185784.1, NP_001185782.1, NP_001185783.1, NP_000761.3, NP_000760.1, NP_000762.2	XP_026237206.1
OG0000038	NP_001005202.1	XP_026236222.1, XP_026237400.1, XP_026237398.1, XP_026237393.1, XP_026237389.1, XP_026237397.1, XP_026237396.1
OG0000039	NP_821080.1, NP_001060.1	XP_026262914.1
OG0000039	NP_821133.1	XP_026270091.1
OG0000039	NP_006079.1	XP_026251210.1
OG0000039	NP_001276052.1	XP_026260187.1
OG0000039	XP_016883574.1, NP_110400.1	XP_026268040.1
OG0000039	NP_001290453.1	XP_026271275.1
OG0000041	NP_001004747.2	XP_026237394.1, XP_026237402.1
OG0000041	NP_001004745.1	XP_026238480.1
OG0000041	NP_001004746.2	XP_026237390.1, XP_026237391.1, XP_026237894.1, XP_026237395.1
OG0000042	NP_001290544.1, NP_473371.1	XP_026261070.1, XP_026261068.1, XP_026261071.1
OG0000042	NP_001380507.1, NP_671732.3, NP_473372.3, NP_001357393.1, NP_473373.2	XP_026270259.1, XP_026270260.1, XP_026270263.1, XP_026270262.1, XP_026261086.1, XP_026270257.1, XP_026270258.1
OG0000044	NP_001029249.1, NP_778224.1	XP_026270368.1
OG0000044	NP_003529.1	XP_026263468.1
OG0000044	XP_024307476.2, NP_003530.1, NP_003532.1, NP_003535.1, NP_003531.1, NP_003486.1	XP_026238635.1
OG0000044	NP_003537.1	XP_026237651.1
OG0000045	XP_011522172.1, NP_002461.2	XP_026246245.1
OG0000045	NP_003793.2	XP_026246339.1
OG0000045	NP_002463.2	XP_026246340.1
OG0000045	NP_060003.2, XP_016880165.1	XP_026246336.1
OG0000046	XP_024307109.1, NP_009184.1, XP_016882661.1, XP_016882304.1	XP_026245678.1
OG0000048	NP_001091976.3, XP_016882919.1	XP_026238478.1, XP_026259478.1
OG0000048	XP_011525292.1, NP_002474.4, XP_011525508.1, NP_001807.2, XP_011524642.1, XP_011525288.1, XP_011525428.1, NP_001106881.1, NP_002776.3, NP_112536.2, XP_005259122.1, NP_002772.3, XP_016882492.1, NP_001123486.1, NP_001123640.1, NP_001193579.1, NP_002774.2, XP_047295059.1, NP_002771.2, NP_001027020.1, NP_002773.1, XP_016882496.1, NP_002775.3, NP_066296.2, NP_001284702.1, NP_001123639.1, NP_874366.1, XP_016881634.1, NP_001278413.1, NP_001703.2	XP_026238476.1, XP_026259481.1, XP_026238531.1
OG0000049	NP_003804.2	XP_026238013.1
OG0000049	NP_003805.4, XP_005268208.1	XP_026258464.1, XP_026238012.1
OG0000049	NP_001265056.1, NP_001265055.1, XP_011529858.1, NP_001124175.1, NP_001124177.1, NP_001124176.1, NP_055084.3, NP_001265054.1	XP_026245541.1, XP_026245546.1
OG0000050	NP_001004451.1	XP_026242114.1
OG0000050	NP_473448.1, XP_024303284.1	XP_026242112.1
OG0000051	NP_001836.3	XP_026255320.1
OG0000051	XP_005246334.1, NP_000082.2	XP_026265318.1
OG0000051	NP_001837.2	XP_026255301.1
OG0000051	NP_001274687.1, XP_006724680.1	XP_026258432.1
OG0000051	XP_005246338.1, NP_000083.3	XP_026265330.1
OG0000051	XP_011529151.2, NP_203699.1	XP_026258425.1
OG0000052	NP_085144.1, XP_011528694.1	XP_026265990.1
OG0000052	NP_663612.2, XP_011528379.1, NP_112092.2, NP_001130013.1, NP_001349856.1, NP_003652.2, NP_001130012.1, NP_663318.1, NP_663615.1, XP_047297460.1, NP_663693.1	XP_026266000.1
OG0000053	NP_853647.1	XP_026249354.1, XP_026236552.1, XP_026238551.1, XP_026236551.1, XP_026249355.1, XP_026236549.1, XP_026249358.1, XP_026249357.1, XP_026236550.1, XP_026236548.1, XP_026249356.1, XP_026236547.1, XP_026236541.1, XP_026249293.1
OG0000054	NP_001358691.1, XP_047289901.1	XP_026270998.1, XP_026271004.1
OG0000054	NP_001307581.1, NP_001754.2	XP_026238394.1, XP_026238268.1, XP_026237669.1, XP_026237665.1, XP_026237668.1, XP_026238116.1, XP_026238118.1, XP_026236609.1, XP_026237666.1
OG0000054	NP_001756.2, XP_005245636.1	XP_026236607.1
OG0000054	NP_001755.1, XP_011508421.1	XP_026236611.1, XP_026236602.1, XP_026236612.1
OG0000056	NP_001001920.2	XP_026237827.1, XP_026237836.1, XP_026235023.1, XP_026235025.1, XP_026237828.1, XP_026237423.1, XP_026237835.1, XP_026237832.1, XP_026235015.1, XP_026234998.1
OG0000057	NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3	XP_026252071.1, XP_026252070.1, XP_026252069.1
OG0000057	NP_001073860.1	XP_026252062.1
OG0000058	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2	XP_026239838.1, XP_026239844.1, XP_026239836.1, XP_026239840.1, XP_026239843.1, XP_026239837.1, XP_026239835.1, XP_026239839.1, XP_026239834.1, XP_026239841.1, XP_026239833.1, XP_026239845.1, XP_026239842.1
OG0000059	NP_001005482.2, NP_001005515.1, NP_001005338.1, NP_001005514.1, NP_001005479.2	XP_026266847.1, XP_026266841.1, XP_026266840.1, XP_026266844.1, XP_026266832.1, XP_026266851.1
OG0000060	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1	XP_026267874.1
OG0000061	NP_001380590.1	XP_026251389.1
OG0000062	NP_000323.2	XP_026240359.1
OG0000063	NP_001335475.1, NP_001335476.1, XP_047286992.1, NP_001335472.1, NP_872332.1, NP_001335471.1, NP_001335473.1, NP_001335478.1, NP_001335477.1, NP_001335470.1	XP_026240951.1, XP_026240950.1
OG0000064	NP_000063.2	XP_026240727.1, XP_026240720.1, XP_026240726.1, XP_026240723.1, XP_026240721.1, XP_026240722.1, XP_026240725.1, XP_026240724.1, XP_026240719.1, XP_026240718.1
OG0000065	NP_000983.1	XP_026239723.1, XP_026239722.1, XP_026239720.1, XP_026239721.1
OG0000066	NP_000973.2	XP_026244187.1
OG0000067	NP_001004136.1, NP_001001827.1	XP_026236572.1
OG0000067	NP_001004694.2, NP_001004697.1, NP_001004696.2	XP_026238203.1
OG0000068	NP_001004729.1	XP_026267428.1, XP_026267431.1
OG0000069	XP_011542667.1, NP_009188.1	XP_026267381.1
OG0000069	NP_443158.1, NP_001096620.1, NP_001171853.1, XP_016884741.1, NP_001096621.1	XP_026259294.1
OG0000069	NP_116271.3	XP_026259295.1
OG0000069	NP_037496.4	XP_026259328.1
OG0000069	NP_006020.4	XP_026257779.1
OG0000069	NP_071434.2	XP_026250043.1
OG0000070	NP_001338394.1, NP_001338407.1, NP_001372622.1, NP_001338406.1, NP_001164668.1, NP_001164666.1, NP_001372623.1, NP_001338393.1, NP_001372630.1, NP_001372624.1	XP_026254290.1
OG0000070	XP_011539191.1	XP_026238079.1
OG0000071	NP_003632.4, NP_066362.2, NP_006426.2	XP_026235182.1
OG0000072	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1	XP_026250638.1
OG0000074	NP_001107007.1, NP_001107008.1, NP_000794.3, NP_001107006.1, XP_005273913.1	XP_026256774.1, XP_026256773.1
OG0000074	NP_000793.1, NP_057941.1, NP_057936.1, NP_057937.1	XP_026256772.1
OG0000075	NP_066386.3, NP_001238757.2, NP_001011543.3	XP_026259296.1
OG0000076	NP_003727.1	XP_026240265.1
OG0000076	NP_061750.1	XP_026240153.1
OG0000076	NP_061745.1	XP_026240261.1
OG0000076	NP_061746.1	XP_026240263.1
OG0000077	NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1, NP_001317180.1, NP_001317179.1	XP_026247781.1
OG0000077	NP_001376249.1, NP_001011724.1, NP_001011725.1, NP_002127.1, NP_001383170.1	XP_026260980.1
OG0000077	NP_112420.1	XP_026254605.1
OG0000078	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1	XP_026248742.1, XP_026248740.1, XP_026248741.1, XP_026248739.1, XP_026248743.1
OG0000079	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1	XP_026237408.1, XP_026237407.1, XP_026237406.1, XP_026237410.1, XP_026237409.1
OG0000081	NP_001305055.1, NP_001305056.1, XP_011528336.1, NP_001278646.1, NP_001278648.1, NP_996838.1, NP_996839.1, NP_996837.1, NP_996836.1, NP_006106.1, NP_001278645.1, NP_001278644.1	XP_026238355.1
OG0000081	NP_001139816.2, XP_011539781.1, NP_001009611.2, NP_001091846.1, NP_001287820.1, NP_001010890.2, NP_001297063.1, NP_001293001.1, NP_001010889.1, NP_001013425.2, NP_001093322.2, XP_016856758.1, NP_001012277.2, NP_001012276.2, NP_001074299.2	XP_026238588.1, XP_026237626.1, XP_026238576.1, XP_026238580.1, XP_026238669.1, XP_026238571.1, XP_026238482.1
OG0000083	NP_001308252.1	XP_026237839.1
OG0000083	NP_001026891.2	XP_026237843.1, XP_026237841.1, XP_026237844.1
OG0000083	NP_079316.2	XP_026237840.1
OG0000083	XP_016882583.1, NP_067645.3	XP_026237849.1
OG0000084	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1	XP_026249387.1, XP_026249389.1, XP_026249390.1, XP_026249386.1, XP_026249388.1
OG0000085	NP_001005191.1	XP_026237047.1, XP_026237052.1, XP_026237043.1, XP_026237051.1, XP_026237053.1, XP_026238257.1, XP_026237049.1, XP_026237058.1
OG0000086	NP_659445.1, XP_047282487.1, NP_001350416.1	XP_026262357.1
OG0000086	NP_113665.3	XP_026236713.1
OG0000086	XP_047297311.1, NP_037445.1	XP_026257517.1
OG0000086	XP_016880110.1	XP_026253782.1, XP_026253784.1, XP_026253783.1
OG0000087	NP_853631.1, NP_853630.2, NP_853652.1	XP_026236560.1, XP_026236561.1, XP_026251965.1, XP_026236562.1
OG0000087	NP_853655.1, NP_853654.1	XP_026236559.1
OG0000088	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1	XP_026255196.1
OG0000089	NP_001001960.1	XP_026235390.1, XP_026235380.1, XP_026235385.1, XP_026235383.1, XP_026235386.1, XP_026235382.1, XP_026235379.1, XP_026235387.1, XP_026235375.1
OG0000090	NP_001277071.1, NP_005673.3, NP_001357361.1, NP_001139243.1, NP_001357358.1, NP_001357357.1, NP_001357360.1, NP_001357359.1, NP_001357363.1, XP_005256294.1, NP_001357362.1, NP_001139245.1, NP_001357370.1, NP_958932.1, NP_958933.1, NP_001357369.1, NP_001357368.1, NP_001139242.1, NP_001357364.1, NP_001139244.1, NP_001357365.1, NP_001357383.1, NP_001357380.1, NP_001277072.1, NP_001357382.1, NP_001277073.1, NP_001357371.1, NP_001357367.1, NP_001357366.1, NP_001139246.1	XP_026251494.1
OG0000092	NP_001382988.1	XP_026235365.1
OG0000092	NP_001001967.1	XP_026235389.1
OG0000093	NP_001165415.1, NP_001354564.1, NP_001354587.1, NP_001354619.1, NP_001354629.1, NP_001354604.1, NP_001354569.1, NP_001354571.1, NP_079430.3, NP_001354615.1, NP_001354605.1, NP_001354627.1, NP_001354570.1, NP_001354603.1, NP_001354606.1, NP_001354621.1, NP_001354597.1, NP_001354596.1, NP_001354574.1, NP_001354618.1, NP_001354624.1, NP_001354637.1, NP_001354568.1, NP_001354608.1, NP_001354578.1, NP_001354576.1, NP_001354580.1, NP_001354622.1, NP_001354572.1, NP_001354633.1, NP_001354631.1, NP_001354577.1, NP_001354567.1, NP_001354598.1, NP_001354582.1, NP_001354594.1, NP_001354601.1, NP_001354623.1, NP_001354563.1, NP_001354562.1, NP_001354617.1, NP_001354573.1, NP_001354630.1, NP_001354589.1, NP_001354609.1, NP_001354600.1, NP_001354599.1, NP_001354591.1, NP_001354612.1, NP_001124437.1, NP_001354593.1, NP_001354614.1, NP_001354625.1, NP_001354626.1, NP_001354634.1, NP_001354607.1, NP_001354565.1, NP_001354611.1, NP_001354635.1, NP_001354632.1, NP_001354628.1, NP_001354620.1, NP_001354575.1, NP_001354602.1, NP_001354610.1, NP_001354613.1, NP_001354584.1, NP_001354595.1, NP_001354616.1, NP_001165416.1, NP_001165417.1, NP_001354566.1	XP_026261477.1
OG0000095	NP_116324.2	XP_026251505.1
OG0000095	XP_047293202.1	XP_026251477.1
OG0000095	NP_005940.1, NP_005944.1	XP_026251480.1, XP_026251479.1
OG0000096	NP_002631.3, NP_001353127.1, NP_942130.1, NP_001335296.1, NP_001027018.1, NP_001335298.1, NP_001335297.1, NP_001263419.1, NP_001335299.1	XP_026263269.1, XP_026263264.1, XP_026263266.1, XP_026263267.1, XP_026263268.1
OG0000096	NP_001258754.1, NP_004559.4, NP_001361445.1, NP_001284629.1, NP_001284628.1, NP_001258753.1, NP_001361444.1, NP_001182220.2, XP_011512974.1, NP_001258752.1, NP_001258751.1, NP_001361446.1	XP_026238210.1, XP_026254701.1, XP_026237445.1
OG0000099	XP_011527588.1, NP_061026.2, NP_001129316.1, XP_005260698.1	XP_026237257.1, XP_026237259.1, XP_026237260.1
OG0000099	NP_001397731.1, XP_047295839.1	XP_026265511.1
OG0000099	NP_001317657.1, XP_005260727.1	XP_026237588.1
OG0000100	NP_001269468.1	XP_026270649.1, XP_026270648.1, XP_026270647.1, XP_026270646.1
OG0000100	NP_005264.2	XP_026268918.1, XP_026268919.1
OG0000101	NP_001382108.1, NP_001382109.1, NP_001351158.1, NP_001351154.1, NP_001351156.1, NP_001382110.1, NP_001382107.1, NP_001351169.1, NP_001351161.1, NP_001351159.1, NP_001382106.1, NP_001351155.1, NP_001351157.1	XP_026270063.1
OG0000101	NP_062543.1, NP_001027565.1	XP_026266268.1, XP_026266270.1
OG0000103	NP_001240837.1, NP_001345.1, NP_001344.2, NP_001809.4	XP_026267848.1, XP_026267862.1, XP_026269364.1, XP_026268481.1
OG0000104	NP_940862.2	XP_026238452.1
OG0000105	NP_077021.1	XP_026251880.1
OG0000106	XP_011513765.1, NP_067046.1	XP_026255265.1
OG0000106	XP_047271680.1	XP_026235236.1
OG0000106	NP_001311387.1, NP_001311388.1, NP_037424.2	XP_026256155.1
OG0000106	NP_000423.2	XP_026241779.1
OG0000106	NP_612412.2, XP_016868282.1	XP_026252729.1
OG0000107	NP_001005323.1	XP_026262379.1, XP_026262378.1
OG0000108	NP_001008492.1, NP_001307960.1, NP_001307964.1, NP_001307963.1, NP_001307959.1, NP_001307962.1, NP_001307961.1, NP_001336231.1, NP_001336218.1, NP_001008491.1, NP_001269902.1, NP_001336217.1, NP_006146.1, NP_004395.1, NP_001336219.1, NP_001336220.1, NP_001336216.1, XP_024308688.1, NP_001269901.1, NP_001307958.1	XP_026270539.1
OG0000110	XP_011522164.2, NP_001172.1, NP_550434.1, NP_001188281.1, NP_550435.1, NP_550436.1	XP_026246377.1, XP_026246378.1
OG0000110	XP_011522163.1, NP_001662.1, NP_001184145.1	XP_026246357.1, XP_026246356.1, XP_026246355.1
OG0000110	XP_011521915.1	XP_026246390.1
OG0000111	NP_001243791.1, NP_001243782.1, NP_001229255.1, NP_001229261.1, NP_001243796.1, NP_001229256.1, NP_001229260.1, NP_001229257.1, NP_001229259.1, NP_001229258.1, NP_001243790.1, NP_001243789.1, NP_001243792.1, NP_001243783.1, NP_001243788.1, NP_001243823.2, NP_001243786.1, NP_001243784.1, NP_001243781.1, NP_001243798.1, NP_001243801.1, NP_001243803.1, NP_001243800.1, NP_001243802.1, NP_958804.2	XP_026238416.1
OG0000113	NP_001012997.1, NP_001006934.1, NP_116315.1, NP_001354719.1	XP_026236598.1, XP_026258677.1
OG0000114	NP_008822.2	XP_026250385.1
OG0000115	NP_001399843.1, NP_001399845.1, XP_024304740.1, NP_001399849.1, NP_001399844.1, NP_001399847.1	XP_026262880.1
OG0000116	NP_057067.1	XP_026266433.1
OG0000116	NP_003329.1	XP_026249009.1
OG0000117	NP_001001918.1	XP_026238628.1, XP_026238035.1, XP_026238034.1, XP_026238036.1, XP_026238209.1, XP_026236575.1
OG0000118	NP_001371270.1, NP_001371264.1, NP_705895.1, NP_001371266.1, NP_001371272.1, NP_001371269.1, NP_001371274.1, NP_001371267.1, NP_001371268.1, NP_001371265.1, NP_001371271.1, NP_109377.1, NP_001371273.1, NP_001371275.1	XP_026256027.1, XP_026256028.1, XP_026256029.1
OG0000119	NP_001091678.1, NP_001091674.1, NP_001091676.1, NP_001091677.1, NP_001091675.1, NP_004957.1	XP_026255323.1, XP_026255327.1, XP_026255324.1, XP_026255326.1, XP_026255325.1
