Orthogroup	Homo_sapiens	Sus_scrofa
OG0000039	NP_001290453.1	XP_020951690.1
OG0000040	NP_001377778.1	XP_020946911.1
OG0000041	NP_001004747.2	XP_013843095.2
OG0000041	NP_001004746.2	XP_013842752.2, XP_020940716.1
OG0000042	NP_001290544.1, NP_473371.1	XP_013849950.2
OG0000043	NP_703145.1	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1
OG0000044	NP_001029249.1, NP_778224.1, NP_003529.1	XP_020955509.1
OG0000044	NP_003533.1	XP_020955506.1, XP_020945589.1, XP_020954094.1, XP_005665718.2
OG0000044	NP_003530.1, NP_003532.1, NP_003535.1	XP_020955508.1
OG0000045	XP_011522172.1, NP_002461.2	XP_013836784.2
OG0000045	NP_003793.2	XP_020921943.1
OG0000045	NP_002463.2	XP_020921928.1
OG0000045	NP_060003.2, XP_016880165.1	XP_020921694.1, NP_001116613.1
OG0000046	NP_001073.3, NP_001186137.1, NP_001186138.1, NP_001356625.1, NP_000887.2, NP_076433.3, NP_001122404.1, NP_067010.3	XP_003123481.1, XP_003123482.1
OG0000046	XP_024307109.1, NP_009184.1, XP_016882661.1, XP_016882304.1	XP_020939257.1, XP_020939261.1
OG0000048	XP_016881688.1, NP_001349424.1, NP_001806.2, NP_001091976.3, XP_016882919.1	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1
OG0000048	XP_011525288.1, XP_011525428.1, NP_001106881.1, NP_002776.3, NP_112536.2, XP_005259122.1, NP_002772.3, XP_016882492.1, NP_001123486.1, NP_001123640.1, NP_001193579.1, NP_002774.2, XP_047295059.1, NP_002771.2, NP_001027020.1, NP_002773.1, XP_016882496.1, NP_002775.3, NP_066296.2, NP_001284702.1, NP_001123639.1, NP_874366.1	XP_020953209.1, XP_020953207.1
OG0000049	NP_003805.4, XP_005268208.1	XP_020955074.1
OG0000050	NP_001004451.1	XP_003122186.1
OG0000050	NP_001004452.1	XP_013849275.1, XP_003353699.2, XP_020937927.1, XP_020931467.1, XP_013849276.2, XP_003122183.3, XP_020937911.1
OG0000051	NP_001836.3	XP_020921569.1
OG0000051	XP_005246334.1, NP_000082.2	XP_020930931.1
OG0000051	NP_001837.2	XP_020921568.1, XP_020921567.1
OG0000051	NP_001274687.1, XP_006724680.1	XP_020935520.1
OG0000051	XP_005246338.1, NP_000083.3	XP_020930930.1
OG0000051	XP_011529151.2, NP_203699.1	XP_020936437.1
OG0000052	NP_085144.1, XP_011528694.1	XP_003126117.4
OG0000052	NP_663612.2, XP_011528379.1, NP_112092.2, NP_001130013.1, NP_001349856.1, NP_003652.2, NP_001130012.1, NP_663318.1, NP_663615.1, XP_047297460.1, NP_663693.1	XP_020947205.1, XP_020947204.1, XP_020947202.1, XP_020947203.1, XP_020947206.1, XP_005663896.2
OG0000054	NP_001358691.1, XP_047289901.1	XP_005663291.1, NP_001096150.2
OG0000054	NP_001307581.1, NP_001754.2	XP_020946477.1, XP_005663286.1, NP_998996.1
OG0000054	NP_001755.1, XP_011508421.1	XP_020944088.1, NP_001090960.1
OG0000055	NP_703146.1	XP_013854347.2, XP_020917933.1
OG0000056	NP_001001920.2	XP_020938036.1
OG0000057	NP_009168.4	XP_003133754.1
OG0000057	NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3	XP_020931305.1
OG0000057	NP_001073860.1	XP_020931321.1, XP_020931326.1
OG0000058	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1
OG0000059	NP_001005482.2, NP_001005515.1, NP_001005338.1, NP_001005514.1, NP_001005479.2	XP_020924529.1, XP_020924626.1, XP_013836624.1, XP_013836617.1, XP_005657182.2, XP_020924540.1, XP_020926348.1, XP_013845622.2, XP_020925489.1, XP_003358904.1, XP_003358905.2, XP_020925490.1, XP_003132775.3, XP_003358912.2, XP_020925493.1, XP_003358906.2, XP_020925488.1, XP_020925494.1, XP_013836638.1, XP_005657183.1, XP_005654132.1
OG0000060	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1	NP_999516.1, XP_005652470.1
OG0000061	NP_001380590.1	XP_005660610.1
OG0000062	NP_000323.2	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1
OG0000063	NP_001335475.1, NP_001335476.1, XP_047286992.1, NP_001335472.1, NP_872332.1, NP_001335471.1, NP_001335473.1, NP_001335478.1, NP_001335477.1, NP_001335470.1	XP_005656395.2
OG0000064	NP_000063.2	NP_001038087.1, XP_005667748.1
OG0000065	NP_000983.1	NP_999115.1, XP_005669619.1
OG0000066	NP_000973.2	XP_020921173.1, XP_020921175.1, XP_003482912.1, XP_003482913.1
OG0000067	NP_001004136.1, NP_001001827.1	XP_020940727.1, XP_020941143.1
OG0000067	NP_001004694.2, NP_001004697.1, NP_001004696.2	XP_003354450.1, XP_003354451.1
OG0000068	NP_001004729.1	XP_020937829.1, XP_003122780.2, XP_020937358.1, XP_020938085.1, XP_020941123.1, XP_020938095.1, XP_020937552.1, XP_020938094.1, XP_020938045.1, XP_020938047.1, XP_003353895.1, XP_003122741.2, XP_003122742.1, XP_020938096.1, XP_020938092.1, XP_020938046.1, XP_020941120.1, XP_020938083.1, XP_020941121.1, XP_020938084.1, XP_003122781.2, XP_020938086.1
OG0000069	XP_011542667.1, NP_009188.1	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1
OG0000069	NP_443158.1, NP_001096620.1, NP_001171853.1, XP_016884741.1, NP_001096621.1	XP_020936151.1
OG0000069	NP_006020.4	XP_020955156.1
OG0000069	NP_071434.2	XP_020955290.1
OG0000070	NP_001338403.1, NP_001338402.1, NP_001338401.1, NP_001338405.1, NP_001372632.1, NP_001338404.1, NP_004423.2, NP_001338396.1, NP_001338397.1, NP_001338398.1, NP_001338399.1, NP_001338400.1, NP_001372631.1, NP_001372634.1, NP_001372625.1, NP_001338395.1, NP_001338392.1, NP_001338391.1, NP_001338387.1, NP_001338386.1, NP_001338385.1, NP_001338388.1, NP_001372636.1, NP_001372628.1, NP_001372629.1, NP_001338390.1, NP_001338389.1, NP_001372627.1, NP_001372633.1, NP_001372626.1, NP_001338384.1, XP_047278864.1, NP_001338394.1, NP_001338407.1, NP_001372622.1, NP_001338406.1, NP_001164668.1, NP_001164666.1, NP_001372623.1, NP_001338393.1, NP_001372630.1, NP_001372624.1	XP_020918409.1
OG0000071	NP_003632.4	XP_003124283.1, XP_003354456.1, XP_003124278.1
OG0000071	NP_066362.2, NP_006426.2	NP_001188311.1
OG0000072	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1
OG0000074	NP_001107007.1, NP_001107008.1, NP_000794.3, NP_001107006.1, XP_005273913.1	NP_999018.1, XP_005653705.1
OG0000074	NP_000793.1, NP_057941.1, NP_057936.1, NP_057937.1	XP_013854644.1, NP_999476.1
OG0000075	NP_066386.3, NP_001238757.2, NP_001011543.3	XP_020935538.1
OG0000076	NP_003727.1	XP_020940586.1, XP_020940577.1
OG0000076	NP_061750.1	XP_020940588.1, XP_020940576.1
OG0000076	NP_061745.1	XP_013850711.2
OG0000076	NP_061746.1	XP_020940578.1
OG0000077	NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1, NP_001317180.1, NP_001317179.1	XP_003133549.1
OG0000077	NP_002127.1	NP_001070686.1
OG0000077	NP_112420.1	XP_005663911.1
OG0000078	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1
OG0000079	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1	XP_005653026.1, NP_001072136.1
OG0000080	NP_945185.1, NP_001136176.1, NP_001136175.1	XP_005660933.1, XP_003353909.1, XP_013849754.1, XP_020938656.1
OG0000080	NP_001361795.1, NP_001361787.1, NP_001361786.1, NP_001361793.1, NP_001361796.1, NP_001299838.1, NP_001299840.1, NP_001361784.1, NP_001361779.1, NP_001361789.1, NP_001361782.1, NP_071357.2, NP_001299839.1, NP_001361790.1, NP_001361798.1, NP_001135991.1, NP_001135992.1, NP_001361799.1, NP_001361783.1, NP_001361785.1, NP_001361788.1, NP_001361733.1, NP_001361794.1, NP_001361777.1, NP_001361780.1, NP_001356386.1, NP_001361792.1, NP_942144.1, NP_001361781.1, NP_001135993.1, NP_001361778.1, NP_001361791.1, NP_001361797.1	XP_020940361.1
OG0000081	NP_001305055.1, NP_001305056.1, XP_011528336.1, NP_001278646.1, NP_001278648.1, NP_996838.1, NP_996839.1, NP_996837.1, NP_996836.1, NP_006106.1, NP_001278645.1, NP_001278644.1	XP_020928770.1
OG0000081	NP_001139816.2, XP_011539781.1, NP_001009611.2, NP_001091846.1, NP_001287820.1, NP_001010890.2, NP_001297063.1, NP_001293001.1, NP_001010889.1, NP_001013425.2, NP_001093322.2, XP_016856758.1, NP_001012277.2, NP_001012276.2, NP_001074299.2	XP_003482015.1, XP_005665076.2, XP_020953255.1, XP_003356200.1, XP_003356201.1, XP_020953254.1, XP_003127664.2, XP_005665073.2, XP_020953253.1
OG0000082	NP_941968.2	XP_003359050.3
OG0000082	NP_941972.1, NP_941962.1, NP_941961.3, NP_941960.2	XP_003359052.2, XP_003359045.1, XP_020927175.1, XP_020927172.1, XP_003359044.1, XP_003359047.1, XP_003359049.1, XP_003359051.1, XP_020927174.1, XP_020927177.1, XP_020927178.1, XP_013838057.1
OG0000083	NP_001308252.1	XP_020953231.1, XP_005653378.1
OG0000083	NP_055465.1, NP_001309213.1, NP_001309214.1, XP_024307574.1	XP_013850745.1
OG0000083	NP_001026891.2	XP_013850606.2
OG0000083	NP_079316.2	XP_020952917.1
OG0000083	XP_016882583.1, NP_067645.3	XP_013854174.2
OG0000083	NP_075562.2, XP_047295194.1	XP_005653359.1
OG0000084	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1
OG0000085	NP_001005191.1	XP_003123299.1, XP_003123284.1, XP_003123282.1, XP_003123283.1, XP_020941171.1, XP_003123287.1, XP_020941174.1, XP_020941168.1, XP_003123298.3
OG0000086	XP_047282487.1	XP_003122765.1
OG0000086	XP_047297311.1, NP_037445.1	XP_003133037.1
OG0000086	XP_016880110.1	XP_020922951.1, XP_020922950.1
OG0000087	NP_853631.1, NP_853630.2, NP_853652.1	XP_005657196.2, XP_013845637.2, XP_003358961.3
OG0000088	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1
OG0000089	NP_001001960.1	XP_020937102.1, XP_020937107.1, XP_020937786.1
OG0000090	NP_001277071.1, NP_005673.3, NP_001357361.1, NP_001139243.1, NP_001357358.1, NP_001357357.1, NP_001357360.1, NP_001357359.1, NP_001357363.1, XP_005256294.1, NP_001357362.1, NP_001139245.1, NP_001357370.1, NP_958932.1, NP_958933.1, NP_001357369.1, NP_001357368.1, NP_001139242.1, NP_001357364.1, NP_001139244.1, NP_001357365.1, NP_001357383.1, NP_001357380.1, NP_001277072.1, NP_001357382.1, NP_001277073.1, NP_001357371.1, NP_001357367.1, NP_001357366.1, NP_001139246.1	NP_001229985.1, XP_020948987.1
OG0000092	NP_001382988.1, NP_001001967.1	XP_020937104.1
OG0000093	NP_001165415.1, NP_001354564.1, NP_001354587.1	XP_020941598.1
OG0000095	NP_116324.2	XP_020949547.1
OG0000095	NP_005945.1	NP_999221.1
OG0000095	NP_005937.2, NP_005938.1, NP_005942.1, NP_005940.1, NP_005944.1	XP_003355856.1
OG0000095	NP_005943.1	XP_013843991.2
OG0000096	NP_002631.3, NP_001353127.1, NP_942130.1, NP_001335296.1, NP_001027018.1, NP_001335298.1, NP_001335297.1, NP_001263419.1, NP_001335299.1	XP_003353495.1
OG0000099	XP_011527588.1, NP_061026.2, NP_001129316.1, XP_005260698.1	XP_020933181.1, XP_020933183.1
OG0000099	NP_001317657.1, XP_005260727.1	XP_020932980.1, NP_001011508.1
