Orthogroup	Homo_sapiens	Canis_lupus_familiaris
OG0000033	NP_852114.2	XP_038402594.1
OG0000033	XP_047291363.1, NP_620587.2	XP_038402589.1
OG0000034	NP_776257.1	XP_038421184.1
OG0000035	NP_001393411.1	XP_038435896.1
OG0000035	NP_001091.1	XP_038389880.1
OG0000035	NP_001092.1	NP_001182774.2
OG0000035	NP_001605.1	NP_001003349.2
OG0000035	NP_001017992.1	XP_038386568.1
OG0000035	NP_001606.1	XP_038417669.1
OG0000038	NP_001005202.1	NP_001376082.1, XP_038418394.1, NP_001376034.1, NP_001376079.1
OG0000039	NP_821080.1	XP_038439969.1
OG0000039	NP_001060.1	XP_038439961.1
OG0000039	NP_821133.1	XP_038409373.1
OG0000039	NP_006079.1	XP_038404584.1
OG0000039	NP_001276052.1	XP_038423469.1
OG0000039	NP_006077.2	XP_038393912.1
OG0000039	XP_016883574.1, NP_110400.1	XP_038428666.1, XP_038428667.1
OG0000039	NP_001290453.1	XP_038399838.1
OG0000040	NP_001377778.1	NP_001375690.1
OG0000041	NP_001004747.2	XP_038420405.1, XP_038420406.1, NP_001375958.1
OG0000041	NP_001004746.2	NP_001376113.1, NP_001376111.1
OG0000042	NP_001290544.1, NP_473371.1	XP_038424119.1
OG0000043	NP_703145.1	NP_001375875.1
OG0000044	NP_001029249.1, NP_778224.1	NP_001361520.1
OG0000044	NP_003529.1	NP_001361518.1
OG0000044	NP_003533.1	NP_001361517.1, XP_038439907.1
OG0000044	NP_003530.1, NP_003532.1, NP_003535.1	XP_038440355.1
OG0000044	NP_003534.1	XP_038432068.1
OG0000045	XP_011522172.1, NP_002461.2	NP_001107184.1
OG0000045	NP_003793.2	XP_038392809.1
OG0000045	NP_002463.2	NP_001070703.1
OG0000045	NP_060003.2, XP_016880165.1	NP_001070262.1
OG0000046	NP_001073.3, NP_001186137.1, NP_001186138.1, NP_001356625.1, NP_000887.2, NP_076433.3, NP_001122404.1, NP_067010.3	XP_038422922.1, XP_038422926.1
OG0000048	XP_016881688.1, NP_001349424.1, NP_001806.2	NP_001106930.1
OG0000048	NP_001091976.3, XP_016882919.1	NP_001091015.1
OG0000048	XP_011525292.1, NP_002474.4, XP_011525508.1, NP_001807.2, XP_011524642.1, XP_011525288.1, XP_011525428.1, NP_001106881.1, NP_002776.3, NP_112536.2, XP_005259122.1, NP_002772.3, XP_016882492.1, NP_001123486.1, NP_001123640.1, NP_001193579.1, NP_002774.2, XP_047295059.1, NP_002771.2, NP_001027020.1, NP_002773.1, XP_016882496.1, NP_002775.3, NP_066296.2, NP_001284702.1, NP_001123639.1, NP_874366.1, XP_016881634.1, NP_001278413.1, NP_001703.2	NP_001091026.1, NP_001091021.1, XP_038381481.1
OG0000049	NP_003804.2	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1
OG0000049	NP_003805.4, XP_005268208.1	XP_038401904.1
OG0000049	NP_001265056.1, NP_001265055.1, XP_011529858.1, NP_001124175.1, NP_001124177.1, NP_001124176.1, NP_055084.3, NP_001265054.1	XP_038429560.1, XP_038429559.1, XP_038429558.1
OG0000051	NP_001836.3	XP_038425970.1
OG0000051	XP_005246334.1, NP_000082.2	XP_038429926.1
OG0000051	NP_001837.2	XP_038425967.1
OG0000051	NP_001274687.1, XP_006724680.1	XP_038443974.1
OG0000051	XP_005246338.1, NP_000083.3	NP_001026988.1
OG0000051	XP_011529151.2, NP_203699.1	NP_001002979.1
OG0000052	NP_085144.1, XP_011528694.1	XP_038406653.1
OG0000052	NP_663612.2, XP_011528379.1, NP_112092.2, NP_001130013.1, NP_001349856.1, NP_003652.2, NP_001130012.1, NP_663318.1, NP_663615.1, XP_047297460.1, NP_663693.1	XP_038407502.1, XP_038406617.1
OG0000053	NP_853646.1	XP_038437059.1
OG0000053	NP_853647.1	XP_038437063.1
OG0000053	NP_853651.1	XP_038437057.1, XP_038437061.1
OG0000054	NP_001358691.1, XP_047289901.1	XP_038442333.1
OG0000054	NP_001307581.1, NP_001754.2	NP_001122310.1, XP_038442330.1, NP_001122309.1
OG0000054	NP_001756.2, XP_005245636.1	NP_001122308.1
OG0000054	NP_001755.1, XP_011508421.1	NP_001124302.1
OG0000056	NP_001001920.2	XP_038418408.1
OG0000057	NP_009168.4	XP_038430031.1
OG0000057	NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3	XP_038430057.1
OG0000057	NP_001073860.1	XP_038430019.1
OG0000058	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2	NP_001029164.1
OG0000059	NP_001005482.2, NP_001005515.1, NP_001005338.1, NP_001005514.1, NP_001005479.2	XP_038438402.1, NP_001375792.1, XP_038438401.1, NP_001375911.1, XP_038438403.1
OG0000060	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1
OG0000061	NP_001380590.1	XP_038404743.1
OG0000062	NP_000323.2	XP_038440142.1
OG0000063	NP_001335475.1, NP_001335476.1, XP_047286992.1, NP_001335472.1, NP_872332.1, NP_001335471.1, NP_001335473.1, NP_001335478.1, NP_001335477.1, NP_001335470.1	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1
OG0000064	NP_000063.2	NP_001171205.2
OG0000065	NP_000983.1	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1, XP_038381496.1, XP_038385481.1
OG0000066	NP_000973.2	XP_038438120.1, XP_038441026.1, NP_001238973.1, XP_038394823.1, XP_038391773.1, XP_038418293.1, XP_038418454.1, XP_038431159.1
OG0000067	NP_001004136.1, NP_001001827.1	XP_038413461.1
OG0000067	NP_001004694.2, NP_001004697.1, NP_001004696.2	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1
OG0000068	NP_001004729.1	NP_001375752.1, NP_001375509.1, XP_038418387.1, NP_001375803.1
OG0000069	XP_011542667.1, NP_009188.1	XP_038429693.1, XP_038429692.1
OG0000069	NP_116271.3	XP_038442580.1
OG0000069	NP_006020.4	XP_038401156.1
OG0000069	NP_071434.2	XP_038401908.1
OG0000070	NP_001338403.1, NP_001338402.1, NP_001338401.1, NP_001338405.1, NP_001372632.1, NP_001338404.1, NP_004423.2, NP_001338396.1, NP_001338397.1, NP_001338398.1, NP_001338399.1, NP_001338400.1, NP_001372631.1, NP_001372634.1, NP_001372625.1	XP_038408465.1
OG0000070	XP_011539191.1	XP_038414006.1
OG0000071	NP_066362.2, NP_006426.2	XP_038418375.1, XP_038418377.1
OG0000072	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1
OG0000074	NP_001107007.1, NP_001107008.1, NP_000794.3, NP_001107006.1, XP_005273913.1	XP_038424692.1, XP_038424721.1
OG0000074	NP_000793.1, NP_057941.1, NP_057936.1, NP_057937.1	XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1
OG0000076	NP_003727.1	XP_038386352.1
OG0000076	NP_061748.1	XP_038386350.1
OG0000076	NP_061750.1	XP_038386344.1
OG0000076	NP_061749.1	XP_038386343.1
OG0000076	NP_061747.2	XP_038386351.1
OG0000076	NP_061746.1	XP_038386345.1
OG0000077	NP_001382099.1	XP_038396460.1
OG0000077	NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1	XP_038434167.1
OG0000077	NP_001376249.1, NP_001011724.1, NP_001011725.1	XP_038421758.1
OG0000077	NP_002127.1	XP_038427137.1
OG0000077	NP_112420.1	XP_038433776.1
OG0000078	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1
OG0000079	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1
OG0000080	NP_945185.1, NP_001136176.1, NP_001136175.1	XP_038419100.1
OG0000080	NP_001361795.1, NP_001361787.1, NP_001361786.1, NP_001361793.1, NP_001361796.1, NP_001299838.1, NP_001299840.1, NP_001361784.1, NP_001361779.1, NP_001361789.1, NP_001361782.1, NP_071357.2, NP_001299839.1, NP_001361790.1, NP_001361798.1, NP_001135991.1, NP_001135992.1, NP_001361799.1, NP_001361783.1, NP_001361785.1, NP_001361788.1, NP_001361733.1, NP_001361794.1, NP_001361777.1, NP_001361780.1, NP_001356386.1, NP_001361792.1, NP_942144.1, NP_001361781.1, NP_001135993.1, NP_001361778.1, NP_001361791.1, NP_001361797.1	XP_038419098.1, XP_038419099.1
OG0000081	NP_001305055.1, NP_001305056.1, XP_011528336.1, NP_001278646.1, NP_001278648.1, NP_996838.1, NP_996839.1, NP_996837.1, NP_996836.1, NP_006106.1, NP_001278645.1, NP_001278644.1	XP_038431683.1
OG0000082	NP_941968.2	XP_038437552.1
OG0000082	NP_941972.1, NP_941962.1, NP_941961.3, NP_941960.2	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1
OG0000083	NP_055465.1, NP_001309213.1, NP_001309214.1, XP_024307574.1	XP_038383884.1
OG0000083	NP_001026891.2	XP_038383872.1
OG0000083	XP_016882583.1, NP_067645.3	XP_038381465.1
OG0000084	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1
OG0000085	NP_001005191.1	NP_001375917.1, XP_038423318.1
OG0000086	NP_659445.1, XP_047282487.1, NP_001350416.1	XP_038419157.1, XP_038419158.1
OG0000086	NP_113665.3	XP_038395835.1
OG0000086	XP_047297311.1, NP_037445.1	XP_038431923.1
OG0000086	XP_016880110.1	XP_038403880.1, XP_038403879.1, XP_038403878.1, XP_038403881.1, XP_038403882.1
OG0000087	NP_853653.1, NP_853631.1, NP_853630.2, NP_853652.1	XP_038437657.1, XP_038437656.1, XP_038437054.1, XP_038437051.1, XP_038437052.1
OG0000087	NP_853655.1	XP_038437053.1
OG0000088	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1
OG0000089	NP_001001960.1	NP_001376137.1, XP_038418396.1, NP_001375994.1, NP_001375937.1
OG0000090	NP_001277071.1, NP_005673.3, NP_001357361.1, NP_001139243.1, NP_001357358.1, NP_001357357.1, NP_001357360.1, NP_001357359.1, NP_001357363.1, XP_005256294.1, NP_001357362.1, NP_001139245.1, NP_001357370.1, NP_958932.1, NP_958933.1, NP_001357369.1, NP_001357368.1, NP_001139242.1, NP_001357364.1, NP_001139244.1, NP_001357365.1, NP_001357383.1, NP_001357380.1, NP_001277072.1, NP_001357382.1, NP_001277073.1, NP_001357371.1, NP_001357367.1, NP_001357366.1, NP_001139246.1	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1
OG0000092	NP_001382988.1	NP_001375550.1
OG0000093	NP_001165415.1, NP_001354564.1, NP_001354587.1, NP_001354619.1, NP_001354629.1, NP_001354604.1, NP_001354569.1, NP_001354571.1, NP_079430.3, NP_001354615.1, NP_001354605.1, NP_001354627.1, NP_001354570.1, NP_001354603.1, NP_001354606.1, NP_001354621.1, NP_001354597.1, NP_001354596.1, NP_001354574.1, NP_001354618.1, NP_001354624.1, NP_001354637.1, NP_001354568.1, NP_001354608.1, NP_001354578.1, NP_001354576.1, NP_001354580.1, NP_001354622.1, NP_001354572.1, NP_001354633.1, NP_001354631.1, NP_001354577.1, NP_001354567.1, NP_001354598.1, NP_001354582.1, NP_001354594.1, NP_001354601.1, NP_001354623.1, NP_001354563.1, NP_001354562.1, NP_001354617.1, NP_001354573.1, NP_001354630.1, NP_001354589.1, NP_001354609.1, NP_001354600.1, NP_001354599.1, NP_001354591.1, NP_001354612.1, NP_001124437.1, NP_001354593.1, NP_001354614.1, NP_001354625.1, NP_001354626.1, NP_001354634.1, NP_001354607.1, NP_001354565.1, NP_001354611.1, NP_001354635.1, NP_001354632.1, NP_001354628.1, NP_001354620.1, NP_001354575.1, NP_001354602.1, NP_001354610.1, NP_001354613.1, NP_001354584.1, NP_001354595.1, NP_001354616.1, NP_001165416.1, NP_001165417.1, NP_001354566.1	XP_038395629.1
OG0000095	NP_116324.2	NP_001003150.1
OG0000095	NP_005937.2, NP_005938.1, NP_005942.1, NP_005940.1, NP_005944.1	NP_001003149.1
OG0000095	NP_005943.1	XP_038386933.1, NP_001003173.1, XP_038399958.1
OG0000096	NP_002631.3, NP_001353127.1, NP_942130.1, NP_001335296.1, NP_001027018.1, NP_001335298.1, NP_001335297.1, NP_001263419.1, NP_001335299.1	XP_038381766.1
OG0000096	NP_001258754.1, NP_004559.4, NP_001361445.1, NP_001284629.1, NP_001284628.1, NP_001258753.1, NP_001361444.1, NP_001182220.2, XP_011512974.1, NP_001258752.1, NP_001258751.1, NP_001361446.1	XP_038439954.1, XP_038439955.1, XP_038439957.1
OG0000099	NP_001397731.1, XP_047295839.1	XP_038428913.1, XP_038427754.1
OG0000099	NP_001317657.1, XP_005260727.1	XP_038427735.1
OG0000100	NP_001269468.1	NP_001003236.1
OG0000100	NP_005264.2	XP_038395171.1
OG0000101	NP_001382108.1, NP_001382109.1, NP_001351158.1, NP_001351154.1, NP_001351156.1, NP_001382110.1, NP_001382107.1, NP_001351169.1, NP_001351161.1, NP_001351159.1, NP_001382106.1, NP_001351155.1, NP_001351157.1	XP_038407694.1
OG0000101	NP_001382119.1	XP_038441038.1
OG0000101	NP_062543.1, NP_001027565.1	XP_038443802.1, XP_038443801.1, XP_038443800.1
OG0000102	NP_001067.2, XP_054184520.1, NP_001068.1, NP_001065.2, NP_001066.1, XP_016864074.1, XP_016863792.1, NP_444267.1, XP_011529852.1, NP_001064.1, NP_066962.2	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1
OG0000104	NP_940862.2	XP_038397375.1
