Orthogroup	Homo_sapiens	Myotis_lucifugus
OG0000012	NP_001373794.1, XP_011543815.1, NP_002356.2	XP_014308590.1
OG0000012	XP_011543814.1, NP_002355.2, NP_002358.1, NP_803134.1, NP_002354.2, NP_796379.1	XP_014305949.1, XP_014308593.1, XP_014308589.1, XP_006085751.1, XP_014308592.1
OG0000012	NP_001264236.1, XP_047298311.1	XP_006088682.1
OG0000013	NP_001001958.1	XP_006102505.1
OG0000014	NP_001019767.1	XP_023604382.1
OG0000014	NP_003426.3	XP_006103440.2
OG0000014	NP_775902.2, NP_001317546.1, NP_001166244.1	XP_023604027.1, XP_014304991.1, XP_014304989.1
OG0000014	NP_001363152.1, NP_001138461.1, XP_047295265.1, XP_005259324.1, NP_079038.2, NP_001303957.1, NP_001303959.1, XP_016881793.1, NP_001303956.1, NP_001303958.1, NP_597717.1, NP_116217.1, XP_047294178.1, NP_775903.3	XP_014301260.1, XP_006103437.2
OG0000015	XP_047294550.1	XP_014323263.2, XP_023599586.1, XP_006102511.3, XP_014323274.1
OG0000016	NP_002168.1	XP_006109610.1, XP_023605073.1, XP_006108782.1, XP_006098173.1, XP_006108783.1, XP_006098177.1, XP_006098175.1, XP_006098178.1, XP_006098179.1, XP_014319259.1, XP_006098180.1
OG0000018	NP_002098.1, NP_001365976.1, NP_001365975.1	XP_014301359.1
OG0000018	NP_001365974.1	XP_014301360.1
OG0000018	NP_001116847.1, NP_066403.2, NP_001005464.1	XP_006095231.1
OG0000018	NP_003520.1	XP_014303293.1, XP_014303295.1, XP_006105758.1
OG0000019	NP_001005504.1, NP_001005224.1, XP_016857897.1, NP_001395315.1, NP_001005221.2, NP_001005277.1	XP_006087532.1
OG0000019	NP_001005326.1	XP_014310270.1
OG0000020	NP_871714.1, NP_067073.1	XP_023602217.1
OG0000022	NP_061740.2	XP_006086666.1
OG0000022	NP_061737.1	XP_006086504.1
OG0000022	NP_003726.1	XP_014306348.1, XP_006086506.1
OG0000022	NP_061742.1	XP_023607764.1
OG0000022	NP_061743.1	XP_006086502.1
OG0000022	NP_061744.1	XP_006086509.1
OG0000022	NP_114477.1	XP_006086507.3
OG0000022	NP_061736.1	XP_006086508.2
OG0000022	NP_061741.1	XP_023607849.1
OG0000022	NP_061735.1	XP_023607811.1
OG0000022	NP_061738.1	XP_023607808.1
OG0000023	NP_001763.3, XP_011525833.1	XP_023603364.1, XP_023603363.1, XP_023603365.1, XP_014305478.2, XP_014305476.2, XP_023604414.1, XP_014304274.2
OG0000023	XP_047293947.1, NP_001092082.1	XP_023604190.1, XP_023603927.1, XP_023603928.1, XP_023604191.1, XP_023603352.1, XP_023603924.1, XP_023603082.1, XP_023603926.1, XP_023603070.1, XP_023603925.1, XP_023603081.1, XP_014306037.1, XP_014305934.1, XP_023605242.1
OG0000023	NP_003821.1	XP_014305218.1, XP_023603072.1, XP_023603068.1, XP_014303943.2, XP_014305935.1, XP_023603077.1, XP_023603078.1, XP_006106558.1, XP_023603079.1, XP_023603930.1, XP_023603071.1, XP_006107641.1, XP_006106879.3
OG0000023	XP_011525835.1, NP_001236.4	XP_023604086.1, XP_014306641.2, XP_023603076.1
OG0000026	NP_001164491.1, NP_689636.3, XP_011529158.1	XP_023612671.1
OG0000027	XP_047301630.1	XP_006082612.1
OG0000027	NP_116093.1	XP_006109687.1, XP_006085845.1
OG0000027	NP_001290044.1, NP_001290045.1, NP_001290046.1	XP_006099588.1
OG0000027	NP_061816.1	XP_006085609.1
OG0000027	NP_079079.1	XP_023609366.1
OG0000027	NP_997195.2, NP_525125.2, NP_005992.1	XP_014320502.1
OG0000027	NP_001257328.1	XP_006091577.1
OG0000028	NP_001005489.1	XP_014313931.1
OG0000028	NP_001005566.1	XP_014313929.1
OG0000029	NP_001005517.1	XP_014316275.1
OG0000031	NP_001004492.1	XP_006100279.1
OG0000032	NP_061729.1	XP_023607827.1
OG0000032	NP_061731.1	XP_023607823.1
OG0000032	NP_061723.1, NP_061728.1	XP_023607821.1
OG0000032	NP_061724.1	XP_023607820.1
OG0000032	NP_061725.1	XP_023607822.1
OG0000032	NP_061727.1	XP_023607826.1
OG0000033	NP_006669.1, XP_016879522.1	XP_023603588.1, XP_023603589.1, XP_014304521.1, XP_023603587.1
OG0000033	NP_001311002.1, NP_001392440.1	XP_023603586.1
OG0000033	NP_852114.2	XP_006108023.2
OG0000033	XP_047291363.1, NP_620587.2	XP_023604413.1, XP_023603584.1, XP_023604412.1, XP_023603585.1
OG0000035	NP_001393411.1	XP_023608661.1
OG0000035	NP_001135417.1	XP_006096684.1
OG0000035	NP_001092.1	XP_006093229.1
OG0000035	NP_001186883.1, NP_001605.1	XP_006107764.1
OG0000035	NP_001017992.1	XP_023604685.1
OG0000035	NP_001606.1	XP_006096839.1
OG0000036	NP_001185784.1, NP_001185782.1, NP_001185783.1, NP_000761.3, NP_000760.1, NP_000762.2	XP_006090070.1, XP_023604639.1
OG0000038	NP_001005202.1	XP_006108449.1
OG0000039	NP_821080.1	XP_014308601.2
OG0000039	NP_001276052.1	XP_006101176.1
OG0000039	NP_006077.2	XP_023602750.1
OG0000039	NP_001280145.1	XP_006109563.1
OG0000039	XP_016883574.1, NP_110400.1	XP_023600742.1
OG0000040	NP_001377778.1	XP_014313682.1, XP_006091633.1
OG0000041	NP_001004747.2	XP_006091988.2
OG0000041	NP_001004746.2	XP_014313940.2, XP_006092121.1
OG0000042	NP_001290544.1, NP_473371.1	XP_006093905.1, XP_023613925.1, XP_006093908.1, XP_006093913.1, XP_014315541.1, XP_006093912.1, XP_006093918.2, XP_006093917.2, XP_006093916.1, XP_006093924.1, XP_006093914.1, XP_006093904.1, XP_006093911.1, XP_006093910.1, XP_006093907.1, XP_006093903.1
OG0000043	NP_703145.1	XP_006089727.1, XP_006089728.1, XP_006089726.1, XP_006089755.1
OG0000044	NP_068803.1, NP_001029249.1, NP_778224.1, NP_003529.1	XP_014303412.1
OG0000044	NP_003533.1	XP_006105773.1
OG0000044	NP_003530.1, NP_003532.1, NP_003535.1, NP_003531.1	XP_014303302.1
OG0000044	NP_003486.1	XP_023603027.1
OG0000044	NP_003534.1	XP_023614983.1
OG0000045	XP_011522172.1, NP_002461.2	XP_023619132.1
OG0000045	NP_003793.2	XP_023619120.1
OG0000045	NP_002463.2	XP_006099789.1, XP_023619123.1
OG0000045	NP_060003.2, XP_016880165.1	XP_023619124.1
OG0000046	NP_001073.3, NP_001186137.1, NP_001186138.1, NP_001356625.1, NP_000887.2, NP_076433.3, NP_001122404.1, NP_067010.3	XP_014320622.2
OG0000046	XP_024307109.1, NP_009184.1, XP_016882661.1, XP_016882304.1	XP_023619075.1
OG0000048	XP_016881688.1, NP_001349424.1, NP_001806.2, NP_001091976.3, XP_016882919.1	XP_006102709.1, XP_014323472.2, XP_023604189.1
OG0000048	XP_011525292.1, NP_002474.4, XP_011525508.1, NP_001807.2, XP_011524642.1, XP_011525288.1, XP_011525428.1, NP_001106881.1, NP_002776.3, NP_112536.2, XP_005259122.1, NP_002772.3, XP_016882492.1, NP_001123486.1, NP_001123640.1, NP_001193579.1, NP_002774.2, XP_047295059.1, NP_002771.2, NP_001027020.1, NP_002773.1, XP_016882496.1, NP_002775.3, NP_066296.2, NP_001284702.1, NP_001123639.1, NP_874366.1, XP_016881634.1, NP_001278413.1, NP_001703.2	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1
OG0000049	NP_003804.2	XP_006091104.2
OG0000049	NP_003805.4, XP_005268208.1	XP_006091103.2
OG0000049	NP_001265056.1, NP_001265055.1, XP_011529858.1, NP_001124175.1, NP_001124177.1, NP_001124176.1, NP_055084.3, NP_001265054.1	XP_006082070.1
OG0000050	NP_001004451.1	XP_006105691.1
OG0000050	NP_473448.1, XP_024303284.1	XP_006105690.1
OG0000051	NP_001836.3	XP_014309680.1
OG0000051	XP_005246334.1, NP_000082.2	XP_023614891.1
OG0000051	NP_001837.2	XP_014309679.1
OG0000051	NP_001274687.1, XP_006724680.1	XP_023614431.1
OG0000051	XP_005246338.1, NP_000083.3	XP_023615229.1, XP_006108950.2
OG0000051	XP_011529151.2, NP_203699.1	XP_006082308.1
OG0000052	NP_085144.1, XP_011528694.1	XP_014306145.2, XP_014314626.1
OG0000052	NP_663612.2, XP_011528379.1, NP_112092.2, NP_001130013.1, NP_001349856.1, NP_003652.2, NP_001130012.1, NP_663318.1, NP_663615.1, XP_047297460.1, NP_663693.1	XP_023604860.1, XP_023605217.1, XP_014304615.1, XP_006109364.1, XP_023603348.1, XP_006092810.1, XP_006108974.1, XP_023603657.1, XP_006107490.1, XP_006107489.2, XP_023612973.1
OG0000054	NP_001358691.1, XP_047289901.1	XP_006108306.2, XP_023604128.1, XP_014305777.1
OG0000054	NP_001307581.1, NP_001754.2	XP_023616138.1, XP_006082480.1, XP_014305330.1, XP_006082803.1, XP_014305329.1, XP_023618961.1, XP_006107885.2, XP_023618946.1, XP_014319930.1, XP_006108223.2, XP_023605172.1, XP_014319918.2, XP_006108224.2, XP_006096945.2
OG0000054	NP_001755.1, XP_011508421.1	XP_006096947.1
OG0000055	NP_703146.1	XP_006089754.1
OG0000056	NP_001001920.2	XP_006091994.1
OG0000057	XP_047302368.1, NP_009168.4	XP_023618012.1
OG0000057	NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3	XP_023617871.1
OG0000058	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2	XP_006107133.1
OG0000059	NP_001005482.2, NP_001005515.1, NP_001005338.1, NP_001005514.1, NP_001005479.2	XP_006094765.2
OG0000060	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1
OG0000062	NP_000323.2	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1
OG0000063	NP_001335470.1	XP_023611602.1
OG0000064	NP_000063.2	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1
OG0000065	NP_000983.1	XP_014303917.1, XP_006083485.1
OG0000066	NP_000973.2	XP_006098324.1, XP_006098323.1, XP_014309652.1
OG0000069	XP_011542667.1, NP_009188.1	XP_006095089.1
OG0000069	NP_443158.1, NP_001096620.1, NP_001171853.1, XP_016884741.1, NP_001096621.1	XP_023608740.1
OG0000069	NP_116271.3	XP_006087768.1, XP_006087769.1
OG0000069	NP_037496.4	XP_023608761.1
OG0000069	NP_006020.4	XP_006097691.1
OG0000069	NP_071434.2	XP_006100567.3
OG0000070	NP_001338403.1, NP_001338402.1, NP_001338401.1, NP_001338405.1, NP_001372632.1, NP_001338404.1, NP_004423.2, NP_001338396.1, NP_001338397.1, NP_001338398.1, NP_001338399.1, NP_001338400.1, NP_001372631.1, NP_001372634.1, NP_001372625.1	XP_023618754.1
OG0000070	XP_011539191.1	XP_023608440.1
OG0000071	NP_003632.4, NP_066362.2, NP_006426.2	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1
OG0000072	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1	XP_014312406.1
OG0000074	NP_001107007.1, NP_001107008.1, NP_000794.3, NP_001107006.1, XP_005273913.1	XP_006094556.1, XP_023614505.1, XP_014316200.1
OG0000074	NP_000793.1, NP_057941.1, NP_057936.1, NP_057937.1	XP_023614501.1
OG0000075	NP_066386.3, NP_001238757.2, NP_001011543.3	XP_006087851.1, XP_006087855.1, XP_014310450.2
OG0000076	NP_003727.1	XP_014309283.1
OG0000076	NP_061748.1	XP_023607802.1
OG0000076	NP_061750.1	XP_006086511.1
OG0000076	NP_061749.1	XP_023607809.1
OG0000076	NP_061747.2	XP_023607801.1
OG0000076	NP_061745.1	XP_023607810.1
OG0000076	NP_061746.1	XP_014309276.2
OG0000077	NP_001382099.1, NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1, NP_001317180.1, NP_001317179.1	XP_006083143.1
OG0000077	NP_001376249.1, NP_001011724.1, NP_001011725.1	XP_006097627.1
OG0000077	NP_112420.1	XP_006095857.1
OG0000078	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1	XP_006093589.1
OG0000079	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1
OG0000080	NP_945185.1, NP_001136176.1, NP_001136175.1	XP_023612321.1, XP_023604820.1, XP_023612291.1, XP_023612319.1
OG0000080	NP_001361795.1, NP_001361787.1, NP_001361786.1, NP_001361793.1, NP_001361796.1, NP_001299838.1, NP_001299840.1, NP_001361784.1, NP_001361779.1, NP_001361789.1, NP_001361782.1, NP_071357.2, NP_001299839.1, NP_001361790.1, NP_001361798.1, NP_001135991.1, NP_001135992.1, NP_001361799.1, NP_001361783.1, NP_001361785.1, NP_001361788.1, NP_001361733.1, NP_001361794.1, NP_001361777.1, NP_001361780.1, NP_001356386.1, NP_001361792.1, NP_942144.1, NP_001361781.1, NP_001135993.1, NP_001361778.1, NP_001361791.1, NP_001361797.1	XP_023604822.1, XP_006108589.1, XP_023604821.1
OG0000081	NP_001305055.1, NP_001305056.1, XP_011528336.1, NP_001278646.1, NP_001278648.1, NP_996838.1, NP_996839.1, NP_996837.1, NP_996836.1, NP_006106.1, NP_001278645.1, NP_001278644.1	XP_006103859.1
OG0000082	NP_941972.1, NP_941962.1, NP_941961.3, NP_941960.2	XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1
OG0000083	NP_001308252.1	XP_023603094.1, XP_014304446.1, XP_014323200.1, XP_023603090.1, XP_023620722.1, XP_014305977.1
OG0000083	NP_055465.1, NP_001309213.1, NP_001309214.1, XP_024307574.1	XP_023603096.1
OG0000083	NP_001026891.2	XP_006106565.1
OG0000083	NP_079316.2	XP_023603095.1, XP_006109373.3
OG0000083	NP_075562.2, XP_047295194.1	XP_023603084.1
OG0000084	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1	XP_014316904.1, XP_014316906.1, XP_014316905.1
OG0000085	NP_001005191.1	XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1
OG0000086	NP_659445.1, XP_047282487.1, NP_001350416.1	XP_023612450.1
OG0000086	NP_113665.3	XP_006103379.1
OG0000086	XP_047297311.1, NP_037445.1	XP_014320496.1
OG0000086	XP_016880110.1	XP_006092276.1
OG0000087	NP_853653.1, NP_853631.1, NP_853630.2, NP_853652.1, NP_853655.1, NP_853654.1	XP_006107099.2
OG0000088	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1	XP_023620812.1
OG0000090	NP_001277071.1, NP_005673.3, NP_001357361.1, NP_001139243.1, NP_001357358.1, NP_001357357.1, NP_001357360.1, NP_001357359.1, NP_001357363.1, XP_005256294.1, NP_001357362.1, NP_001139245.1, NP_001357370.1, NP_958932.1, NP_958933.1, NP_001357369.1, NP_001357368.1, NP_001139242.1, NP_001357364.1, NP_001139244.1, NP_001357365.1, NP_001357383.1, NP_001357380.1, NP_001277072.1, NP_001357382.1, NP_001277073.1, NP_001357371.1, NP_001357367.1, NP_001357366.1, NP_001139246.1	XP_023602041.1
OG0000093	NP_001165415.1, NP_001354564.1, NP_001354587.1	XP_023603971.1
OG0000093	NP_001354619.1, NP_001354629.1, NP_001354604.1, NP_001354569.1, NP_001354571.1, NP_079430.3, NP_001354615.1, NP_001354605.1, NP_001354627.1, NP_001354570.1, NP_001354603.1, NP_001354606.1, NP_001354621.1, NP_001354597.1, NP_001354596.1, NP_001354574.1, NP_001354618.1, NP_001354624.1, NP_001354637.1, NP_001354568.1, NP_001354608.1, NP_001354578.1, NP_001354576.1, NP_001354580.1, NP_001354622.1, NP_001354572.1, NP_001354633.1, NP_001354631.1, NP_001354577.1, NP_001354567.1, NP_001354598.1, NP_001354582.1, NP_001354594.1, NP_001354601.1, NP_001354623.1, NP_001354563.1, NP_001354562.1, NP_001354617.1, NP_001354573.1, NP_001354630.1, NP_001354589.1, NP_001354609.1, NP_001354600.1, NP_001354599.1, NP_001354591.1, NP_001354612.1, NP_001124437.1, NP_001354593.1, NP_001354614.1, NP_001354625.1, NP_001354626.1, NP_001354634.1, NP_001354607.1, NP_001354565.1, NP_001354611.1, NP_001354635.1, NP_001354632.1, NP_001354628.1, NP_001354620.1, NP_001354575.1, NP_001354602.1, NP_001354610.1, NP_001354613.1, NP_001354584.1, NP_001354595.1, NP_001354616.1, NP_001165416.1, NP_001165417.1, NP_001354566.1	XP_014304922.1
OG0000095	NP_116324.2	XP_023603269.1
OG0000095	NP_005937.2, NP_005938.1, NP_005942.1, NP_005940.1, NP_005944.1	XP_006106789.1
OG0000095	NP_005943.1	XP_006106790.1
OG0000096	NP_002631.3, NP_001353127.1, NP_942130.1, NP_001335296.1, NP_001027018.1, NP_001335298.1, NP_001335297.1, NP_001263419.1, NP_001335299.1	XP_006087239.1
OG0000096	NP_001258754.1, NP_004559.4, NP_001361445.1, NP_001284629.1, NP_001284628.1, NP_001258753.1, NP_001361444.1, NP_001182220.2, XP_011512974.1, NP_001258752.1, NP_001258751.1, NP_001361446.1	XP_006085768.1, XP_023607165.1, XP_023607164.1
OG0000099	XP_011527588.1, NP_061026.2, NP_001129316.1, XP_005260698.1	XP_023610246.1, XP_014311893.1, XP_023610248.1, XP_023610247.1
OG0000099	NP_001317657.1, XP_005260727.1	XP_023610089.1
OG0000100	NP_001269468.1	XP_006107563.1, XP_023604015.1
OG0000100	NP_005264.2	XP_006081076.1
OG0000101	NP_001382119.1	XP_006102598.1
OG0000101	NP_062543.1, NP_001027565.1	XP_006084736.1
OG0000102	NP_001067.2, XP_054184520.1, NP_001068.1, NP_001065.2, NP_001066.1, XP_016864074.1, XP_016863792.1, NP_444267.1, XP_011529852.1, NP_001064.1, NP_066962.2	XP_006103626.2, XP_006103624.1
OG0000103	NP_001382901.1, XP_047281112.1	XP_014311038.1
OG0000104	NP_443173.2, NP_997281.2	XP_023603436.1, XP_023602915.1, XP_014303799.2, XP_023614012.1, XP_023613445.1, XP_014304842.1, XP_023614009.1
OG0000104	NP_940862.2	XP_023613383.1, XP_023613380.1, XP_014315053.1, XP_023613382.1, XP_023613451.1, XP_023614013.1
OG0000105	NP_077021.1	XP_014314667.1
OG0000106	XP_011513765.1, NP_067046.1	XP_006106865.1
OG0000106	NP_001311387.1, NP_001311388.1, NP_037424.2	XP_006103520.1
OG0000106	NP_000423.2	XP_006099091.1
OG0000106	NP_612412.2, XP_016868282.1	XP_014310895.1
OG0000107	NP_001005323.1	XP_023612356.1
OG0000108	NP_001008492.1, NP_001307960.1, NP_001307964.1, NP_001307963.1, NP_001307959.1, NP_001307962.1, NP_001307961.1, NP_001336231.1, NP_001336218.1, NP_001008491.1, NP_001269902.1, NP_001336217.1, NP_006146.1, NP_004395.1, NP_001336219.1, NP_001336220.1, NP_001336216.1, XP_024308688.1, NP_001269901.1, NP_001307958.1, NP_001336235.1, NP_001336233.1, NP_001336234.1, NP_001336237.1, NP_001336243.1, NP_001336242.1, NP_001336240.1, NP_001336244.1, NP_001336239.1, NP_001336241.1, NP_001336238.1, NP_001336236.1	XP_006083067.1
OG0000110	XP_011522164.2, NP_001172.1, NP_550434.1, NP_001188281.1, NP_550435.1, NP_550436.1	XP_006105151.1
OG0000110	XP_011522163.1, NP_001662.1, NP_001184145.1	XP_006108001.1
OG0000110	XP_011521915.1	XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1
OG0000111	NP_001243791.1, NP_001243782.1, NP_001229255.1, NP_001229261.1, NP_001243796.1, NP_001229256.1, NP_001229260.1, NP_001229257.1, NP_001229259.1, NP_001229258.1, NP_001243790.1, NP_001243789.1, NP_001243792.1, NP_001243783.1, NP_001243788.1, NP_001243823.2, NP_001243786.1, NP_001243784.1, NP_001243781.1, NP_001243798.1, NP_001243801.1, NP_001243803.1, NP_001243800.1, NP_001243802.1, NP_958804.2	XP_023603133.1
OG0000114	NP_008822.2	XP_023615099.1
OG0000114	NP_055432.2, NP_066269.1, XP_054188132.1	XP_023615102.1
OG0000115	NP_001399855.1, NP_001399857.1, NP_001399860.1, NP_001650.1, NP_001399859.1, NP_001399843.1, NP_001399845.1, XP_024304740.1, NP_001399849.1, NP_001399844.1, NP_001399847.1	XP_006091570.1
OG0000115	NP_001019398.1, NP_001019397.1, NP_001019399.1, NP_001649.1	XP_014321084.1
OG0000116	NP_871622.1, XP_047273646.1	XP_023614180.1
OG0000116	NP_003329.1	XP_014319941.1
OG0000118	NP_001371270.1, NP_001371264.1, NP_705895.1, NP_001371266.1, NP_001371272.1, NP_001371269.1, NP_001371274.1, NP_001371267.1, NP_001371268.1, NP_001371265.1, NP_001371271.1, NP_109377.1, NP_001371273.1, NP_001371275.1	XP_014311373.1, XP_023609603.1, XP_023609604.1
OG0000119	NP_001091678.1, NP_001091674.1, NP_001091676.1, NP_001091677.1, NP_001091675.1, NP_004957.1	XP_014322039.1
