Orthogroup	Echinops_telfairi	Myotis_lucifugus
OG0000023	XP_004710771.1, XP_045148514.1, XP_012862162.1	XP_023604190.1, XP_023603927.1, XP_023603928.1, XP_023604191.1, XP_023603352.1, XP_023603924.1, XP_023603082.1, XP_023603926.1, XP_023603070.1, XP_023603925.1, XP_023603081.1, XP_014306037.1, XP_014305934.1, XP_023605242.1, XP_014305218.1, XP_023603072.1, XP_023603068.1, XP_014303943.2, XP_014305935.1, XP_023603077.1, XP_023603078.1, XP_006106558.1, XP_023603079.1, XP_023603930.1, XP_023603071.1, XP_006107641.1, XP_006106879.3
OG0000023	XP_045148358.1	XP_023604086.1, XP_014306641.2, XP_023603076.1
OG0000026	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1	XP_023612671.1
OG0000027	XP_012861603.1	XP_006082612.1
OG0000027	XP_012862391.1	XP_006099588.1
OG0000027	XP_004710335.1	XP_006085609.1
OG0000027	XP_012862704.1	XP_023609366.1
OG0000027	XP_045150648.1	XP_006082613.1
OG0000028	XP_004715034.1	XP_014313930.1, XP_006092090.1
OG0000028	XP_004715045.2, XP_045152990.1	XP_014313931.1, XP_014313929.1
OG0000029	XP_012861092.2	XP_014316275.1
OG0000031	XP_004697319.1	XP_006100279.1
OG0000032	XP_045140675.1	XP_023607857.1
OG0000033	XP_004709364.2	XP_006108023.2
OG0000033	XP_004709367.1, XP_012861717.2	XP_023604413.1, XP_023603584.1, XP_023604412.1, XP_023603585.1, XP_014304527.1
OG0000035	XP_004712740.1	XP_023608661.1
OG0000035	XP_030741765.1	XP_006096684.1
OG0000035	XP_045150155.1	XP_006107764.1
OG0000035	XP_004703656.1	XP_023604685.1
OG0000035	XP_030740512.1	XP_006096839.1
OG0000036	XP_004701113.1	XP_006090070.1, XP_023604639.1
OG0000036	XP_004701111.1	XP_006090066.1
OG0000038	XP_012861542.1	XP_006108449.1
OG0000039	XP_004711707.2	XP_014308601.2
OG0000039	XP_045156035.1	XP_023602750.1, XP_023607160.1, XP_014311814.1, XP_006109563.1
OG0000039	XP_004716151.1	XP_023600742.1
OG0000040	XP_004711553.1, XP_004711554.1, XP_004711560.1, XP_004711551.1, XP_004711550.1, XP_004711481.1, XP_004711559.1, XP_004711555.1, XP_004711552.1, XP_004711564.1, XP_030740611.1, XP_004711558.1, XP_004711556.1, XP_004711557.1, XP_004711562.2	XP_014313682.1, XP_006091633.1
OG0000041	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1	XP_006091988.2
OG0000041	XP_012861540.1	XP_014313940.2, XP_006092121.1
OG0000043	XP_012863712.2, XP_030741683.1, XP_030741692.1	XP_006089727.1, XP_006089728.1, XP_006089726.1, XP_006089755.1
OG0000044	XP_004712586.2	XP_006105773.1
OG0000045	XP_045149228.1	XP_023619132.1
OG0000045	XP_012861750.1	XP_006099789.1, XP_023619123.1
OG0000045	XP_012861749.1	XP_023619122.1, XP_006099792.1
OG0000045	XP_004709407.1	XP_023619124.1
OG0000046	XP_045145625.1, XP_045145661.1	XP_023619075.1
OG0000048	XP_045148624.1	XP_006102709.1, XP_014323472.2, XP_023604189.1
OG0000048	XP_045148625.1, XP_030742216.1, XP_045148205.1	XP_014301486.2, XP_023604410.1, XP_023602150.1, XP_023602151.1
OG0000049	XP_012859118.1	XP_006091104.2
OG0000049	XP_004696508.2	XP_006082070.1, XP_023608810.1, XP_006082075.1, XP_014313096.1, XP_014313078.1, XP_006082073.1, XP_006082071.1
OG0000050	XP_004712659.1	XP_006105691.1
OG0000051	XP_045139744.1	XP_014309680.1
OG0000051	XP_045150200.1	XP_023614891.1
OG0000051	XP_004704466.1	XP_014309679.1
OG0000051	XP_045154467.1	XP_023614431.1
OG0000051	XP_045150193.1	XP_023615229.1, XP_006108950.2
OG0000051	XP_004710098.1	XP_006082308.1
OG0000052	XP_004700778.2	XP_014306145.2, XP_014314626.1
OG0000054	XP_045154396.1	XP_006108306.2, XP_023604128.1, XP_014305777.1
OG0000054	XP_004714839.1, XP_045154300.1	XP_006096947.1
OG0000055	XP_004716475.2, XP_004716476.1, XP_004716458.1, XP_004716457.1, XP_004716474.1	XP_006089754.1
OG0000056	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1	XP_006091994.1
OG0000057	XP_045151837.1, XP_045150218.1	XP_023618012.1
OG0000057	XP_045152239.1	XP_023617871.1
OG0000058	XP_004715220.1	XP_006107133.1
OG0000060	XP_012862321.2	XP_023599774.1, XP_023599773.1, XP_006102731.1, XP_006097433.1
OG0000061	XP_012862257.2	XP_023608990.1, XP_014310721.2, XP_014310723.1
OG0000062	XP_004715350.1	XP_023612259.1, XP_014313876.1, XP_014313880.1, XP_023612262.1, XP_023612258.1, XP_023612257.1, XP_023612260.1, XP_014313878.1, XP_023612261.1, XP_006091812.1
OG0000063	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1	XP_023611602.1
OG0000064	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1	XP_023609585.1, XP_014311336.1, XP_023609586.1, XP_023609584.1
OG0000065	XP_045140326.1, XP_045146233.1	XP_006083485.1
OG0000066	XP_045144912.1	XP_014309652.1
OG0000068	XP_030743378.2	XP_006092084.1, XP_006092085.1, XP_006092083.1
OG0000069	XP_004707765.1	XP_006095089.1
OG0000069	XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1	XP_023608740.1
OG0000069	XP_004715688.1	XP_006087768.1, XP_006087769.1
OG0000069	XP_004715687.1	XP_023608761.1
OG0000069	XP_004698759.1	XP_006097691.1
OG0000069	XP_004698825.1	XP_006100567.3
OG0000070	XP_045148084.1	XP_023608440.1
OG0000071	XP_045140953.1, XP_012863904.1, XP_045145303.1, XP_004717218.1, XP_004717217.1, XP_045150248.1, XP_045147057.1, XP_045150814.1, XP_045143373.1, XP_045153070.1, XP_045145703.1, XP_045148069.1, XP_045151994.1, XP_045154633.1	XP_006108231.1, XP_006108232.1, XP_006109206.1, XP_006108229.1, XP_023604577.1, XP_006108230.1, XP_014305702.1
OG0000072	XP_004701095.1, XP_045147551.1	XP_014312406.1
OG0000073	XP_030741736.2, XP_004708562.3, XP_012861568.1, XP_045147036.1, XP_004708561.2	XP_006092130.1
OG0000074	XP_004708970.1	XP_006094556.1, XP_023614505.1, XP_014316200.1
OG0000075	XP_012859131.1, XP_045144281.1	XP_006087866.1, XP_006085947.1, XP_006105780.1, XP_006082375.1, XP_006099921.1
OG0000075	XP_004715682.1	XP_006087859.1, XP_006087851.1, XP_006087855.1, XP_014310450.2
OG0000076	XP_045140664.1	XP_014306349.1
OG0000076	XP_012860147.2	XP_023607801.1
OG0000076	XP_004697101.1	XP_023607810.1
OG0000076	XP_045140667.1	XP_014309276.2
OG0000077	XP_004701504.1	XP_006083143.1
OG0000077	XP_004716948.1	XP_006097627.1, XP_006091330.1, XP_006104972.1, XP_006087570.1, XP_006109152.1, XP_006095857.1
OG0000078	XP_045144918.1	XP_006093589.1
OG0000079	XP_045140817.1, XP_004696894.1, XP_045140816.1	XP_006106843.1, XP_006106841.1, XP_006106842.1, XP_023603328.1
OG0000080	XP_030743379.1	XP_023612321.1, XP_023604820.1, XP_023612291.1, XP_023612319.1, XP_023604822.1, XP_006108589.1, XP_023604821.1
OG0000081	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1	XP_006103859.1
OG0000082	XP_045140481.1, XP_030744706.2, XP_030744510.1, XP_045140480.1	XP_023619308.1, XP_023604843.1, XP_023619300.1, XP_023619310.1
OG0000083	XP_045148499.1	XP_023603096.1
OG0000083	XP_045148500.1	XP_023603095.1, XP_006109373.3
OG0000084	XP_045141025.1, XP_045141026.1, XP_004703689.1	XP_014316904.1, XP_014316906.1, XP_014316905.1
OG0000085	XP_004714378.1	XP_006102503.2
OG0000085	XP_004717398.1, XP_004717958.1	XP_006102508.1, XP_014323264.1, XP_006108529.1, XP_014323270.1, XP_006102507.1, XP_006102509.1, XP_014323268.1, XP_014323260.1, XP_006102506.1
OG0000086	XP_004714964.1	XP_023612450.1
OG0000086	XP_004705744.1	XP_006103379.1
OG0000086	XP_045154464.1	XP_014320496.1
OG0000086	XP_004707070.1	XP_006092276.1
OG0000087	XP_004713161.1, XP_004713160.1, XP_030744700.1, XP_004713170.2, XP_030744519.1	XP_006107099.2
OG0000088	XP_045140349.1, XP_045140348.1, XP_045140350.1	XP_023620812.1
OG0000090	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1	XP_023602041.1
OG0000092	XP_004708548.1	XP_023612296.1, XP_006092142.1
OG0000093	XP_045142014.1	XP_023603971.1
OG0000095	XP_004711944.1	XP_023603269.1
OG0000095	XP_045151807.1	XP_006106790.1
OG0000096	XP_004703093.1	XP_006087239.1
OG0000096	XP_004700028.1	XP_006085768.1, XP_023607165.1, XP_023607164.1
OG0000099	XP_045151127.1	XP_023610089.1
OG0000100	XP_004705273.1	XP_006107563.1, XP_023604015.1
OG0000100	XP_004705657.1	XP_006081076.1
OG0000101	XP_045146523.1, XP_045146524.1	XP_006084736.1
OG0000102	XP_004703229.1	XP_006103626.2, XP_006103624.1
OG0000102	XP_004703410.2	XP_006108378.2
OG0000104	XP_045147911.1, XP_004699643.1	XP_023603436.1, XP_023602915.1, XP_014303799.2, XP_023614012.1, XP_023613445.1, XP_014304842.1, XP_023614009.1
OG0000105	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1	XP_014314667.1
OG0000106	XP_004708127.2	XP_006106865.1
OG0000106	XP_004705720.2	XP_006103520.1
OG0000106	XP_004709634.2	XP_006099091.1
OG0000106	XP_004706026.2	XP_014310895.1
OG0000107	XP_004715014.1	XP_006092103.1
OG0000107	XP_004715013.1, XP_004715012.1	XP_023612356.1
OG0000108	XP_045150492.1, XP_004701946.2	XP_006083067.1
OG0000109	XP_004711113.1	XP_006088167.2
OG0000109	XP_004712519.1	XP_006102782.1
OG0000109	XP_004712518.1	XP_006102783.1
OG0000110	XP_004713048.1	XP_006105151.1
OG0000110	XP_045149353.1	XP_006109204.1, XP_014302781.1, XP_014302778.1, XP_023601966.1
OG0000113	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1	XP_023614621.1, XP_023614629.1
OG0000114	XP_004701628.1	XP_023615099.1
OG0000114	XP_004701630.1	XP_023615102.1
OG0000115	XP_004711472.1	XP_006091570.1
OG0000115	XP_004696937.1	XP_014321084.1
OG0000116	XP_045140497.1	XP_023614180.1
OG0000118	XP_030741158.1	XP_014311373.1, XP_023609603.1, XP_023609604.1
OG0000119	XP_004717708.1, XP_004715360.1	XP_014322039.1
OG0000120	XP_004705610.1	XP_023617223.1
OG0000121	XP_045142786.1	XP_023616611.1, XP_023616613.1, XP_023616612.1
OG0000122	XP_004715846.1	XP_023618125.1
OG0000122	XP_012859939.1, XP_045152129.1, XP_012861706.1, XP_012861418.1, XP_012859846.1, XP_012859260.1, XP_012860136.1	XP_023605732.1
OG0000123	XP_030742389.1, XP_004716225.1, XP_004716224.1, XP_004716261.1	XP_006105194.1, XP_014302819.2, XP_006105188.1, XP_006105189.1
OG0000125	XP_004707210.1	XP_006095004.1
OG0000125	XP_045155274.1	XP_006095005.1, XP_006095008.1, XP_006095006.1
OG0000125	XP_045155324.1	XP_006095007.1
OG0000127	XP_004703356.1, XP_045140128.1	XP_023616213.1, XP_014317970.1, XP_014317972.1, XP_014317969.1, XP_014317968.1, XP_014317973.1, XP_023616215.1, XP_023616214.1, XP_023616212.1, XP_023616216.1, XP_006096648.1
OG0000128	XP_004712541.3, XP_045151722.1, XP_004712576.1, XP_045151686.1	XP_023602433.1
OG0000129	XP_004696412.1	XP_006109265.1, XP_023604978.1, XP_023613461.1, XP_023613462.1, XP_023613459.1, XP_023613460.1, XP_006093297.1
OG0000130	XP_004717132.1	XP_006094606.1
OG0000130	XP_004717131.1, XP_004717133.1	XP_006094688.1
OG0000130	XP_004717091.1	XP_006094607.1
OG0000131	XP_004716464.1, XP_004716462.1, XP_012863714.1	XP_006089739.1, XP_006108842.1
OG0000132	XP_004702027.1, XP_045150370.1, XP_045150369.1	XP_006084467.1
OG0000133	XP_045148079.1, XP_004699328.1	XP_023613398.1, XP_023613397.1, XP_023613396.1, XP_023613395.1, XP_023613394.1, XP_023613399.1, XP_014315061.1
OG0000134	XP_045151946.1	XP_006084217.2
OG0000135	XP_045147971.1	XP_023607667.1
OG0000136	XP_045142065.1, XP_045142064.1, XP_004697625.1	XP_023606748.1
OG0000137	XP_004714005.3	XP_006094818.1
OG0000137	XP_004714003.1, XP_004714004.1	XP_006094802.1
OG0000137	XP_030741088.1, XP_004714040.1, XP_004713998.1, XP_004714000.1, XP_004714041.1	XP_006094801.1
OG0000138	XP_004717532.1	XP_006094594.1
OG0000138	XP_004717576.1	XP_006094593.1
OG0000138	XP_004717527.1, XP_004717571.2	XP_006094665.1
OG0000139	XP_030744623.2	XP_006109446.1
OG0000142	XP_045149687.1, XP_004704707.1, XP_045149686.1	XP_006106709.1, XP_006106710.1, XP_023603199.1, XP_006106708.1
OG0000145	XP_045147525.1, XP_004701145.1, XP_045147526.1	XP_006096700.1
OG0000146	XP_045142054.1, XP_045142060.1, XP_004697533.1	XP_006105955.1, XP_023602559.1
OG0000147	XP_004713907.1, XP_004713908.1	XP_023617290.1, XP_023603880.1, XP_023603879.1
OG0000148	XP_004698922.1, XP_004698923.1	XP_014310265.1, XP_023608613.1
OG0000149	XP_045148631.1	XP_023600635.1
OG0000149	XP_004716558.1	XP_023616468.1, XP_014306422.2
OG0000149	XP_004714919.1	XP_023617009.1
OG0000149	XP_045154307.1	XP_006096963.1
OG0000151	XP_004707023.1	XP_006101983.2
OG0000151	XP_004707410.1	XP_023599174.1
OG0000153	XP_012864129.2, XP_030743188.1	XP_006101380.1, XP_006101379.1
OG0000156	XP_045148508.1	XP_023620743.1, XP_014322360.1, XP_006101540.1, XP_023620742.1, XP_006101539.1
OG0000157	XP_045150192.1	XP_006089394.1
OG0000158	XP_045150894.1	XP_014315308.1
OG0000158	XP_012862011.1	XP_006095193.1, XP_006102438.1, XP_006087316.1
OG0000158	XP_045153436.1	XP_014306496.1
OG0000158	XP_012860252.2, XP_004714233.1	XP_014323398.1, XP_006094724.1
OG0000160	XP_045142155.1	XP_014314477.1
OG0000160	XP_004711708.1	XP_006096272.1, XP_006102266.1
OG0000161	XP_045142585.1	XP_006096519.1, XP_006096831.1, XP_023616394.1, XP_014318152.1
OG0000163	XP_045153684.1	XP_014322276.1
OG0000163	XP_045153718.1, XP_045153719.1	XP_023620683.1
OG0000165	XP_045146037.1, XP_045146036.1	XP_014309436.1, XP_023607965.1
OG0000166	XP_045141312.1, XP_045141315.1, XP_045141314.1	XP_023605334.1, XP_023605345.1, XP_023605352.1, XP_014321285.2, XP_023605338.1
OG0000167	XP_045140340.1, XP_004705793.1	XP_006103113.1, XP_023600145.1
OG0000168	XP_045155493.1, XP_004703884.1	XP_014306650.1
OG0000168	XP_045155494.1, XP_045144189.1	XP_006106539.1, XP_023603063.1
OG0000170	XP_045146994.1, XP_045146995.1, XP_004711621.2, XP_004711675.1	XP_014312153.1
OG0000171	XP_045142062.1, XP_045143960.1, XP_045144663.1, XP_045150621.1, XP_030742688.1	XP_006100015.1
OG0000172	XP_045142243.1	XP_023606738.1
OG0000172	XP_004701997.1	XP_023613986.1
OG0000173	XP_004702250.1	XP_006084433.1, XP_014307292.1, XP_023605848.1, XP_023605849.1
OG0000174	XP_030743023.1	XP_006095354.1, XP_006095356.1, XP_023615091.1, XP_006095355.1, XP_023615090.1, XP_006095357.1
OG0000175	XP_045147084.1, XP_045147082.1, XP_045147085.1, XP_004708362.1, XP_045147083.1	XP_023619605.1
OG0000176	XP_004715052.3, XP_045152993.1, XP_045152994.1, XP_045141949.1	XP_023612302.1
OG0000176	XP_045152988.1	XP_023612290.1, XP_006091903.1, XP_014313981.1, XP_023612322.1, XP_023612323.1, XP_023612324.1, XP_006091904.1
OG0000177	XP_004701304.1	XP_023605077.1
OG0000178	XP_045152345.1	XP_023606331.1, XP_014307712.1, XP_014307710.1
OG0000179	XP_004710567.1	XP_006102694.1
OG0000179	XP_004710401.1, XP_004710400.1	XP_014323474.1
OG0000180	XP_045146325.1, XP_045146327.1	XP_014322759.1
OG0000182	XP_045152535.1, XP_045152534.1	XP_023616097.1, XP_006096564.1, XP_023616096.1, XP_006096563.1, XP_014304507.1, XP_023607362.1
OG0000183	XP_004714362.1	XP_006092049.1
OG0000184	XP_004712167.1, XP_045143405.1	XP_023605358.1
OG0000188	XP_004717519.1	XP_006094601.1, XP_006094602.1
OG0000188	XP_004717090.1	XP_023614550.1
OG0000188	XP_004717089.1	XP_006094603.1
OG0000189	XP_004713449.2, XP_012862326.2	XP_006082100.1
OG0000191	XP_004702068.1	XP_006084436.1, XP_023605915.1, XP_023605911.1, XP_014307298.1, XP_023605912.1, XP_023605913.1, XP_014307296.1, XP_023605914.1
OG0000193	XP_045146734.1, XP_045146733.1, XP_045146735.1, XP_045146736.1	XP_023606229.1
OG0000195	XP_012863924.2	XP_014303636.1
OG0000196	XP_004715008.1	XP_006092113.1
OG0000197	XP_004711661.1	XP_006085012.1
OG0000198	XP_045148239.1	XP_023604023.1, XP_006107573.2
OG0000200	XP_004699331.1	XP_006093986.1, XP_023614014.1, XP_023614007.1, XP_023614008.1
OG0000201	XP_045155407.1	XP_023600980.1, XP_014317184.1, XP_014306768.2, XP_023604974.1, XP_023604079.1, XP_023599176.1
OG0000203	XP_004703894.1	XP_023608201.1
OG0000205	XP_012863033.1	XP_023604415.1, XP_023604423.1, XP_014304630.1, XP_014304620.1, XP_006083603.1, XP_023604417.1, XP_014304613.1, XP_006083601.1, XP_014304616.1
OG0000206	XP_004704090.1	XP_023608679.1
OG0000207	XP_004701621.1	XP_006082497.1, XP_023616343.1, XP_023616339.1, XP_014317501.1
OG0000208	XP_004710162.1	XP_006082277.1
OG0000209	XP_012863468.1, XP_012863470.1	XP_014304126.1, XP_006108464.1, XP_006109090.3
OG0000210	XP_004711639.1, XP_004711637.2, XP_004711638.1	XP_006093876.1, XP_023613944.1, XP_006093877.1, XP_006109512.1, XP_006093878.1
OG0000211	XP_004702940.1	XP_023609990.1
OG0000211	XP_004698023.1	XP_023610226.1
OG0000213	XP_004715363.2	XP_014304133.1
OG0000214	XP_045155180.1	XP_023619763.1
OG0000214	XP_045147834.1	XP_023608571.1
OG0000214	XP_045141138.1	XP_006081311.1
OG0000215	XP_045155743.1	XP_006108509.1, XP_006086815.1, XP_014305463.1
OG0000217	XP_045146586.1, XP_045146584.1, XP_045146585.1, XP_045146583.1, XP_004714188.1	XP_006082351.1, XP_023614600.1, XP_014315334.1
OG0000222	XP_045148545.1, XP_004710388.1	XP_006096788.1
OG0000223	XP_012862931.2, XP_045153237.1	XP_006106940.1, XP_023604562.1
OG0000224	XP_004699881.1	XP_014318297.1, XP_023616483.1, XP_006096986.1, XP_023616485.1, XP_023616484.1, XP_006096983.1, XP_014318296.1, XP_014318294.1, XP_006096984.1, XP_006096982.1, XP_014318298.1, XP_014318299.1
OG0000226	XP_045146536.1, XP_004711258.1, XP_004711259.1	XP_006084733.1, XP_014307626.1, XP_006084734.1, XP_014307627.1, XP_006084776.1
OG0000227	XP_045151206.1, XP_045151207.1, XP_045151208.1	XP_006091479.1, XP_023612020.1, XP_006091480.1
OG0000230	XP_004705056.1	XP_023614298.1
OG0000232	XP_045153763.1	XP_023619478.1
OG0000233	XP_004709482.1	XP_006092839.1, XP_023607433.1
OG0000234	XP_004717186.3, XP_004717187.3	XP_023604078.1, XP_023602097.1, XP_006105331.1
OG0000235	XP_045152978.1	XP_014305362.1
OG0000236	XP_004703056.1	XP_006087167.1
OG0000237	XP_012860584.1, XP_045139982.1, XP_045149448.1	XP_006107980.1, XP_014305431.1, XP_014305433.1
OG0000238	XP_004700642.1, XP_004700902.1	XP_006093749.1
OG0000238	XP_004700900.1, XP_004700898.1, XP_004700901.1	XP_006093762.1
OG0000241	XP_004708533.1, XP_030741665.1	XP_014313960.1
OG0000242	XP_030742153.2	XP_023605231.1
OG0000243	XP_045144551.1	XP_023608121.1
OG0000244	XP_004714344.1	XP_023620417.1
OG0000244	XP_045141878.1, XP_045141871.1	XP_023600059.1
OG0000245	XP_004710517.1	XP_023603089.1, XP_006109305.1, XP_023603083.1, XP_014306075.1, XP_006106564.1
OG0000246	XP_004702333.2, XP_045145799.1	XP_023607966.1
OG0000248	XP_004713142.1, XP_004712142.1	XP_006096013.1, XP_006096014.1
OG0000249	XP_004714011.1	XP_006094796.1, XP_006094795.1
OG0000249	XP_004714013.1, XP_004714014.1	XP_006094794.1
OG0000251	XP_004704148.1	XP_014311454.1, XP_023609669.1
OG0000252	XP_004701760.1	XP_014323427.1
OG0000254	XP_012860652.1	XP_014302875.1, XP_006105262.1
OG0000255	XP_045142012.1	XP_006102017.1
OG0000257	XP_045146872.1, XP_004716465.1	XP_006089738.1
OG0000257	XP_004716491.1	XP_006089760.1, XP_006107835.1
OG0000258	XP_012863806.1	XP_023620470.1
OG0000259	XP_004717914.1	XP_006091986.1
OG0000260	XP_004708441.1	XP_006091992.1
OG0000262	XP_004717557.1, XP_004717564.1, XP_004717562.1, XP_004717552.3	XP_006094679.1
OG0000263	XP_045153990.1, XP_004706756.1, XP_045153989.1	XP_023609691.1
OG0000264	XP_004698837.1	XP_014306126.2
OG0000265	XP_004710841.1	XP_014321480.1
OG0000266	XP_012861602.1	XP_006096378.2
OG0000267	XP_045145499.1	XP_023600784.1, XP_023600785.1, XP_023600781.1, XP_014301638.2
OG0000268	XP_004713175.1, XP_004711378.1, XP_004713162.1	XP_014304495.1, XP_014304494.1, XP_006107101.1, XP_023603568.1
