Orthogroup	Echinops_telfairi	Microcebus_murinus
OG0000012	XP_045146714.1, XP_045146698.1, XP_045146499.1	XP_012612331.1, XP_012612330.1, XP_012612337.2, XP_012612338.2
OG0000012	XP_004713947.1, XP_004711269.1	XP_012612329.1, XP_012612328.1
OG0000012	XP_004710064.1	XP_012640032.1
OG0000013	XP_004714376.1	XP_012617200.1
OG0000013	XP_012863082.1, XP_012863083.1	XP_012617201.1
OG0000013	XP_004714373.1	XP_012617202.1
OG0000014	XP_045148263.1	XP_012613512.1, XP_012630562.1
OG0000014	XP_045148253.1	XP_012606858.1
OG0000014	XP_045148695.1	XP_020138972.1, XP_020139176.1, XP_020138795.1, XP_020138970.1
OG0000014	XP_045148265.1, XP_045148272.1	XP_012606836.1, XP_012596828.1
OG0000016	XP_004706619.1, XP_004706620.1, XP_004706617.1	XP_012625267.1, XP_020144780.1, XP_012625264.2, XP_012625260.1
OG0000017	XP_004706266.3, XP_045141789.1, XP_004706264.2, XP_004706261.3, XP_004706258.3, XP_004706267.1, XP_004706268.1, XP_004706259.1, XP_004706260.1, XP_030740246.2	XP_012598886.2, XP_012598882.1, XP_012598884.1, XP_020137192.1, XP_012598883.2, XP_012599300.2, XP_020137154.1, XP_012598877.2, XP_012598878.1
OG0000017	XP_004706000.1	XP_012614266.1
OG0000017	XP_004717472.1	XP_012597482.1
OG0000017	XP_004707348.1	XP_012634096.1
OG0000018	XP_012859399.1	XP_012606772.1
OG0000018	XP_004696931.1	XP_012634029.1
OG0000019	XP_004698479.1	XP_012603616.1
OG0000019	XP_004712790.1	XP_020141498.1
OG0000019	XP_004712724.1	XP_012598338.1
OG0000019	XP_004712723.1	XP_012598339.2, XP_012598340.2
OG0000020	XP_030742134.1	XP_020139091.1
OG0000020	XP_045148328.1	XP_012630961.1, XP_020139102.1, XP_020139115.1, XP_020140847.1
OG0000021	XP_004697311.1, XP_012860657.2, XP_030744718.1, XP_012860659.1	XP_012607736.1
OG0000021	XP_004717803.1	XP_012599127.1
OG0000022	XP_012861131.1	XP_020137854.1
OG0000022	XP_012860159.3	XP_020137845.1
OG0000022	XP_030744626.2	XP_020137843.1
OG0000022	XP_045140666.1	XP_012604363.1
OG0000022	XP_004697099.2	XP_020137848.1
OG0000022	XP_030744629.2	XP_020137847.1
OG0000023	XP_030742169.1	XP_012604975.1
OG0000023	XP_004710771.1, XP_045148514.1, XP_012862162.1	XP_012641005.1, XP_012641006.1, XP_012641001.1
OG0000023	XP_012862151.1	XP_020139169.1, XP_020139171.1, XP_020139167.1, XP_020139170.1, XP_020139168.1, XP_020138882.1, XP_020138880.1, XP_020138881.1, XP_012609640.2, XP_020139172.1, XP_012609634.1, XP_020138907.1, XP_012609656.1, XP_012611031.2, XP_012609594.1
OG0000024	XP_004714285.1	XP_012638762.1
OG0000026	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1	XP_012642667.1, XP_012642669.1, XP_012642670.1, XP_012642671.1, XP_012642674.1, XP_012642668.1, XP_012642673.1, XP_012642672.1
OG0000027	XP_012861603.1	XP_012595657.1
OG0000027	XP_004710335.1	XP_012603184.1
OG0000027	XP_012862704.1	XP_012596665.1
OG0000027	XP_004699870.2	XP_012599928.1
OG0000028	XP_004715034.1	XP_012605321.1
OG0000028	XP_004715045.2, XP_045152990.1	XP_012605437.1
OG0000029	XP_004706573.1, XP_004706506.1	XP_012598557.1
OG0000029	XP_012861092.2	XP_012598512.1
OG0000029	XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2	XP_012598519.2, XP_012598514.2, XP_012598513.1, XP_012598518.2
OG0000031	XP_004717805.1	XP_012599100.1
OG0000031	XP_004697319.1	XP_020145822.1, XP_020146129.1
OG0000031	XP_004717464.1, XP_012863974.1	XP_012597485.1
OG0000031	XP_004697273.1	XP_012609977.1
OG0000033	XP_045155424.1	XP_012634183.1
OG0000033	XP_045155427.1, XP_045155234.1	XP_012634147.1, XP_012634149.1, XP_020136669.1, XP_012634189.2, XP_012634186.1
OG0000033	XP_004709367.1, XP_012861717.2	XP_012634191.1
OG0000035	XP_004712740.1	XP_012621797.1
OG0000035	XP_004712219.1	XP_012619799.1, XP_012619798.1
OG0000035	XP_030741765.1	XP_012620530.1
OG0000035	XP_004703656.1	XP_012631175.1
OG0000035	XP_030740512.1	XP_020141787.1, XP_012644119.2
OG0000036	XP_012859662.1, XP_045147370.1	XP_012623845.1
OG0000036	XP_004701113.1	XP_012621879.2, XP_012621903.1, XP_012621933.1, XP_012621834.1, XP_020136186.1, XP_012621864.2
OG0000036	XP_004701111.1	XP_012621955.1
OG0000038	XP_012861542.1	XP_012602142.1
OG0000039	XP_004711707.2	XP_012623865.1, XP_012623864.1
OG0000039	XP_004711733.1	XP_012591805.1
OG0000039	XP_004702931.1	XP_012639934.1
OG0000039	XP_045156035.1	XP_012601634.1
OG0000039	XP_004716151.1	XP_012625877.1
OG0000040	XP_004711555.1	XP_012620127.1
OG0000041	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1	XP_012602144.1
OG0000041	XP_012861540.1	XP_012602149.1, XP_020142260.1
OG0000042	XP_004711685.1, XP_004711686.1, XP_030741751.1, XP_004711688.1, XP_004718048.1, XP_004708455.1, XP_004711696.1, XP_030741749.1, XP_045147074.1	XP_012612152.1, XP_012608504.2, XP_020142421.1
OG0000043	XP_012863712.2, XP_030741683.1, XP_030741692.1	XP_012640814.2, XP_012639390.1, XP_020142467.1, XP_012639385.1, XP_012639389.1, XP_012639386.1, XP_012639388.1, XP_012599611.1, XP_012599613.1, XP_012599605.2, XP_020142468.1, XP_012599618.1
OG0000044	XP_004712586.2	XP_012596793.1
OG0000045	XP_045149228.1	XP_020138865.1
OG0000045	XP_045143596.1	XP_012633215.1
OG0000045	XP_012861750.1	XP_012633220.1
OG0000045	XP_012861749.1	XP_012633193.1, XP_012633184.1
OG0000045	XP_004709407.1	XP_012633169.1
OG0000046	XP_045145625.1, XP_045145661.1	XP_012613755.1
OG0000048	XP_045148624.1	XP_012616684.2, XP_012616670.1
OG0000048	XP_045148625.1, XP_030742216.1, XP_045148205.1	XP_020139184.1, XP_020139183.1, XP_020138897.1, XP_012616683.2, XP_012616569.2, XP_020138894.1
OG0000049	XP_012859118.1	XP_020141259.1, XP_012611591.2
OG0000049	XP_004696508.2	XP_012626152.1, XP_012626153.1, XP_012626155.1
OG0000051	XP_045139744.1	XP_012607324.1
OG0000051	XP_045150200.1	XP_012604860.1
OG0000051	XP_004704466.1	XP_012607323.1
OG0000051	XP_045154467.1	XP_012605901.1
OG0000051	XP_045150193.1	XP_012604862.1
OG0000051	XP_004710098.1	XP_012605846.1
OG0000052	XP_004700778.2	XP_012642546.1
OG0000053	XP_030744715.1, XP_030744716.1, XP_030744714.1	XP_020140298.1
OG0000054	XP_045154396.1	XP_012604193.1
OG0000054	XP_004714839.1, XP_045154300.1	XP_012604189.1, XP_012604184.1, XP_012604186.1, XP_012604143.1, XP_012604149.1, XP_012604191.1, XP_012604146.1, XP_012604185.1
OG0000055	XP_004716482.1	XP_012639383.1, XP_012599623.2
OG0000055	XP_004716475.2, XP_004716476.1, XP_004716458.1, XP_004716457.1, XP_004716474.1	XP_012639391.1
OG0000056	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1	XP_020142415.1, XP_012643337.2, XP_012643334.2, XP_012622827.1, XP_012643323.1, XP_012643328.1, XP_012643327.2, XP_012643321.2, XP_012643320.2, XP_020142462.1, XP_012643331.1, XP_012643329.2, XP_020142460.1, XP_020142414.1, XP_012643260.1, XP_012643262.1, XP_012643333.2, XP_012643339.1, XP_012643335.2, XP_020142410.1, XP_020142417.1, XP_012643332.1, XP_012643336.1, XP_012643326.2, XP_012643299.2, XP_012643298.2, XP_020142461.1, XP_012643303.2, XP_012643324.2, XP_012643325.2, XP_012643264.1, XP_012643338.1, XP_012643330.1
OG0000057	XP_045151837.1, XP_045150218.1	XP_012604923.1
OG0000057	XP_045152239.1	XP_012604916.1
OG0000057	XP_045152873.1	XP_012604898.1, XP_012604893.1, XP_012604909.1, XP_012604907.2, XP_012604908.2, XP_012604904.1, XP_020143734.1, XP_020143638.1
OG0000058	XP_004715220.1	XP_012626739.1, XP_012626740.1, XP_012626738.1, XP_012626742.1, XP_012626741.1
OG0000060	XP_012862321.2	XP_020141693.1, XP_012609090.2
OG0000061	XP_012862257.2	XP_012624360.1, XP_020145028.1, XP_020145025.1
OG0000061	XP_045145283.1	XP_012637430.2
OG0000062	XP_004715350.1	XP_012608952.1, XP_012608949.1, XP_012608948.1, XP_012608946.1, XP_012608947.1, XP_012608951.1, XP_012608938.1, XP_012608950.1, XP_012608943.1, XP_012608939.1, XP_020135711.1
OG0000063	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1	XP_012636552.1
OG0000064	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1	XP_012634955.1, XP_012634953.1, XP_012634952.1, XP_012634954.1, XP_012634949.1, XP_012634950.1
OG0000065	XP_045149856.1, XP_012864194.1, XP_012861157.1, XP_045153963.1, XP_004715316.1, XP_012861920.1, XP_045144280.1, XP_012859355.1, XP_045151737.1, XP_045142791.1, XP_045139513.1, XP_012862319.1, XP_045140326.1, XP_045146233.1, XP_012859413.1, XP_012859674.1, XP_012859279.1	XP_012606393.2, XP_012617034.1, XP_012626945.1, XP_012621501.1, XP_012633218.1
OG0000066	XP_004706464.1, XP_045144912.1	XP_012637254.1
OG0000067	XP_004697275.1	XP_012639834.2
OG0000067	XP_012861343.1, XP_004697249.1	XP_012609986.1
OG0000068	XP_030743378.2	XP_012605325.1
OG0000069	XP_004707765.1	XP_012630800.1
OG0000069	XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1	XP_012644303.1
OG0000069	XP_004698759.1	XP_012596989.1
OG0000070	XP_030741226.1	XP_012625241.1
OG0000071	XP_045140953.1, XP_012863904.1	XP_012625032.1, XP_012625033.1
OG0000072	XP_004701095.1, XP_045147551.1	XP_012622590.1, XP_012622602.1, XP_020136191.1, XP_020136190.1, XP_012622610.1, XP_012622594.1, XP_012622589.1
OG0000074	XP_004708970.1	XP_012600382.1
OG0000074	XP_012861662.1	XP_012600296.1
OG0000075	XP_012859131.1, XP_045144281.1	XP_012637940.1, XP_012637938.1, XP_012637939.1
OG0000075	XP_004715682.1	XP_012595358.1, XP_020140622.1, XP_012615318.1, XP_012615320.1, XP_012615319.1
OG0000076	XP_045140664.1	XP_020137855.1
OG0000076	XP_045140667.1	XP_020137853.1
OG0000077	XP_004701504.1	XP_012638223.1
OG0000077	XP_004716948.1	XP_012610327.2, XP_012609539.2, XP_012619774.1
OG0000078	XP_045144918.1	XP_012632618.1, XP_012632619.1, XP_012632616.1, XP_012632615.1, XP_012632614.1, XP_012632617.1
OG0000079	XP_045140817.1, XP_004696894.1, XP_045140816.1	XP_012593997.1, XP_012593992.1, XP_012593995.1, XP_012593998.1, XP_012593993.1, XP_012593994.1, XP_012593996.1
OG0000080	XP_030743379.1	XP_012605323.1, XP_012605444.1
OG0000081	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1	XP_012617039.1, XP_012617038.1, XP_012617040.1, XP_012617037.1, XP_012617041.1, XP_012618576.1
OG0000082	XP_045140481.1, XP_030744706.2, XP_030744510.1, XP_045140480.1	XP_012635473.1, XP_012635466.2, XP_020140286.1
OG0000083	XP_045148499.1	XP_012641039.1
OG0000083	XP_045148500.1	XP_012614976.1, XP_012640981.1
OG0000083	XP_045148495.1	XP_012641042.1
OG0000084	XP_045141025.1, XP_045141026.1, XP_004703689.1	XP_012595854.1, XP_012595856.1, XP_012595855.1, XP_012595853.1
OG0000085	XP_004714378.1	XP_012617213.1
OG0000085	XP_004717398.1, XP_004717958.1	XP_020140093.1, XP_012617207.1, XP_012617209.1, XP_012617206.1, XP_012617208.1, XP_012617198.2, XP_012617205.1, XP_012617210.1
OG0000086	XP_004714964.1	XP_012605369.1
OG0000086	XP_004705744.1	XP_012619770.1
OG0000086	XP_045154464.1	XP_012632158.1
OG0000086	XP_004707070.1	XP_012624983.1, XP_012625063.1, XP_012625146.1, XP_020136426.1, XP_012625208.1, XP_012624902.1, XP_012624827.1
OG0000087	XP_004713161.1, XP_004713160.1, XP_030744700.1, XP_004713170.2	XP_012636323.1, XP_012636321.1, XP_012636322.1, XP_012636320.1
OG0000088	XP_045140349.1, XP_045140348.1, XP_045140350.1	XP_020140320.1, XP_020140321.1, XP_012637222.1, XP_020140322.1, XP_012637217.1, XP_020140323.1, XP_012637220.1, XP_012637219.1, XP_020140319.1, XP_012637218.1
OG0000089	XP_004708559.1, XP_004708552.1, XP_004708556.1	XP_012602172.1
OG0000090	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1	XP_012599427.1
OG0000092	XP_004708546.1	XP_012643279.1, XP_012643283.1, XP_012643284.1
OG0000092	XP_004708548.1	XP_012643282.1, XP_012643281.1, XP_012602125.2, XP_012643286.1, XP_012602126.1, XP_012643285.2, XP_012602169.2
OG0000095	XP_004711944.1	XP_020138138.1
OG0000095	XP_045151807.1	XP_012611251.1, XP_012611408.1, XP_012611248.2, XP_012611252.1, XP_012611249.1
OG0000096	XP_004703093.1	XP_012629913.1
OG0000096	XP_004700028.1	XP_012623893.1
OG0000097	XP_045147096.1, XP_045155954.1, XP_045149909.1, XP_045149908.1, XP_045149913.1, XP_045149914.1, XP_045149939.1, XP_045149910.1, XP_045145677.1, XP_045155970.1, XP_045156046.1, XP_045156029.1, XP_045141370.1, XP_045156095.1, XP_045145697.1, XP_045156094.1, XP_045156043.1, XP_045156054.1, XP_045156053.1, XP_045155952.1, XP_045141358.1, XP_045141357.1, XP_045147092.1	XP_012645960.2
OG0000099	XP_045151127.1	XP_012610556.2
OG0000100	XP_004705273.1	XP_020136899.1, XP_020136894.1, XP_020136907.1, XP_012631915.1, XP_020136900.1, XP_020136905.1, XP_020136893.1
OG0000100	XP_004705657.1	XP_012614771.1
OG0000101	XP_045146523.1, XP_045146524.1	XP_012622873.1, XP_012622872.1
OG0000102	XP_004703229.1	XP_012641425.1, XP_012616450.2, XP_012641432.1, XP_012641429.1, XP_020139855.1, XP_012641426.1, XP_012641419.1, XP_012641414.1, XP_020139850.1, XP_012641409.1, XP_012641413.2
OG0000103	XP_045151822.1, XP_004710333.1	XP_020139760.1, XP_020139759.1
OG0000104	XP_045147911.1, XP_004699643.1	XP_012604689.1
OG0000105	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1	XP_012595109.1
OG0000106	XP_004708127.2	XP_012597004.1
OG0000106	XP_045145413.1	XP_012638882.1
OG0000106	XP_004705720.2	XP_012619690.1
OG0000106	XP_004709634.2	XP_012637795.1
OG0000106	XP_004706026.2	XP_012614334.1
OG0000107	XP_004715014.1	XP_012605312.1
OG0000107	XP_004715013.1, XP_004715012.1	XP_012605310.1
OG0000108	XP_004701946.2	XP_020143676.1, XP_020143680.1, XP_020143678.1, XP_020143677.1, XP_020143679.1
OG0000109	XP_004711113.1	XP_012618633.1
OG0000109	XP_004712519.1	XP_012625635.1
OG0000109	XP_004712516.1	XP_012625639.1
OG0000109	XP_004712518.1	XP_012625636.2, XP_012625637.2
OG0000110	XP_004713048.1	XP_012632579.1, XP_012632570.1
OG0000110	XP_045149353.1	XP_012632592.1
OG0000113	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1	XP_012614236.1, XP_012614235.1, XP_012643365.1, XP_012643377.1, XP_012643378.1, XP_012643379.1, XP_012643376.1
OG0000114	XP_004701631.1	XP_012607527.1
OG0000114	XP_004701628.1	XP_012607530.1, XP_012606894.1, XP_012607531.1
OG0000114	XP_004701630.1	XP_012607528.1
OG0000115	XP_004711472.1	XP_012614846.1
OG0000115	XP_004696937.1	XP_012634045.1, XP_012634041.1, XP_012634042.1
OG0000116	XP_030744473.1	XP_012624660.1
OG0000118	XP_030741158.1	XP_012628812.1, XP_012628819.1, XP_012628817.1, XP_012628821.1, XP_012628814.1, XP_012628818.1, XP_012628820.1, XP_012628813.1, XP_012628815.1, XP_012628811.1, XP_012628822.1
OG0000119	XP_004717708.1, XP_004715360.1	XP_012634378.1, XP_012634381.1, XP_012634382.1, XP_012634380.1, XP_012634379.1
OG0000120	XP_004705610.1	XP_012614299.1
OG0000121	XP_045142786.1	XP_012640511.1, XP_012640507.1, XP_012640512.1, XP_012640510.1, XP_012640508.1, XP_012640509.1
OG0000122	XP_004715846.1	XP_012630490.1
OG0000122	XP_012859939.1, XP_045152129.1, XP_012861706.1, XP_012861418.1, XP_012859846.1, XP_012859260.1, XP_012860136.1, XP_012861820.1, XP_030742881.1, XP_045151936.1	XP_012615924.1
OG0000123	XP_030742389.1, XP_004716225.1, XP_004716224.1, XP_004716261.1	XP_012634032.1, XP_012634752.1, XP_012634782.1
OG0000124	XP_012863991.1	XP_012637921.1
OG0000124	XP_045141379.1	XP_020138307.1
OG0000124	XP_045141380.1	XP_020140586.1
OG0000125	XP_004707210.1	XP_012621238.1
OG0000125	XP_045155274.1	XP_012621506.1, XP_012621241.1, XP_012621239.2
OG0000125	XP_045155324.1	XP_020136415.1
OG0000127	XP_004703356.1, XP_045140128.1	XP_012621712.1, XP_012621715.1, XP_012621713.1, XP_012621714.1
OG0000128	XP_045151658.1	XP_012596811.1
OG0000128	XP_004712541.3	XP_012596845.1
OG0000128	XP_045151722.1, XP_004712576.1, XP_045151686.1	XP_012596812.1
OG0000129	XP_004696412.1	XP_020142730.1, XP_012616311.1, XP_020142727.1, XP_012616307.1
OG0000130	XP_004717132.1	XP_012642082.1
OG0000130	XP_004717131.1, XP_004717133.1	XP_012641922.1
OG0000130	XP_004717091.1	XP_012642080.1
OG0000131	XP_004716464.1, XP_004716462.1, XP_012863714.1	XP_012641906.1, XP_012599612.1, XP_012641907.1
OG0000132	XP_004702027.1, XP_045150370.1, XP_045150369.1	XP_012600827.1, XP_012600831.1, XP_012600808.1, XP_012600818.1, XP_012600835.1
OG0000133	XP_045148079.1, XP_004699328.1	XP_012646316.1, XP_012646313.1, XP_012646318.1, XP_012646311.1, XP_012646312.1, XP_012646317.1, XP_012646315.1, XP_012646314.1
OG0000134	XP_045151946.1	XP_012615932.1
OG0000135	XP_045147971.1	XP_012645503.1
OG0000136	XP_045142065.1, XP_045142064.1, XP_004697625.1	XP_020144366.1, XP_020144368.1, XP_020144365.1, XP_020144367.1, XP_012645521.1, XP_012645522.1
OG0000137	XP_004714005.3	XP_012623584.2
OG0000137	XP_004714003.1, XP_004714004.1	XP_012623585.1
OG0000137	XP_004714001.1, XP_012863025.1, XP_004713999.1	XP_020145274.1, XP_012623586.2, XP_012623587.1, XP_020145276.1
OG0000137	XP_004714041.1	XP_012623673.2, XP_020145272.1, XP_012623663.2
OG0000138	XP_004717532.1	XP_012641891.1
OG0000138	XP_004717576.1	XP_012641949.1
OG0000138	XP_004717527.1, XP_004717571.2	XP_012641884.1, XP_012641886.2, XP_012641887.2
OG0000138	XP_004717528.1	XP_012641945.1, XP_020142471.1
OG0000139	XP_045140394.1, XP_004697266.1, XP_045140393.1, XP_045140391.1, XP_045140390.1	XP_020145820.1
OG0000142	XP_045149687.1, XP_004704707.1, XP_045149686.1	XP_012611226.1
OG0000143	XP_030742844.1	XP_012610469.1
OG0000144	XP_045151259.1	XP_020137476.1
OG0000145	XP_045147525.1, XP_004701145.1, XP_045147526.1	XP_012618337.1, XP_012618339.1, XP_012618329.1, XP_012618328.1, XP_012618338.1, XP_012618330.1, XP_012618332.1, XP_012618326.1, XP_012618336.1, XP_012618335.1, XP_012618334.1, XP_012618340.1, XP_012618331.1, XP_012618333.1
OG0000146	XP_045142054.1, XP_045142060.1, XP_004697533.1	XP_012628326.1, XP_012628327.1, XP_012628324.1, XP_012628322.1, XP_020144507.1, XP_012628328.1
OG0000147	XP_004713906.1, XP_004713922.1, XP_004713902.1	XP_012590831.1, XP_012590838.1
OG0000147	XP_004713907.1, XP_004713908.1	XP_012590832.1, XP_012590833.1
OG0000148	XP_004698922.1, XP_004698923.1	XP_020141494.1, XP_020141495.1, XP_012608249.1, XP_012608030.1, XP_012608028.1, XP_012608047.1, XP_012608029.1, XP_012608027.2
OG0000149	XP_045148631.1	XP_012613923.1
OG0000149	XP_004716558.1	XP_012604635.1
OG0000149	XP_004714919.1	XP_012617266.1
OG0000149	XP_045154307.1	XP_012604632.1
OG0000150	XP_012860629.3	XP_012597786.2
OG0000151	XP_004707023.1	XP_012642741.1
OG0000151	XP_004707410.1	XP_020136691.1, XP_012642867.1, XP_012642950.1, XP_012643169.1, XP_012643242.1
OG0000152	XP_004717756.1	XP_012646634.1, XP_012646633.1
OG0000153	XP_012864129.2, XP_030743188.1	XP_012609875.1
OG0000153	XP_012864119.1	XP_012609888.1
OG0000156	XP_045148508.1	XP_012626310.1
OG0000157	XP_004716095.1	XP_012628418.1, XP_012628419.1, XP_012628416.1, XP_012628415.1
OG0000158	XP_045150894.1	XP_012614201.1
OG0000158	XP_012862011.1	XP_012646732.1
OG0000159	XP_004706567.1, XP_004706504.1	XP_012598618.1
OG0000160	XP_004711708.1	XP_012594595.1
OG0000161	XP_045142585.1	XP_012644144.2, XP_012611772.1
OG0000162	XP_012864056.1	NP_001296870.1, XP_012596940.2
OG0000163	XP_045153684.1	XP_012604214.1
OG0000163	XP_045153718.1, XP_045153719.1	XP_012604217.1
OG0000165	XP_045146037.1, XP_045146036.1	XP_012644476.1
OG0000166	XP_045141312.1, XP_045141315.1, XP_045141314.1	XP_012628563.1
OG0000167	XP_045140340.1, XP_004705793.1	XP_012645611.1, XP_012645609.1, XP_012645612.1, XP_012645610.1
OG0000168	XP_045140898.1	XP_020142446.1
OG0000170	XP_045146994.1, XP_045146995.1, XP_004711621.2, XP_004711675.1	XP_012636064.1, XP_012636063.1
OG0000171	XP_030742688.1	XP_012592098.1
OG0000172	XP_045142243.1	XP_012607233.1
OG0000172	XP_004701997.1	XP_012603597.1
OG0000172	XP_004716083.1	XP_012628491.1, XP_012628489.1, XP_012628490.1, XP_012628492.1
OG0000173	XP_004702250.1	XP_020144346.1, XP_012608595.1, XP_020142743.1, XP_012608598.1, XP_012608597.1, XP_012608596.1, XP_020142744.1, XP_012608594.1
OG0000174	XP_030743023.1	XP_012623108.1
OG0000175	XP_045147084.1, XP_045147082.1, XP_045147085.1, XP_004708362.1, XP_045147083.1	XP_012646257.1, XP_012646264.1, XP_020142093.1, XP_012646284.1, XP_012646294.1, XP_012646275.1, XP_012646239.1, XP_020142094.1
OG0000176	XP_004715052.3, XP_045152993.1, XP_045152994.1, XP_045141949.1	XP_012605383.1, XP_012605382.1
OG0000177	XP_004701304.1	XP_012636778.1, XP_012636776.1, XP_012636777.1, XP_012636779.1
OG0000178	XP_045152345.1	XP_020142269.1
OG0000179	XP_004710567.1	XP_012616212.1
OG0000179	XP_004710399.1, XP_004710401.1, XP_004710400.1	XP_012616210.1, XP_020138867.1
OG0000180	XP_045146325.1, XP_045146327.1	XP_012646220.2, XP_012646219.2, XP_012645814.1
OG0000182	XP_045152535.1, XP_045152534.1	XP_012643385.1, XP_012624512.1, XP_012624513.1, XP_012624511.1, XP_012624516.1, XP_020144967.1, XP_012625170.1
OG0000183	XP_004708395.1, XP_004714362.1	XP_012645131.1
OG0000184	XP_004712167.1, XP_045143405.1	XP_012617792.1, XP_020141642.1, XP_020141636.1, XP_012617791.1, XP_020141641.1, XP_012617788.1, XP_020141634.1, XP_012617790.1, XP_020141622.1, XP_012617789.1, XP_020141623.1, XP_020141644.1, XP_020141637.1, XP_020141630.1
OG0000188	XP_004717519.1	XP_012642085.1
OG0000188	XP_004717090.1	XP_012642083.1
OG0000188	XP_004717089.1	XP_012642084.1
