Orthogroup	Echinops_telfairi	Sus_scrofa
OG0000008	XP_045141717.1	XP_005653113.1
OG0000008	XP_045142182.1	XP_013838698.1, XP_020928282.1, XP_020928288.1
OG0000008	XP_045149590.1	XP_020949541.1
OG0000009	XP_045148686.1, XP_004717465.2, XP_045154630.1, XP_004717452.2, XP_045151687.1, XP_045151702.1, XP_030743027.2	XP_013833010.1, XP_005665742.2, NP_001233171.1, NP_001107174.1, XP_020953531.1, XP_020954097.1, NP_001107528.1, XP_020953508.1, NP_001090896.1, NP_998933.1, XP_020953941.1, NP_001107175.1, XP_013833071.1
OG0000010	XP_004708431.3	XP_020937683.1, XP_020937114.1, XP_020937016.1, XP_020937352.1, XP_020937349.1, XP_020938008.1, XP_005654730.1, XP_013834759.1, XP_020940399.1
OG0000011	XP_012861711.2, XP_012860119.2	XP_020940570.1, XP_020940575.1, XP_020940573.1, XP_020940567.1, XP_020940571.1, XP_020940569.1, XP_013850707.2, XP_020940568.1, XP_020940565.1, XP_020940566.1, XP_020940574.1
OG0000012	XP_004714207.1, XP_012861936.2, XP_012864145.1	XP_020935452.1
OG0000012	XP_030743784.1, XP_004713945.1	XP_005673570.1, XP_005673569.1
OG0000012	XP_045154605.1	XP_020935492.1
OG0000012	XP_012862981.1	XP_020935786.1, XP_020935940.1, XP_013841481.1, XP_005673575.1
OG0000012	XP_004714205.2	XP_020936276.1
OG0000012	XP_045146714.1, XP_045146698.1, XP_045146499.1	XP_020935784.1, XP_020936168.1
OG0000012	XP_004713947.1, XP_004711269.1	XP_005673573.2, XP_020935939.1, XP_005673577.2
OG0000013	XP_004714288.1, XP_004714287.1	XP_013845988.1
OG0000013	XP_012863082.1, XP_012863083.1	XP_005652899.1, XP_020941163.1, XP_013845748.1, XP_005652900.2, XP_003123350.2, XP_020940780.1
OG0000013	XP_030744122.1, XP_004714364.1, XP_030744186.1, XP_004714369.1, XP_004714366.1, XP_004714365.1, XP_030744172.1, XP_004714368.1, XP_004714371.1, XP_004714370.1, XP_030744124.1	XP_013845984.2, XP_005652897.1, XP_020940779.1
OG0000013	XP_004714373.1	XP_020941162.1
OG0000014	XP_045148263.1	XP_020952885.1
OG0000014	XP_045148253.1	XP_020952950.1
OG0000014	XP_045148695.1	XP_020952965.1, XP_020952964.1
OG0000014	XP_045148265.1, XP_045148272.1	XP_020952999.1
OG0000015	XP_004716911.2	XP_013842894.1, XP_013845829.1, XP_020940790.1, XP_020941167.1, XP_003480831.2, XP_003354129.2, XP_020937619.1, XP_020941170.1, XP_013846032.2, XP_020940791.1, XP_020938068.1, XP_020937479.1, XP_020938121.1, XP_020937971.1, XP_005652904.2, XP_020936681.1, XP_020937393.1, XP_020938165.1, XP_020938164.1, XP_013845905.2, XP_020937394.1, XP_003123316.2, XP_020940783.1, XP_020937482.1, XP_020938126.1, XP_020938163.1, XP_020937401.1
OG0000016	XP_004706676.1	NP_001159792.1
OG0000016	XP_004706619.1, XP_004706620.1, XP_004706617.1	NP_001123710.1, NP_001158316.1, NP_001123704.1, NP_001158324.1, NP_001124005.1, NP_001158322.1, NP_001159794.1
OG0000017	XP_004706250.1, XP_004706251.1, XP_004706265.1, XP_045141829.1, XP_004706263.1, XP_004706256.1, XP_004706253.1, XP_004706254.3, XP_004706252.1, XP_004717982.2, XP_004706249.2, XP_030740248.1, XP_030740247.1, XP_004706273.1, XP_030740249.1, XP_004706248.1, XP_045141832.1, XP_004706244.1, XP_004706266.3, XP_045141789.1, XP_004706264.2, XP_004706261.3, XP_004706258.3, XP_004706267.1, XP_004706268.1, XP_004706259.1, XP_004706260.1, XP_030740246.2	XP_003124707.3
OG0000017	XP_004706000.1	XP_020944074.1
OG0000017	XP_004712662.1	XP_020937931.1
OG0000017	XP_004707348.1	XP_020923327.1
OG0000018	XP_012859399.1	XP_003131242.1
OG0000018	XP_004716622.1	NP_001231571.1
OG0000018	XP_004696931.1	XP_013844399.1
OG0000019	XP_004712788.1, XP_004712719.1, XP_004712720.1, XP_004712787.1, XP_004712721.1, XP_004712791.1	XP_001925185.1, XP_001925102.1, XP_020955677.1, XP_003128820.2, XP_003128642.2, XP_001929464.2
OG0000019	XP_004698479.1	XP_001927961.2, XP_020954986.1
OG0000019	XP_004712790.1	XP_020955724.1
OG0000019	XP_004712724.1	XP_020955678.1, XP_020955671.1
OG0000019	XP_004712723.1	XP_013833711.2, XP_020955672.1, XP_001927864.1, XP_001924526.2
OG0000020	XP_030742134.1	XP_020950615.1, XP_013854215.2
OG0000020	XP_045148328.1	XP_013844151.1
OG0000021	XP_012860623.1, XP_004697282.1, XP_004697280.1	XP_003354452.1
OG0000021	XP_004717377.1, XP_012863941.2, XP_004717372.2, XP_004717798.2, XP_004717375.1, XP_004717804.3	XP_001928244.2, XP_020937958.1, XP_020937856.1, XP_003128300.1, XP_020937658.1, XP_020936927.1, XP_001928255.2, XP_003128302.2
OG0000021	XP_004717803.1	XP_020937953.1, XP_020937879.1, XP_020937594.1, XP_020936931.1, XP_020936687.1
OG0000021	XP_030744588.1	XP_020940742.1
OG0000021	XP_004697297.1	XP_020940741.1
OG0000021	XP_004697300.1	XP_003123614.1
OG0000021	XP_004697303.1	XP_003123600.1
OG0000021	XP_012861777.1	XP_013850061.1
OG0000022	XP_012861131.1	XP_020940822.1
OG0000022	XP_030744626.2	XP_020940587.1
OG0000022	XP_045140666.1	XP_020940585.1
OG0000022	XP_004697099.2	XP_020940584.1, XP_020940580.1, XP_020940581.1, XP_020940583.1
OG0000022	XP_045140875.1	XP_013850731.2
OG0000022	XP_030744629.2	XP_020940579.1
OG0000023	XP_030742169.1	XP_020950504.1
OG0000023	XP_004710771.1, XP_045148514.1, XP_012862162.1	XP_003127440.3, XP_003127434.1
OG0000023	XP_012862151.1	XP_020950600.1
OG0000023	XP_045148358.1	XP_013850544.2
OG0000024	XP_004714285.1	XP_020958344.1, XP_003130048.2
OG0000026	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1	XP_005673860.1, XP_020935388.1, XP_020935373.1, XP_020935376.1, XP_020935380.1, XP_020935381.1, XP_020935387.1, XP_020935378.1, XP_020935379.1, XP_005673859.1, XP_005673858.1, XP_020935389.1, XP_020935366.1, XP_020935377.1, XP_020935372.1, XP_020935370.1, XP_020935386.1, XP_005673854.1, XP_020935371.1, XP_005673849.1, XP_013841775.1, XP_020935385.1, XP_005673852.1, XP_003484194.1, XP_020935374.1, XP_020935367.1, XP_020935384.1, XP_005673856.1, XP_020935369.1, XP_020935375.1, XP_020935368.1, XP_020935382.1
OG0000027	XP_012861603.1	XP_001928370.3
OG0000027	XP_012862391.1	XP_005655606.1
OG0000027	XP_004710335.1	XP_003126645.3
OG0000027	XP_012862704.1	XP_020920717.1
OG0000027	XP_045150648.1	XP_001928233.2
OG0000028	XP_004715034.1	XP_013849748.1, XP_013849745.1, XP_013849747.1
OG0000028	XP_004715045.2, XP_045152990.1	XP_020941125.1, XP_013849750.2, XP_003353904.1
OG0000029	XP_004706573.1, XP_004706506.1	XP_020937119.1, XP_020926346.1, XP_003358892.1
OG0000029	XP_012861092.2	XP_020925487.1
OG0000029	XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2	XP_020937617.1, XP_020937120.1, XP_003358894.2, XP_003358900.1, XP_020937153.1, XP_020938003.1, XP_020937646.1, XP_020937645.1, XP_001924860.2, XP_001924717.5, XP_020926347.1, XP_020937122.1, XP_001927425.2, XP_001924834.2, XP_020937123.1, XP_013837957.2, XP_020937121.1, XP_005657180.2, XP_003358899.2, XP_013843828.2, XP_020938004.1, XP_020937649.1, XP_020936955.1, XP_003132768.1, XP_020925291.1, XP_020925491.1, XP_020925497.1, XP_020925139.1, XP_020925026.1, XP_020925495.1, XP_003358916.2
OG0000031	XP_004717805.1	XP_020936924.1, XP_020937955.1, XP_020937591.1, XP_020937872.1
OG0000031	XP_004697319.1	XP_003123608.1
OG0000031	XP_004717464.1, XP_012863974.1	XP_020955480.1
OG0000031	XP_004717473.1	XP_001927473.2, XP_001927458.2
OG0000031	XP_004697315.2	XP_020955482.1, XP_020937362.1, XP_020936658.1, XP_020955481.1, XP_020936659.1, XP_020955484.1, XP_020955485.1, XP_003482184.1
OG0000031	XP_004697273.1	XP_013847497.1
OG0000032	XP_045140675.1	XP_020940821.1, XP_020940559.1, XP_020940561.1, XP_020940560.1, XP_020940558.1, XP_020940563.1, XP_020940554.1, XP_020940555.1
OG0000033	XP_045155424.1	XP_020922339.1, XP_020922337.1
OG0000033	XP_045155427.1, XP_045155234.1	XP_005668688.1, XP_013836234.1
OG0000033	XP_004709367.1, XP_012861717.2	XP_005668681.1
OG0000035	XP_004712740.1	NP_001163988.1
OG0000035	XP_004712219.1	NP_001161267.1
OG0000035	XP_030741765.1	NP_001158122.1, XP_013838976.1
OG0000035	XP_004703656.1	XP_005674537.3
OG0000035	XP_030740512.1	XP_020943030.1
OG0000036	XP_012859662.1, XP_045147370.1	NP_001302663.1, NP_999579.1, XP_020927835.1
OG0000036	XP_004701113.1	XP_020929679.1, XP_020929368.1, XP_020929678.1, NP_999585.1, XP_013839051.2, NP_001161307.1
OG0000038	XP_012861542.1	XP_001927724.1, XP_020941136.1, XP_003481008.2
OG0000039	XP_004711707.2	NP_001230363.1, XP_020955779.1
OG0000039	XP_004711733.1	NP_001038077.1
OG0000039	XP_004702931.1	XP_003122400.2
OG0000039	XP_004716151.1	NP_001107168.1
OG0000039	XP_004702928.1	XP_020951690.1
OG0000040	XP_004711560.1	XP_020946912.1
OG0000040	XP_004711551.1, XP_004711550.1	XP_003355697.1
OG0000040	XP_004711481.1	XP_013853443.1
OG0000040	XP_004711559.1	XP_020946910.1
OG0000040	XP_004711555.1	XP_020946911.1
OG0000040	XP_004711552.1	XP_003481775.1
OG0000040	XP_004711564.1	XP_020948282.1
OG0000040	XP_030740611.1	XP_003126701.1
OG0000040	XP_004711558.1	XP_003481776.1
OG0000040	XP_004711556.1, XP_004711557.1	XP_003481773.1
OG0000040	XP_004711562.2	XP_005664233.2
OG0000041	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1	XP_013843095.2
OG0000041	XP_012861540.1	XP_013842752.2, XP_020940716.1
OG0000043	XP_012863712.2, XP_030741683.1, XP_030741692.1	XP_020958368.1, XP_020937330.1, XP_020937017.1, XP_020958369.1, XP_020937585.1, XP_020937420.1, XP_020958300.1, XP_020917936.1, XP_020917935.1, XP_020937419.1, XP_020958371.1, XP_020958301.1, XP_020937329.1
OG0000044	XP_004712586.2	XP_005665718.2
OG0000045	XP_045149228.1	XP_013836784.2
OG0000045	XP_012861750.1	XP_020921928.1
OG0000045	XP_012861749.1	XP_020921875.1, NP_999301.1
OG0000045	XP_004709407.1	XP_020921694.1, NP_001116613.1
OG0000046	XP_045145625.1, XP_045145661.1	XP_020939257.1, XP_020939261.1
OG0000048	XP_045148624.1	XP_020950130.1, XP_020950123.1, XP_005655946.2, XP_020950127.1
OG0000048	XP_045148625.1, XP_030742216.1, XP_045148205.1	XP_020953209.1, XP_020953207.1
OG0000049	XP_012859118.1	XP_020955073.1, XP_020955736.1
OG0000049	XP_004696508.2	XP_020929837.1
OG0000050	XP_004712659.1	XP_003122186.1
OG0000050	XP_004712657.1	XP_020940988.1
OG0000050	XP_004712660.1	XP_013849275.1, XP_003353699.2, XP_020937927.1, XP_020931467.1, XP_013849276.2, XP_003122183.3, XP_020937911.1
OG0000051	XP_045139744.1	XP_020921569.1
OG0000051	XP_045150200.1	XP_020930931.1
OG0000051	XP_004704466.1	XP_020921568.1, XP_020921567.1
OG0000051	XP_045154467.1	XP_020935520.1
OG0000051	XP_045150193.1	XP_020930930.1
OG0000051	XP_004710098.1	XP_020936437.1
OG0000052	XP_004700778.2	XP_003126117.4
OG0000054	XP_045154396.1	XP_005663291.1, NP_001096150.2
OG0000054	XP_004714839.1, XP_045154300.1	XP_020944088.1, NP_001090960.1
OG0000055	XP_004716482.1	XP_013834548.2
OG0000055	XP_004716475.2, XP_004716476.1, XP_004716458.1, XP_004716457.1, XP_004716474.1	XP_013854347.2, XP_020917933.1
OG0000056	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1	XP_020938036.1
OG0000057	XP_045151837.1, XP_045150218.1	XP_003133754.1
OG0000057	XP_045152239.1	XP_020931305.1
OG0000057	XP_045152873.1	XP_020931321.1, XP_020931326.1
OG0000058	XP_004715220.1	XP_020924416.1, XP_020924409.1, XP_020924419.1, XP_020924405.1, XP_020924399.1, XP_020924407.1, XP_020924413.1, XP_020924401.1, XP_020924418.1, XP_020924417.1, XP_020924414.1, XP_020924402.1, XP_020924408.1, XP_020924406.1, XP_020924403.1, XP_020924400.1, XP_020924411.1, XP_020924412.1, XP_020924410.1
OG0000060	XP_012862321.2	NP_999516.1, XP_005652470.1
OG0000061	XP_012862257.2	NP_998979.1
OG0000061	XP_045145283.1	XP_005660610.1
OG0000062	XP_004715350.1	XP_020955438.1, XP_013832901.2, XP_020955435.1, XP_020955430.1, XP_013832897.2, XP_013832900.2, XP_020955437.1, XP_013832899.2, XP_013832903.2, XP_020955436.1, XP_020955431.1, XP_020955434.1, XP_020955433.1
OG0000063	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1	XP_005656395.2
OG0000064	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1	NP_001038087.1, XP_005667748.1
OG0000066	XP_004706464.1, XP_045144912.1	XP_003482913.1
OG0000067	XP_004697275.1	XP_020940727.1, XP_020941143.1
OG0000067	XP_012861343.1, XP_004697249.1	XP_003354450.1, XP_003354451.1, XP_020941137.1, XP_020941146.1, XP_020940731.1, XP_003124268.1, XP_003124267.1
OG0000068	XP_030743378.2	XP_003122744.2, XP_020937015.1, XP_020941124.1, XP_020938082.1
OG0000069	XP_004707765.1	XP_013838128.1, XP_020929233.1, XP_005670502.1, XP_013838129.1
OG0000069	XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1	XP_020936151.1
OG0000069	XP_004698759.1	XP_020955156.1
OG0000069	XP_004698825.1	XP_020955290.1
OG0000070	XP_030741226.1	XP_020918409.1
OG0000071	XP_045140953.1, XP_012863904.1, XP_045145303.1, XP_004717218.1, XP_004717217.1, XP_045150248.1, XP_045147057.1, XP_045150814.1, XP_045143373.1, XP_045153070.1, XP_045145703.1, XP_045148069.1, XP_045151994.1, XP_045154633.1	NP_001188311.1
OG0000072	XP_004701095.1, XP_045147551.1	XP_020929914.1, XP_013839085.1, XP_020929916.1, XP_020929915.1, XP_013839090.1, XP_020929920.1, XP_013839089.1, XP_013839092.1, XP_020929917.1, XP_013839087.1, XP_020929918.1, XP_013839091.1, XP_013839086.1, XP_013839088.1, XP_013839094.1
OG0000073	XP_030741736.2, XP_004708562.3, XP_012861568.1, XP_045147036.1, XP_004708561.2	XP_013842558.2, XP_020937803.1
OG0000074	XP_004708970.1	NP_999018.1, XP_005653705.1
OG0000075	XP_012859131.1, XP_045144281.1	XP_013841926.1, XP_005673996.1
OG0000075	XP_004715682.1	XP_020935538.1
OG0000076	XP_004697101.1	XP_013850711.2
OG0000076	XP_045140667.1	XP_020940578.1
OG0000077	XP_004701504.1	XP_003133549.1
OG0000077	XP_004716948.1	NP_001070686.1, XP_005663911.1
OG0000078	XP_045144918.1	XP_013853134.1, XP_003126385.1, XP_020947568.1, XP_020947570.1, XP_020947569.1, XP_013853132.1, XP_013853131.1, XP_013853133.1
OG0000079	XP_045140817.1, XP_004696894.1, XP_045140816.1	XP_005653026.1, NP_001072136.1
OG0000080	XP_030743379.1	XP_005660933.1, XP_003353909.1, XP_013849754.1, XP_020938656.1, XP_020940361.1
OG0000081	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1	XP_020928770.1, XP_003482015.1, XP_005665076.2, XP_020953255.1, XP_003356200.1, XP_003356201.1, XP_020953254.1, XP_003127664.2, XP_005665073.2, XP_020953253.1
OG0000082	XP_030744575.2	XP_003359050.3
OG0000082	XP_045140481.1, XP_030744706.2, XP_030744510.1, XP_045140480.1	XP_003359052.2, XP_003359045.1, XP_020927175.1, XP_020927172.1, XP_003359044.1, XP_003359047.1, XP_003359049.1, XP_003359051.1, XP_020927174.1, XP_020927177.1, XP_020927178.1, XP_013838057.1
OG0000083	XP_045148499.1	XP_013850745.1
OG0000083	XP_045148500.1	XP_020952917.1
OG0000083	XP_045148495.1	XP_013854174.2
OG0000083	XP_045148509.1	XP_013850671.1
OG0000084	XP_045141025.1, XP_045141026.1, XP_004703689.1	XP_020932675.1, XP_020932683.1, XP_020932676.1, XP_020932674.1, XP_020932684.1, XP_020932673.1, XP_020932677.1, XP_020932680.1, XP_020932671.1, XP_020932681.1, XP_020932672.1, XP_020932678.1, XP_020932682.1
OG0000085	XP_004714378.1	XP_005652893.1
OG0000085	XP_004717398.1, XP_004717958.1	XP_003123299.1, XP_003123284.1, XP_003123282.1, XP_003123283.1, XP_020941171.1, XP_003123287.1, XP_020941174.1, XP_020941168.1, XP_003123298.3
OG0000086	XP_004714964.1	XP_003122765.1
OG0000086	XP_045154464.1	XP_003133037.1
OG0000086	XP_004707070.1	XP_003131734.2, XP_020922951.1, XP_020922950.1
OG0000087	XP_004713160.1, XP_030744700.1, XP_004713170.2	XP_005657196.2, XP_013845637.2, XP_003358961.3
OG0000088	XP_045140349.1, XP_045140348.1, XP_045140350.1	XP_005670398.1, XP_020926640.1, XP_020926638.1, XP_020926641.1, XP_005670397.1, XP_005670396.1, XP_020926643.1, XP_020926642.1, XP_005670395.1, XP_013838042.1
OG0000089	XP_004708559.1, XP_004708552.1, XP_004708556.1	XP_020937102.1, XP_020937107.1, XP_020937786.1
OG0000090	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1	NP_001229985.1, XP_020948987.1
OG0000092	XP_004708546.1, XP_004708548.1	XP_020937104.1
OG0000093	XP_045142014.1	XP_020941598.1
OG0000095	XP_004711944.1	XP_020949547.1
OG0000095	XP_045148615.1, XP_045150606.1	NP_999221.1
OG0000095	XP_045151807.1	NP_001001266.1, XP_013843991.2
OG0000096	XP_004703093.1	XP_003353495.1
OG0000098	XP_045156007.1	XP_020940795.1
OG0000098	XP_045156006.1	XP_020940798.1, XP_020940801.1, XP_020940800.1
OG0000099	XP_045151127.1	XP_020932980.1, NP_001011508.1
OG0000100	XP_004705273.1	XP_020953151.1, XP_020953150.1, XP_020953153.1, XP_020953154.1, XP_020953149.1, XP_020953152.1
OG0000100	XP_004705657.1	XP_003481037.1
OG0000101	XP_045146523.1, XP_045146524.1	XP_020935324.1, XP_020935323.1
OG0000102	XP_004703229.1	NP_001231053.1, XP_013853463.2, XP_020957063.1, XP_003357000.2
OG0000102	XP_004703410.2	XP_020957065.1, XP_020957066.1
OG0000103	XP_045151822.1, XP_004710333.1	NP_001038035.1, NP_001038034.1
OG0000104	XP_045147911.1, XP_004699643.1	XP_020945969.1
OG0000105	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1	XP_020918329.1, XP_020918323.1, XP_020918326.1, XP_020918310.1, XP_020918316.1, XP_020918321.1, XP_020918318.1, XP_020918325.1, XP_020918332.1, XP_020918335.1, XP_020918299.1, XP_020918313.1, XP_020918319.1, XP_020918336.1, XP_020918322.1, XP_020918308.1, XP_020918320.1, XP_020918324.1, XP_020918330.1, XP_020918301.1, XP_020918309.1, XP_020918333.1, XP_020918302.1, XP_020918312.1, XP_020918300.1, XP_020918327.1, XP_020918314.1, XP_020918304.1, XP_020918305.1, XP_020918331.1, XP_020918303.1, XP_020918311.1, XP_020918334.1, XP_020918307.1, XP_020918315.1
OG0000106	XP_004708127.2	XP_003134933.1
OG0000106	XP_004705720.2	NP_001006592.1
OG0000106	XP_004709634.2	XP_005670706.1, NP_998956.1
OG0000106	XP_004706026.2	XP_005661989.2
OG0000107	XP_004715014.1	XP_020938708.1, XP_020941127.1, XP_020938707.1, XP_003480749.2, XP_020937672.1, XP_020937673.1, XP_020937111.1, XP_020937110.1, XP_020940700.1, XP_020937676.1
OG0000107	XP_004715013.1, XP_004715012.1	XP_020940701.1, XP_020940702.1
OG0000108	XP_045150492.1, XP_004701946.2	XP_020930254.1, NP_001230722.1
OG0000109	XP_004712516.1	XP_020921609.1
OG0000109	XP_004712518.1	XP_003122039.1
OG0000110	XP_004713048.1	XP_005669254.1
OG0000110	XP_045149353.1	XP_020921972.1
OG0000113	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1	XP_020935603.1, XP_003360440.1, XP_013846419.1, XP_005657953.1, XP_020935581.1
OG0000114	XP_004701631.1	XP_001928677.1
OG0000114	XP_004701628.1	XP_020931001.1, XP_001928787.2, XP_003133674.2
OG0000114	XP_004701630.1	XP_020931295.1
OG0000115	XP_004711472.1	XP_020946634.1, NP_001153898.1
OG0000115	XP_004696937.1	NP_001153899.1
OG0000116	XP_045140497.1	XP_005661779.2
OG0000117	XP_012861772.1, XP_004697272.1, XP_012860596.1, XP_004718001.2, XP_004697269.2, XP_030744594.1, XP_004697270.1, XP_004697271.3	XP_005653031.1, XP_003124427.2, XP_003124263.1, XP_003124420.2
OG0000118	XP_030741158.1	XP_020934700.1, XP_020934703.1, XP_020934702.1, XP_020934698.1, XP_005673358.1, XP_020934699.1, XP_020934704.1, XP_020934701.1, XP_013841228.1, XP_020934697.1
OG0000119	XP_004717708.1, XP_004715360.1	XP_005671057.1, XP_020929555.1, XP_001929089.1, XP_020929551.1, XP_020929556.1, XP_013838717.1, XP_020929554.1, XP_020929553.1, XP_005671058.1, XP_005671056.1, XP_013838718.1
OG0000120	XP_004705610.1	XP_003124331.1
OG0000121	XP_045142786.1	XP_020933838.1, XP_020933335.1
OG0000122	XP_004715846.1	XP_020952890.1
OG0000122	XP_012859939.1, XP_045152129.1, XP_012861706.1, XP_012861418.1, XP_012859846.1, XP_012859260.1, XP_012860136.1	XP_020946773.1, NP_001193288.1
OG0000123	XP_030742389.1, XP_004716225.1, XP_004716224.1, XP_004716261.1	XP_020923328.1, XP_020923329.1, XP_020923330.1
OG0000124	XP_012863991.1	XP_020936177.1, XP_020936616.1
OG0000124	XP_045141379.1	XP_020936608.1
OG0000124	XP_045141380.1	XP_020935144.1, NP_001231049.1
OG0000125	XP_004707210.1	XP_003131481.2
OG0000125	XP_045155274.1	NP_001231824.1, XP_003131478.3, XP_005653958.1, XP_003358093.2
OG0000127	XP_004703356.1, XP_045140128.1	XP_020957348.1, XP_013834428.1, XP_013834434.1, XP_020957350.1, XP_020957351.1, XP_013834430.1, XP_013834426.1, XP_013834425.1
OG0000128	XP_045151658.1	XP_020954076.1
OG0000128	XP_004712541.3	XP_020954079.1
OG0000128	XP_045151722.1, XP_004712576.1, XP_045151686.1	XP_020954067.1
OG0000129	XP_004696412.1	XP_003128840.1, NP_999554.2
OG0000130	XP_004717132.1	XP_003360678.2
OG0000130	XP_004717131.1, XP_004717133.1	XP_003129579.1, XP_020918036.1
OG0000130	XP_004717091.1	XP_020918025.1
OG0000131	XP_004716498.1	XP_003357189.1
OG0000131	XP_004716464.1, XP_004716462.1, XP_012863714.1	XP_020917979.1, XP_020958303.1, XP_020917980.1
OG0000132	XP_004702027.1, XP_045150370.1, XP_045150369.1	XP_020928093.1, XP_020928059.1, XP_020928078.1, XP_005659224.1, XP_020928086.1, XP_020928038.1, XP_020928064.1, XP_020928048.1, XP_020928069.1, XP_020928080.1, XP_020928100.1, XP_020928034.1, XP_020928044.1, XP_020928051.1
OG0000133	XP_045148079.1, XP_004699328.1	XP_020945959.1, XP_020945962.1, XP_020945960.1, XP_020945955.1, XP_005663754.1, XP_020945956.1, XP_020945958.1, XP_020945953.1, XP_005663756.1, XP_005663755.1, XP_020945961.1, XP_020945954.1, XP_013852855.1
OG0000134	XP_045151946.1	XP_020948074.1
OG0000135	XP_045147971.1	XP_020945063.1, XP_020945043.1, XP_020945062.1, XP_020945038.1, XP_020945052.1, XP_020945053.1, XP_020945049.1, XP_020945064.1, XP_020945059.1, XP_020945050.1, XP_020945042.1, XP_020945048.1, XP_020945057.1, XP_020945056.1, XP_020945066.1, XP_020945037.1, XP_020945060.1, XP_020945040.1, XP_020945058.1, XP_020945039.1, XP_020945067.1, XP_020945051.1, XP_020945045.1, XP_020945061.1, XP_020945041.1, XP_020945055.1, XP_020945065.1, XP_020945047.1, XP_020945044.1, XP_020945054.1
OG0000136	XP_045142065.1, XP_045142064.1, XP_004697625.1	XP_001925841.1, XP_020945008.1, XP_013843524.1, XP_005655418.1
OG0000137	XP_030741088.1, XP_004714040.1, XP_004713998.1, XP_004714000.1	XP_020919261.1, XP_020958363.1, XP_020919260.1, XP_013833321.1
OG0000138	XP_004717532.1	XP_003129604.2
OG0000138	XP_004717576.1	XP_020918056.1
