Orthogroup	Echinops_telfairi	Ictidomys_tridecemlineatus
OG0000022	XP_012860159.3	XP_013213552.1
OG0000022	XP_030744626.2	XP_013213585.2
OG0000022	XP_045140666.1	XP_013213555.1
OG0000022	XP_030744629.2	XP_005324347.1
OG0000023	XP_030742169.1	XP_040134939.1, XP_021577018.2
OG0000024	XP_004714285.1	XP_005339563.1, XP_013215405.1, XP_013220287.1
OG0000026	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1	XP_040139817.1, XP_040139796.1, XP_040139827.1, XP_040139822.1, XP_021580893.1, XP_021580898.1, XP_040139802.1, XP_040139784.1, XP_040139812.1, XP_021580894.1, XP_021580895.1
OG0000027	XP_012861603.1	XP_005330561.1
OG0000027	XP_012862704.1	XP_040133806.1
OG0000027	XP_004699870.2	XP_040133416.1
OG0000027	XP_045150648.1	XP_005330562.1
OG0000028	XP_004715034.1	XP_005331626.1, XP_013216709.1, XP_005331724.1, XP_005331725.1, XP_005331715.1, XP_005331616.1, XP_005331617.1
OG0000028	XP_004715045.2, XP_045152990.1	XP_013216742.1, XP_005331627.1, XP_005331726.1, XP_005331628.1, XP_005331629.1
OG0000029	XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2	XP_040126529.1, XP_013221811.1, XP_005342657.1, XP_005342694.1, XP_005342692.1, XP_013221849.1, XP_013221850.1
OG0000031	XP_004717805.1	XP_005338901.1, XP_005342398.1
OG0000031	XP_004697319.1	XP_005341354.1
OG0000031	XP_004717464.1, XP_012863974.1	XP_005337155.1
OG0000031	XP_004717473.1	XP_005328675.1
OG0000031	XP_004697273.1	XP_005341500.1
OG0000032	XP_045140675.1	XP_040128234.1, XP_040128231.1
OG0000033	XP_045155427.1, XP_045155234.1	XP_021589393.1
OG0000035	XP_004712740.1	XP_005337186.1
OG0000035	XP_004712219.1	XP_005320444.1, XP_005320443.1
OG0000035	XP_030741765.1	XP_005339240.1
OG0000035	XP_004703656.1	XP_005319663.1
OG0000035	XP_030740512.1	XP_013215822.1
OG0000036	XP_004701114.1	XP_013217590.1, XP_021587606.1, XP_040128500.1, XP_005335361.2, XP_040128499.1, XP_005335356.1
OG0000036	XP_004701111.1	XP_005335354.1
OG0000038	XP_012861542.1	XP_005331749.1
OG0000039	XP_004711707.2	XP_005327562.1, XP_005327565.1
OG0000039	XP_004711733.1	XP_005341100.1
OG0000039	XP_004702931.1	XP_005336936.1
OG0000039	XP_045156035.1	XP_005335464.1, XP_040147867.1, XP_005334919.1
OG0000039	XP_004716151.1	XP_005327158.1
OG0000040	XP_004711551.1, XP_004711550.1	XP_005325163.1
OG0000040	XP_004711556.1, XP_004711557.1	XP_005325162.1
OG0000040	XP_004711562.2	XP_005325161.1
OG0000041	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1	XP_013221691.1, XP_013221690.1
OG0000041	XP_012861540.1	XP_013221697.1, XP_013221693.1, XP_013221692.1, XP_013221787.1, XP_013221688.1, XP_005342442.1, XP_040142692.1
OG0000042	XP_004711685.1, XP_004711686.1, XP_030741751.1, XP_004711688.1, XP_004718048.1, XP_004708455.1, XP_004711696.1, XP_030741749.1, XP_045147074.1	XP_005326905.1, XP_005326904.1, XP_040139671.1, XP_040139672.1, XP_005326901.2, XP_040139674.1
OG0000043	XP_012863712.2, XP_030741683.1, XP_030741692.1	XP_013221030.1
OG0000045	XP_045149228.1	XP_005332936.1
OG0000045	XP_004709406.1	XP_013217180.1, XP_040125382.1, XP_013217178.1
OG0000045	XP_012861750.1	XP_021587077.1
OG0000045	XP_012861749.1	XP_040126471.1
OG0000045	XP_004709407.1	XP_005332934.1
OG0000046	XP_045145625.1, XP_045145661.1	XP_040146919.1
OG0000048	XP_045148624.1	XP_013218855.2
OG0000048	XP_045148625.1, XP_030742216.1, XP_045148205.1	XP_005338303.3, XP_040134911.1
OG0000049	XP_012859118.1	XP_040130229.1
OG0000049	XP_004696508.2	XP_013214161.1, XP_040149893.1, XP_040149885.1, XP_005325599.1, XP_013215733.3, XP_040123842.1, XP_040125817.1, XP_005334390.2, XP_040125827.1
OG0000050	XP_004712660.1	XP_005321215.1
OG0000051	XP_045139744.1	XP_005317186.1
OG0000051	XP_045150200.1	XP_013214570.1
OG0000051	XP_004704466.1	XP_005317045.1
OG0000051	XP_045154467.1	XP_040140047.1
OG0000051	XP_045150193.1	XP_040123860.1, XP_040123859.1, XP_021582811.1, XP_040123857.1
OG0000051	XP_004710098.1	XP_040137955.1
OG0000052	XP_004700778.2	XP_040137742.1, XP_040134609.1
OG0000053	XP_030744714.1	XP_005323663.1, XP_005323664.1, XP_005323673.1, XP_005323669.1, XP_040143123.1, XP_005323662.1, XP_005323671.1, XP_005323672.1, XP_005323666.1, XP_005323668.1, XP_005323670.1, XP_021581028.1, XP_021580927.1
OG0000054	XP_045154396.1	XP_040143179.1, XP_013221082.1
OG0000054	XP_030743721.1	XP_005339464.1
OG0000054	XP_004714839.1, XP_045154300.1	XP_040145000.1, XP_005339490.2
OG0000055	XP_004716475.2, XP_004716476.1, XP_004716458.1, XP_004716457.1, XP_004716474.1	XP_040142716.1
OG0000056	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1	XP_005341596.1, XP_005341589.2, XP_005330105.2, XP_005330107.1, XP_013216073.1, XP_013216064.1, XP_005330108.1, XP_005330006.1, XP_005329998.1
OG0000057	XP_045151837.1, XP_045150218.1	XP_040123927.1
OG0000057	XP_045152239.1	XP_005326507.1
OG0000057	XP_045152873.1	XP_040124065.1
OG0000058	XP_004715220.1	XP_013214838.1, XP_005326978.1, XP_040125642.1, XP_040125644.1, XP_040125643.1, XP_013214840.1, XP_013214841.1, XP_040125641.1, XP_021583143.1, XP_040125645.1
OG0000060	XP_012862321.2	XP_040125959.1, XP_040125955.1, XP_040125958.1, XP_040125951.1, XP_040125950.1, XP_021590911.1, XP_040125956.1, XP_040125953.1, XP_021590913.1, XP_040125954.1, XP_021590912.1, XP_005338352.1, XP_040125957.1
OG0000061	XP_012862257.2	XP_005329807.1
OG0000061	XP_045145283.1	XP_005337051.1
OG0000062	XP_004715350.1	XP_005329195.1
OG0000063	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1	XP_040130435.1, XP_040130436.1, XP_040130430.1, XP_040130433.1, XP_021580498.1, XP_021580497.1, XP_040130434.1, XP_040130432.1, XP_021580501.1, XP_040130431.1, XP_021580495.1
OG0000064	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1	XP_013220820.1, XP_013220823.1, XP_040147630.1, XP_040147629.1, XP_040147632.1, XP_005340727.1, XP_013220822.1, XP_040147631.1, XP_013220821.1
OG0000065	XP_045149856.1, XP_012864194.1, XP_012861157.1, XP_045153963.1, XP_004715316.1, XP_012861920.1, XP_045144280.1, XP_012859355.1, XP_045151737.1, XP_045142791.1, XP_045139513.1, XP_012862319.1, XP_045140326.1, XP_045146233.1, XP_012859413.1, XP_012859674.1, XP_012859279.1	XP_040147114.1, XP_040125725.1, XP_013214925.1, XP_005327044.1
OG0000066	XP_045144912.1	XP_005333004.1
OG0000067	XP_004697275.1	XP_005341499.1
OG0000067	XP_012861343.1, XP_004697249.1	XP_040128093.1, XP_005342374.1, XP_005341491.1, XP_040125492.1, XP_005341494.1
OG0000068	XP_030743378.2	XP_005331712.1
OG0000069	XP_004707765.1	XP_005339955.1
OG0000069	XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1	XP_040142748.1, XP_040142751.1
OG0000069	XP_004715688.1	XP_021591066.1
OG0000069	XP_004715687.1	XP_005338558.1
OG0000069	XP_004698759.1	XP_005321271.1
OG0000069	XP_004698825.1	XP_005339204.1, XP_040132166.1
OG0000070	XP_045148084.1	XP_040144576.1
OG0000071	XP_045140953.1, XP_012863904.1, XP_045145303.1, XP_004717218.1, XP_004717217.1, XP_045150248.1, XP_045147057.1, XP_045150814.1, XP_045143373.1, XP_045153070.1, XP_045145703.1, XP_045148069.1, XP_045151994.1, XP_045154633.1	XP_021576711.1
OG0000072	XP_004701095.1, XP_045147551.1	XP_021588893.1, XP_040129688.1, XP_040129687.1, XP_021588891.1, XP_005335343.1, XP_021588892.1, XP_021588895.1, XP_021588896.1, XP_040129689.1, XP_021588894.1
OG0000073	XP_030741736.2, XP_004708562.3, XP_012861568.1, XP_045147036.1, XP_004708561.2	XP_005342816.1, XP_005342237.1
OG0000074	XP_004708970.1	XP_040140831.1, XP_040140832.1, XP_005323213.1
OG0000075	XP_012859131.1, XP_045144281.1	XP_040144985.1
OG0000075	XP_004715682.1	XP_013221794.2, XP_040142725.1, XP_005338587.1
OG0000076	XP_045140664.1	XP_040129285.1
OG0000076	XP_004697101.1	XP_013213557.1
OG0000076	XP_045140667.1	XP_021581334.1
OG0000077	XP_004701504.1	XP_040150448.1
OG0000077	XP_004716948.1	XP_013213528.1, XP_013219331.1, XP_013213894.1
OG0000078	XP_045144918.1	XP_021589222.1, XP_021589221.1, XP_013218509.1, XP_040136333.1, XP_040136334.1, XP_013218507.1, XP_013218508.1, XP_040136331.1, XP_040136332.1
OG0000079	XP_045140817.1, XP_004696894.1, XP_045140816.1	XP_013220941.1, XP_005340932.1, XP_005340931.1
OG0000080	XP_030743379.1	XP_040140226.1, XP_040140227.1, XP_005331613.1, XP_040140229.1, XP_040140228.1, XP_040140224.1
OG0000081	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1	XP_005341438.1, XP_040147102.1, XP_021575563.1, XP_040145147.1, XP_040145142.1, XP_021576963.1, XP_013221456.1, XP_013221526.3, XP_021576301.1, XP_005341988.2, XP_005335236.1, XP_005342842.1, XP_040145077.1, XP_013221831.1, XP_013218252.1, XP_021588814.1, XP_021577065.1, XP_040145140.1, XP_005318914.1, XP_040141003.1, XP_040137918.1
OG0000082	XP_030744575.2	XP_021575720.2
OG0000083	XP_045148499.1	XP_013221660.2
OG0000083	XP_045148500.1	XP_005342382.1
OG0000083	XP_045148495.1	XP_040135107.1
OG0000084	XP_045141025.1, XP_045141026.1, XP_004703689.1	XP_040129409.1, XP_021578200.1, XP_040129406.1, XP_040129405.1, XP_040129407.1, XP_040129408.1
OG0000085	XP_004714378.1	XP_005342202.3
OG0000085	XP_004717398.1, XP_004717958.1	XP_005342171.1, XP_021576992.1, XP_005342205.1, XP_013221555.1, XP_013221556.1, XP_005342187.1, XP_005342175.2, XP_005342206.1, XP_013221558.1, XP_005342170.1, XP_005342207.1, XP_005342188.1
OG0000086	XP_004714964.1	XP_040140257.1
OG0000086	XP_004705744.1	XP_005323877.1
OG0000086	XP_045154464.1	XP_040145207.1
OG0000086	XP_004707070.1	XP_005321618.1, XP_040124999.1
OG0000087	XP_004713160.1	XP_005323682.1
OG0000087	XP_030744700.1, XP_004713170.2	XP_021581031.1
OG0000087	XP_030744519.1	XP_040143119.1
OG0000088	XP_045140349.1, XP_045140348.1, XP_045140350.1	XP_021581027.1
OG0000089	XP_004708559.1, XP_004708552.1, XP_004708556.1	XP_005342230.1, XP_005342231.1, XP_005342228.1, XP_005342229.1, XP_005342224.1, XP_005342226.1, XP_005342227.1, XP_005342243.1, XP_021577011.1, XP_005342241.1
OG0000090	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1	XP_013221796.1
OG0000092	XP_004708546.1	XP_005342974.1, XP_013221256.1, XP_005341611.1, XP_013221255.1, XP_005341610.1, XP_005341613.1
OG0000092	XP_004708548.1	XP_040139657.1, XP_005341609.1, XP_013221253.1, XP_021577012.1
OG0000093	XP_045142014.1	XP_005339885.1
OG0000095	XP_004711944.1	XP_040134807.1, XP_005318255.1, XP_040134808.1
OG0000095	XP_045148615.1, XP_045150606.1	XP_021577054.1
OG0000095	XP_004717327.1	XP_005318256.1
OG0000096	XP_004703093.1	XP_005323057.1, XP_013213016.1
OG0000096	XP_004700028.1	XP_021577205.1, XP_005335225.1, XP_005342091.1
OG0000099	XP_045151127.1	XP_005320610.2
OG0000100	XP_004705273.1	XP_040143703.1, XP_005339292.1, XP_040143704.1, XP_040143707.1, XP_040143706.1, XP_040143705.1
OG0000101	XP_045140363.1	XP_013220236.1
OG0000101	XP_045146523.1, XP_045146524.1	XP_005340748.1, XP_040139417.1, XP_005340749.1
OG0000102	XP_004703229.1	XP_040148272.1
OG0000102	XP_004703410.2	XP_005333344.1, XP_040148273.1, XP_040148275.1, XP_005333337.1, XP_005333338.1, XP_005333343.1, XP_005333340.1, XP_005333341.1
OG0000103	XP_045151822.1, XP_004710333.1	XP_005320375.1, XP_005320377.1, XP_005320379.1, XP_005320378.1
OG0000105	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1	XP_021590157.1, XP_021590155.1, XP_021590159.1, XP_040141046.1, XP_040141047.1, XP_021590154.1, XP_021590160.1
OG0000106	XP_004708127.2	XP_021577903.2
OG0000106	XP_004705720.2	XP_040133154.1, XP_040133157.1, XP_040133158.1, XP_040133159.1, XP_005323910.1, XP_040133156.1
OG0000106	XP_004709634.2	XP_013215938.3
OG0000106	XP_004706026.2	XP_005328552.2
OG0000107	XP_004715014.1	XP_005331737.1
OG0000107	XP_004715013.1, XP_004715012.1	XP_013216748.1, XP_013216747.1, XP_013216746.1
OG0000108	XP_004701946.2	XP_013220342.1, XP_005339688.1
OG0000109	XP_004711113.1	XP_040142050.1
OG0000109	XP_004712519.1	XP_021582691.1
OG0000109	XP_004712518.1	XP_005326411.1
OG0000110	XP_004713048.1	XP_040125245.1, XP_021586993.1
OG0000110	XP_045149353.1	XP_040126469.1, XP_040125244.1
OG0000113	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1	XP_005328910.1, XP_040139681.1, XP_040139680.1, XP_021580913.1, XP_021580912.1, XP_021580914.1, XP_005323467.1, XP_021577138.1
OG0000114	XP_004701631.1	XP_013221764.1, XP_005342106.1
OG0000114	XP_004701628.1	XP_013221763.1
OG0000114	XP_004701630.1	XP_021577318.1, XP_021577316.1
OG0000115	XP_004711472.1	XP_005324954.1
OG0000115	XP_004696937.1	XP_005341336.2
OG0000116	XP_045140497.1	XP_005327333.1, XP_040127782.1
OG0000116	XP_030744473.1	XP_005325798.1, XP_005325799.1, XP_040148971.1
OG0000117	XP_012861772.1, XP_004697272.1, XP_012860596.1, XP_004718001.2, XP_004697269.2, XP_030744594.1, XP_004697270.1, XP_004697271.3	XP_005342766.1, XP_005334194.1, XP_005334197.1, XP_005334196.1, XP_013217766.1, XP_013217765.1, XP_005342893.3, XP_040129251.1, XP_013221201.2
OG0000118	XP_030741158.1	XP_040147723.1, XP_040147721.1, XP_040147720.1, XP_040147726.1, XP_040147724.1, XP_040147722.1, XP_040147727.1, XP_013211422.1, XP_040147725.1, XP_005319199.1
OG0000119	XP_004717708.1, XP_004715360.1	XP_005334458.1, XP_005334459.1, XP_040127708.1, XP_040127710.1, XP_040127707.1, XP_040127706.1
OG0000120	XP_004705610.1	XP_040134537.1
OG0000121	XP_045142786.1	XP_013215795.1
OG0000122	XP_004715846.1	XP_005330655.1
OG0000122	XP_012859939.1, XP_045152129.1, XP_012861706.1, XP_012861418.1, XP_012859846.1, XP_012859260.1, XP_012860136.1	XP_005338407.1
OG0000123	XP_030742389.1, XP_004716225.1, XP_004716224.1, XP_004716261.1	XP_005337464.2, XP_005337344.1, XP_005337442.1, XP_005337346.1
OG0000124	XP_012863991.1	XP_040142828.1
OG0000124	XP_045141380.1	XP_013218452.2
OG0000125	XP_004707210.1	XP_005321900.1
OG0000125	XP_045155274.1	XP_005321898.1
OG0000127	XP_004703356.1, XP_045140128.1	XP_040148941.1, XP_005340848.1
OG0000128	XP_004712541.3	XP_005337092.1
OG0000128	XP_045151722.1, XP_004712576.1, XP_045151686.1	XP_005337090.1
OG0000129	XP_004696412.1	XP_005318618.1, XP_005318621.1, XP_021577504.1, XP_005318620.1, XP_005318619.1, XP_040138713.1
OG0000130	XP_004717091.1	XP_005342584.1, XP_005342585.2
OG0000131	XP_004716464.1, XP_004716462.1, XP_012863714.1	XP_005342523.1, XP_005342525.1, XP_005342524.1
OG0000132	XP_004702027.1, XP_045150370.1, XP_045150369.1	XP_040139331.1, XP_040139338.1, XP_040139337.1, XP_040139335.1, XP_040139330.1, XP_040139329.1, XP_040139336.1, XP_021588609.1, XP_040139334.1, XP_021588610.1, XP_013218100.1, XP_040139332.1
OG0000133	XP_045148079.1, XP_004699328.1	XP_013215191.1, XP_013215190.1, XP_040144905.1, XP_021583713.1
OG0000134	XP_045151946.1	XP_013219711.1
OG0000135	XP_045147971.1	XP_021586730.1
OG0000136	XP_045142065.1, XP_045142064.1, XP_004697625.1	XP_021580553.1, XP_040149975.1, XP_005322988.1, XP_040149974.1, XP_040149976.1
OG0000137	XP_004714041.1	XP_005326680.1
OG0000138	XP_004717527.1, XP_004717571.2	XP_005323360.1
OG0000138	XP_004717528.1	XP_005323162.1
OG0000139	XP_045140394.1, XP_004697266.1, XP_045140393.1, XP_045140391.1, XP_045140390.1	XP_013217775.1
OG0000141	XP_004697229.2, XP_045140736.1, XP_004696895.1	XP_013220938.1, XP_005340930.1, XP_005340929.1, XP_005340928.1, XP_005340948.1, XP_005342644.1, XP_005340926.1, XP_005339387.1, XP_005340927.1
OG0000142	XP_045149687.1, XP_004704707.1, XP_045149686.1	XP_005318275.1
OG0000143	XP_030742844.1	XP_040128839.1
OG0000144	XP_045151259.1	XP_040130281.1
OG0000145	XP_045147525.1, XP_004701145.1, XP_045147526.1	XP_040129752.1, XP_021591552.1, XP_040129751.1, XP_040129750.1, XP_005339253.1, XP_013220153.1
OG0000146	XP_045142054.1, XP_045142060.1, XP_004697533.1	XP_040149796.1, XP_040149799.1, XP_021584342.1, XP_021584343.1, XP_040149797.1, XP_040149798.1, XP_013215551.1, XP_040149800.1
OG0000147	XP_004713906.1, XP_004713922.1, XP_004713902.1	XP_040127260.1, XP_005329464.1, XP_040127259.1
OG0000147	XP_004713907.1, XP_004713908.1	XP_040127126.1
OG0000148	XP_004698922.1, XP_004698923.1	XP_005341481.1, XP_005341482.1, XP_013221192.1
OG0000149	XP_045148631.1	XP_021590883.2
OG0000149	XP_004716558.1	XP_005339432.1
OG0000149	XP_004714919.1	XP_005334975.1
OG0000149	XP_045154307.1	XP_013220247.1
OG0000150	XP_012860629.3	XP_005318334.1, XP_005318333.1, XP_040135320.1, XP_021576708.1, XP_005318341.1, XP_005318337.1, XP_040134958.1, XP_021576703.2, XP_005318332.3
OG0000151	XP_004707410.1	XP_005342911.2
OG0000153	XP_012864129.2, XP_030743188.1	XP_005342499.1, XP_005342300.1, XP_005342302.2, XP_005342292.1, XP_005342500.1, XP_013221872.3
OG0000153	XP_012864119.1	XP_005342301.1, XP_013221603.1
OG0000156	XP_045148508.1	XP_005342432.2, XP_021577096.1, XP_021577098.1, XP_040135846.1, XP_040135848.1, XP_021577099.1
OG0000157	XP_004716095.1	XP_021582078.1, XP_005325458.1
OG0000157	XP_045150192.1	XP_005341320.1
OG0000158	XP_045150894.1	XP_021582934.1
OG0000158	XP_012859561.1	XP_005331336.1
OG0000158	XP_012860252.2	XP_040134692.1
OG0000159	XP_004706567.1, XP_004706504.1	XP_013218996.1, XP_005336827.1, XP_005336828.1
OG0000159	XP_004706503.2	XP_013218998.1
OG0000160	XP_045140887.1	XP_040148147.1, XP_040133880.1
OG0000161	XP_045142585.1	XP_040127058.1, XP_040127059.1, XP_013212610.2, XP_021580039.1, XP_021580040.1, XP_005322247.1, XP_021580041.1, XP_005322223.1, XP_005322222.3, XP_021580033.1, XP_005322246.2
OG0000162	XP_012864056.1	XP_021577193.1
OG0000163	XP_045153720.1	XP_013215684.1
OG0000163	XP_045153718.1, XP_045153719.1	XP_021584638.2
OG0000164	XP_004706358.1, XP_045144983.1	XP_005335890.1
OG0000165	XP_045146037.1, XP_045146036.1	XP_005334350.1
OG0000166	XP_045141312.1, XP_045141315.1, XP_045141314.1	XP_013214438.1, XP_021582555.1, XP_005326179.1, XP_021582554.1
OG0000167	XP_045140340.1, XP_004705793.1	XP_040132570.1, XP_040132572.1, XP_040132568.1, XP_040132566.1, XP_040132571.1, XP_005323781.1, XP_040132565.1, XP_021581113.1, XP_040132569.1, XP_040132574.1, XP_040132567.1, XP_040132573.1
OG0000168	XP_045140898.1, XP_045143942.1, XP_045149167.1, XP_045145032.1, XP_045141604.1, XP_045147501.1, XP_045155495.1, XP_045155494.1, XP_045144189.1	XP_005336035.1
OG0000170	XP_045146994.1, XP_045146995.1, XP_004711621.2, XP_004711675.1	XP_005326831.1, XP_040140643.1
OG0000172	XP_045142243.1	XP_021580544.1
OG0000172	XP_004701997.1	XP_021579599.1
OG0000172	XP_004716083.1	XP_021582117.1
OG0000173	XP_004702250.1	XP_021590310.1, XP_013219273.1, XP_013219274.1, XP_040139164.1, XP_021590309.1, XP_040139166.1, XP_040139165.1
OG0000174	XP_030743023.1	XP_040143514.1, XP_005331299.1, XP_005331298.1
OG0000175	XP_045147084.1, XP_045147082.1, XP_045147085.1, XP_004708362.1, XP_045147083.1	XP_040140415.1, XP_040140414.1, XP_040140417.1, XP_040140416.1, XP_005340208.1
OG0000176	XP_004715052.3, XP_045152993.1, XP_045152994.1, XP_045141949.1	XP_005331614.2
OG0000176	XP_045152988.1	XP_021586296.1
OG0000177	XP_004701304.1	XP_005320807.1, XP_040128037.1
OG0000178	XP_045152345.1	XP_005331038.1
OG0000179	XP_004710567.1	XP_040135815.1
OG0000179	XP_004710399.1, XP_004710401.1, XP_004710400.1	XP_013218874.2, XP_021589705.1, XP_005336557.1
OG0000180	XP_045146325.1, XP_045146327.1	XP_005332179.1
OG0000182	XP_045152535.1, XP_045152534.1	XP_040131343.1, XP_040142003.1
OG0000183	XP_004714362.1	XP_005330057.1
OG0000184	XP_004712167.1, XP_045143405.1	XP_021583955.1
OG0000188	XP_004717519.1	XP_005342915.1
OG0000188	XP_004717089.1	XP_005342579.1
