Orthogroup	Echinops_telfairi	Mus_musculus
OG0000004	XP_004716624.1	NP_783593.1
OG0000005	XP_030743198.1	NP_667141.1
OG0000005	XP_004700918.3	NP_667138.1, NP_666939.1
OG0000005	XP_004700923.1	NP_666396.1
OG0000005	XP_004700650.1, XP_030741266.1	NP_666759.1, NP_666755.1
OG0000005	XP_004717924.1	NP_666490.1
OG0000005	XP_004700643.1	NP_666379.1
OG0000006	XP_012862570.1	XP_030110853.2
OG0000008	XP_045148515.1, XP_045152547.1	NP_001277279.1
OG0000008	XP_045141709.1	NP_067301.1, NP_001346164.1, NP_001038947.1
OG0000008	XP_045141717.1	NP_001276518.1
OG0000008	XP_045149590.1	NP_001355257.1
OG0000009	XP_045151687.1, XP_045151702.1	NP_001108547.1, XP_030105660.1
OG0000010	XP_004708518.1, XP_004708517.1, XP_004708519.1, XP_004708526.1, XP_012861557.1, XP_030741695.1, XP_030741697.1, XP_004708525.1, XP_004708524.3	NP_667181.1
OG0000010	XP_004708520.1, XP_030741715.1	NP_667001.1
OG0000010	XP_004708431.3	NP_667194.1
OG0000011	XP_012861711.2	NP_444360.1, NP_444364.3, NP_444362.3
OG0000011	XP_012860119.2	NP_444363.1, NP_444361.1, NP_444365.1, NP_444359.3, NP_444366.3, NP_444367.1
OG0000012	XP_004714207.1, XP_012861936.2, XP_012864145.1	NP_776144.1
OG0000012	XP_012862981.1	XP_006527991.1, NP_001094920.1
OG0000012	XP_045146714.1, XP_045146698.1, XP_045146499.1	NP_112448.1, NP_034889.1, NP_032571.2
OG0000012	XP_004713947.1, XP_004711269.1	NP_001028664.2
OG0000013	XP_004714288.1, XP_004714287.1	NP_001011824.1, NP_001011823.1
OG0000013	XP_004714373.1	NP_667117.1
OG0000014	XP_045148265.1, XP_045148272.1	NP_666291.2, NP_033603.2
OG0000015	XP_004716911.2	NP_666774.1, NP_666770.1, NP_666769.1, NP_666772.1
OG0000017	XP_004706250.1, XP_004706251.1, XP_004706265.1, XP_045141829.1, XP_004706263.1, XP_004706256.1, XP_004706253.1, XP_004706254.3, XP_004706252.1, XP_004717982.2, XP_004706249.2, XP_030740248.1, XP_030740247.1, XP_004706273.1, XP_030740249.1, XP_004706248.1, XP_045141832.1, XP_004706244.1, XP_004706266.3, XP_045141789.1, XP_004706264.2, XP_004706261.3, XP_004706258.3, XP_004706267.1, XP_004706268.1, XP_004706259.1, XP_004706260.1, XP_030740246.2	NP_667071.1
OG0000017	XP_004717472.1	NP_666395.2
OG0000017	XP_004707348.1	NP_001011863.1, NP_001349594.1, NP_035132.2
OG0000017	XP_012863346.1	NP_666404.1
OG0000018	XP_012859399.1	XP_006532311.1, NP_032237.1
OG0000018	XP_004716622.1	NP_473386.1, NP_835510.1, NP_835734.2, NP_783584.1, NP_835511.1, NP_038576.1, NP_835587.1
OG0000018	XP_004696931.1	NP_001304932.1
OG0000019	XP_004712786.1, XP_004712718.2, XP_004698479.1	NP_666514.2
OG0000019	XP_004712790.1	NP_666513.2
OG0000019	XP_004712724.1	NP_666386.1
OG0000019	XP_004712723.1	NP_666660.1
OG0000020	XP_030742134.1	XP_006539695.1, NP_035220.2, NP_001160144.1, NP_001371139.1, XP_006539491.1, NP_035219.2, XP_036008671.1, NP_001357997.1, XP_036008674.1, NP_001344323.1, XP_006539697.1
OG0000020	XP_045148328.1	XP_036011513.1, NP_001278821.1, NP_032173.1, NP_038560.1
OG0000021	XP_004717803.1	NP_666402.2
OG0000022	XP_012861131.1	NP_291065.3
OG0000022	XP_012860159.3	NP_291072.1
OG0000022	XP_030744626.2	NP_291068.2
OG0000022	XP_045140666.1	NP_291066.1
OG0000022	XP_004697099.2	NP_291062.1
OG0000022	XP_045140875.1	NP_291063.1
OG0000022	XP_030744629.2	NP_291064.1
OG0000023	XP_030742169.1	NP_001104528.1, XP_006540653.1, XP_036008866.1, NP_848821.2
OG0000023	XP_012862151.1	NP_112458.2, XP_006541381.1
OG0000024	XP_004714285.1	NP_666650.1, NP_667041.2, NP_666958.1, NP_666957.1
OG0000026	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1	NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1
OG0000027	XP_012861603.1	NP_033473.1
OG0000027	XP_004710335.1	NP_059075.1
OG0000027	XP_012862704.1	NP_001029051.2
OG0000028	XP_004715034.1	NP_666909.1, NP_666908.2
OG0000028	XP_004715045.2, XP_045152990.1	NP_666916.1
OG0000029	XP_004706573.1, XP_004706506.1	NP_667211.2, NP_667212.2
OG0000029	XP_012861092.2	NP_667210.2, NP_001011662.2, NP_667208.2
OG0000029	XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2	NP_667207.2, XP_030104978.1, NP_667213.2, NP_667209.1
OG0000031	XP_004717805.1	NP_667273.1
OG0000031	XP_004697319.1	NP_001011789.1
OG0000031	XP_004717464.1, XP_012863974.1	NP_001011820.1, NP_666754.2
OG0000031	XP_004717473.1	NP_997455.1
OG0000033	XP_045155424.1	XP_030101751.1, NP_001346741.1
OG0000033	XP_004709364.2	XP_006533136.1, NP_742047.1
OG0000033	XP_045155427.1, XP_045155234.1	NP_001334580.1, NP_954691.3
OG0000033	XP_004709367.1, XP_012861717.2	NP_001162624.1, XP_017170043.1, NP_663412.1, XP_030102331.1, NP_001095126.1, NP_001095127.1, NP_954671.1, XP_006533716.1, XP_006531943.1, XP_036012057.1
OG0000035	XP_004712740.1	NP_033738.1
OG0000035	XP_004712219.1	NP_033736.1, NP_001258970.1
OG0000035	XP_030741765.1	NP_031418.1
OG0000035	XP_004703656.1	NP_780706.1
OG0000035	XP_030740512.1	NP_033740.2
OG0000036	XP_012859662.1, XP_045147370.1	XP_017173651.1, NP_001001446.3
OG0000036	XP_004701114.1	NP_082467.2, NP_001011707.1, NP_034131.2, NP_598905.2, NP_996260.1, XP_006527235.1, NP_001360866.1, NP_034132.2, NP_031841.3
OG0000036	XP_004701111.1	XP_011245537.1, NP_663474.2
OG0000038	XP_012861542.1	NP_667230.1
OG0000039	XP_004711707.2	NP_076205.1, NP_033476.1
OG0000039	XP_004711733.1	NP_035785.1
OG0000039	XP_004702931.1	NP_666228.1
OG0000039	XP_045156035.1	NP_075768.1
OG0000039	XP_004716151.1	NP_001074440.1
OG0000039	XP_004702928.1	NP_080749.2
OG0000040	XP_004711551.1, XP_004711550.1	NP_666392.1
OG0000040	XP_004711481.1	NP_666668.2
OG0000040	XP_004711562.2	NP_667247.1
OG0000041	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1	NP_001355135.1, NP_666478.1
OG0000041	XP_012861540.1	NP_666803.1, NP_666802.2, NP_861539.2, XP_006499622.1, NP_666941.2
OG0000042	XP_004711685.1, XP_004711686.1, XP_030741751.1, XP_004711688.1, XP_004718048.1, XP_004708455.1, XP_004711696.1, XP_030741749.1, XP_045147074.1	NP_001275730.1, NP_705744.2, NP_694707.2, NP_694735.2, NP_001371138.1, NP_001368930.1, NP_997423.1
OG0000043	XP_012863712.2, XP_030741683.1, XP_030741692.1	NP_666422.1, NP_666708.1, NP_666948.1, NP_666949.1, NP_666946.1, NP_666709.1, NP_666707.1, NP_001011811.1, NP_001011810.2, NP_666943.1, NP_666710.1, NP_666944.1, NP_666419.2, NP_666476.1, NP_666423.1, NP_666954.1, NP_666637.1, NP_666636.1, NP_001011871.1, NP_666950.1, NP_666945.1
OG0000044	XP_004712586.2	NP_694813.1
OG0000045	XP_045149228.1	NP_001093105.1, XP_006532475.1
OG0000045	XP_004709406.1	NP_109604.1, XP_017169807.1
OG0000045	XP_012861750.1	XP_036012291.1, NP_796343.2
OG0000045	XP_012861749.1	NP_001034634.2
OG0000045	XP_004709407.1	NP_034985.2
OG0000048	XP_045148624.1	NP_031701.3, XP_030098465.1
OG0000048	XP_045148625.1, XP_030742216.1, XP_045148205.1	NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1
OG0000049	XP_012859118.1	NP_065063.1
OG0000049	XP_004696508.2	NP_787953.2, NP_035911.2, NP_001020551.3, XP_006509516.1, NP_001009548.1, XP_006509324.1, NP_034216.3
OG0000050	XP_004712659.1	NP_996786.1
OG0000050	XP_004712657.1, XP_004712660.1	NP_666838.1
OG0000051	XP_045139744.1	NP_034061.2
OG0000051	XP_045150200.1	NP_031760.2, XP_036013028.1
OG0000051	XP_004704466.1	NP_034062.3
OG0000051	XP_045154467.1	XP_011246185.1, NP_444415.2
OG0000051	XP_045150193.1	XP_011236954.1, NP_031761.1
OG0000051	XP_004710098.1	XP_006528759.1, NP_001156627.1
OG0000052	XP_004700778.2	NP_001157093.1
OG0000053	XP_030744714.1	XP_011244468.1, XP_006523200.2, XP_006523187.1, XP_006523182.1, NP_001365591.1, XP_006523197.1, XP_006523192.1, XP_006523195.1, XP_030105245.1, XP_030105227.1, XP_030105247.1, NP_001344928.1, XP_030105249.1, XP_030105240.1, XP_006523186.1, XP_006523199.1, XP_006523198.1, XP_006523183.1, XP_006523185.1, NP_034804.1, XP_006523188.1, XP_006523181.1, NP_001157087.1, XP_030105235.1, XP_006523193.1
OG0000054	XP_045154396.1	XP_030108264.1, NP_001396544.1
OG0000055	XP_004716482.1	NP_667136.1
OG0000055	XP_004716475.2, XP_004716476.1, XP_004716458.1, XP_004716457.1, XP_004716474.1	NP_064687.2, NP_666984.1
OG0000056	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1	NP_997023.1, NP_666435.1, NP_001011761.1, NP_001011804.1, XP_011237863.1
OG0000057	XP_045151837.1, XP_045150218.1	XP_017174374.2, XP_036011217.1, XP_036011223.1, NP_001013839.1
OG0000057	XP_045152239.1	NP_084470.1, XP_006529132.1, XP_036011762.1, XP_036018110.1, XP_011248127.1, NP_780606.3
OG0000057	XP_045150220.1, XP_045151593.1	NP_998780.2, XP_036018112.1, XP_036018107.1, XP_006535927.1, XP_036018101.1
OG0000057	XP_045152873.1	NP_001359160.1
OG0000058	XP_004715220.1	NP_001263422.1, XP_006511699.1, NP_001263411.1, NP_001263415.1, NP_001263414.1, NP_001263410.1, NP_034147.1, NP_001263421.1
OG0000060	XP_012862321.2	NP_064410.1, NP_001397567.1, NP_001397566.1, XP_036019016.1
OG0000061	XP_012862257.2	NP_032675.2, XP_011248383.1, NP_001074754.1, NP_032674.1, NP_001012323.1, XP_006538108.1, NP_001009550.1, NP_001034633.1, NP_001157998.1, NP_001334063.1, NP_001186935.1, NP_001334058.1, NP_001334060.1, NP_001186928.1, NP_001186933.1, NP_001186924.1, XP_003688833.1, XP_006537578.1, XP_006537546.1, XP_006537549.1, XP_030108871.1, XP_030108860.1, XP_030108849.1, XP_006537554.1, XP_006537544.1, XP_006537552.1, XP_006537543.1, XP_006537714.1, XP_006537550.1, XP_006537547.1, NP_001156483.1, NP_001156482.1, NP_112465.2, NP_001039015.1, NP_001128599.1, NP_001268908.1, NP_001186865.1, NP_001116119.1, NP_001334083.1, NP_001186262.1, XP_011248460.1, XP_011248449.1, XP_017174536.1
OG0000061	XP_045145283.1	NP_084235.1, XP_017174827.1
OG0000062	XP_004715350.1	NP_001186233.1, NP_001186234.1, XP_011242683.1, NP_033150.2
OG0000063	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1	NP_001163872.1, NP_848860.1, NP_001351820.1, XP_006515972.1, NP_001351821.1
OG0000064	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1	NP_001408048.1, NP_001408050.1, NP_001153028.1, NP_001408047.1, NP_001153030.1, NP_001408049.1, NP_001153029.1, NP_031669.3, NP_001153027.1, XP_006535686.1
OG0000065	XP_045149856.1, XP_012864194.1, XP_012861157.1, XP_045153963.1, XP_004715316.1, XP_012861920.1, XP_045144280.1, XP_012859355.1, XP_045151737.1, XP_045142791.1, XP_045139513.1, XP_012862319.1, XP_045140326.1, XP_045146233.1, XP_012859413.1, XP_012859674.1, XP_012859279.1	NP_033108.1, NP_001311462.1, XP_006511723.1, NP_001311463.1, XP_036010295.1, XP_036020498.1, XP_036016113.1, XP_036017248.1, XP_036015591.1, XP_030099758.1
OG0000066	XP_045144912.1	XP_036011071.1
OG0000067	XP_012861343.1, XP_004697249.1	NP_001011531.3, NP_997036.2, NP_667090.1, NP_001011861.3, NP_666713.2, NP_997578.1
OG0000069	XP_004707765.1	NP_780707.1, XP_006519052.1
OG0000069	XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1	XP_011245927.1, NP_001093931.1
OG0000069	XP_004715687.1	NP_694809.1
OG0000069	XP_004698759.1	NP_081714.2
OG0000069	XP_004698825.1	NP_001136409.1, NP_071718.1
OG0000070	XP_030741226.1	XP_036019590.1
OG0000070	XP_045148084.1	NP_001408095.1, NP_001408093.1
OG0000071	XP_045140953.1, XP_012863904.1	NP_001106186.1, NP_081096.3, NP_001347656.1, NP_001347657.1, NP_001257647.1, NP_079654.1, XP_030098981.1, NP_109619.1
OG0000072	XP_004701095.1, XP_045147551.1	XP_011245661.1, NP_082595.1
OG0000073	XP_030741736.2, XP_004708562.3, XP_012861568.1, XP_045147036.1, XP_004708561.2	NP_667239.2
OG0000074	XP_004708970.1	NP_001290168.1, NP_001290160.1, NP_032061.1
OG0000075	XP_012859131.1, XP_045144281.1	NP_076263.1
OG0000075	XP_004715682.1	XP_017173961.1, NP_001078975.1
OG0000076	XP_004697101.1	NP_291052.3
OG0000076	XP_045140667.1	NP_291053.1
OG0000077	XP_004701504.1	NP_666242.2, NP_932758.1
OG0000077	XP_004716948.1	NP_001159443.1, NP_034577.1, NP_001034218.1
OG0000078	XP_045144918.1	NP_035521.1, NP_001345425.1, NP_001345844.1, XP_006513469.1
OG0000079	XP_045140817.1, XP_004696894.1, XP_045140816.1	NP_001103619.1, NP_001103620.1, XP_006532461.1, NP_001103618.1, NP_034924.3
OG0000080	XP_030743379.1	NP_080916.1
OG0000081	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1	XP_006539346.1, NP_084224.1
OG0000082	XP_030744575.2	NP_001191963.1
OG0000084	XP_045141025.1, XP_045141026.1, XP_004703689.1	NP_001357555.1, NP_001171137.2, NP_001034333.3, NP_001357556.1
OG0000085	XP_004717398.1, XP_004717958.1	NP_667036.2, NP_001011748.1, NP_666451.1
OG0000086	XP_004714964.1	XP_006499529.1, NP_001005342.1
OG0000086	XP_004705744.1	NP_001366222.1, NP_001366224.1, NP_001366223.1, NP_079623.1
OG0000086	XP_045154464.1, XP_004707070.1	NP_001005341.1
OG0000087	XP_004713160.1	NP_899012.1, NP_081431.1
OG0000087	XP_030744519.1	NP_038741.1
OG0000088	XP_045140349.1, XP_045140348.1, XP_045140350.1	NP_001258622.1, NP_001258624.1, NP_001258620.1, NP_062638.1, NP_001034145.1, NP_001258618.1, XP_006523005.1, NP_001258619.1, NP_001034146.1, NP_001258623.1, NP_001258621.1, NP_001258616.1
OG0000089	XP_004708559.1, XP_004708552.1, XP_004708556.1	NP_001011834.1, NP_666851.2, NP_666850.1, NP_666848.1, NP_666871.2, NP_667047.1, NP_666849.1, NP_666869.2, NP_996559.1, NP_666405.1
OG0000090	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1	NP_001390709.1, NP_001390712.1, NP_001390707.1, NP_001390715.1, NP_001390708.1, NP_001390710.1, NP_001390711.1, NP_001390714.1, NP_001390694.1, NP_001390699.1, NP_001390696.1, NP_001390693.1, NP_001390698.1, NP_001390695.1, NP_001390697.1, NP_001390701.1, NP_001390700.1, NP_001390705.1, NP_061370.2, NP_001390716.1, NP_001390719.1, NP_001390718.1, NP_001390713.1, NP_001185823.1, NP_001390717.1, XP_017168066.1
OG0000092	XP_004708546.1	NP_666861.2, NP_666406.2, NP_666743.1, NP_997449.1, NP_666742.2
OG0000093	XP_045142014.1	XP_017176645.1
OG0000095	XP_004711944.1	NP_032657.1
OG0000095	XP_045148615.1, XP_045150606.1	NP_038631.1
OG0000095	XP_045151807.1	XP_036019391.1
OG0000096	XP_004703093.1	NP_035589.1
OG0000096	XP_004700028.1	NP_683744.2, NP_001369781.1, XP_036014126.1, NP_035584.1, XP_006516684.1, NP_001157590.1, NP_033280.1, NP_001230121.1, XP_011242601.1, NP_001157589.1
OG0000098	XP_045156009.1, XP_012863865.1, XP_045156003.1, XP_012863091.1, XP_030744174.1, XP_045146230.1, XP_045156004.1, XP_045156002.1, XP_045145646.1, XP_045156007.1, XP_045156006.1, XP_045155968.1, XP_012863866.3, XP_045156110.1	NP_001372143.1
OG0000099	XP_045151127.1	NP_001277948.1, XP_036015585.1
OG0000100	XP_004705273.1	XP_017175466.1, NP_001407896.1, NP_001407897.1, NP_001407899.1, NP_001407898.1, NP_001407900.1, NP_001153489.1, NP_032168.1, NP_001153488.1
OG0000100	XP_004705657.1	NP_034442.1, XP_006504616.1
OG0000101	XP_045140363.1	NP_001334416.1
OG0000101	XP_045146523.1, XP_045146524.1	NP_063921.1, NP_001300646.1, NP_001300645.1
OG0000102	XP_004703229.1	NP_690024.1, NP_705826.1
OG0000103	XP_045151822.1, XP_004710333.1	NP_001013807.2, NP_038805.2, NP_081858.2, NP_598827.1, XP_030102973.1, NP_598833.1, XP_006516528.1, NP_001298061.1, NP_085114.1, NP_084177.2
OG0000104	XP_045147911.1, XP_004699643.1	NP_001276422.1, NP_001276421.1, NP_061204.3, NP_001342332.1, XP_006501782.1, NP_663520.2, NP_001076781.1
OG0000105	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1	XP_036011259.1
OG0000106	XP_004708127.2	NP_075017.2
OG0000106	XP_004705720.2	NP_058034.1
OG0000106	XP_004709634.2	NP_001371255.1
OG0000106	XP_004706026.2	XP_017176539.1
OG0000107	XP_004715014.1	NP_667076.1, NP_001011785.1, NP_001011534.1
OG0000107	XP_004715013.1, XP_004715012.1	NP_666646.1, NP_666645.1, XP_006499612.1, NP_666644.1
OG0000108	XP_004701946.2	NP_001408428.1, NP_001408427.1, NP_001153191.1, NP_035021.1, NP_001408425.1, NP_001408424.1, NP_001408426.1, NP_001408423.1, NP_001153189.1, NP_001153190.1, NP_001408431.1, NP_001408429.1, NP_001408430.1
OG0000109	XP_004712519.1	NP_062347.2
OG0000110	XP_004713048.1	NP_001300856.1, NP_031519.1, NP_001300854.1, NP_001300855.1
OG0000110	XP_045149353.1	XP_006532975.1, NP_660119.1, NP_001191181.1
OG0000113	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1	XP_006528649.1, NP_001346208.1, NP_001346206.1, NP_001025149.2, NP_001346207.1, NP_079631.2, NP_001352047.1, NP_001352046.1, NP_808587.1
OG0000114	XP_004701631.1	NP_658906.1
OG0000114	XP_004701628.1	NP_031802.2, NP_031803.3, NP_081286.1
OG0000114	XP_004701630.1	NP_001076042.1
OG0000115	XP_004711472.1	NP_001342439.1
OG0000115	XP_004696937.1	NP_001123880.1
OG0000116	XP_045140497.1	XP_006526183.1
OG0000117	XP_012861772.1, XP_004697272.1, XP_012860596.1, XP_004718001.2, XP_004697269.2, XP_030744594.1, XP_004697270.1, XP_004697271.3	NP_001011767.1, NP_001011752.1, NP_001011520.2, NP_997601.1, NP_666829.2, NP_666831.2, NP_667062.2
OG0000118	XP_030741158.1	NP_034582.1, XP_011239527.1
OG0000119	XP_004717708.1, XP_004715360.1	NP_001159900.1, NP_001159903.1, NP_001159899.1, XP_006506892.1, NP_001159901.1, NP_001159904.1, NP_598595.1, NP_001159902.1
OG0000120	XP_004705610.1	NP_032912.2
OG0000121	XP_045142786.1	NP_001351185.1, NP_766341.4, XP_006509689.1, NP_001239552.1
OG0000122	XP_004715846.1	NP_001277560.1
OG0000122	XP_012859939.1, XP_045152129.1, XP_012861706.1, XP_012861418.1, XP_012859846.1, XP_012859260.1, XP_012860136.1	NP_001276655.1
OG0000123	XP_030742389.1	NP_666458.1
OG0000124	XP_012863991.1	NP_033319.1
OG0000125	XP_004707210.1	NP_001152846.2
OG0000125	XP_045155274.1	NP_082259.2, NP_038598.1, NP_034789.2
OG0000125	XP_045155324.1	NP_081839.1
OG0000127	XP_004703356.1, XP_045140128.1	NP_001366512.1, NP_083219.2, XP_011238551.1, NP_001366516.1, NP_001366514.1, NP_001366511.1, NP_001366515.1, NP_001366513.1
OG0000128	XP_045151658.1	NP_598830.2
OG0000128	XP_004712541.3	XP_006516709.1
OG0000128	XP_045151722.1, XP_004712576.1, XP_045151686.1	NP_795990.2, XP_006516756.1
OG0000129	XP_004696412.1	NP_032207.3, NP_001230021.1, NP_032208.2, XP_006510877.1, NP_001116132.1, NP_001407122.1, NP_001407123.1, NP_001275546.1, NP_001407124.1, NP_001407119.1, NP_001407120.1, NP_034486.2, NP_001407121.1, NP_001070821.1
OG0000130	XP_004717091.1	NP_667333.2, NP_038644.2
OG0000131	XP_004716464.1, XP_004716462.1, XP_012863714.1	NP_666465.1, XP_017167724.1, NP_083186.2, NP_001347676.1, NP_667243.2, NP_001011862.1, NP_666664.1, NP_666811.1, NP_666807.1, NP_666813.2, NP_666809.1, NP_001011749.1, NP_666663.2
OG0000132	XP_004702027.1, XP_045150370.1, XP_045150369.1	NP_001345712.1, NP_001345711.1, XP_006512619.1, NP_034567.2
OG0000133	XP_045148079.1, XP_004699328.1	NP_001116240.1, NP_848816.3, XP_006534956.1
OG0000134	XP_045151946.1	NP_001359349.1
OG0000135	XP_045147971.1	NP_001231621.1, NP_776293.1, NP_001231622.1, XP_030109815.1
OG0000136	XP_045142065.1, XP_045142064.1, XP_004697625.1	XP_006537959.1, NP_001342645.1, NP_775602.1
OG0000137	XP_004714005.3	NP_666385.1
OG0000137	XP_004714003.1, XP_004714004.1	NP_666407.1
OG0000137	XP_004714001.1, XP_012863025.1, XP_004713999.1	NP_666865.1, NP_666866.1, NP_666867.1
OG0000137	XP_004714041.1	NP_666408.1
OG0000138	XP_004717532.1	NP_001001805.2
OG0000138	XP_004717576.1	NP_667325.1
OG0000138	XP_004717528.1	NP_667322.1
OG0000139	XP_045140394.1, XP_004697266.1, XP_045140393.1, XP_045140391.1, XP_045140390.1	NP_001243445.1, NP_001243447.1, NP_848876.2, NP_001243448.1, NP_001243449.1, XP_006533583.1, NP_001243446.1
OG0000140	XP_030741420.1	NP_001347243.1, NP_840063.1, XP_006518038.1
OG0000141	XP_004697229.2, XP_045140736.1, XP_004696895.1	NP_666680.2, NP_997110.1, NP_997136.1, NP_997456.1, NP_001011790.1, NP_997457.1, NP_001011805.1, NP_001011741.1, NP_666681.1, NP_996558.1, NP_666682.1, XP_006533423.1, NP_666678.1, NP_666684.1, NP_667277.1, NP_666679.1, NP_667276.1
OG0000142	XP_045149687.1, XP_004704707.1, XP_045149686.1	NP_082497.2, XP_006530603.1, NP_001350385.1
OG0000145	XP_045147525.1, XP_004701145.1, XP_045147526.1	NP_001349352.1, NP_001161998.1, XP_006526881.1, NP_001161997.1, NP_659041.3
OG0000146	XP_045142054.1, XP_045142060.1, XP_004697533.1	XP_006538334.1, NP_082502.2, NP_001343492.1, NP_945195.1, XP_017175942.1, NP_001343491.1
OG0000147	XP_004713906.1, XP_004713922.1, XP_004713902.1	NP_033069.1, NP_033068.1
OG0000147	XP_004713899.1, XP_004713905.1, XP_004713907.1, XP_004713908.1	NP_038921.2, NP_035166.1, NP_035389.1, NP_035390.1
OG0000148	XP_004698922.1, XP_004698923.1	NP_666532.2, NP_666879.2, NP_997016.2, NP_666641.2, NP_001170979.1, NP_666878.2, XP_017171513.1, NP_001011738.1
OG0000149	XP_045148631.1	NP_001407721.1
OG0000149	XP_004716558.1	NP_848492.1
OG0000149	XP_004714919.1	NP_659149.1
OG0000149	XP_045154307.1	NP_038762.1
OG0000150	XP_012860629.3	NP_001258974.1, NP_766347.1, NP_001157228.1, NP_598721.1, XP_006530948.1, NP_937814.1, NP_663578.1, NP_932116.2, XP_006531445.1, NP_001073334.2
OG0000151	XP_004707023.1	NP_001159500.1, XP_006533299.1
OG0000151	XP_004707410.1	NP_766384.2, XP_006533298.1, NP_853523.2
OG0000152	XP_004717756.1	NP_001158259.1, NP_035598.2, NP_001296311.1
OG0000153	XP_012864129.2, XP_030743188.1	NP_666767.2, NP_001011849.1
OG0000153	XP_004717894.2	NP_667139.1
OG0000153	XP_012864119.1	NP_666436.1, NP_997030.1
OG0000157	XP_004716095.1	NP_031932.1
OG0000157	XP_045150192.1	NP_034236.2
OG0000158	XP_012862011.1	NP_001177187.1, NP_081291.1
OG0000159	XP_004706567.1, XP_004706504.1	NP_001011808.1, NP_667205.2, NP_997433.2, NP_667206.1
OG0000159	XP_004706503.2	NP_667202.1, NP_667203.2, NP_001011736.1, NP_997434.2, NP_001005524.2, NP_666697.2
OG0000160	XP_045147901.1, XP_045144829.1, XP_045144830.1	XP_036018061.1
OG0000160	XP_045140887.1	XP_006522569.1, NP_080870.1
OG0000161	XP_045142585.1	NP_001032931.1, XP_017177330.1, NP_001240839.2, NP_001398767.1, NP_001188318.1, NP_075649.3, XP_006506533.1, NP_001348989.1, XP_006506599.1, NP_075944.1, NP_075982.2, NP_444326.2, NP_083607.3
