Orthogroup	Echinops_telfairi	Homo_sapiens
OG0000018	XP_004696931.1	NP_003484.1
OG0000019	XP_004698479.1	NP_001005504.1, NP_001005224.1, XP_016857897.1, NP_001395315.1, NP_001005221.2, NP_001005277.1
OG0000019	XP_004712723.1	NP_001005326.1
OG0000021	XP_004697311.1, XP_012860657.2, XP_030744718.1, XP_012860659.1	NP_001383035.1
OG0000021	XP_004717803.1	NP_112208.1
OG0000021	XP_012861777.1	NP_001004732.2
OG0000022	XP_012861131.1	NP_061740.2
OG0000022	XP_012860159.3	NP_061737.1
OG0000022	XP_030744626.2	NP_061743.1
OG0000022	XP_045140666.1	NP_061741.1
OG0000022	XP_004697099.2	NP_061735.1
OG0000022	XP_045140875.1	NP_061738.1
OG0000022	XP_030744629.2	NP_061739.2
OG0000023	XP_030742169.1	NP_001763.3, XP_011525833.1
OG0000023	XP_004710771.1, XP_045148514.1, XP_012862162.1	XP_047293947.1, NP_001092082.1, NP_003821.1
OG0000023	XP_012862151.1	NP_443729.1, NP_201586.1, NP_055200.1, XP_011525023.1, XP_011525036.1, NP_055257.2, NP_001185487.1, XP_011525034.1
OG0000023	XP_045148358.1	XP_011525835.1, NP_001236.4
OG0000024	XP_004714285.1	NP_001002905.1, NP_001005198.2
OG0000026	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1	NP_001164491.1, NP_689636.3, XP_011529158.1
OG0000027	XP_012861603.1	XP_047301630.1
OG0000027	XP_012862391.1	NP_001290044.1, NP_001290045.1, NP_001290046.1
OG0000027	XP_004710335.1	NP_061816.1
OG0000027	XP_012862704.1	NP_079079.1
OG0000028	XP_004715045.2, XP_045152990.1	NP_001005489.1, NP_001005566.1
OG0000029	XP_004706573.1, XP_004706506.1	NP_001004737.1, NP_001004736.2
OG0000029	XP_012861092.2	NP_001005517.1
OG0000029	XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2	NP_001005516.1
OG0000031	XP_004697319.1	NP_001004492.1
OG0000031	XP_004717464.1, XP_012863974.1	NP_149046.2
OG0000031	XP_004697273.1	NP_001013373.1
OG0000033	XP_045155424.1	XP_005257047.1, NP_009192.2
OG0000033	XP_004709364.2	NP_852114.2
OG0000033	XP_045155427.1, XP_045155234.1	NP_777552.3, XP_005257084.1
OG0000033	XP_004709367.1, XP_012861717.2	XP_047291363.1, NP_620587.2, XP_047291002.1, NP_001108624.1
OG0000035	XP_004712740.1	NP_001393411.1
OG0000035	XP_004712219.1	NP_001091.1
OG0000035	XP_030741765.1	NP_001135417.1
OG0000035	XP_004703656.1	NP_001017992.1
OG0000035	XP_030740512.1	NP_001606.1
OG0000036	XP_004701113.1	NP_001185784.1, NP_001185782.1, NP_001185783.1, NP_000761.3, NP_000760.1, NP_000762.2
OG0000039	XP_004711707.2	NP_821080.1, NP_001060.1
OG0000039	XP_004711733.1	NP_821133.1
OG0000039	XP_004702931.1	NP_006079.1
OG0000039	XP_045156035.1	NP_006077.2, NP_001280143.1, NP_001280144.1, NP_001280145.1
OG0000039	XP_004716151.1	XP_016883574.1, NP_110400.1
OG0000039	XP_004702928.1	NP_001290453.1
OG0000040	XP_004711555.1	NP_001377778.1
OG0000041	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1	NP_001004747.2
OG0000041	XP_012861540.1	NP_001004746.2
OG0000042	XP_004711685.1, XP_004711686.1, XP_030741751.1, XP_004711688.1, XP_004718048.1, XP_004708455.1, XP_004711696.1, XP_030741749.1, XP_045147074.1	NP_001380507.1, NP_671732.3, NP_473372.3, NP_001357393.1, NP_473373.2
OG0000043	XP_012863712.2, XP_030741683.1, XP_030741692.1	NP_703145.1
OG0000044	XP_004712586.2	NP_003533.1
OG0000045	XP_045149228.1	XP_011522172.1, NP_002461.2
OG0000045	XP_012861750.1	NP_002463.2
OG0000045	XP_004709407.1	NP_060003.2, XP_016880165.1
OG0000046	XP_045145625.1, XP_045145661.1	XP_024307109.1, NP_009184.1, XP_016882661.1, XP_016882304.1
OG0000048	XP_045148624.1	XP_016881688.1, NP_001349424.1, NP_001806.2
OG0000048	XP_045148625.1, XP_030742216.1, XP_045148205.1	XP_011525292.1, NP_002474.4, XP_011525508.1, NP_001807.2, XP_011524642.1, XP_011525288.1, XP_011525428.1, NP_001106881.1, NP_002776.3, NP_112536.2, XP_005259122.1, NP_002772.3, XP_016882492.1, NP_001123486.1, NP_001123640.1, NP_001193579.1, NP_002774.2, XP_047295059.1, NP_002771.2, NP_001027020.1, NP_002773.1, XP_016882496.1, NP_002775.3, NP_066296.2, NP_001284702.1, NP_001123639.1, NP_874366.1, XP_016881634.1, NP_001278413.1, NP_001703.2
OG0000049	XP_012859118.1	NP_003804.2
OG0000049	XP_004696508.2	NP_001265056.1, NP_001265055.1, XP_011529858.1, NP_001124175.1, NP_001124177.1, NP_001124176.1, NP_055084.3, NP_001265054.1
OG0000050	XP_004712659.1	NP_001004451.1
OG0000050	XP_004712660.1	NP_001004452.1
OG0000051	XP_045139744.1	NP_001836.3
OG0000051	XP_045150200.1	XP_005246334.1, NP_000082.2
OG0000051	XP_004704466.1	NP_001837.2
OG0000051	XP_045154467.1	NP_001274687.1, XP_006724680.1
OG0000051	XP_045150193.1	XP_005246338.1, NP_000083.3
OG0000051	XP_004710098.1	XP_011529151.2, NP_203699.1
OG0000052	XP_004700778.2	NP_085144.1, XP_011528694.1
OG0000053	XP_030744715.1, XP_030744716.1	NP_853646.1
OG0000053	XP_030744714.1	NP_853647.1
OG0000054	XP_045154396.1	NP_001358691.1, XP_047289901.1
OG0000054	XP_030743721.1	NP_001756.2, XP_005245636.1
OG0000054	XP_004714839.1, XP_045154300.1	NP_001755.1, XP_011508421.1
OG0000055	XP_004716475.2, XP_004716476.1, XP_004716458.1, XP_004716457.1, XP_004716474.1	NP_703146.1
OG0000056	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1	NP_001001920.2
OG0000057	XP_045151837.1, XP_045150218.1	XP_047302368.1, NP_009168.4
OG0000057	XP_045152239.1	NP_004501.4, NP_001365376.1, NP_001171944.1, NP_001365375.1, NP_004500.4, NP_001365374.1, NP_001365371.1, NP_001365372.1, NP_001365373.1, NP_536349.3
OG0000057	XP_045152873.1	NP_001073860.1
OG0000058	XP_004715220.1	NP_001171115.2, NP_001171107.2, NP_001171110.2, NP_001171111.2, NP_001171106.2, NP_001171105.2, NP_001171109.2, NP_004384.5, NP_001171108.2, XP_047303495.1, NP_001171112.2, NP_001159400.3, NP_001171113.2, NP_001171114.2
OG0000060	XP_012862321.2	NP_001336072.1, NP_001336065.1, NP_001336074.1, NP_001336077.1, NP_001336059.1, NP_001336064.1, NP_001336078.1, NP_001336063.1, NP_001336066.1, NP_001336071.1, NP_001336073.1, NP_001336069.1, NP_001336068.1, NP_001336070.1, NP_001336062.1, NP_001336060.1, NP_001336067.1, NP_001336061.1, NP_001336079.1, NP_001336075.1, NP_001336081.1, NP_001336082.1, NP_001336080.1, NP_001336076.1, NP_001033717.1
OG0000061	XP_045145283.1	NP_001380590.1
OG0000062	XP_004715350.1	NP_000323.2
OG0000063	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1	NP_001335475.1, NP_001335476.1, XP_047286992.1, NP_001335472.1, NP_872332.1, NP_001335471.1, NP_001335473.1, NP_001335478.1, NP_001335477.1, NP_001335470.1
OG0000064	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1	NP_000063.2
OG0000065	XP_045149856.1, XP_012864194.1, XP_012861157.1, XP_045153963.1, XP_004715316.1, XP_012861920.1, XP_045144280.1, XP_012859355.1, XP_045151737.1, XP_045142791.1, XP_045139513.1, XP_012862319.1, XP_045140326.1, XP_045146233.1, XP_012859413.1, XP_012859674.1, XP_012859279.1	NP_000983.1
OG0000066	XP_004715206.1, XP_004706464.1, XP_045144912.1	NP_000973.2
OG0000067	XP_004697275.1	NP_001004136.1, NP_001001827.1
OG0000067	XP_012861343.1, XP_004697249.1	NP_001004694.2, NP_001004697.1, NP_001004696.2
OG0000069	XP_004707765.1	XP_011542667.1, NP_009188.1
OG0000069	XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1	NP_443158.1, NP_001096620.1, NP_001171853.1, XP_016884741.1, NP_001096621.1
OG0000069	XP_004715688.1	NP_116271.3
OG0000069	XP_004715687.1	NP_037496.4
OG0000069	XP_004698759.1	NP_006020.4
OG0000069	XP_004698825.1	NP_071434.2
OG0000070	XP_030741226.1	NP_001372629.1, NP_001338390.1, NP_001338389.1, NP_001372627.1, NP_001372633.1, NP_001372626.1, NP_001338384.1, XP_047278864.1, NP_001338394.1, NP_001338407.1, NP_001372622.1, NP_001338406.1, NP_001164668.1, NP_001164666.1, NP_001372623.1, NP_001338393.1, NP_001372630.1, NP_001372624.1
OG0000070	XP_045148084.1	XP_011539191.1
OG0000071	XP_045140953.1, XP_012863904.1	NP_066362.2, NP_006426.2
OG0000072	XP_004701095.1, XP_045147551.1	NP_001265455.1, NP_055618.2, NP_001317661.1, NP_001317663.1, NP_001317662.1, NP_001265454.1, XP_011538708.1, NP_001317667.1, NP_001317665.1, NP_001265453.1, NP_001317666.1, NP_001317664.1
OG0000074	XP_004708970.1	NP_001107007.1, NP_001107008.1, NP_000794.3, NP_001107006.1, XP_005273913.1
OG0000074	XP_012861662.1	NP_000795.2
OG0000075	XP_004715682.1	NP_066386.3, NP_001238757.2, NP_001011543.3
OG0000076	XP_012860147.2	NP_061747.2
OG0000076	XP_004697101.1	NP_061745.1
OG0000076	XP_045140667.1	NP_061746.1
OG0000077	XP_004701504.1	NP_919223.1, NP_001317178.1, NP_001317177.1, NP_001317176.1
OG0000077	XP_004716948.1	NP_001376249.1, NP_001011724.1, NP_001011725.1, NP_002127.1, NP_001383170.1, NP_112420.1
OG0000078	XP_045144918.1	NP_001257552.1, XP_011537291.1, NP_004722.2, NP_001257551.1
OG0000079	XP_045140817.1, XP_004696894.1, XP_045140816.1	NP_001351310.1, NP_001351311.1, NP_001108091.1, NP_001351314.1, NP_001351316.1, NP_001351322.1, NP_001351320.1, NP_001351319.1, NP_001351308.1, NP_001351315.1, NP_001108090.1, NP_001108089.1, XP_047273177.1, NP_001351323.1, NP_001351306.1, NP_001108092.1, NP_002397.2, NP_001351313.1, NP_001351324.1, NP_001351317.1, NP_001351321.1, NP_001351318.1, NP_001351309.1, NP_001351312.1
OG0000080	XP_030743379.1	NP_945185.1, NP_001136176.1, NP_001136175.1, NP_001361795.1, NP_001361787.1, NP_001361786.1, NP_001361793.1, NP_001361796.1, NP_001299838.1, NP_001299840.1, NP_001361784.1, NP_001361779.1, NP_001361789.1, NP_001361782.1, NP_071357.2, NP_001299839.1, NP_001361790.1, NP_001361798.1, NP_001135991.1, NP_001135992.1, NP_001361799.1, NP_001361783.1, NP_001361785.1, NP_001361788.1, NP_001361733.1, NP_001361794.1, NP_001361777.1, NP_001361780.1, NP_001356386.1, NP_001361792.1, NP_942144.1, NP_001361781.1, NP_001135993.1, NP_001361778.1, NP_001361791.1, NP_001361797.1
OG0000081	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1	NP_001305055.1, NP_001305056.1, XP_011528336.1, NP_001278646.1, NP_001278648.1, NP_996838.1, NP_996839.1, NP_996837.1, NP_996836.1, NP_006106.1, NP_001278645.1, NP_001278644.1, NP_001139816.2, XP_011539781.1, NP_001009611.2, NP_001091846.1, NP_001287820.1, NP_001010890.2, NP_001297063.1, NP_001293001.1, NP_001010889.1, NP_001013425.2, NP_001093322.2, XP_016856758.1, NP_001012277.2, NP_001012276.2, NP_001074299.2
OG0000082	XP_030744575.2	NP_941968.2
OG0000082	XP_045140481.1, XP_030744706.2, XP_030744510.1, XP_045140480.1	NP_941972.1, NP_941962.1, NP_941961.3, NP_941960.2
OG0000083	XP_045148499.1	NP_055465.1, NP_001309213.1, NP_001309214.1, XP_024307574.1
OG0000083	XP_045148500.1	NP_079316.2
OG0000083	XP_045148495.1	XP_016882583.1, NP_067645.3
OG0000084	XP_045141025.1, XP_045141026.1, XP_004703689.1	NP_001364323.1, NP_071928.2, NP_001364332.1, NP_001364331.1, NP_001364325.1, NP_001364330.1, XP_011512377.1, NP_001364328.1, NP_001364326.1, NP_001364329.1, NP_001364324.1, NP_001364327.1
OG0000085	XP_004717398.1, XP_004717958.1	NP_001005191.1
OG0000086	XP_004714964.1	NP_659445.1, XP_047282487.1, NP_001350416.1
OG0000086	XP_004705744.1	NP_113665.3
OG0000086	XP_045154464.1	XP_047297311.1, NP_037445.1
OG0000086	XP_004707070.1	NP_001005404.1, XP_016880110.1
OG0000087	XP_004713161.1	NP_853653.1
OG0000087	XP_004713160.1, XP_030744700.1, XP_004713170.2	NP_853631.1, NP_853630.2, NP_853652.1
OG0000087	XP_030744519.1	NP_853654.1
OG0000088	XP_045140349.1, XP_045140348.1, XP_045140350.1	NP_733932.1, NP_002234.2, NP_001263368.1, NP_001263366.1, NP_001263364.1, NP_733933.1, NP_001263365.1, NP_001263367.1
OG0000089	XP_004708559.1, XP_004708552.1, XP_004708556.1	NP_001001960.1
OG0000090	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1	NP_001277071.1, NP_005673.3, NP_001357361.1, NP_001139243.1, NP_001357358.1, NP_001357357.1, NP_001357360.1, NP_001357359.1, NP_001357363.1, XP_005256294.1, NP_001357362.1, NP_001139245.1, NP_001357370.1, NP_958932.1, NP_958933.1, NP_001357369.1, NP_001357368.1, NP_001139242.1, NP_001357364.1, NP_001139244.1, NP_001357365.1, NP_001357383.1, NP_001357380.1, NP_001277072.1, NP_001357382.1, NP_001277073.1, NP_001357371.1, NP_001357367.1, NP_001357366.1, NP_001139246.1
OG0000092	XP_004708548.1	NP_001382988.1, NP_001001967.1
OG0000093	XP_045142014.1	NP_001165415.1, NP_001354564.1, NP_001354587.1
OG0000095	XP_004711944.1	NP_116324.2
OG0000095	XP_045148615.1, XP_045150606.1	NP_001288196.1, NP_005945.1
OG0000095	XP_004716160.1, XP_045149814.1, XP_004697643.1	NP_001263616.1
OG0000095	XP_004717327.1	XP_047293202.1
OG0000095	XP_045151807.1	NP_005943.1
OG0000096	XP_004703093.1	NP_002631.3, NP_001353127.1, NP_942130.1, NP_001335296.1, NP_001027018.1, NP_001335298.1, NP_001335297.1, NP_001263419.1, NP_001335299.1
OG0000096	XP_004700028.1	NP_001258754.1, NP_004559.4, NP_001361445.1, NP_001284629.1, NP_001284628.1, NP_001258753.1, NP_001361444.1, NP_001182220.2, XP_011512974.1, NP_001258752.1, NP_001258751.1, NP_001361446.1
OG0000099	XP_045151127.1	NP_001317657.1, XP_005260727.1
OG0000100	XP_004705273.1	NP_001269468.1
OG0000100	XP_004705657.1	NP_005264.2
OG0000101	XP_045140363.1	NP_001382108.1, NP_001382109.1, NP_001351158.1, NP_001351154.1, NP_001351156.1, NP_001382110.1, NP_001382107.1, NP_001351169.1, NP_001351161.1, NP_001351159.1, NP_001382106.1, NP_001351155.1, NP_001351157.1
OG0000101	XP_045146523.1, XP_045146524.1	NP_062543.1, NP_001027565.1
OG0000102	XP_004703229.1	NP_001067.2, XP_054184520.1, NP_001068.1, NP_001065.2, NP_001066.1, XP_016864074.1, XP_016863792.1, NP_444267.1, XP_011529852.1, NP_001064.1, NP_066962.2
OG0000103	XP_045151822.1, XP_004710333.1	NP_001240837.1, NP_001345.1, NP_001344.2, NP_001809.4
OG0000104	XP_045147911.1, XP_004699643.1	NP_443173.2, NP_997281.2
OG0000105	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1	NP_077021.1
OG0000106	XP_004708127.2	XP_011513765.1, NP_067046.1
OG0000106	XP_045145413.1	XP_047271680.1
OG0000106	XP_004705720.2	NP_001311387.1, NP_001311388.1, NP_037424.2
OG0000106	XP_004709634.2	NP_000423.2
OG0000106	XP_004706026.2	NP_612412.2, XP_016868282.1
OG0000107	XP_004715013.1, XP_004715012.1	NP_001005323.1
OG0000108	XP_045150492.1	NP_001008492.1, NP_001307960.1, NP_001307964.1, NP_001307963.1, NP_001307959.1, NP_001307962.1, NP_001307961.1, NP_001336231.1, NP_001336218.1, NP_001008491.1, NP_001269902.1, NP_001336217.1, NP_006146.1, NP_004395.1, NP_001336219.1, NP_001336220.1, NP_001336216.1, XP_024308688.1, NP_001269901.1, NP_001307958.1
OG0000108	XP_004701946.2	NP_001336235.1, NP_001336233.1, NP_001336234.1, NP_001336237.1, NP_001336243.1, NP_001336242.1, NP_001336240.1, NP_001336244.1, NP_001336239.1, NP_001336241.1, NP_001336238.1, NP_001336236.1
OG0000109	XP_004712516.1	NP_063950.2
OG0000110	XP_004713048.1	XP_011522164.2, NP_001172.1, NP_550434.1, NP_001188281.1, NP_550435.1, NP_550436.1
OG0000110	XP_045149353.1	XP_011521915.1
OG0000113	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1	NP_001012997.1, NP_001006934.1, NP_116315.1, NP_001354719.1
OG0000114	XP_004701631.1	NP_005201.2, XP_016858891.1
OG0000114	XP_004701628.1	NP_008822.2
OG0000114	XP_004701630.1	NP_066269.1, XP_054188132.1
OG0000115	XP_004711472.1	NP_001399843.1, NP_001399845.1, XP_024304740.1, NP_001399849.1, NP_001399844.1, NP_001399847.1
OG0000115	XP_004696937.1	NP_001019399.1, NP_001649.1
OG0000116	XP_045140497.1	XP_047273646.1
OG0000117	XP_012861772.1, XP_004697272.1, XP_012860596.1, XP_004718001.2, XP_004697269.2, XP_030744594.1, XP_004697270.1, XP_004697271.3	NP_001001918.1
OG0000118	XP_030741158.1	NP_001371270.1, NP_001371264.1, NP_705895.1, NP_001371266.1, NP_001371272.1, NP_001371269.1, NP_001371274.1, NP_001371267.1, NP_001371268.1, NP_001371265.1, NP_001371271.1, NP_109377.1, NP_001371273.1, NP_001371275.1
OG0000119	XP_004717708.1, XP_004715360.1	NP_001091678.1, NP_001091674.1, NP_001091676.1, NP_001091677.1, NP_001091675.1, NP_004957.1
OG0000120	XP_004705610.1	NP_000526.2, NP_001393797.1, NP_001393795.1, NP_001393811.1, NP_001393807.1, NP_001308944.1, NP_001393806.1, NP_001393808.1, NP_001393810.1, NP_001393809.1, NP_001393803.1, NP_001393814.1, NP_001393840.1, NP_001393815.1, NP_001393813.1, NP_001393802.1, NP_001393798.1, NP_001393830.1, NP_001393831.1, NP_001393835.1, NP_001308939.1, NP_001393836.1, NP_001393829.1, NP_001308935.1, NP_001393799.1, NP_001393837.1, NP_001393832.1, NP_001393801.1, NP_001393800.1, NP_001308943.1, XP_047276438.1, NP_001393805.1, NP_001393817.1, NP_001393816.1, NP_001308938.1, NP_001393804.1, NP_001308936.1, NP_001308937.1, NP_001393812.1, NP_001393838.1, NP_001308942.1, NP_001393833.1, NP_001393834.1, NP_001308940.1, NP_001308941.1, NP_001393839.1, NP_001308932.1, NP_001393823.1, NP_001393826.1, NP_001393825.1, NP_001393824.1, NP_001393822.1, NP_001393821.1, NP_001393820.1, NP_001393819.1, NP_001308934.1, NP_001308933.1, NP_001393818.1, NP_001393827.1, NP_001393828.1
OG0000121	XP_045142786.1	NP_001341405.1, NP_001341414.1, NP_001341421.1, NP_001341406.1, NP_060841.5, NP_001341409.1, NP_001341425.1, NP_001341424.1, NP_001341416.1, XP_006716423.1, NP_001341428.1, NP_001341420.1, NP_001341404.1, NP_001341427.1, NP_001341419.1, NP_001341418.1, NP_001341426.1, NP_001123990.1, NP_001341417.1, NP_001341412.1, NP_001341413.1, NP_001341410.1, NP_001341423.1
OG0000122	XP_004715846.1	NP_055179.1
OG0000122	XP_012861820.1, XP_030742881.1, XP_045151936.1	NP_001276674.1
OG0000123	XP_030742389.1, XP_004716225.1, XP_004716224.1, XP_004716261.1	NP_003545.1, NP_003544.2
OG0000124	XP_012863991.1	NP_001307679.1, XP_047298063.1
OG0000124	XP_045141380.1	NP_001269557.1, NP_001356008.1
OG0000125	XP_004707210.1	NP_002269.3
OG0000125	XP_045155274.1	NP_002268.2, NP_002270.1, NP_004129.2
OG0000125	XP_045155324.1	NP_001372943.1, XP_003403930.1
OG0000127	XP_004703356.1, XP_045140128.1	NP_001129729.1
OG0000128	XP_045151658.1	NP_001091956.1, NP_006623.2
OG0000128	XP_004712541.3	XP_006715012.1, NP_001273052.1, NP_005826.1, NP_001273054.1
OG0000128	XP_045151722.1, XP_004712576.1, XP_045151686.1	NP_005486.1, XP_024302062.1, NP_001273050.1
OG0000129	XP_045150752.1	XP_005249091.1
OG0000129	XP_004696412.1	XP_054184397.1, NP_714543.1, XP_047274640.1, NP_000837.3, NP_000838.3
OG0000130	XP_004717132.1	NP_001005567.2, NP_001382181.1
OG0000130	XP_004717131.1, XP_004717133.1	NP_149420.4
OG0000130	XP_004717091.1	NP_001004750.1
OG0000131	XP_004716464.1, XP_004716462.1, XP_012863714.1	NP_001004489.1, NP_001004490.1, NP_001372982.1
OG0000132	XP_004702027.1, XP_045150370.1, XP_045150369.1	XP_024302185.1, NP_006725.3
OG0000133	XP_045148079.1, XP_004699328.1	NP_001127951.1, XP_011539991.1, NP_060573.2
OG0000134	XP_045151946.1	NP_001372689.1, NP_001372690.1, NP_001372687.1, NP_001372688.1, NP_001372677.1, NP_001372678.1, NP_001372691.1, NP_001372675.1, NP_001372672.1, NP_001372676.1, NP_001372695.1, NP_001372692.1, NP_001372694.1, NP_001372697.1, NP_001372699.1, NP_001372698.1, NP_001372696.1, NP_001372693.1, XP_011519219.1, NP_001372673.1, NP_001372674.1, NP_001372681.1, NP_001372685.1, NP_001372686.1, NP_001372683.1, NP_001372684.1, NP_001372682.1, NP_001129206.1, NP_001372679.1, NP_001372708.1, NP_001372709.1, NP_001372704.1, NP_001372702.1, NP_001372706.1, NP_001372723.1, NP_001372718.1, NP_001372720.1, NP_001372730.1, NP_001372716.1, NP_001372717.1, NP_001372671.1, NP_001372670.1, NP_001372719.1, NP_001372722.1, NP_001372721.1, NP_001372724.1, NP_001372727.1, NP_001372728.1, NP_001035009.1, NP_001372725.1, NP_001372726.1, NP_001372729.1, NP_001372705.1, NP_001372669.1, NP_001372703.1, NP_001372668.1, NP_001372707.1, NP_001372680.1
OG0000135	XP_045147971.1	NP_001339760.1, NP_001339761.1, NP_001339764.1, NP_001339769.1, NP_001339778.1, NP_001339768.1, NP_001339766.1, NP_001339773.1, NP_001339777.1, NP_001339776.1, NP_001339762.1, NP_001339770.1, NP_001339767.1, NP_001339755.1, NP_001339775.1, NP_001339772.1, NP_001339771.1, NP_001339774.1, NP_001339763.1, NP_001339758.1, NP_001339765.1, NP_001339759.1, NP_001339756.1, NP_001339757.1, NP_001339779.1
OG0000136	XP_045142065.1, XP_045142064.1, XP_004697625.1	XP_016869437.1, NP_001364927.1, NP_001364918.1, NP_671722.1, NP_001364926.1
OG0000137	XP_004714005.3	NP_036497.1
OG0000137	XP_004714003.1, XP_004714004.1	NP_001004135.1
OG0000137	XP_004714001.1, XP_012863025.1, XP_004713999.1	NP_001001659.1
OG0000137	XP_004714041.1	NP_001005480.2
OG0000138	XP_004717532.1	NP_001004749.1
