Orthogroup	Echinops_telfairi	Canis_lupus_familiaris
OG0000023	XP_045148358.1	XP_038383930.1, XP_038383932.1
OG0000024	XP_004714285.1	XP_038391423.1
OG0000026	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1	XP_038443914.1, XP_038443907.1, XP_038443915.1, XP_038443916.1, XP_038443913.1, XP_038443909.1, XP_038443912.1, XP_038443908.1, XP_038443910.1, XP_038443911.1
OG0000027	XP_012861603.1	XP_038441743.1
OG0000027	XP_004710335.1	XP_038432130.1
OG0000027	XP_012862704.1	XP_038385540.1
OG0000027	XP_004699870.2	XP_038397772.1
OG0000027	XP_045150648.1	XP_038441741.1
OG0000028	XP_004715034.1	NP_001375514.1
OG0000028	XP_004715045.2, XP_045152990.1	NP_001376110.1, NP_001375516.1, NP_001375515.1, NP_001376097.1
OG0000029	XP_004706573.1, XP_004706506.1	NP_001376061.1
OG0000029	XP_012861092.2	NP_001375923.1
OG0000029	XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2	NP_001375926.1, NP_001375894.1, XP_038438404.1, NP_001375999.1, NP_001375700.1
OG0000031	XP_004697319.1	XP_038399997.1
OG0000031	XP_004717473.1	NP_001375701.1
OG0000031	XP_004697315.2	XP_038439908.1
OG0000031	XP_004697273.1	NP_001375791.1, XP_038445325.1, XP_038412294.1
OG0000033	XP_045155424.1	XP_038402610.1
OG0000033	XP_004709364.2	XP_038402594.1
OG0000033	XP_045155427.1, XP_045155234.1	XP_038402015.1, XP_038402014.1, XP_038402604.1
OG0000033	XP_004709367.1, XP_012861717.2	XP_038402589.1
OG0000035	XP_004712740.1	XP_038435896.1
OG0000035	XP_004712219.1	XP_038389880.1
OG0000035	XP_004703656.1	XP_038386568.1
OG0000035	XP_030740512.1	XP_038417669.1
OG0000036	XP_012859662.1, XP_045147370.1	XP_038435140.1, XP_038435141.1, XP_038435139.1
OG0000036	XP_004701111.1	NP_001183973.1
OG0000038	XP_012861542.1	NP_001376082.1, XP_038418394.1, NP_001376034.1, NP_001376079.1
OG0000039	XP_004711707.2	XP_038439969.1, XP_038439961.1
OG0000039	XP_004711733.1	XP_038409373.1
OG0000039	XP_004702931.1	XP_038404584.1
OG0000039	XP_045156035.1	XP_038393912.1
OG0000039	XP_004716151.1	XP_038428666.1, XP_038428667.1
OG0000039	XP_004702928.1	XP_038399838.1
OG0000040	XP_004711553.1	XP_038432088.1, NP_001375981.1
OG0000040	XP_004711551.1, XP_004711550.1	XP_038433852.1, XP_038433815.1, XP_038433817.1
OG0000040	XP_004711481.1	NP_001375799.1
OG0000040	XP_004711555.1	NP_001375690.1
OG0000040	XP_004711552.1	NP_001375687.1
OG0000040	XP_004711564.1	NP_001375693.1
OG0000040	XP_030740611.1	XP_038433851.1
OG0000040	XP_004711558.1	NP_001375688.1
OG0000040	XP_004711556.1, XP_004711557.1	NP_001375689.1
OG0000040	XP_004711562.2	NP_001375691.1
OG0000041	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1	XP_038420405.1, XP_038420406.1, NP_001375958.1
OG0000041	XP_012861540.1	NP_001376113.1, NP_001376111.1
OG0000043	XP_012863712.2, XP_030741683.1, XP_030741692.1	NP_001375875.1
OG0000044	XP_004712586.2	XP_038439907.1
OG0000045	XP_045149228.1	NP_001107184.1
OG0000045	XP_012861750.1	NP_001070703.1
OG0000045	XP_012861749.1	NP_001070263.1
OG0000045	XP_004709407.1	NP_001070262.1
OG0000048	XP_045148624.1	NP_001106930.1
OG0000048	XP_045148625.1, XP_030742216.1, XP_045148205.1	NP_001091026.1, NP_001091021.1, XP_038381481.1
OG0000049	XP_012859118.1	XP_038401027.1, XP_038401026.1, XP_038401029.1, XP_038401028.1
OG0000049	XP_004696508.2	XP_038429560.1, XP_038429559.1, XP_038429558.1, XP_038429568.1, XP_038429571.1, XP_038429570.1, XP_038429566.1, XP_038429564.1, XP_038429569.1, XP_038429563.1, XP_038429562.1, XP_038429567.1, XP_038429565.1
OG0000051	XP_045139744.1	XP_038425970.1
OG0000051	XP_045150200.1	XP_038429926.1
OG0000051	XP_004704466.1	XP_038425967.1
OG0000051	XP_045154467.1	XP_038443974.1
OG0000051	XP_045150193.1	NP_001026988.1
OG0000051	XP_004710098.1	NP_001002979.1
OG0000052	XP_004700778.2	XP_038406653.1
OG0000053	XP_030744716.1	XP_038437059.1
OG0000053	XP_030744714.1	XP_038437063.1
OG0000054	XP_045154396.1	XP_038442333.1
OG0000054	XP_030743721.1	NP_001122308.1
OG0000054	XP_004714839.1, XP_045154300.1	NP_001124302.1
OG0000055	XP_004716482.1	XP_038424111.1
OG0000056	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1	XP_038418408.1
OG0000057	XP_045151837.1, XP_045150218.1	XP_038430031.1
OG0000057	XP_045152239.1	XP_038430057.1
OG0000057	XP_045152873.1	XP_038430019.1
OG0000058	XP_004715220.1	NP_001029164.1
OG0000060	XP_012862321.2	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1
OG0000061	XP_012862257.2	NP_001271390.1
OG0000061	XP_045145283.1	XP_038404743.1
OG0000062	XP_004715350.1	XP_038440142.1
OG0000063	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1
OG0000064	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1	NP_001171205.2
OG0000065	XP_012859413.1, XP_012859674.1, XP_012859279.1	XP_038381496.1, XP_038385481.1
OG0000066	XP_045144912.1	XP_038418293.1, XP_038418454.1
OG0000067	XP_004697275.1	XP_038413461.1
OG0000067	XP_012861343.1, XP_004697249.1	XP_038444945.1, XP_038412297.1, XP_038444947.1, XP_038412298.1, NP_001375472.1, XP_038444946.1, XP_038444948.1, XP_038412296.1, XP_038412299.1, XP_038412293.1, XP_038445182.1, XP_038445181.1, NP_001375476.1, XP_038412292.1, NP_001376010.1, XP_038444949.1
OG0000068	XP_030743378.2	XP_038420397.1
OG0000069	XP_004707765.1	XP_038429693.1, XP_038429692.1
OG0000069	XP_004715688.1	XP_038442580.1
OG0000069	XP_004698759.1	XP_038401156.1
OG0000069	XP_004698825.1	XP_038401908.1
OG0000070	XP_045148084.1	XP_038414006.1
OG0000071	XP_045140953.1, XP_012863904.1, XP_045145303.1, XP_004717218.1, XP_004717217.1, XP_045150248.1, XP_045147057.1, XP_045150814.1, XP_045143373.1, XP_045153070.1, XP_045145703.1, XP_045148069.1, XP_045151994.1, XP_045154633.1	XP_038418375.1, XP_038418377.1
OG0000072	XP_004701095.1, XP_045147551.1	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1
OG0000073	XP_030741736.2, XP_004708562.3, XP_012861568.1, XP_045147036.1, XP_004708561.2	NP_001243375.1
OG0000074	XP_004708970.1	XP_038424692.1, XP_038424721.1
OG0000075	XP_012859131.1, XP_045144281.1	XP_038442549.1
OG0000075	XP_004715682.1	XP_038442578.1
OG0000076	XP_045140664.1	XP_038386335.1
OG0000076	XP_012860147.2	XP_038386351.1
OG0000076	XP_045140667.1	XP_038386345.1
OG0000077	XP_004701504.1	XP_038434167.1
OG0000077	XP_004716948.1	XP_038421758.1, XP_038427137.1, XP_038433776.1
OG0000078	XP_045144918.1	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1
OG0000079	XP_045140817.1, XP_004696894.1, XP_045140816.1	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1
OG0000080	XP_030743379.1	XP_038419100.1, XP_038419098.1, XP_038419099.1
OG0000081	XP_045145579.1, XP_004716441.1, XP_045145581.1, XP_045145580.1	XP_038431683.1
OG0000082	XP_030744575.2	XP_038437552.1
OG0000082	XP_030744577.1, XP_030744576.2, XP_045140481.1, XP_030744706.2, XP_030744510.1, XP_045140480.1	XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1
OG0000083	XP_045148499.1	XP_038383884.1
OG0000083	XP_045148495.1	XP_038381465.1
OG0000083	XP_045148509.1	XP_038383897.1, XP_038383883.1
OG0000084	XP_045141025.1, XP_045141026.1, XP_004703689.1	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1
OG0000085	XP_004714378.1	XP_038421311.1
OG0000085	XP_004717398.1, XP_004717958.1	NP_001375917.1, XP_038423318.1
OG0000086	XP_004714964.1	XP_038419157.1, XP_038419158.1
OG0000086	XP_004705744.1	XP_038395835.1
OG0000086	XP_045154464.1	XP_038431923.1
OG0000086	XP_004707070.1	XP_038403880.1, XP_038403879.1, XP_038403878.1, XP_038403881.1, XP_038403882.1
OG0000087	XP_004713161.1, XP_004713160.1, XP_030744700.1, XP_004713170.2	XP_038437657.1, XP_038437656.1, XP_038437054.1, XP_038437051.1, XP_038437052.1
OG0000088	XP_045140349.1, XP_045140348.1, XP_045140350.1	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1
OG0000089	XP_004708559.1, XP_004708552.1, XP_004708556.1	NP_001376137.1, XP_038418396.1, NP_001375994.1, NP_001375937.1
OG0000090	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1
OG0000092	XP_004708546.1	NP_001375549.1
OG0000092	XP_004708548.1	NP_001375550.1, NP_001375834.1
OG0000093	XP_045142014.1	XP_038395629.1
OG0000095	XP_004711944.1	NP_001003150.1
OG0000095	XP_045151807.1	XP_038386933.1, NP_001003173.1, XP_038399958.1
OG0000096	XP_004703093.1	XP_038381766.1
OG0000096	XP_004700028.1	XP_038439954.1, XP_038439955.1, XP_038439957.1
OG0000099	XP_045151127.1	XP_038427735.1
OG0000100	XP_004705273.1	NP_001003236.1
OG0000100	XP_004705657.1	XP_038395171.1
OG0000101	XP_045140363.1	XP_038407694.1
OG0000101	XP_045146523.1, XP_045146524.1	XP_038443802.1, XP_038443801.1, XP_038443800.1
OG0000102	XP_004703229.1	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1
OG0000105	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1	XP_038431694.1, XP_038424242.1, XP_038431695.1, XP_038424245.1, XP_038424247.1, XP_038424248.1, XP_038424246.1, XP_038424241.1, XP_038424251.1, XP_038424244.1, XP_038424249.1, XP_038424243.1, XP_038431696.1, XP_038431697.1, XP_038424250.1, XP_038410565.1, XP_038437674.1, XP_038407573.1
OG0000106	XP_004708127.2	XP_038415502.1
OG0000106	XP_045145413.1	XP_038389598.1
OG0000106	XP_004705720.2	XP_038395750.1
OG0000106	XP_004709634.2	NP_001003069.1
OG0000106	XP_004706026.2	XP_038394776.1
OG0000107	XP_004715014.1	NP_001375528.1, NP_001375527.1
OG0000107	XP_004715013.1, XP_004715012.1	NP_001375529.1
OG0000108	XP_045150492.1, XP_004701946.2	XP_038430375.1, XP_038437667.1, XP_038430373.1, XP_038429412.1
OG0000109	XP_004711113.1	NP_001243373.1
OG0000109	XP_004712520.1	NP_001375863.1
OG0000109	XP_004712519.1	NP_001375457.1
OG0000109	XP_004712516.1	NP_001375801.1, XP_038407562.1, NP_001375846.1
OG0000109	XP_004712518.1	XP_038407563.1
OG0000110	XP_004713048.1	XP_038392542.1, XP_038392543.1
OG0000110	XP_045149353.1	XP_038392540.1
OG0000113	XP_045146732.1, XP_004717858.1, XP_004717775.1, XP_045146581.1, XP_004717711.1, XP_045146543.1, XP_045146544.1	XP_038443886.1, XP_038443837.1, XP_038443882.1, XP_038443881.1, XP_038399803.1, XP_038443879.1, XP_038443880.1
OG0000114	XP_004701631.1	NP_001104269.1
OG0000114	XP_004701628.1	NP_001106640.1, XP_038441037.1, XP_038441509.1
OG0000117	XP_012861772.1	XP_038412295.1
OG0000118	XP_030741158.1	XP_038413094.1, XP_038413092.1, XP_038413091.1, XP_038413093.1, XP_038413090.1, XP_038413095.1
OG0000119	XP_004717708.1, XP_004715360.1	XP_038434047.1, XP_038434048.1, XP_038434049.1, XP_038434046.1, XP_038434050.1
OG0000120	XP_004705610.1	XP_038395395.1
OG0000121	XP_045142786.1	XP_038415793.1
OG0000122	XP_004715846.1	XP_038385259.1
OG0000122	XP_012859939.1, XP_045152129.1, XP_012861706.1, XP_012861418.1, XP_012859846.1, XP_012859260.1, XP_012860136.1	XP_038421810.1, XP_038428305.1, NP_001003142.2, XP_038399787.1, XP_038388026.1
OG0000122	XP_012861820.1, XP_030742881.1, XP_045151936.1	XP_038406914.1, XP_038408058.1
OG0000123	XP_004716225.1, XP_004716224.1, XP_004716261.1	NP_001014309.1
OG0000124	XP_012863991.1	XP_038442694.1
OG0000124	XP_045141380.1	NP_001041587.1
OG0000125	XP_004707210.1	XP_038401950.1
OG0000125	XP_045155274.1	XP_038402032.1, NP_001333023.1, NP_001333024.1
OG0000125	XP_045155324.1	XP_038402033.1
OG0000127	XP_004703356.1, XP_045140128.1	XP_038437879.1, XP_038437881.1, XP_038437890.1, XP_038437877.1, XP_038437884.1, XP_038437888.1, XP_038437883.1, XP_038437891.1, XP_038437892.1, XP_038437887.1, XP_038437882.1, XP_038437893.1, XP_038437880.1, XP_038437885.1, XP_038437878.1, XP_038437889.1, XP_038437886.1
OG0000128	XP_045151658.1	XP_038440255.1
OG0000128	XP_004712541.3	XP_038440246.1
OG0000128	XP_045151722.1, XP_004712576.1, XP_045151686.1	XP_038440245.1
OG0000129	XP_004696412.1	NP_001301024.1
OG0000130	XP_004717132.1	NP_001376119.1
OG0000130	XP_004717091.1	XP_038424092.1
OG0000131	XP_004716464.1, XP_004716462.1, XP_012863714.1	NP_001375841.1, NP_001375840.1, NP_001375664.1, NP_001375665.1
OG0000132	XP_004702027.1, XP_045150370.1, XP_045150369.1	XP_038382133.1, XP_038382135.1, XP_038382134.1
OG0000133	XP_045148079.1, XP_004699328.1	XP_038397365.1, XP_038397362.1, XP_038397364.1, XP_038397366.1, XP_038397360.1, XP_038397361.1, XP_038397363.1
OG0000134	XP_045151946.1	XP_038432511.1
OG0000135	XP_045147971.1	XP_038435217.1
OG0000136	XP_045142065.1, XP_045142064.1, XP_004697625.1	XP_038435284.1, XP_038435281.1, XP_038435283.1, XP_038435288.1, XP_038435286.1, XP_038435280.1, XP_038435287.1, XP_038435282.1, XP_038435285.1
OG0000137	XP_004714005.3	NP_001375442.1
OG0000137	XP_004714003.1, XP_004714004.1	NP_001375897.1
OG0000137	XP_004714001.1, XP_012863025.1, XP_004713999.1	NP_001375785.1
OG0000137	XP_030741088.1, XP_004714040.1, XP_004713998.1, XP_004714000.1	NP_001375490.1
OG0000137	XP_004714041.1	NP_001375491.1
OG0000138	XP_004717576.1	NP_001376043.1
OG0000138	XP_004717527.1, XP_004717571.2	NP_001375932.1
OG0000139	XP_045140394.1, XP_004697266.1, XP_045140393.1, XP_045140391.1, XP_045140390.1	XP_038415419.1, XP_038415429.1, XP_038415424.1, XP_038415422.1, XP_038415427.1, XP_038415423.1, XP_038415426.1, XP_038415428.1, XP_038415420.1, XP_038415416.1, XP_038415421.1, XP_038415415.1, XP_038415417.1, XP_038415418.1, XP_038415425.1
OG0000142	XP_045149687.1, XP_004704707.1, XP_045149686.1	XP_038386907.1
OG0000143	XP_030742844.1	XP_038427721.1
OG0000144	XP_045151259.1	XP_038427434.1
OG0000145	XP_045147525.1, XP_004701145.1, XP_045147526.1	XP_038431963.1, XP_038431964.1, XP_038431969.1, XP_038431970.1, XP_038431968.1, XP_038431966.1, XP_038431967.1, XP_038431965.1
OG0000146	XP_045142054.1, XP_045142060.1, XP_004697533.1	XP_038435683.1, XP_038435682.1, XP_038435680.1, XP_038435681.1
OG0000147	XP_004713907.1, XP_004713908.1	NP_001243464.1, NP_001002945.2
OG0000148	XP_004698922.1, XP_004698923.1	NP_001375983.1, NP_001300743.1, NP_001375485.1
OG0000149	XP_045148631.1	XP_038384701.1
OG0000149	XP_004716558.1	XP_038442297.1
OG0000149	XP_004714919.1	NP_001376153.1
OG0000149	XP_045154307.1	XP_038442287.1
OG0000150	XP_012860629.3	XP_038394660.1
OG0000151	XP_004707023.1	XP_038404025.1, XP_038404026.1
OG0000153	XP_012864119.1	XP_038444820.1, XP_038444990.1, XP_038445011.1, XP_038444901.1
OG0000156	XP_045148508.1	NP_001003331.1
OG0000157	XP_004716095.1	XP_038428800.1, XP_038428799.1
OG0000157	XP_045150192.1	NP_001184045.1, XP_038394106.1
OG0000158	XP_004699833.1, XP_012861708.1	XP_038410253.1
OG0000158	XP_012862011.1	NP_001239215.1, XP_038442421.1
OG0000158	XP_012860252.2	XP_038445525.1
OG0000159	XP_004706567.1, XP_004706504.1	NP_001375698.1
OG0000159	XP_004706503.2	NP_001375903.1
OG0000160	XP_045142155.1	XP_038405468.1
OG0000160	XP_045147901.1, XP_045144829.1, XP_045144830.1	XP_038394772.1
OG0000160	XP_045140890.1	XP_038431354.1
OG0000160	XP_045140887.1	XP_038414942.1
OG0000160	XP_004711708.1	XP_038445322.1
OG0000161	XP_045142585.1	XP_038417674.1
OG0000162	XP_012864056.1	NP_001002986.1
OG0000163	XP_045153684.1	NP_001070704.1
OG0000163	XP_045153718.1, XP_045153719.1	NP_001003125.1
OG0000164	XP_004706358.1, XP_045144983.1	XP_038435479.1
OG0000165	XP_045146037.1, XP_045146036.1	XP_038385822.1
OG0000166	XP_045141312.1, XP_045141315.1, XP_045141314.1	XP_038388120.1, XP_038388119.1, XP_038388116.1, XP_038388115.1, XP_038388117.1, XP_038388118.1
OG0000167	XP_045140340.1, XP_004705793.1	XP_038396079.1, XP_038396071.1, XP_038396081.1, XP_038396080.1, XP_038396074.1, XP_038396077.1, XP_038396072.1, XP_038396076.1, XP_038396078.1, XP_038396075.1, XP_038396073.1
OG0000168	XP_045140898.1	XP_038414635.1
OG0000168	XP_045149167.1	XP_038437167.1
OG0000168	XP_045147501.1	XP_038427261.1
OG0000168	XP_045155494.1, XP_045144189.1	XP_038402638.1
OG0000170	XP_045146994.1, XP_045146995.1, XP_004711621.2, XP_004711675.1	NP_001128448.1, NP_001002947.1, NP_001128449.1, NP_001002948.1, NP_001300719.1
OG0000171	XP_030742688.1	XP_038381974.1
OG0000172	XP_045142243.1	XP_038435243.1
OG0000172	XP_004701997.1	XP_038382293.1
OG0000172	XP_004716083.1	XP_038428877.1
OG0000173	XP_004702250.1	XP_038410914.1, XP_038410922.1, XP_038410915.1, XP_038410917.1, XP_038410925.1, XP_038410916.1, XP_038410919.1, XP_038410920.1, XP_038410921.1, XP_038410918.1, XP_038410924.1, XP_038410923.1
OG0000174	XP_030743023.1	XP_038416549.1, XP_038416551.1
OG0000175	XP_045147084.1, XP_045147082.1, XP_045147085.1, XP_004708362.1, XP_045147083.1	XP_038418917.1, XP_038418921.1, XP_038418922.1, XP_038418919.1, XP_038418920.1, XP_038418923.1, XP_038418918.1
OG0000176	XP_004715052.3, XP_045152993.1, XP_045152994.1, XP_045141949.1	XP_038419102.1
OG0000176	XP_045152988.1	XP_038419112.1, XP_038419111.1, XP_038419113.1, XP_038419107.1, XP_038419110.1, XP_038419108.1, XP_038419109.1
OG0000177	XP_004701304.1	XP_038434959.1, XP_038434956.1, XP_038434955.1, XP_038434958.1, XP_038434957.1, XP_038434953.1, XP_038434954.1, XP_038434951.1, XP_038434952.1
OG0000178	XP_045152345.1	XP_038439600.1
OG0000179	XP_004710567.1	XP_038381597.1
OG0000179	XP_004710401.1, XP_004710400.1	NP_001006653.1
OG0000180	XP_045146325.1, XP_045146327.1	NP_001124304.1
OG0000182	XP_045152535.1, XP_045152534.1	XP_038408809.1, XP_038408811.1, XP_038408810.1, XP_038408808.1, XP_038408807.1
OG0000183	XP_004714362.1	XP_038419339.1
OG0000184	XP_004712167.1, XP_045143405.1	XP_038427004.1
OG0000188	XP_004717519.1	XP_038424774.1, NP_001257813.1, NP_001257812.1
OG0000188	XP_004717090.1	XP_038424777.1, XP_038424776.1
OG0000188	XP_004717089.1	XP_038424775.1
OG0000189	XP_004716487.1	XP_038424858.1
OG0000189	XP_004713449.2, XP_012862326.2	XP_038401086.1
OG0000190	XP_004700763.1	XP_038406581.1, XP_038406585.1, XP_038406583.1, XP_038406584.1
OG0000191	XP_004702068.1	XP_038410934.1, XP_038410936.1, XP_038410937.1, XP_038410935.1, XP_038410932.1, XP_038410933.1, XP_038410931.1, XP_038410930.1
OG0000192	XP_045146436.1	XP_038432680.1
