Orthogroup	Sarcophilus_harrisii	Microcebus_murinus
OG0000055	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1	XP_012639383.1, XP_012599623.2, XP_012599603.1, XP_020142423.1, XP_012599607.2, XP_012599604.1, XP_012599606.1, XP_012639384.1, XP_012639391.1
OG0000056	XP_003773826.1, XP_003773836.1, XP_003773828.1	XP_020142415.1, XP_012643337.2, XP_012643334.2, XP_012622827.1, XP_012643323.1, XP_012643328.1, XP_012643327.2, XP_012643321.2, XP_012643320.2, XP_020142462.1, XP_012643331.1, XP_012643329.2, XP_020142460.1, XP_020142414.1, XP_012643260.1, XP_012643262.1, XP_012643333.2, XP_012643339.1, XP_012643335.2, XP_020142410.1, XP_020142417.1, XP_012643332.1, XP_012643336.1, XP_012643326.2, XP_012643299.2, XP_012643298.2, XP_020142461.1, XP_012643303.2, XP_012643324.2, XP_012643325.2, XP_012643264.1, XP_012643338.1, XP_012643330.1
OG0000057	XP_031825154.1	XP_012604923.1, XP_012604916.1, XP_012604898.1, XP_012604893.1, XP_012604909.1, XP_012604907.2, XP_012604908.2, XP_012604904.1, XP_020143734.1, XP_020143638.1
OG0000058	XP_031815049.1, XP_031815044.1, XP_031815058.1	XP_012626739.1, XP_012626740.1, XP_012626738.1, XP_012626742.1, XP_012626741.1
OG0000060	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1	XP_020141693.1, XP_012609090.2
OG0000061	XP_012409487.1	XP_012624360.1, XP_020145028.1, XP_020145025.1
OG0000061	XP_031810834.1	XP_012637430.2
OG0000062	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1	XP_012608952.1, XP_012608949.1, XP_012608948.1, XP_012608946.1, XP_012608947.1, XP_012608951.1, XP_012608938.1, XP_012608950.1, XP_012608943.1, XP_012608939.1, XP_020135711.1
OG0000063	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1	XP_012636552.1
OG0000064	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1	XP_012634955.1, XP_012634953.1, XP_012634952.1, XP_012634954.1, XP_012634949.1, XP_012634950.1
OG0000065	XP_003762637.1	XP_012606393.2, XP_012617034.1, XP_012626945.1, XP_012621501.1, XP_012633218.1
OG0000066	XP_012402739.1, XP_003766943.1	XP_012590815.1, XP_012637254.1
OG0000068	XP_031797906.1	XP_012605327.2, XP_012605334.1, XP_012605328.1, XP_012605324.1, XP_012605325.1
OG0000069	XP_012396962.1	XP_012630800.1, XP_012644303.1, XP_012596989.1
OG0000070	XP_031825010.1	XP_012631602.1
OG0000071	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1	XP_012625032.1, XP_012625033.1
OG0000072	XP_031812030.1, XP_023363032.1	XP_012622590.1, XP_012622602.1, XP_020136191.1, XP_020136190.1, XP_012622610.1, XP_012622594.1, XP_012622589.1
OG0000073	XP_031798269.1, XP_023362166.1, XP_012408407.1, XP_012408406.1, XP_023362165.1, XP_003773872.1, XP_012408111.1, XP_003773875.2, XP_031797725.1, XP_003774679.2	XP_012602122.1, XP_012602118.2
OG0000074	XP_031817868.1, XP_031817870.1, XP_031817869.1	XP_012600382.1, XP_012600296.1, XP_012600385.1, XP_012600386.1, XP_012600389.1, XP_020142186.1, XP_012600388.1, XP_012600387.1, XP_020142187.1, XP_012600391.1, XP_012600390.1
OG0000076	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2	XP_020137855.1, XP_012604356.2, XP_020137838.1, XP_020137859.1, XP_020137858.1, XP_020137853.1
OG0000077	XP_031816276.1	XP_012638223.1
OG0000077	XP_003772367.1	XP_012619774.1
OG0000078	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1	XP_012632618.1, XP_012632619.1, XP_012632616.1, XP_012632615.1, XP_012632614.1, XP_012632617.1
OG0000079	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1	XP_012593997.1, XP_012593992.1, XP_012593995.1, XP_012593998.1, XP_012593993.1, XP_012593994.1, XP_012593996.1
OG0000080	XP_012408351.1, XP_012408350.1	XP_012605323.1, XP_012605444.1
OG0000082	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1	XP_012635473.1, XP_012635466.2, XP_020140286.1
OG0000083	XP_031804876.1	XP_012641029.1, XP_012641039.1, XP_012641027.1, XP_012614976.1, XP_012640981.1, XP_012641042.1
OG0000084	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1	XP_012595854.1, XP_012595856.1, XP_012595855.1, XP_012595853.1
OG0000085	XP_003763133.1, XP_003761019.2	XP_012617213.1, XP_020140093.1, XP_012617207.1, XP_012617209.1, XP_012617206.1, XP_012617208.1, XP_012617198.2, XP_012617205.1, XP_012617210.1
OG0000086	XP_003773922.1	XP_012605369.1
OG0000086	XP_003762123.1	XP_012619770.1
OG0000086	XP_031804914.1	XP_012632158.1
OG0000088	XP_023354622.1	XP_020140320.1, XP_020140321.1, XP_012637222.1, XP_020140322.1, XP_012637217.1, XP_020140323.1, XP_012637220.1, XP_012637219.1, XP_020140319.1, XP_012637218.1
OG0000089	XP_012408110.1, XP_003773886.1	XP_012602172.1
OG0000090	XP_031805765.1	XP_012599427.1
OG0000092	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1	XP_012643279.1, XP_012643283.1, XP_012643284.1, XP_012643282.1, XP_012643281.1, XP_012602125.2, XP_012643286.1, XP_012602126.1, XP_012643285.2, XP_012602169.2
OG0000093	XP_031797313.1	XP_012614553.1
OG0000095	XP_003757317.1	XP_020138138.1
OG0000096	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1	XP_012629913.1, XP_012623893.1
OG0000099	XP_012409388.1	XP_012610085.1
OG0000099	XP_031805182.1, XP_031810473.1	XP_012610556.2
OG0000100	XP_031818873.1	XP_020136899.1, XP_020136894.1, XP_020136907.1, XP_012631915.1, XP_020136900.1, XP_020136905.1, XP_020136893.1
OG0000100	XP_031821197.1, XP_031821198.1, XP_003768867.1	XP_012614771.1
OG0000101	XP_031809394.1	XP_012622873.1, XP_012622872.1, XP_012645403.1
OG0000102	XP_031799036.1, XP_031799035.1	XP_012641425.1, XP_012616450.2, XP_012641432.1, XP_012641429.1, XP_020139855.1, XP_012641426.1, XP_012641419.1, XP_012641414.1, XP_020139850.1, XP_012641409.1, XP_012641413.2
OG0000103	XP_003772476.1	XP_020139760.1, XP_020139759.1, XP_012596669.1, XP_012596670.1, XP_012596671.1
OG0000104	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1	XP_012604689.1
OG0000105	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1	XP_012595109.1
OG0000106	XP_012395236.2	XP_012597004.1
OG0000106	XP_031797249.1	XP_012638882.1
OG0000106	XP_031796163.1	XP_012619690.1
OG0000106	XP_003761065.1	XP_012637795.1
OG0000107	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1	XP_012605312.1, XP_012605310.1
OG0000108	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1	XP_020143676.1, XP_020143680.1, XP_020143678.1, XP_020143677.1, XP_020143679.1
OG0000109	XP_003763327.3	XP_012618633.1
OG0000109	XP_003763301.1	XP_012625632.2, XP_012625635.1, XP_012625631.1, XP_012625639.1, XP_012625636.2, XP_012625637.2
OG0000110	XP_023358533.1	XP_012632579.1, XP_012632570.1, XP_020136742.1, XP_012632592.1
OG0000114	XP_003766021.1	XP_012607527.1
OG0000114	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1	XP_012607530.1, XP_012606894.1, XP_012607531.1, XP_012607532.1, XP_012607528.1
OG0000115	XP_031793850.1, XP_031793851.1, XP_031793853.1	XP_012614846.1
OG0000115	XP_031816220.1	XP_012634045.1, XP_012634041.1, XP_012634042.1
OG0000116	XP_031799222.1, XP_031799221.1, XP_031799220.1	XP_012624660.1
OG0000116	XP_031809233.1	XP_020137718.1, XP_012637946.1
OG0000116	XP_031805759.1	XP_012596990.1
OG0000116	XP_031812821.1	XP_012618286.1
OG0000118	XP_031796389.1	XP_012628812.1, XP_012628819.1, XP_012628817.1, XP_012628821.1, XP_012628814.1, XP_012628818.1, XP_012628820.1, XP_012628813.1, XP_012628815.1, XP_012628811.1, XP_012628822.1
OG0000120	XP_012398224.1	XP_012614299.1
OG0000121	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1	XP_012640511.1, XP_012640507.1, XP_012640512.1, XP_012640510.1, XP_012640508.1, XP_012640509.1
OG0000122	XP_031819649.1	XP_012630490.1
OG0000122	XP_031794144.1, XP_023357601.2, XP_031804926.1, XP_031793147.1, XP_012398126.2	XP_012615924.1
OG0000123	XP_003758421.3, XP_031805104.1, XP_003758419.2	XP_012634032.1, XP_012634752.1, XP_012634782.1
OG0000124	XP_023356116.1	XP_012637921.1
OG0000124	XP_012401572.1, XP_031814902.1, XP_031814901.1	XP_020138307.1, XP_020140586.1
OG0000124	XP_012401570.1	XP_020140585.1
OG0000124	XP_003765651.2	XP_012629347.2
OG0000125	XP_012403745.2	XP_012621238.1
OG0000125	XP_012403748.1, XP_003768285.1, XP_003768278.1, XP_012403749.2	XP_020136415.1
OG0000127	XP_031798637.1, XP_012407463.1, XP_031798639.1, XP_031798638.1	XP_012621712.1, XP_012621715.1, XP_012621713.1, XP_012621714.1
OG0000128	XP_031818477.1	XP_012596811.1, XP_012596813.1, XP_012596845.1, XP_012596812.1
OG0000130	XP_003764886.1, XP_012402225.2	XP_012642082.1, XP_012641924.1, XP_012641922.1
OG0000130	XP_003766416.1, XP_012400883.1	XP_012642080.1
OG0000131	XP_003757913.1, XP_023350403.1, XP_003757914.1, XP_003759019.1, XP_003759243.2, XP_031805123.1	XP_012641906.1, XP_012599612.1, XP_012641907.1
OG0000132	XP_003769562.3	XP_012600827.1, XP_012600831.1, XP_012600808.1, XP_012600818.1, XP_012600835.1
OG0000133	XP_031825207.1, XP_031825209.1, XP_031825208.1, XP_031825210.1, XP_031825206.1	XP_012646316.1, XP_012646313.1, XP_012646318.1, XP_012646311.1, XP_012646312.1, XP_012646317.1, XP_012646315.1, XP_012646314.1
OG0000134	XP_012406199.1	XP_012615932.1
OG0000135	XP_031802264.1	XP_012645503.1
OG0000136	XP_031802238.1, XP_023351771.1, XP_023351772.1, XP_023351769.1, XP_023351770.1	XP_020144366.1, XP_020144368.1, XP_020144365.1, XP_020144367.1, XP_012645521.1, XP_012645522.1
OG0000137	XP_003772721.1, XP_031795158.1, XP_003771745.1	XP_012623584.2, XP_012623585.1, XP_020145274.1, XP_012623586.2, XP_012623587.1, XP_020145276.1, XP_012623673.2, XP_020145272.1, XP_012623663.2
OG0000138	XP_003764817.2	XP_012641891.1
OG0000138	XP_003764805.1	XP_012641949.1, XP_012641953.1
OG0000138	XP_012400865.1, XP_003764819.1, XP_003764815.1	XP_012641943.1, XP_012641884.1, XP_012641886.2, XP_012641887.2, XP_012641945.1, XP_020142471.1
OG0000139	XP_031824297.1, XP_031824298.1, XP_031824296.1	XP_020145820.1
OG0000140	XP_031809161.1	XP_012644809.1
OG0000142	XP_012409297.1, XP_012409299.1, XP_031810413.1, XP_012409296.1, XP_031810414.1, XP_031810416.1, XP_031810415.1, XP_023349993.1	XP_012611226.1
OG0000143	XP_003757352.1	XP_012610469.1
OG0000145	XP_031812834.1, XP_031812833.1, XP_031812832.1, XP_031812831.1, XP_031812829.1, XP_031812830.1	XP_012618337.1, XP_012618339.1, XP_012618329.1, XP_012618328.1, XP_012618338.1, XP_012618330.1, XP_012618332.1, XP_012618326.1, XP_012618336.1, XP_012618335.1, XP_012618334.1, XP_012618340.1, XP_012618331.1, XP_012618333.1
OG0000146	XP_023352157.1, XP_031802841.1, XP_031802843.1, XP_003760295.1, XP_031802842.1, XP_031802845.1, XP_031802844.1	XP_012628326.1, XP_012628327.1, XP_012628324.1, XP_012628322.1, XP_020144507.1, XP_012628328.1
OG0000147	XP_031805537.1, XP_031805539.1, XP_031805536.1, XP_012396338.3, XP_031805534.1, XP_031805059.1, XP_012396336.1	XP_012590831.1, XP_012590838.1, XP_012590832.1, XP_012590833.1
OG0000148	XP_012399621.1, XP_003755833.1	XP_020141494.1, XP_020141495.1, XP_012608249.1, XP_012608030.1, XP_012608028.1, XP_012608047.1, XP_012608029.1, XP_012608027.2
OG0000149	XP_031817538.1	XP_012613923.1
OG0000149	XP_003767906.1	XP_012604635.1
OG0000149	XP_031823223.1	XP_012617266.1
OG0000149	XP_031822713.1, XP_031822717.1, XP_031822714.1	XP_012604632.1
OG0000150	XP_003758442.1, XP_023350800.1, XP_031805099.1, XP_003758443.1	XP_012597786.2
OG0000151	XP_012405227.2	XP_012642741.1
OG0000151	XP_031823447.1, XP_031823446.1, XP_003770041.1	XP_012643866.1, XP_020136691.1, XP_012642867.1, XP_012642950.1, XP_012643169.1, XP_012643242.1
OG0000152	XP_031822441.1	XP_012646634.1, XP_012646633.1
OG0000153	XP_012406423.1, XP_023360058.1, XP_012405907.1, XP_003770946.1	XP_012609875.1, XP_012609888.1
OG0000157	XP_031807643.1, XP_031807644.1	XP_012628418.1, XP_012628419.1, XP_012628416.1, XP_012628415.1
OG0000157	XP_031820484.1, XP_003769255.1	XP_020142690.1, XP_012634492.2
OG0000158	XP_003768068.1	XP_012646732.1
OG0000159	XP_003766412.1, XP_003766858.1	XP_012598618.1, XP_012622471.1
OG0000160	XP_023358024.1	XP_012594595.1
OG0000161	XP_003759113.1	XP_012644144.2, XP_012611772.1
OG0000163	XP_012402413.1, XP_012402416.1	XP_012604214.1
OG0000163	XP_003766617.1	XP_012604217.1
OG0000164	XP_003759749.1	XP_012590817.1
OG0000165	XP_031795620.1, XP_031795619.1, XP_031795621.1, XP_031795617.1	XP_012644476.1
OG0000166	XP_012396468.1, XP_023351503.1, XP_031824634.1, XP_031824649.1, XP_023351504.1	XP_012628563.1
OG0000167	XP_031798267.1, XP_031798272.1, XP_031798263.1, XP_031798266.1	XP_012645611.1, XP_012645609.1, XP_012645612.1, XP_012645610.1
OG0000168	XP_031821604.1	XP_020142446.1
OG0000170	XP_003773616.1	XP_012636064.1, XP_012636063.1, XP_020142466.1
OG0000171	XP_003769499.1	XP_012592098.1
OG0000172	XP_031802261.1	XP_012607233.1
OG0000172	XP_031793454.1	XP_012603597.1
