Orthogroup	Sarcophilus_harrisii	Echinops_telfairi
OG0000016	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1	XP_004706676.1, XP_004706619.1, XP_004706620.1, XP_004706617.1
OG0000017	XP_012398581.1	XP_004706250.1, XP_004706251.1, XP_004706265.1, XP_045141829.1, XP_004706263.1, XP_004706256.1, XP_004706253.1, XP_004706254.3, XP_004706252.1, XP_004717982.2, XP_004706249.2, XP_030740248.1, XP_030740247.1, XP_004706273.1, XP_030740249.1, XP_004706248.1, XP_045141832.1, XP_004706244.1, XP_004706266.3, XP_045141789.1, XP_004706264.2, XP_004706261.3, XP_004706258.3, XP_004706267.1, XP_004706268.1, XP_004706259.1, XP_004706260.1, XP_030740246.2
OG0000017	XP_023358579.1	XP_004706000.1
OG0000017	XP_003775021.1	XP_004707348.1
OG0000017	XP_003758424.1, XP_031806205.1	XP_012863346.1
OG0000018	XP_031821686.1, XP_031821685.1, XP_031822886.1	XP_012859399.1
OG0000018	XP_023359832.1, XP_023358477.2, XP_031823291.1	XP_004716622.1
OG0000019	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2	XP_004712788.1, XP_004712719.1, XP_004712720.1, XP_004712787.1, XP_004712721.1, XP_004712791.1, XP_004712786.1, XP_004712718.2, XP_004698479.1
OG0000019	XP_031805364.1, XP_003759311.2, XP_031805363.1, XP_003759310.2	XP_004712790.1
OG0000019	XP_031805360.1	XP_004712724.1, XP_004712723.1
OG0000021	XP_003765334.1, XP_003765337.2	XP_012860623.1, XP_004697282.1, XP_004697280.1
OG0000021	XP_023355891.1	XP_030744593.1
OG0000021	XP_012404626.1, XP_003769277.1, XP_003769271.1, XP_003769272.1, XP_031820467.1, XP_003769273.1	XP_030744588.1, XP_030744587.1, XP_004697297.1, XP_004697300.1, XP_004697303.1, XP_012861777.1
OG0000022	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1	XP_012861131.1, XP_012860159.3, XP_030744626.2, XP_045140666.1, XP_004697099.2, XP_045140875.1, XP_030744629.2
OG0000024	XP_003764405.1	XP_004714285.1
OG0000026	XP_012397681.1, XP_012397680.1, XP_012397682.1	XP_045154538.1, XP_045154540.1, XP_045154539.1, XP_045154537.1
OG0000027	XP_003765946.1	XP_012861603.1
OG0000027	XP_023360426.1	XP_004710335.1
OG0000027	XP_003767621.1	XP_004699870.2
OG0000027	XP_012401810.1	XP_045150648.1
OG0000028	XP_003774032.2	XP_004715035.1, XP_004715034.1, XP_004715045.2, XP_045152990.1
OG0000029	XP_003766414.1	XP_004706573.1, XP_004706506.1, XP_012861092.2, XP_004706505.2, XP_004706571.1, XP_004706568.2, XP_004706569.1, XP_004706570.3, XP_004706572.2
OG0000031	XP_012404307.1	XP_004717805.1
OG0000031	XP_003770492.1	XP_004697319.1
OG0000031	XP_003765338.1, XP_012400082.1, XP_031817645.1	XP_004717464.1, XP_012863974.1, XP_004717473.1, XP_004697315.2, XP_004697273.1
OG0000033	XP_012403541.1	XP_045155424.1
OG0000033	XP_023358276.2	XP_004709367.1, XP_012861717.2
OG0000035	XP_003756019.1	XP_004712740.1
OG0000035	XP_003767872.1	XP_004712219.1
OG0000035	XP_031812849.1, XP_031812848.1, XP_031812850.1	XP_030741765.1
OG0000035	XP_012399891.2	XP_045150155.1
OG0000035	XP_003759426.1	XP_004703656.1
OG0000035	XP_031805495.1	XP_030740512.1
OG0000036	XP_031812610.1, XP_031812613.1, XP_031812612.1, XP_031812611.1, XP_003754959.1, XP_003754958.1, XP_031812533.1, XP_031812108.1	XP_012859662.1, XP_045147370.1
OG0000036	XP_003755303.1, XP_003755291.1	XP_004701113.1, XP_004701114.1, XP_004701111.1
OG0000039	XP_031802795.1, XP_003760265.2	XP_004711707.2
OG0000039	XP_003768941.1	XP_004711733.1
OG0000039	XP_003757584.1	XP_004702931.1
OG0000039	XP_031805964.1	XP_045156035.1
OG0000039	XP_031807551.1	XP_004716151.1
OG0000039	XP_003760117.1	XP_004702928.1
OG0000041	XP_023362197.2, XP_031799550.1	XP_004708452.1, XP_004708451.1, XP_030741694.2, XP_004708453.1, XP_012861540.1
OG0000042	XP_031798147.1	XP_004711685.1, XP_004711686.1, XP_030741751.1, XP_004711688.1, XP_004718048.1, XP_004708455.1, XP_004711696.1, XP_030741749.1, XP_045147074.1
OG0000044	XP_012405112.1	XP_004712586.2
OG0000045	XP_003759383.1	XP_045149228.1
OG0000045	XP_003759381.1	XP_012861750.1
OG0000045	XP_031821396.1	XP_012861749.1
OG0000045	XP_031821399.1	XP_004709407.1
OG0000046	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1	XP_045145625.1, XP_045145661.1
OG0000048	XP_012402396.1	XP_045148624.1, XP_045148625.1, XP_030742216.1, XP_045148205.1
OG0000049	XP_003756342.1, XP_031808465.1	XP_012859118.1, XP_004696508.2
OG0000050	XP_023363165.1	XP_004712659.1, XP_004712657.1, XP_004712660.1
OG0000051	XP_003765783.1	XP_045139744.1
OG0000051	XP_031813804.1	XP_045150200.1
OG0000051	XP_023356253.1, XP_003765782.2	XP_004704466.1
OG0000051	XP_031813802.1, XP_031813803.1	XP_045154467.1, XP_045150193.1
OG0000051	XP_031800822.1	XP_004710098.1
OG0000052	XP_023360233.1, XP_031794166.1	XP_004700778.2
OG0000053	XP_031820019.1, XP_023357177.1, XP_031820025.1, XP_031815092.1, XP_031815091.1, XP_031820027.1, XP_031820028.1, XP_023354635.1, XP_023354634.1, XP_031820032.1, XP_031817123.1, XP_031820020.1, XP_031820023.1, XP_031820030.1, XP_023354638.1	XP_030744715.1, XP_030744716.1, XP_030744714.1
OG0000054	XP_012403485.2	XP_045154396.1, XP_045154301.1, XP_030743721.1, XP_004714839.1, XP_045154300.1
OG0000055	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1	XP_004716482.1, XP_004716475.2, XP_004716476.1, XP_004716458.1, XP_004716457.1, XP_004716474.1
OG0000056	XP_003773826.1, XP_003773836.1, XP_003773828.1	XP_012861559.1, XP_004708528.1, XP_012861563.1, XP_045146929.1, XP_012861555.1
OG0000057	XP_031825154.1	XP_045151837.1, XP_045150218.1, XP_045152239.1, XP_045150220.1, XP_045151593.1, XP_045152873.1
OG0000058	XP_031815049.1, XP_031815044.1, XP_031815058.1	XP_004715220.1
OG0000060	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1	XP_012862321.2
OG0000061	XP_012409487.1	XP_012862257.2
OG0000061	XP_031810834.1	XP_045145283.1
OG0000062	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1	XP_004715350.1
OG0000063	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1	XP_045144151.1, XP_045144154.1, XP_045144153.1, XP_004698720.1, XP_045144152.1
OG0000064	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1	XP_045144610.1, XP_045144606.1, XP_045144613.1, XP_045144611.1, XP_004702680.1, XP_045144612.1, XP_045144609.1, XP_045144607.1, XP_045144608.1
OG0000065	XP_003762637.1	XP_045149856.1, XP_012864194.1, XP_012861157.1, XP_045153963.1, XP_004715316.1, XP_012861920.1, XP_045144280.1, XP_012859355.1, XP_045151737.1, XP_045142791.1, XP_045139513.1, XP_012862319.1, XP_045140326.1, XP_045146233.1, XP_012859413.1, XP_012859674.1, XP_012859279.1
OG0000066	XP_012402739.1, XP_003766943.1	XP_004715206.1, XP_004706464.1, XP_045144912.1
OG0000068	XP_031797906.1	XP_004715058.2, XP_004715057.2, XP_004708545.1, XP_004715056.1, XP_030743378.2
OG0000069	XP_012396962.1	XP_004707765.1, XP_045141486.1, XP_045141487.1, XP_045141485.1, XP_004715686.1, XP_004715688.1, XP_004715687.1, XP_004698759.1, XP_004698825.1
OG0000070	XP_031825010.1	XP_045148084.1
OG0000071	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1	XP_045140953.1, XP_012863904.1, XP_045145303.1, XP_004717218.1, XP_004717217.1, XP_045150248.1, XP_045147057.1, XP_045150814.1, XP_045143373.1, XP_045153070.1, XP_045145703.1, XP_045148069.1, XP_045151994.1, XP_045154633.1
OG0000072	XP_031812030.1, XP_023363032.1	XP_004701095.1, XP_045147551.1
OG0000073	XP_031798269.1, XP_023362166.1, XP_012408407.1, XP_012408406.1, XP_023362165.1, XP_003773872.1, XP_012408111.1, XP_003773875.2, XP_031797725.1, XP_003774679.2	XP_030741736.2, XP_004708562.3, XP_012861568.1, XP_045147036.1, XP_004708561.2
OG0000074	XP_031817868.1, XP_031817870.1, XP_031817869.1	XP_004708970.1, XP_012861662.1
OG0000076	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2	XP_045140664.1, XP_012860147.2, XP_004697101.1, XP_045140667.1
OG0000077	XP_031816276.1	XP_004701504.1
OG0000077	XP_003772367.1	XP_004716948.1
OG0000078	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1	XP_045144918.1
OG0000079	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1	XP_045140817.1, XP_004696894.1, XP_045140816.1
OG0000080	XP_012408351.1, XP_012408350.1	XP_030743379.1
OG0000082	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1	XP_030744575.2, XP_030744577.1, XP_030744576.2, XP_045140481.1, XP_030744706.2, XP_030744510.1, XP_045140480.1, XP_030744509.1, XP_045140482.1, XP_045140483.1, XP_045140777.1
OG0000083	XP_031804876.1	XP_045148499.1, XP_045148500.1, XP_045148495.1, XP_045148509.1
OG0000084	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1	XP_045141025.1, XP_045141026.1, XP_004703689.1
OG0000085	XP_003763133.1, XP_003761019.2	XP_004714378.1, XP_004717433.1, XP_004717398.1, XP_004717958.1
OG0000086	XP_003773922.1	XP_004714964.1
OG0000086	XP_003762123.1	XP_004705744.1
OG0000086	XP_031804914.1	XP_045154464.1
OG0000088	XP_023354622.1	XP_045140349.1, XP_045140348.1, XP_045140350.1
OG0000089	XP_012408110.1, XP_003773886.1	XP_004708559.1, XP_004708552.1, XP_004708556.1
OG0000090	XP_031805765.1	XP_045149683.1, XP_045149680.1, XP_045149681.1, XP_045149679.1, XP_045149678.1, XP_004704930.1, XP_045149682.1
OG0000092	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1	XP_004708546.1, XP_004708548.1
OG0000093	XP_031797313.1	XP_045142014.1
OG0000095	XP_003757317.1	XP_004711944.1
OG0000095	XP_031810396.1	XP_045148615.1, XP_045150606.1
OG0000096	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1	XP_004703093.1, XP_004703092.1, XP_004703091.1, XP_004700028.1
OG0000098	XP_012408191.2, XP_012408426.2, XP_031799528.1, XP_031797268.1, XP_031797270.1, XP_031799526.1, XP_031799525.1, XP_031799524.1, XP_012408215.2	XP_045156009.1, XP_012863865.1, XP_045156003.1, XP_012863091.1, XP_030744174.1, XP_045146230.1, XP_045156004.1, XP_045156002.1, XP_045145646.1, XP_045156007.1, XP_045156006.1, XP_045155968.1, XP_012863866.3, XP_045156110.1
OG0000099	XP_031805182.1, XP_031810473.1	XP_045151127.1, XP_004698251.1, XP_045151464.1
OG0000100	XP_031818873.1	XP_004705273.1
OG0000100	XP_031821197.1, XP_031821198.1, XP_003768867.1	XP_004705657.1
OG0000101	XP_031809394.1	XP_045140363.1, XP_045146523.1, XP_045146524.1
OG0000102	XP_031799036.1, XP_031799035.1	XP_004703229.1, XP_004703410.2
OG0000103	XP_003772476.1	XP_045151822.1, XP_004710333.1
OG0000104	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1	XP_045147911.1, XP_004699643.1
OG0000105	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1	XP_004709020.1, XP_045149114.1, XP_045149115.1, XP_045149116.1
OG0000106	XP_012395236.2	XP_004708127.2
OG0000106	XP_031797249.1	XP_045145413.1
OG0000106	XP_031796163.1	XP_004705720.2
OG0000106	XP_003761065.1	XP_004709634.2
OG0000107	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1	XP_004715014.1, XP_004715013.1, XP_004715012.1
OG0000108	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1	XP_045150492.1, XP_004701946.2
OG0000109	XP_003763327.3	XP_004711113.1
OG0000109	XP_003763301.1	XP_004712520.1, XP_004712519.1, XP_004712517.1, XP_004712516.1, XP_004712518.1
OG0000110	XP_023358533.1	XP_004713048.1, XP_045149353.1
OG0000114	XP_003766021.1	XP_004701631.1
OG0000114	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1	XP_004701628.1, XP_004701630.1
OG0000115	XP_031793850.1, XP_031793851.1, XP_031793853.1	XP_004711472.1
OG0000115	XP_031816220.1	XP_004696937.1
OG0000116	XP_031799222.1, XP_031799221.1, XP_031799220.1	XP_030744473.1
OG0000117	XP_003765335.1, XP_003766613.1, XP_012402410.2, XP_012402716.2, XP_031813166.1, XP_031813167.1, XP_003765333.2, XP_003766611.1, XP_012402411.1, XP_031817647.1, XP_031813164.1, XP_003765336.1, XP_003766610.2	XP_012861772.1, XP_004697272.1, XP_012860596.1, XP_004718001.2, XP_004697269.2, XP_030744594.1, XP_004697270.1, XP_004697271.3
OG0000118	XP_031796389.1	XP_030741158.1
OG0000120	XP_012398224.1	XP_004705610.1
OG0000121	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1	XP_045142786.1
OG0000122	XP_031819649.1	XP_004715846.1
OG0000122	XP_031794144.1, XP_023357601.2, XP_031804926.1, XP_031793147.1	XP_012859939.1, XP_045152129.1, XP_012861706.1, XP_012861418.1, XP_012859846.1, XP_012859260.1, XP_012860136.1
OG0000122	XP_012398126.2	XP_012861820.1, XP_030742881.1, XP_045151936.1
OG0000123	XP_003758421.3, XP_031805104.1, XP_003758419.2	XP_030742389.1, XP_004716225.1, XP_004716224.1, XP_004716261.1
OG0000124	XP_023356116.1	XP_012863991.1
OG0000124	XP_012401572.1, XP_031814902.1, XP_031814901.1	XP_045141379.1, XP_045141380.1
OG0000125	XP_012403745.2	XP_004707210.1
OG0000125	XP_012403748.1, XP_003768285.1, XP_003768278.1, XP_012403749.2	XP_045155324.1
OG0000127	XP_031798637.1, XP_012407463.1, XP_031798639.1, XP_031798638.1	XP_004703356.1, XP_045140128.1
OG0000128	XP_031818477.1	XP_045151658.1, XP_004712541.3, XP_045151722.1, XP_004712576.1, XP_045151686.1
OG0000130	XP_003764886.1, XP_012402225.2	XP_004717132.1, XP_004717131.1, XP_004717133.1
OG0000130	XP_003766416.1, XP_012400883.1	XP_004717091.1
OG0000131	XP_003757913.1, XP_023350403.1, XP_003757914.1, XP_003759019.1, XP_003759243.2, XP_031805123.1	XP_004716498.1, XP_004716464.1, XP_004716462.1, XP_012863714.1
OG0000132	XP_003769562.3	XP_004702027.1, XP_045150370.1, XP_045150369.1
OG0000133	XP_031825207.1, XP_031825209.1, XP_031825208.1, XP_031825210.1, XP_031825206.1	XP_045148079.1, XP_004699328.1
OG0000134	XP_012406199.1	XP_045151946.1
OG0000135	XP_031802264.1	XP_045147971.1
OG0000136	XP_031802238.1, XP_023351771.1, XP_023351772.1, XP_023351769.1, XP_023351770.1	XP_045142065.1, XP_045142064.1, XP_004697625.1
OG0000137	XP_003772721.1, XP_031795158.1, XP_003771745.1	XP_004714005.3, XP_004714003.1, XP_004714004.1, XP_004714001.1, XP_012863025.1, XP_004713999.1, XP_030741088.1, XP_004714040.1, XP_004713998.1, XP_004714000.1, XP_004714041.1
OG0000138	XP_003764817.2	XP_004717532.1
OG0000138	XP_003764805.1	XP_004717576.1
OG0000138	XP_012400865.1, XP_003764819.1, XP_003764815.1	XP_004717527.1, XP_004717571.2, XP_004717528.1
OG0000139	XP_023352686.1	XP_030744623.2
OG0000139	XP_031824297.1, XP_031824298.1, XP_031824296.1	XP_045140394.1, XP_004697266.1, XP_045140393.1, XP_045140391.1, XP_045140390.1
OG0000140	XP_031809161.1	XP_030741420.1
OG0000141	XP_003768910.2	XP_004697229.2, XP_045140736.1, XP_004696895.1
OG0000142	XP_012409297.1, XP_012409299.1, XP_031810413.1, XP_012409296.1, XP_031810414.1, XP_031810416.1, XP_031810415.1, XP_023349993.1	XP_045149687.1, XP_004704707.1, XP_045149686.1
OG0000143	XP_003757352.1	XP_030742844.1
OG0000145	XP_031812834.1, XP_031812833.1, XP_031812832.1, XP_031812831.1, XP_031812829.1, XP_031812830.1	XP_045147525.1, XP_004701145.1, XP_045147526.1
OG0000146	XP_023352157.1, XP_031802841.1, XP_031802843.1, XP_003760295.1, XP_031802842.1, XP_031802845.1, XP_031802844.1	XP_045142054.1, XP_045142060.1, XP_004697533.1
OG0000147	XP_031805537.1, XP_031805539.1, XP_031805536.1, XP_012396338.3, XP_031805534.1, XP_031805059.1, XP_012396336.1	XP_004713906.1, XP_004713922.1, XP_004713902.1, XP_004713899.1, XP_004713905.1, XP_004713907.1, XP_004713908.1
OG0000148	XP_012399621.1, XP_003755833.1	XP_004698922.1, XP_004698923.1
OG0000149	XP_031817538.1	XP_045148631.1
OG0000149	XP_003767906.1	XP_004716558.1
OG0000149	XP_031823223.1	XP_004714919.1
OG0000149	XP_031822713.1, XP_031822717.1, XP_031822714.1	XP_045154307.1
OG0000150	XP_003758442.1, XP_023350800.1, XP_031805099.1, XP_003758443.1	XP_012860629.3
OG0000151	XP_012405227.2	XP_004707023.1
OG0000151	XP_031823447.1, XP_031823446.1, XP_003770041.1	XP_004707410.1
OG0000152	XP_031822441.1	XP_004717756.1
OG0000153	XP_012406423.1, XP_023360058.1, XP_012405907.1, XP_003770946.1	XP_012864129.2, XP_030743188.1, XP_004717894.2, XP_012864119.1
OG0000157	XP_031807643.1, XP_031807644.1	XP_004716095.1
OG0000157	XP_031820484.1, XP_003769255.1	XP_012861152.1, XP_045150192.1
OG0000158	XP_023353662.1	XP_045150894.1
OG0000158	XP_003768068.1	XP_012862011.1
OG0000159	XP_003766412.1, XP_003766858.1	XP_004706567.1, XP_004706504.1, XP_004706503.2
OG0000160	XP_023358024.1	XP_045142155.1, XP_045147901.1, XP_045144829.1, XP_045144830.1, XP_045140890.1, XP_045140887.1, XP_004711708.1
OG0000161	XP_003759113.1	XP_045142585.1
OG0000163	XP_012402413.1, XP_012402416.1	XP_045153684.1
OG0000163	XP_012402414.1	XP_045153720.1
OG0000163	XP_003766617.1	XP_045153718.1, XP_045153719.1
OG0000164	XP_031802108.1	XP_004706358.1, XP_045144983.1
OG0000165	XP_031795620.1, XP_031795619.1, XP_031795621.1, XP_031795617.1	XP_045146037.1, XP_045146036.1
OG0000166	XP_012396468.1, XP_023351503.1, XP_031824634.1, XP_031824649.1, XP_023351504.1	XP_045141312.1, XP_045141315.1, XP_045141314.1
OG0000167	XP_031798267.1, XP_031798272.1, XP_031798263.1, XP_031798266.1	XP_045140340.1, XP_004705793.1
OG0000168	XP_003768586.1	XP_045155493.1, XP_004703884.1
OG0000168	XP_031821604.1	XP_045140898.1, XP_045143942.1, XP_045149167.1, XP_045145032.1, XP_045141604.1, XP_045147501.1
OG0000170	XP_003773616.1	XP_045146994.1, XP_045146995.1, XP_004711621.2, XP_004711675.1
OG0000171	XP_003769499.1	XP_045142062.1, XP_045143960.1, XP_045144663.1, XP_045150621.1, XP_030742688.1, XP_045150102.1
OG0000172	XP_031802261.1	XP_045142243.1
OG0000172	XP_031793454.1	XP_004701997.1
OG0000172	XP_012409550.1, XP_023350190.1	XP_004716083.1
OG0000174	XP_012405557.1	XP_030743023.1
OG0000175	XP_003773749.1	XP_045147084.1, XP_045147082.1, XP_045147085.1, XP_004708362.1, XP_045147083.1
OG0000176	XP_023362209.1, XP_031797709.1, XP_031797711.1, XP_023362208.1	XP_004715052.3, XP_045152993.1, XP_045152994.1, XP_045141949.1, XP_045152988.1
OG0000177	XP_031811873.1, XP_031811875.1, XP_031811871.1, XP_031811870.1, XP_031811872.1, XP_031811876.1, XP_031811868.1, XP_031811869.1, XP_031811867.1	XP_004701304.1
OG0000178	XP_031813300.1, XP_031813299.1, XP_031813294.1, XP_031813298.1, XP_031813297.1, XP_031813296.1, XP_031813295.1	XP_045152344.1, XP_045152345.1
OG0000179	XP_031817500.1	XP_004710567.1
OG0000179	XP_023355787.2, XP_012401166.1	XP_004710399.1, XP_004710401.1, XP_004710400.1
OG0000180	XP_012397749.1	XP_045146325.1, XP_045146327.1
OG0000182	XP_031792735.1	XP_045152535.1, XP_045152534.1
OG0000183	XP_031798882.1	XP_004708395.1, XP_004714362.1
OG0000184	XP_031813724.1, XP_031800734.1	XP_004712167.1, XP_045143405.1
OG0000188	XP_003764834.1	XP_004717519.1
OG0000188	XP_003766999.1	XP_004717089.1
OG0000189	XP_003774897.1, XP_031797813.1	XP_004716487.1, XP_004713449.2, XP_012862326.2
OG0000190	XP_031796825.1, XP_031796827.1, XP_031796826.1	XP_004700763.1
OG0000191	XP_003769420.1, XP_023358945.1	XP_004702068.1
OG0000192	XP_031794046.1	XP_045146436.1
OG0000195	XP_031820905.1, XP_031820904.1	XP_012863924.2, XP_045146874.1
OG0000196	XP_003773915.1	XP_004715008.1
OG0000196	XP_003773971.1, XP_003773970.1, XP_031798784.1, XP_003773962.1	XP_004714956.2
OG0000197	XP_012406752.1	XP_004711661.1
OG0000199	XP_031817627.1	XP_004715690.1
OG0000200	XP_003767289.1, XP_023357403.1	XP_004699644.1, XP_004699331.1
OG0000201	XP_031821831.1, XP_031821832.1	XP_045155407.1
OG0000203	XP_031815893.1	XP_004703894.1
OG0000204	XP_003764754.2	XP_004708853.1, XP_045148998.1, XP_045145984.1, XP_004713022.1, XP_045139632.1, XP_045148997.1, XP_012860152.1
OG0000205	XP_031817807.1, XP_003764619.2	XP_012863033.1
OG0000206	XP_031796238.1	XP_004704090.1
OG0000207	XP_023356432.1	XP_004701621.1
OG0000209	XP_031817713.1, XP_003766638.1, XP_031820011.1, XP_031817715.1	XP_012863468.1, XP_012863470.1
OG0000210	XP_031797477.1, XP_003773620.1	XP_004711639.1, XP_004711637.2, XP_004711638.1
OG0000211	XP_031802452.1, XP_031802454.1	XP_004702940.1
OG0000211	XP_003757016.1, XP_031809824.1	XP_004706483.1, XP_004699325.1, XP_004698023.1
OG0000213	XP_031807358.1	XP_004708119.1, XP_004715363.2, XP_045152929.1
OG0000214	XP_031804062.1	XP_045155180.1
OG0000214	XP_031822954.1	XP_045141138.1
OG0000215	XP_031802910.1, XP_031821510.1	XP_045155743.1
