Orthogroup	Sarcophilus_harrisii	Mesocricetus_auratus
OG0000007	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3	XP_040589785.1, XP_040589784.1, XP_005087808.1, XP_040590162.1, XP_005087807.2, XP_005086773.1, XP_012981157.2, XP_040589756.1, XP_005087922.1, XP_005086758.1, XP_005086765.1, XP_005086772.1, XP_005085717.1, XP_005085715.1, XP_040589781.1, XP_005085719.2, XP_040589786.1, XP_005085718.1, XP_005085701.1, XP_012982286.3, XP_005085700.1, XP_005085720.2, XP_040597067.1, XP_012980380.1, XP_005085713.1
OG0000008	XP_031806199.1	XP_005085123.2
OG0000008	XP_023362616.1, XP_031800616.1	XP_012981311.2
OG0000008	XP_023361210.2, XP_031794448.1	XP_012980805.2, XP_012965907.1, XP_040607222.1, XP_005080013.1, XP_012966980.1, XP_040607169.1, XP_012974811.2, XP_040589595.1, XP_005076380.2, XP_021086449.1, XP_040592559.1
OG0000009	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2	XP_040596996.1, XP_040588386.1, XP_040597078.1, XP_040588058.1, XP_040588055.1, XP_040597080.1, XP_040597074.1, XP_040588524.1, XP_040588391.1, XP_040597180.1, XP_040588465.1, XP_040588202.1, XP_040588464.1, XP_040588388.1, XP_012981543.1
OG0000010	XP_031800130.1	XP_005065035.2
OG0000010	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1	XP_040600849.1, XP_040600854.1, XP_005064623.2, XP_005064624.2, XP_040601664.1, XP_040601665.1, XP_005065031.1, XP_005064627.1, XP_012975638.1, XP_005064632.2, XP_040600908.1, XP_005064633.1, XP_012975487.2, XP_005064650.1, XP_005065030.1, XP_005065029.1, XP_040600848.1, XP_005065033.1, XP_040600851.1, XP_005065040.1, XP_005065034.1, XP_012975523.2, XP_005064625.1
OG0000011	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3	XP_040597859.1, XP_040597868.1, XP_040597855.1, XP_040597852.1, XP_040597857.1, XP_040597858.1, XP_040597867.1, XP_040597854.1, XP_005139286.1, XP_040597863.1, XP_040597860.1, XP_040597864.1, XP_040597866.1, XP_040597862.1, XP_040597861.1, XP_040597865.1, XP_040597853.1
OG0000016	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1	XP_040613374.1, XP_040613378.1, XP_040613379.1, XP_040613377.1, XP_040613380.1, XP_040613381.1, XP_040613372.1, XP_040613373.1, XP_040613375.1, XP_012971927.2, XP_005074393.2, XP_040613376.1, XP_021085317.2, XP_005074343.2
OG0000017	XP_012398581.1	XP_005081713.2, XP_040603898.1, XP_040603900.1, XP_040603899.1
OG0000017	XP_003761039.1, XP_003761040.1, XP_003761048.1, XP_012397839.1, XP_012397826.1, XP_012397828.1, XP_031804001.1, XP_003763139.2, XP_012397824.1, XP_012397821.1, XP_012397829.1, XP_031806752.1, XP_003763137.1, XP_012397822.1, XP_003761034.1, XP_003761036.2, XP_003761037.1, XP_031806708.1, XP_012399622.1, XP_012397827.1, XP_003763235.1, XP_031806810.1, XP_003763234.1, XP_012397825.1	XP_005087134.1
OG0000017	XP_003775021.1	XP_040603984.1, XP_040603983.1
OG0000017	XP_003758428.1, XP_003758978.1, XP_003759273.1	XP_040591625.1, XP_040591602.1
OG0000017	XP_003758424.1, XP_031806205.1	XP_005076922.1
OG0000018	XP_031821686.1, XP_031821685.1, XP_031822886.1	XP_005069967.1
OG0000018	XP_023358477.2	XP_021080732.2
OG0000019	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2	XP_040600867.1, XP_040600868.1, XP_005064844.1, XP_005064843.1, XP_005064848.1, XP_005064585.1, XP_005064847.1, XP_005064584.1, XP_005064850.1
OG0000019	XP_031805364.1, XP_003759311.2, XP_031805363.1, XP_003759310.2	XP_005064849.1
OG0000019	XP_031805360.1	XP_040600871.1, XP_040600873.1, XP_040600872.1, XP_005064842.1, XP_005064841.2
OG0000021	XP_012404626.1, XP_003769277.1, XP_003769271.1, XP_003769272.1, XP_031820467.1, XP_003769273.1	XP_005078541.1
OG0000022	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1	XP_012968143.1, XP_012968137.1, XP_040597834.1, XP_012968139.1, XP_012968141.1, XP_012968138.2, XP_040597837.1, XP_040597835.1, XP_040597836.1, XP_040597838.1, XP_012968142.1
OG0000023	XP_031819158.1	XP_012979575.2
OG0000024	XP_003764405.1	XP_012968325.2, XP_005069311.1, XP_012968324.1, XP_012968319.1, XP_005069429.1, XP_005069427.1
OG0000024	XP_003764380.1, XP_003764382.1, XP_003764383.1, XP_003764381.1	XP_005069439.1, XP_005069315.1, XP_012968276.2, XP_005069438.2, XP_040585969.1, XP_005069440.1, XP_012968278.1
OG0000026	XP_012397681.1, XP_012397680.1, XP_012397682.1	XP_040600685.1, XP_040600680.1, XP_040600679.1, XP_040596979.1, XP_012973615.1
OG0000027	XP_003765946.1	XP_005070529.1
OG0000027	XP_023360032.2, XP_031820681.1	XP_040609793.1
OG0000027	XP_023360426.1	XP_040593732.1
OG0000027	XP_031804908.1	XP_040599534.1
OG0000027	XP_031793822.1, XP_012407220.2	XP_040609790.1
OG0000028	XP_003774032.2	XP_012966156.1, XP_012967592.1, XP_012967554.1, XP_005063854.1, XP_040588468.1, XP_012967590.1, XP_005063306.1, XP_005063857.1
OG0000029	XP_003766414.1	XP_005076794.1, XP_040606242.1, XP_040606301.1, XP_005076843.2, XP_040606240.1, XP_040606241.1, XP_005076795.1, XP_040606248.1, XP_005076798.2
OG0000031	XP_012404307.1	XP_005077476.1
OG0000031	XP_003770492.1	XP_005067750.1
OG0000031	XP_003765338.1, XP_012400082.1, XP_031817645.1	XP_040612128.1, XP_005086751.3, XP_040611602.1, XP_040611600.1, XP_040611601.1, XP_005086741.1
OG0000032	XP_031809273.1	XP_040597877.1, XP_040597876.1, XP_040597879.1, XP_040597875.1, XP_012968163.2, XP_040597869.1, XP_040597870.1, XP_040597872.1, XP_040597871.1
OG0000033	XP_012403541.1	XP_005070273.1, XP_012968668.2
OG0000033	XP_023358276.2	XP_012968934.1
OG0000035	XP_003756019.1	XP_040601947.1, XP_012975185.1
OG0000035	XP_003767872.1	XP_005064723.1
OG0000035	XP_031812849.1, XP_031812848.1, XP_031812850.1	XP_005063733.1
OG0000035	XP_003761602.1	XP_012975858.1
OG0000035	XP_031821487.1	XP_040606104.1
OG0000035	XP_003759426.1	XP_005065601.1
OG0000035	XP_031805495.1	XP_005071114.1
OG0000036	XP_003755303.1, XP_003755291.1	NP_001268612.1, XP_040600829.1, XP_005063680.1, XP_040600828.1, NP_001268504.1, XP_040597720.1, XP_040597238.1, NP_001268582.1, NP_001268615.1, XP_005063672.1
OG0000039	XP_031802795.1	XP_040611731.1
OG0000039	XP_003760265.2	XP_005066458.1
OG0000039	XP_003768941.1	XP_005087662.1
OG0000039	XP_003757584.1	XP_005083770.1
OG0000039	XP_031803594.1	XP_005081404.1
OG0000039	XP_031805964.1	XP_005073218.1
OG0000039	XP_031807551.1	XP_040588788.1
OG0000039	XP_003760117.1	XP_005074701.1
OG0000041	XP_023362197.2, XP_031799550.1	XP_005065090.1, XP_005065088.1, XP_005064664.3, XP_005065092.1, XP_021088661.1, XP_005065087.2, XP_012976050.1
OG0000042	XP_031798147.1	XP_012978305.2, XP_040596831.1, XP_040589288.1, XP_040589278.1, XP_040589281.1, XP_040589279.1, XP_040589280.1, XP_040589295.1, XP_021090424.2, XP_012978311.3, XP_021090419.1, XP_005083265.3, XP_040589290.1, XP_040589294.1, XP_021079631.2, XP_012978310.2, XP_040589291.1, XP_040589296.1, XP_040589289.1, XP_040589292.1, XP_005083281.2, XP_040596799.1, XP_040589286.1, XP_040589287.1, XP_021079562.2, XP_040589197.1, XP_040597262.1
OG0000044	XP_023353357.1	XP_040611627.1, XP_040611632.1, XP_021080739.1, XP_040611628.1
OG0000044	XP_012405112.1	XP_040608140.1, XP_040599370.1
OG0000044	XP_031801760.1	XP_012981124.1
OG0000044	XP_023359833.2	XP_040611631.1
OG0000045	XP_003759383.1	XP_012967012.1
OG0000045	XP_031821400.1	XP_005067661.2
OG0000045	XP_003759381.1	XP_005067663.2
OG0000045	XP_031821396.1	XP_040604829.1
OG0000045	XP_031821399.1	XP_040604830.1
OG0000046	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1	XP_040598114.1, XP_040593590.1, XP_040593589.1, XP_005083451.1, XP_005083446.1, XP_040594995.1, XP_040594999.1, XP_005083449.2, XP_040594997.1, XP_040594312.1, XP_012978446.1
OG0000048	XP_012402396.1	XP_005086519.2, XP_005086487.1, XP_040590516.1, XP_040590186.1, XP_040590252.1
OG0000049	XP_003756342.1, XP_031808465.1	XP_012970837.1, XP_040598230.1, XP_005075263.2, XP_040598231.1, XP_005066586.2, XP_040587914.1, XP_040587666.1, XP_040587921.1, XP_040587920.1, XP_040587835.1
OG0000050	XP_023363165.1	XP_040591601.1, XP_040591585.1, XP_005082163.1, XP_040591590.1, XP_040591584.1
OG0000051	XP_003765783.1	XP_040589515.1
OG0000051	XP_031813804.1	XP_040609155.1
OG0000051	XP_023356253.1, XP_003765782.2	XP_040589514.1
OG0000051	XP_031813802.1, XP_031813803.1	XP_012977763.1, XP_040609153.1, XP_040609154.1
OG0000051	XP_031800822.1	XP_005082522.1
OG0000052	XP_023360233.1, XP_031794166.1	XP_040592338.1, XP_021078671.1, XP_012966499.1, XP_040610156.1, XP_040592247.1
OG0000053	XP_031820019.1, XP_023357177.1, XP_031820025.1, XP_031815092.1, XP_031815091.1, XP_031820027.1, XP_031820028.1, XP_023354635.1, XP_023354634.1, XP_031820032.1, XP_031817123.1, XP_031820020.1, XP_031820023.1, XP_031820030.1, XP_023354638.1	XP_040606309.1, XP_005073958.1, XP_005073886.1, XP_005073885.1
OG0000054	XP_012403485.2	XP_012976161.1
OG0000055	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1	XP_005075771.1, XP_005075828.3, XP_005075773.1, XP_005075776.1, XP_005075775.1, XP_005075770.1, XP_021086135.2, XP_012972950.1
OG0000056	XP_003773826.1, XP_003773836.1, XP_003773828.1	XP_005065047.1, XP_005065036.1, XP_005065037.1, XP_005065048.1
OG0000057	XP_031825154.1	XP_040609095.1, XP_040609094.1, XP_040609097.1, XP_040609083.1, XP_040608743.1, XP_040609099.1, XP_040609098.1, XP_040609082.1, XP_040609085.1
OG0000058	XP_031815049.1, XP_031815044.1, XP_031815058.1	XP_021085646.1, XP_021085645.1, XP_012972422.1, XP_012972423.1, XP_040595978.1, XP_012972426.1, XP_012972425.1
OG0000060	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1	XP_012980426.1, XP_040608584.1, XP_012980427.1
OG0000061	XP_012409487.1	XP_040593436.1, NP_001297499.1, XP_040598221.1, XP_040585046.1, XP_040597898.1, XP_040597900.1, XP_040597901.1, XP_040597155.1, XP_040598206.1, XP_040596984.1, XP_012979909.1
OG0000061	XP_031810834.1	XP_012978726.1
OG0000062	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1	XP_012966050.1, XP_040611846.1, XP_040611849.1, XP_040611842.1, XP_021080614.1, XP_021080610.1, XP_040611843.1, XP_040611841.1, XP_040611847.1, XP_040611848.1, XP_040611845.1, XP_012966051.1, XP_040611844.1
OG0000063	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1	XP_012970873.1, XP_021084443.1, XP_040598782.1, XP_012970872.1, XP_040598780.1, XP_040598781.1, XP_040598784.1, XP_040598783.1
OG0000064	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1	XP_012976553.1, XP_040591050.1, XP_021089109.1, XP_005080935.1, XP_012976548.1, XP_040591054.1, XP_012976552.1, XP_040591052.1, XP_040591053.1
OG0000065	XP_003762637.1	XP_005139289.2, XP_040602518.1, XP_040608744.1
OG0000066	XP_012402739.1, XP_003766943.1	XP_040607425.1, XP_040610768.1, XP_005083244.1, XP_040605362.1
OG0000068	XP_031797906.1	XP_005063311.1, XP_040587014.1, XP_005088425.2, XP_005063862.2, XP_005063310.1, XP_012966146.1
OG0000069	XP_012396962.1	XP_040596557.1, XP_040596556.1, XP_040596558.1, XP_005139384.2, XP_012982640.1, XP_005086454.1, XP_005068441.1
OG0000070	XP_031799314.1	XP_021085276.1
OG0000070	XP_031825010.1	XP_021084043.1
OG0000071	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1	XP_040607689.1, XP_012971826.1, XP_012971753.2, XP_040607730.1
OG0000072	XP_031812030.1, XP_023363032.1	XP_021079588.1, XP_012972741.1, XP_021079638.1, XP_021079568.1, XP_005063667.1
OG0000073	XP_031798269.1, XP_023362166.1, XP_012408407.1, XP_012408406.1, XP_023362165.1, XP_003773872.1, XP_012408111.1, XP_003773875.2, XP_031797725.1, XP_003774679.2	XP_005065080.2
OG0000074	XP_031817868.1, XP_031817870.1, XP_031817869.1	XP_040613609.1, XP_005074087.1
OG0000076	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2	XP_021082326.2, XP_040597842.1, XP_040597840.1, XP_040597832.1, XP_040597833.1, XP_040597839.1
OG0000077	XP_031816276.1	XP_040597617.1, XP_040611502.1, XP_040601552.1, XP_040603391.1, XP_040599072.1
OG0000077	XP_003772367.1	XP_012966788.1
OG0000078	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1	NP_001268256.1, XP_040610188.1
OG0000079	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1	XP_040604447.1, XP_040604444.1, XP_040604445.1, XP_040604446.1, XP_040604448.1, XP_040604443.1, XP_040592978.1
OG0000080	XP_012408351.1, XP_012408350.1	XP_021081262.1, XP_012972664.1, XP_012972676.1, XP_012972670.1, XP_040586988.1, XP_040602920.1, XP_012980008.1, XP_021081267.1, XP_040602947.1, XP_012966189.1, XP_040602940.1, XP_021081277.1, XP_040602950.1
OG0000082	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1	XP_040588269.1, XP_040588270.1, XP_040588274.1, XP_040588299.1
OG0000084	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1	XP_040584800.1, XP_005082842.2, XP_021090181.1
OG0000085	XP_003763133.1, XP_003761019.2	XP_005077363.1
OG0000086	XP_003773922.1	XP_005065146.1
OG0000086	XP_003762123.1	XP_040610260.1
OG0000086	XP_031804914.1	XP_021087100.2
OG0000088	XP_023354622.1	XP_005073849.1, XP_040606349.1, XP_040606352.1, XP_040606345.1, XP_040606347.1, XP_040606354.1, XP_040606351.1, XP_040606353.1, XP_040606346.1, XP_040606350.1, XP_040606348.1, XP_021085084.1
OG0000089	XP_012408110.1, XP_003773886.1	XP_012975736.2, XP_005065076.1, XP_005065079.1, XP_005065060.2, XP_040600832.1, XP_005065078.3, XP_005065074.1
OG0000090	XP_031805765.1	XP_012974926.1, XP_012974925.1, XP_021087806.1, XP_012974922.1, XP_012974924.1
OG0000092	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1	XP_005065062.1, XP_005065063.1, XP_005065061.1, XP_005065059.1, XP_005064643.1, XP_012974558.1, XP_021088358.1
OG0000093	XP_031797313.1	XP_005080052.1
OG0000095	XP_003757317.1	XP_005079189.1
OG0000096	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1	XP_005081499.1, XP_012976978.1, XP_012976979.1, XP_012966033.2, XP_040611717.1, XP_040611727.1, XP_040611719.1, XP_040611718.1
OG0000098	XP_003767037.2, XP_031817571.1, XP_031817575.1, XP_031817572.1, XP_031819190.1, XP_031819176.1, XP_031819183.1, XP_023354600.1, XP_031813162.1, XP_031813161.1, XP_031819174.1, XP_031805056.1, XP_031813018.1, XP_031804923.1, XP_031812979.1, XP_031805027.1, XP_023354496.2, XP_031805025.1, XP_012399581.1, XP_031805024.1, XP_031805004.1, XP_031804995.1, XP_031804987.1, XP_012401290.1, XP_031817561.1	XP_040594738.1, XP_040594846.1, XP_005081391.2, XP_040595091.1, XP_040592980.1, XP_040594426.1, XP_040587551.1, XP_040587539.1, XP_040587274.1, XP_040587457.1, XP_040587560.1
OG0000099	XP_031805182.1, XP_031810473.1	XP_012967795.1
OG0000100	XP_031818873.1	XP_040590987.1, XP_040590988.1, XP_040590989.1, XP_040590990.1, XP_040590986.1
OG0000100	XP_031821197.1, XP_031821198.1, XP_003768867.1	XP_005080471.1
OG0000101	XP_031809394.1	XP_012970239.1, XP_005088403.1, XP_005088404.1
OG0000102	XP_031799036.1, XP_031799035.1	XP_005068243.3, XP_005068245.2, XP_040603229.1, XP_040602523.1
OG0000103	XP_003772476.1	XP_040611494.1, NP_001297498.1, XP_021083830.2, NP_001297485.1, XP_005071802.1, XP_040611493.1, NP_001268527.1, XP_005071810.1, XP_040611499.1, XP_005071800.3
OG0000104	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1	XP_012977305.1, XP_040603486.1, XP_040589366.1, XP_040589367.1, XP_040589479.1
OG0000105	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1	XP_040591166.1
OG0000106	XP_012395236.2	XP_040602671.1
OG0000106	XP_031796163.1	XP_005064427.1
OG0000106	XP_003761065.1	XP_005080701.2
OG0000107	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1	XP_005065130.1, XP_005065131.1, XP_040600824.1, XP_005065129.1
OG0000108	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1	XP_040608920.1, XP_040608919.1, XP_040608921.1
OG0000109	XP_003763301.1	XP_005078947.2, XP_005078834.2, XP_040597911.1, XP_005078833.2, XP_040597897.1
OG0000110	XP_023358533.1	XP_040604934.1, XP_040604931.1, XP_005067566.1, XP_040604935.1, XP_040604937.1, XP_040604936.1
OG0000114	XP_003766021.1	XP_040609380.1
OG0000114	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1	XP_005070620.1, XP_005070610.2, XP_040608709.1, XP_040609379.1, XP_021082995.1
OG0000115	XP_031793850.1, XP_031793851.1, XP_031793853.1	XP_005067252.1
OG0000115	XP_031816213.1	XP_012967007.1
OG0000115	XP_031816220.1	XP_005067757.1
OG0000116	XP_031799222.1, XP_031799221.1, XP_031799220.1	XP_040589641.1
OG0000116	XP_031809233.1	XP_040614037.1
OG0000116	XP_031812821.1	XP_005070838.1
OG0000117	XP_003765335.1, XP_003766613.1, XP_012402410.2, XP_012402716.2, XP_031813166.1, XP_031813167.1, XP_003765333.2, XP_003766611.1, XP_012402411.1, XP_031817647.1, XP_031813164.1, XP_003765336.1, XP_003766610.2	XP_005085440.1, XP_012980151.1
OG0000118	XP_031796389.1	XP_040592964.1
OG0000120	XP_012398224.1	XP_040607247.1
OG0000121	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1	XP_040598139.1, XP_005075252.1, XP_040598140.1, XP_021085845.1, XP_012972648.1, XP_012972650.1, XP_012972652.1, XP_012972649.1
OG0000122	XP_031819649.1	XP_012977225.2
OG0000122	XP_031794144.1, XP_023357601.2, XP_031804926.1, XP_031793147.1	XP_040604850.1, XP_040595192.1, XP_040586848.1, XP_040586853.1
OG0000122	XP_012398126.2	XP_040587071.1
OG0000123	XP_003758421.3, XP_031805104.1, XP_003758419.2	XP_005067472.1, XP_005067471.1, XP_040603940.1, XP_040603936.1, XP_005067476.1, XP_005067478.1, XP_012966918.1, XP_040603943.1, XP_005067474.1, XP_012967023.1
OG0000124	XP_023356116.1	XP_040592747.1
OG0000124	XP_012401572.1, XP_031814902.1, XP_031814901.1	XP_012974027.1
OG0000124	XP_003765650.2, XP_012401570.1, XP_003765651.2	XP_040589326.1
OG0000125	XP_012403745.2	XP_005087419.3
OG0000125	XP_012403748.1, XP_003768285.1, XP_003768278.1, XP_012403749.2	XP_021079408.2
OG0000127	XP_031798637.1, XP_012407463.1, XP_031798639.1, XP_031798638.1	XP_012978066.1
OG0000128	XP_031818477.1	XP_021080724.1, XP_012966127.1, XP_012966093.1, XP_012966126.1
OG0000130	XP_003764886.1, XP_012402225.2	XP_012981582.1, XP_005087320.2
OG0000130	XP_003766416.1, XP_012400883.1	XP_005074159.2, XP_012981599.1, XP_040587531.1
OG0000131	XP_003757913.1, XP_023350403.1, XP_003757914.1, XP_003759019.1, XP_003759243.2, XP_031805123.1	XP_005075791.1, XP_005075797.1, XP_005075792.1, XP_005075796.2, XP_005075793.1, XP_005075795.1, XP_005075835.1, XP_005075794.1
OG0000132	XP_003769562.3	XP_040584133.1, XP_012965653.1, XP_005065914.1, XP_040584136.1, XP_040584135.1, XP_012965654.1, XP_040584134.1
OG0000133	XP_031825207.1, XP_031825209.1, XP_031825208.1, XP_031825210.1, XP_031825206.1	XP_012974105.1, XP_040589323.1, XP_040589322.1, XP_040589324.1
OG0000134	XP_012406199.1	XP_040594363.1
OG0000135	XP_031802264.1	XP_040597461.1
OG0000136	XP_031802238.1, XP_023351771.1, XP_023351772.1, XP_023351769.1, XP_023351770.1	XP_040597418.1, XP_040597423.1, XP_040597422.1, XP_040597412.1, XP_040597417.1, XP_040597415.1, XP_040597425.1, XP_040597421.1, XP_040597420.1, XP_040597419.1, XP_040597424.1, XP_040597416.1, XP_040597414.1, XP_040597413.1
OG0000137	XP_003772721.1, XP_031795158.1, XP_003771745.1	XP_005083118.2, XP_012978225.3, XP_005083117.2, XP_005083116.2
OG0000138	XP_003764805.1	XP_012971726.1
OG0000138	XP_012400865.1, XP_003764819.1, XP_003764815.1	XP_040589663.1, XP_005074200.1
OG0000139	XP_031824297.1, XP_031824298.1, XP_031824296.1	XP_012966997.1, XP_040604645.1, XP_021081513.1, XP_021081512.1, XP_012966996.1, XP_012966991.1, XP_012966995.1, XP_012966994.1, XP_012966990.1
OG0000140	XP_031809161.1	XP_040589438.1
OG0000141	XP_003768910.2	XP_040603916.1, XP_005071934.2, XP_040603914.1, XP_040596859.1, XP_040603913.1, XP_040603915.1, XP_040603912.1, XP_005071936.2, XP_005071941.1, XP_005071937.2, XP_005071938.1, XP_005071940.1, XP_005071939.1
OG0000142	XP_012409297.1, XP_012409299.1, XP_031810413.1, XP_012409296.1, XP_031810414.1, XP_031810416.1, XP_031810415.1, XP_023349993.1	XP_005078668.1, XP_021087797.1, XP_012974904.1
OG0000143	XP_003757352.1	XP_040602219.1, XP_040600743.1
OG0000145	XP_031812834.1, XP_031812833.1, XP_031812832.1, XP_031812831.1, XP_031812829.1, XP_031812830.1	XP_040601513.1, XP_040601471.1, XP_040601448.1, XP_040601475.1, XP_040601461.1, XP_040601506.1, XP_040601487.1, XP_040601429.1, XP_040601454.1, XP_040601443.1, XP_040601434.1, XP_040601477.1, XP_040601494.1, XP_040601500.1
OG0000146	XP_023352157.1, XP_031802841.1, XP_031802843.1, XP_003760295.1, XP_031802842.1, XP_031802845.1, XP_031802844.1	XP_012965929.1, XP_021080520.1, XP_005066248.1
