Orthogroup	Sarcophilus_harrisii	Mus_musculus
OG0000003	XP_031824341.1	NP_783595.1
OG0000003	XP_003769950.1	NP_001104025.1, NP_001091448.2, NP_835505.1, NP_835508.1, NP_835502.1, NP_835506.1, NP_783596.1, NP_084358.1, NP_001380452.1
OG0000003	XP_003768757.1, XP_012404136.1, XP_003770776.2, XP_003770630.2, XP_031823293.1, XP_003770653.1	NP_835504.1
OG0000004	XP_031823292.1	NP_038577.1, NP_835584.1
OG0000004	XP_003769951.1	NP_835585.3
OG0000004	XP_012405154.1	NP_808356.1, NP_783593.1
OG0000005	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3	NP_667141.1, NP_667138.1, NP_666939.1, NP_666396.1, NP_666758.1, NP_667074.1, NP_666759.1, NP_666755.1, NP_666378.1, NP_996891.2, NP_666490.1, NP_666379.1
OG0000006	XP_031814102.1, XP_031814100.1	XP_036016100.1
OG0000007	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3	NP_598959.1, NP_598961.1, NP_598953.1, NP_598956.3, NP_598952.1, NP_598954.2, NP_598951.1, NP_598955.1, NP_001160207.1, NP_598991.2, NP_665841.1, NP_001165543.1, NP_598990.2, NP_665847.1, NP_598992.1, NP_001161012.1, NP_598989.1
OG0000008	XP_031806199.1	NP_001277279.1
OG0000008	XP_023362616.1, XP_031800616.1	NP_033592.2
OG0000008	XP_023361210.2, XP_031794448.1	NP_001408747.1, NP_067301.1, NP_001346164.1, NP_001038947.1, NP_001276518.1, NP_035888.2, NP_082406.2, XP_006504688.1, NP_766351.3, NP_001355257.1
OG0000009	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2	NP_001108547.1, XP_030105660.1, NP_034521.1, NP_034522.2, XP_011244602.1, NP_034520.2, NP_001355671.1, NP_001411251.1, NP_001411253.1, NP_001411252.1, NP_001411248.1, NP_075613.3, NP_001411249.1, NP_997531.1, NP_001355670.1, NP_001188389.1, NP_034524.3, NP_001137161.1, XP_017173254.1, NP_001357747.1, XP_006524864.1, NP_001074501.2, NP_001390291.1, XP_006523736.1, NP_034510.3
OG0000010	XP_031800130.1	XP_017174101.1, NP_667184.2
OG0000010	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1	NP_667181.1, NP_667177.2, NP_667176.1, NP_997451.1, NP_667002.2, NP_001011796.2, NP_001011529.1, NP_666485.1, NP_666687.1, XP_017173903.1, NP_666666.1, NP_667003.2, NP_666999.2, NP_667001.1, NP_667019.1, NP_667179.1, NP_667180.1, NP_667194.1
OG0000011	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3	NP_444373.1, NP_444370.1, NP_444357.1, NP_444375.2, NP_444376.1, NP_444374.2, NP_444358.2, NP_444371.3, NP_444372.2, NP_444360.1, NP_444364.3, NP_444362.3, NP_444369.3, NP_444368.1, NP_444363.1, NP_444361.1, NP_444365.1, NP_444359.3, NP_444366.3, NP_444367.1, NP_444377.3
OG0000016	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1	NP_034637.1, NP_996754.1, NP_032362.2, NP_032360.2, NP_996753.1, NP_996858.1, NP_796335.1, NP_996750.1, NP_034632.2, NP_034635.2, NP_032359.2, NP_034634.1, NP_034633.2, NP_796321.1
OG0000017	XP_012398581.1	NP_667071.1
OG0000017	XP_003761039.1, XP_003761040.1, XP_003761048.1, XP_012397839.1, XP_012397826.1, XP_012397828.1, XP_031804001.1, XP_003763139.2, XP_012397824.1, XP_012397821.1, XP_012397829.1, XP_031806752.1, XP_003763137.1, XP_012397822.1, XP_003761034.1, XP_003761036.2, XP_003761037.1, XP_031806708.1, XP_012399622.1, XP_012397827.1, XP_003763235.1, XP_031806810.1, XP_003763234.1, XP_012397825.1	NP_666450.2
OG0000017	XP_003775021.1	NP_001011863.1, NP_001349594.1, NP_035132.2
OG0000017	XP_003758428.1, XP_003758978.1, XP_003759273.1	NP_667152.1, NP_667153.1
OG0000017	XP_003758424.1, XP_031806205.1	NP_666404.1, NP_667217.2
OG0000018	XP_031821686.1, XP_031821685.1, XP_031822886.1	NP_032237.1
OG0000018	XP_023358477.2	NP_835734.2, NP_783584.1
OG0000018	XP_031823291.1	NP_835511.1
OG0000019	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2	NP_666953.1, NP_666661.2, NP_001011787.1, NP_001011803.2, NP_997034.1, NP_666474.1, NP_666514.2
OG0000019	XP_031805364.1, XP_003759311.2, XP_031805363.1, XP_003759310.2	NP_666513.2
OG0000019	XP_031805360.1	NP_666386.1, NP_666660.1
OG0000022	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1	NP_291065.3, NP_291072.1, NP_291073.1, NP_291067.1, NP_291068.2, NP_291070.1, NP_291069.1, NP_291071.1, NP_291066.1, NP_291062.1, NP_291063.1, NP_291064.1
OG0000023	XP_031819158.1	XP_036008858.1, NP_663556.1
OG0000024	XP_003764405.1	NP_666650.1, NP_667041.2, NP_666958.1, NP_666957.1
OG0000024	XP_003764380.1, XP_003764382.1, XP_003764383.1, XP_003764381.1	NP_667037.1, NP_666822.1, NP_001011826.1, NP_666820.2, NP_666651.1, NP_666824.1, NP_666825.1
OG0000026	XP_012397681.1, XP_012397680.1, XP_012397682.1	XP_006528255.1, NP_001020555.2, XP_006528244.1, NP_001020554.1, NP_001092772.1, XP_006528185.1, XP_006528203.1, NP_001075139.1, NP_780750.2, NP_001158103.1, NP_001158102.1, NP_001158104.1, NP_001158105.1, XP_006528604.1
OG0000027	XP_003765946.1	NP_033473.1
OG0000027	XP_023360032.2, XP_031820681.1	NP_033474.1
OG0000027	XP_023360426.1	NP_059075.1
OG0000027	XP_031804908.1	NP_033475.1, NP_033472.1
OG0000027	XP_012407220.2	NP_035783.1
OG0000028	XP_003774032.2	NP_001011841.1, NP_666786.1, NP_666906.1, NP_001011840.1, NP_666414.1, NP_666902.1, NP_666909.1, NP_666908.2, NP_666916.1
OG0000029	XP_003766414.1	NP_667211.2, NP_667212.2, NP_667210.2, NP_001011662.2, NP_667208.2, NP_667207.2, XP_030104978.1, NP_667213.2, NP_667209.1
OG0000031	XP_012404307.1	NP_667273.1
OG0000031	XP_003770492.1	NP_001011789.1
OG0000031	XP_003765338.1, XP_012400082.1, XP_031817645.1	NP_001011820.1, NP_666754.2, NP_666753.2, NP_997455.1
OG0000032	XP_031809273.1	NP_001167625.1, NP_031792.1, NP_001288188.1, NP_034087.2, NP_957695.1, NP_034091.1, NP_034089.1, NP_473413.1, NP_932785.1, NP_001288185.1, NP_031793.2, NP_619602.1, NP_034090.1, NP_619604.1
OG0000033	XP_012403541.1	NP_001355168.1, NP_598919.1, XP_030101751.1, NP_001346741.1
OG0000033	XP_023358276.2	NP_001162624.1, XP_017170043.1
OG0000035	XP_003756019.1	NP_033738.1
OG0000035	XP_003767872.1	NP_001258970.1
OG0000035	XP_031812848.1, XP_031812850.1	NP_031418.1
OG0000035	XP_003761602.1	NP_031419.1
OG0000035	XP_031821487.1	NP_033739.1
OG0000035	XP_003759426.1	NP_780706.1
OG0000035	XP_031805495.1	NP_033740.2
OG0000036	XP_031812610.1, XP_031812613.1, XP_031812612.1, XP_031812611.1, XP_003754959.1, XP_003754958.1, XP_031812533.1, XP_031812108.1	XP_017173651.1, NP_001001446.3
OG0000036	XP_003755303.1, XP_003755291.1	NP_082365.1, XP_006527418.1, NP_082467.2, NP_001011707.1, NP_034131.2, NP_598905.2, NP_996260.1, XP_006527235.1, NP_001360866.1, NP_034132.2, NP_031841.3, XP_011245537.1, NP_663474.2
OG0000039	XP_031802795.1	NP_076205.1
OG0000039	XP_003760265.2	NP_033476.1
OG0000039	XP_003768941.1	NP_035785.1
OG0000039	XP_003757584.1	NP_666228.1
OG0000039	XP_031803594.1	NP_033477.2
OG0000039	XP_031805964.1	NP_075768.1
OG0000039	XP_031807551.1	NP_001074440.1
OG0000039	XP_003760117.1	NP_080749.2
OG0000041	XP_023362197.2, XP_031799550.1	NP_001355135.1, NP_666478.1, NP_666477.1, NP_997037.2, NP_666803.1, NP_666802.2, NP_861539.2, XP_006499622.1, NP_666941.2
OG0000042	XP_031798147.1	NP_780740.2, NP_001030040.2, NP_991379.3, NP_997421.1, NP_991364.1, NP_001275730.1, NP_705744.2, NP_694707.2, NP_694735.2, NP_001371138.1, NP_001368930.1, NP_997423.1
OG0000044	XP_023353357.1	NP_783583.1, NP_835515.1, NP_291074.1, NP_835582.1, NP_783587.1
OG0000044	XP_012405112.1	NP_783585.1, NP_694813.1
OG0000044	XP_031801760.1	NP_783586.1, NP_835500.1
OG0000045	XP_003759383.1	NP_001093105.1, XP_006532475.1
OG0000045	XP_031821400.1	NP_001074719.1
OG0000045	XP_003759381.1	XP_036012291.1, NP_796343.2
OG0000045	XP_031821396.1	NP_001034634.2
OG0000045	XP_031821399.1	NP_034985.2
OG0000046	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1	NP_077764.2, XP_006509811.1, XP_006524022.1, NP_001094915.1, NP_570952.1, XP_036016649.1, NP_001093657.1, NP_001343232.1, NP_001095058.1, NP_001355664.1, XP_006524820.1, NP_598888.1, NP_001191262.1, XP_030105833.1, NP_001191263.1, NP_001344717.1, NP_071879.1, NP_001191265.1, NP_001191264.1
OG0000048	XP_012402396.1	NP_031701.3, XP_030098465.1, NP_036057.1, NP_001034274.1, NP_001106839.1, NP_031569.1, NP_001106840.1, XP_030098464.1
OG0000049	XP_003756342.1, XP_031808465.1	NP_065063.1, NP_787953.2, NP_035911.2, NP_001020551.3, XP_006509516.1, NP_001009548.1, XP_006509324.1, NP_034216.3
OG0000050	XP_023363165.1	NP_996786.1, NP_666838.1, NP_667151.1, NP_667157.1, NP_667159.1, XP_030107398.1, NP_667154.1, NP_667156.1, NP_667162.1, NP_667158.1, NP_666839.1, NP_667149.1, NP_667160.1, NP_667161.1, NP_667155.1
OG0000051	XP_003765783.1	NP_034061.2
OG0000051	XP_031813804.1	NP_031760.2, XP_036013028.1
OG0000051	XP_023356253.1, XP_003765782.2	NP_034062.3
OG0000051	XP_031813802.1, XP_031813803.1	XP_011246185.1, NP_444415.2, XP_011236954.1, NP_031761.1
OG0000051	XP_031800822.1	XP_006528759.1, NP_001156627.1
OG0000052	XP_023360233.1, XP_031794166.1	NP_001157093.1, XP_030104641.1, NP_776104.1, NP_001162131.1, NP_776147.1, NP_001156355.1, NP_001402939.1, NP_001402942.1, NP_001402940.1, NP_001402941.1, NP_001344825.1, XP_006520997.3, NP_001075439.1, NP_001344824.1, XP_011244068.1, NP_001158112.1, NP_083695.2, XP_006520340.1, NP_780600.1, NP_001128274.1, XP_011244013.1, NP_001020019.2
OG0000053	XP_031820019.1, XP_023357177.1, XP_031820025.1, XP_031815092.1, XP_031815091.1, XP_031820027.1, XP_031820028.1, XP_023354635.1, XP_023354634.1, XP_031820032.1, XP_031817123.1, XP_031820020.1, XP_031820023.1, XP_031820030.1, XP_023354638.1	XP_011244468.1, XP_006523200.2, XP_006523187.1, XP_006523182.1, NP_001365591.1, XP_006523197.1, XP_006523192.1, XP_006523195.1, XP_030105245.1, XP_030105227.1, XP_030105247.1, NP_001344928.1, XP_030105249.1, XP_030105240.1, XP_006523186.1, XP_006523199.1, XP_006523198.1, XP_006523183.1, XP_006523185.1, NP_034804.1, XP_006523188.1, XP_006523181.1, NP_001157087.1, XP_030105235.1, XP_006523193.1, XP_030105238.1
OG0000054	XP_012403485.2	XP_030108264.1, NP_001396544.1
OG0000055	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1	NP_667136.1, NP_001005488.1, NP_667135.1, NP_667137.1, NP_666985.1, NP_666986.1, NP_666706.1, NP_666947.1, NP_064687.2, NP_666984.1
OG0000056	XP_003773826.1, XP_003773836.1, XP_003773828.1	NP_997023.1, NP_666435.1, NP_001011761.1, NP_001011804.1, XP_011237863.1
OG0000057	XP_031825154.1	XP_017174374.2, XP_036011217.1, XP_036011223.1, NP_001013839.1, XP_006535938.1, XP_006535941.1, XP_006535657.1, NP_084470.1, XP_006529132.1, XP_036011762.1, XP_036018110.1, XP_011248127.1, NP_780606.3, XP_036011764.1, NP_001365625.1, XP_036018111.1, XP_036018108.1, XP_011246334.1, NP_796029.2, NP_998780.2, XP_036018112.1, XP_036018107.1, XP_006535927.1, XP_036018101.1, NP_001359160.1
OG0000058	XP_031815049.1, XP_031815044.1, XP_031815058.1	NP_001263422.1, XP_006511699.1, NP_001263411.1, NP_001263415.1, NP_001263414.1, NP_001263410.1, NP_034147.1, NP_001263421.1
OG0000060	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1	NP_064410.1, NP_001397567.1, NP_001397566.1, XP_036019016.1
OG0000061	XP_012409487.1	NP_032675.2, XP_011248383.1, NP_001074754.1, NP_032674.1, NP_001012323.1, XP_006538108.1, NP_001009550.1, NP_001034633.1, NP_001157998.1, NP_001334063.1, NP_001186935.1, NP_001334058.1, NP_001334060.1, NP_001186928.1, NP_001186933.1, NP_001186924.1, XP_003688833.1, XP_006537578.1, XP_006537546.1, XP_006537549.1, XP_030108871.1, XP_030108860.1, XP_030108849.1, XP_006537554.1, XP_006537544.1, XP_006537552.1, XP_006537543.1, XP_006537714.1, XP_006537550.1, XP_006537547.1, NP_001156483.1, NP_001156482.1, NP_112465.2, NP_001039015.1, NP_001128599.1, NP_001268908.1, NP_001186865.1, NP_001116119.1, NP_001334083.1, NP_001186262.1, XP_011248460.1, XP_011248449.1, XP_017174536.1
OG0000061	XP_031810834.1	NP_084235.1, XP_017174827.1
OG0000062	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1	NP_001186233.1, NP_001186234.1, XP_011242683.1, NP_033150.2
OG0000063	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1	NP_001163872.1, NP_848860.1, NP_001351820.1, XP_006515972.1, NP_001351821.1
OG0000064	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1	NP_001408048.1, NP_001408050.1, NP_001153028.1, NP_001408047.1, NP_001153030.1, NP_001408049.1, NP_001153029.1, NP_031669.3, NP_001153027.1, XP_006535686.1
OG0000065	XP_003762637.1	NP_033108.1, NP_001311462.1, XP_006511723.1, NP_001311463.1, XP_036010295.1, XP_036020498.1, XP_036016113.1, XP_036017248.1, XP_036015591.1, XP_030099758.1
OG0000066	XP_012402739.1, XP_003766943.1	XP_036018682.1, XP_036014184.1, XP_036021533.1, NP_001395918.1, NP_001395917.1, NP_062621.2, XP_036013010.1, XP_036011071.1
OG0000068	XP_031797906.1	NP_666899.1, NP_666897.2, NP_666526.1, NP_666896.2, NP_666898.2, NP_001011839.1, NP_666895.1
OG0000069	XP_012396962.1	NP_780707.1, XP_006519052.1, XP_011245927.1, NP_001093931.1, NP_694809.1, NP_081714.2, NP_001136409.1, NP_071718.1
OG0000070	XP_031825010.1	NP_001408084.1, NP_001408087.1, NP_001156869.1, NP_001408082.1, NP_001408085.1, NP_001408094.1, NP_001408096.1, NP_001408088.1, NP_034618.2, XP_006502857.1, NP_001408095.1, NP_001408093.1, NP_001408081.1, NP_001408086.1, NP_001033787.1, NP_001408091.1, NP_001408090.1
OG0000071	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1	NP_001028804.1, NP_001106186.1, NP_081096.3, NP_001347656.1, NP_001347657.1, NP_001257647.1, NP_079654.1, XP_030098981.1, NP_109619.1
OG0000072	XP_031812030.1, XP_023363032.1	XP_011245661.1, NP_082595.1
OG0000073	XP_031798269.1, XP_023362166.1, XP_012408407.1, XP_012408406.1, XP_023362165.1, XP_003773872.1, XP_012408111.1, XP_003773875.2, XP_031797725.1, XP_003774679.2	NP_667239.2, NP_997448.1, NP_666409.2
OG0000074	XP_031817868.1, XP_031817870.1, XP_031817869.1	NP_001290168.1, NP_001290160.1, NP_032061.1, NP_001399363.1, NP_001399368.1, NP_001399365.1, NP_001239483.1, NP_001399364.1, NP_001399362.1, NP_001399360.1, NP_001399366.1, NP_032060.2, NP_001399367.1, NP_001239481.1, NP_001399358.1, XP_006507427.1, NP_001239482.1, NP_001399357.1, NP_001399359.1, NP_001399361.1
OG0000076	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2	NP_291054.1, NP_291055.1, NP_291057.1, NP_291056.1, NP_291052.3, NP_291053.1
OG0000077	XP_031816276.1	NP_444493.1, NP_001346900.1, NP_666242.2, NP_932758.1
OG0000077	XP_003772367.1	NP_001034218.1
OG0000078	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1	NP_035521.1, NP_001345425.1, NP_001345844.1, XP_006513469.1
OG0000079	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1	NP_001103619.1, NP_001103620.1, XP_006532461.1, NP_001103618.1, NP_034924.3
OG0000080	XP_012408351.1, XP_012408350.1	NP_080916.1
OG0000082	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1	NP_001191963.1, NP_001191961.1
OG0000084	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1	NP_001357555.1, NP_001171137.2, NP_001034333.3, NP_001357556.1
OG0000085	XP_003763133.1, XP_003761019.2	NP_667036.2, NP_001011748.1, NP_666451.1
OG0000086	XP_003773922.1	XP_006499529.1, NP_001005342.1
OG0000086	XP_003762123.1	NP_001366222.1, NP_001366224.1, NP_001366223.1, NP_079623.1, NP_081151.2
OG0000086	XP_031804914.1	NP_001005341.1
OG0000088	XP_023354622.1	NP_001258622.1, NP_001258624.1, NP_001258620.1, NP_062638.1, NP_001034145.1, NP_001258618.1, XP_006523005.1, NP_001258619.1, NP_001034146.1, NP_001258623.1, NP_001258621.1, NP_001258616.1
OG0000089	XP_012408110.1, XP_003773886.1	NP_001011834.1, NP_666851.2, NP_666850.1, NP_666848.1, NP_666871.2, NP_667047.1, NP_666849.1, NP_666869.2, NP_996559.1, NP_666405.1
OG0000090	XP_031805765.1	NP_001390709.1, NP_001390712.1, NP_001390707.1, NP_001390715.1, NP_001390708.1, NP_001390710.1, NP_001390711.1, NP_001390714.1, NP_001390694.1, NP_001390699.1, NP_001390696.1, NP_001390693.1, NP_001390698.1, NP_001390695.1, NP_001390697.1, NP_001390701.1, NP_001390700.1, NP_001390705.1, NP_061370.2, NP_001390716.1, NP_001390719.1, NP_001390718.1, NP_001390713.1, NP_001185823.1, NP_001390717.1, XP_017168066.1
OG0000092	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1	NP_666861.2, NP_666406.2, NP_666743.1, NP_997449.1, NP_666742.2
OG0000093	XP_031797313.1	XP_017176645.1
OG0000095	XP_003757317.1	NP_032657.1
OG0000095	XP_031810396.1	NP_038631.1
OG0000096	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1	NP_035589.1, NP_683744.2, NP_001369781.1, XP_036014126.1, NP_035584.1, XP_006516684.1, NP_001157590.1, NP_033280.1, NP_001230121.1, XP_011242601.1, NP_001157589.1
OG0000098	XP_012408191.2, XP_012408426.2, XP_031799528.1, XP_031797268.1, XP_031797270.1, XP_031799526.1, XP_031799525.1, XP_031799524.1, XP_012408215.2	NP_001372143.1
OG0000098	XP_003767037.2, XP_031817571.1, XP_031817575.1, XP_031817572.1, XP_031819190.1, XP_031819176.1, XP_031819183.1, XP_023354600.1, XP_031813162.1, XP_031813161.1, XP_031819174.1, XP_031805056.1, XP_031813018.1, XP_031804923.1, XP_031812979.1, XP_031805027.1, XP_023354496.2, XP_031805025.1, XP_012399581.1, XP_031805024.1, XP_031805004.1, XP_031804995.1, XP_031804987.1, XP_012401290.1, XP_031817561.1	NP_001372110.1, NP_001098527.1
OG0000099	XP_012409388.1	XP_006535548.1, NP_001075156.1, XP_006530155.1, NP_001070147.1
OG0000099	XP_031805182.1, XP_031810473.1	NP_001277948.1, XP_036015585.1
OG0000100	XP_031818873.1	XP_017175466.1, NP_001407896.1, NP_001407897.1, NP_001407899.1, NP_001407898.1, NP_001407900.1, NP_001153489.1, NP_032168.1, NP_001153488.1
OG0000100	XP_031821197.1, XP_031821198.1, XP_003768867.1	NP_034442.1, XP_006504616.1
OG0000101	XP_031809394.1	NP_001334416.1, NP_063921.1, NP_001300646.1, NP_001300645.1
OG0000102	XP_031799036.1, XP_031799035.1	NP_690024.1, NP_705826.1
OG0000103	XP_003772476.1	NP_001013807.2, NP_038805.2, NP_081858.2, NP_598827.1, XP_030102973.1, NP_598833.1, XP_006516528.1, NP_001298061.1, NP_085114.1, NP_084177.2
OG0000104	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1	NP_001276422.1, NP_001276421.1, NP_061204.3, NP_001342332.1, XP_006501782.1, NP_663520.2, NP_001076781.1, XP_036021572.1, NP_001411600.1, NP_083785.3, XP_011247895.1, NP_001034735.2, NP_919317.2, XP_011247687.1
OG0000105	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1	XP_036011259.1
OG0000106	XP_012395236.2	NP_075017.2
OG0000106	XP_031796163.1	NP_058034.1
OG0000106	XP_003761065.1	NP_001371255.1
OG0000107	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1	NP_667076.1, NP_001011785.1, NP_001011534.1, NP_666646.1, NP_666645.1, XP_006499612.1, NP_666644.1
OG0000108	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1	NP_001408428.1, NP_001408427.1, NP_001153191.1, NP_035021.1, NP_001408425.1, NP_001408424.1, NP_001408426.1, NP_001408423.1, NP_001153189.1, NP_001153190.1, NP_001408431.1, NP_001408429.1, NP_001408430.1
OG0000109	XP_003763301.1	NP_062348.1, XP_006537567.1, NP_062347.2, NP_062349.1, NP_062346.1
OG0000110	XP_023358533.1	NP_001300856.1, NP_031519.1, NP_001300854.1, NP_001300855.1, NP_033844.1, XP_017169720.1, NP_001278060.1, NP_001278061.1, XP_006532975.1, NP_660119.1, NP_001191181.1
OG0000114	XP_003766021.1	NP_658906.1
OG0000114	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1	NP_031802.2, NP_031803.3, NP_081286.1, NP_031800.1, NP_001076042.1
OG0000115	XP_031793850.1, XP_031793851.1, XP_031793853.1	NP_001342439.1
OG0000115	XP_031816220.1	NP_001123880.1
OG0000116	XP_031809233.1	NP_064296.1
OG0000117	XP_003765335.1, XP_003766613.1, XP_012402410.2, XP_012402716.2, XP_031813166.1, XP_031813167.1, XP_003765333.2, XP_003766611.1, XP_012402411.1, XP_031817647.1, XP_031813164.1, XP_003765336.1, XP_003766610.2	NP_001011767.1, NP_001011752.1, NP_001011520.2, NP_997601.1, NP_666829.2, NP_666831.2, NP_667062.2
OG0000118	XP_031796389.1	NP_034582.1, XP_011239527.1
OG0000120	XP_012398224.1	NP_032912.2
OG0000121	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1	NP_001351185.1, NP_766341.4, XP_006509689.1, NP_001239552.1
OG0000122	XP_031819649.1	NP_001277560.1
OG0000122	XP_031794144.1, XP_023357601.2, XP_031804926.1, XP_031793147.1	NP_001276655.1
