Orthogroup	Sarcophilus_harrisii	Urocitellus_parryii
OG0000039	XP_031807551.1	XP_026268040.1
OG0000039	XP_003760117.1	XP_026271275.1
OG0000041	XP_023362197.2, XP_031799550.1	XP_026237394.1, XP_026237402.1, XP_026238480.1, XP_026237390.1, XP_026237391.1, XP_026237894.1, XP_026237395.1
OG0000042	XP_031798147.1	XP_026261066.1, XP_026261070.1, XP_026261068.1, XP_026261071.1, XP_026261072.1, XP_026261067.1, XP_026261065.1, XP_026270261.1, XP_026270259.1, XP_026270260.1, XP_026270263.1, XP_026270262.1, XP_026261086.1, XP_026270257.1, XP_026270258.1
OG0000044	XP_023353357.1	XP_026263467.1, XP_026270368.1, XP_026263468.1
OG0000044	XP_031801760.1	XP_026238635.1
OG0000044	XP_023359833.2	XP_026237651.1
OG0000045	XP_003759383.1	XP_026246245.1
OG0000045	XP_031821400.1	XP_026246339.1
OG0000045	XP_003759381.1	XP_026246340.1
OG0000045	XP_031821396.1	XP_026246333.1, XP_026246335.1, XP_026246334.1
OG0000045	XP_031821399.1	XP_026246336.1
OG0000046	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1	XP_026245753.1, XP_026245678.1
OG0000048	XP_012402396.1	XP_026238478.1, XP_026259478.1, XP_026238476.1, XP_026259481.1, XP_026238531.1
OG0000049	XP_003756342.1, XP_031808465.1	XP_026238013.1, XP_026258464.1, XP_026238012.1, XP_026245541.1, XP_026245546.1, XP_026245252.1, XP_026245254.1, XP_026245258.1, XP_026245255.1, XP_026245256.1, XP_026245259.1
OG0000050	XP_023363165.1	XP_026242114.1, XP_026242112.1, XP_026242226.1, XP_026242282.1, XP_026242221.1
OG0000051	XP_003765783.1	XP_026255320.1
OG0000051	XP_031813804.1	XP_026265318.1
OG0000051	XP_023356253.1, XP_003765782.2	XP_026255301.1
OG0000051	XP_031813802.1, XP_031813803.1	XP_026258432.1, XP_026265330.1
OG0000051	XP_031800822.1	XP_026258425.1
OG0000052	XP_023360233.1, XP_031794166.1	XP_026265990.1, XP_026266000.1
OG0000053	XP_031820019.1, XP_023357177.1, XP_031820025.1, XP_031815092.1, XP_031815091.1, XP_031820027.1, XP_031820028.1, XP_023354635.1, XP_023354634.1, XP_031820032.1, XP_031817123.1, XP_031820020.1, XP_031820023.1, XP_031820030.1, XP_023354638.1	XP_026249354.1, XP_026236552.1, XP_026238551.1, XP_026236551.1, XP_026249355.1, XP_026236549.1, XP_026249358.1, XP_026249357.1, XP_026236550.1, XP_026236548.1, XP_026249356.1, XP_026236547.1, XP_026236541.1, XP_026249293.1
OG0000054	XP_012403485.2	XP_026270998.1, XP_026271004.1, XP_026238394.1, XP_026238268.1, XP_026237669.1, XP_026237665.1, XP_026237668.1, XP_026238116.1, XP_026238118.1, XP_026236609.1, XP_026237666.1, XP_026236607.1, XP_026236611.1, XP_026236602.1, XP_026236612.1
OG0000056	XP_003773826.1, XP_003773836.1, XP_003773828.1	XP_026237827.1, XP_026237836.1, XP_026235023.1, XP_026235025.1, XP_026237828.1, XP_026237423.1, XP_026237835.1, XP_026237832.1, XP_026235015.1, XP_026234998.1
OG0000057	XP_031825154.1	XP_026252071.1, XP_026252070.1, XP_026252069.1, XP_026252063.1, XP_026252061.1, XP_026252062.1
OG0000058	XP_031815049.1, XP_031815044.1, XP_031815058.1	XP_026239838.1, XP_026239844.1, XP_026239836.1, XP_026239840.1, XP_026239843.1, XP_026239837.1, XP_026239835.1, XP_026239839.1, XP_026239834.1, XP_026239841.1, XP_026239833.1, XP_026239845.1, XP_026239842.1
OG0000060	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1	XP_026267874.1
OG0000061	XP_031810834.1	XP_026251389.1
OG0000062	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1	XP_026240359.1
OG0000063	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1	XP_026240951.1, XP_026240950.1
OG0000064	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1	XP_026240727.1, XP_026240720.1, XP_026240726.1, XP_026240723.1, XP_026240721.1, XP_026240722.1, XP_026240725.1, XP_026240724.1, XP_026240719.1, XP_026240718.1
OG0000065	XP_003762637.1	XP_026239723.1, XP_026239722.1, XP_026239720.1, XP_026239721.1
OG0000066	XP_012402739.1, XP_003766943.1	XP_026244187.1
OG0000068	XP_031797906.1	XP_026267428.1, XP_026267431.1, XP_026267408.1, XP_026267409.1
OG0000069	XP_012396962.1	XP_026267381.1, XP_026259294.1, XP_026259295.1, XP_026259328.1, XP_026257779.1, XP_026250043.1
OG0000070	XP_031825010.1	XP_026238079.1
OG0000071	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1	XP_026235182.1
OG0000072	XP_031812030.1, XP_023363032.1	XP_026250638.1
OG0000073	XP_031798269.1, XP_023362166.1, XP_012408407.1, XP_012408406.1, XP_023362165.1, XP_003773872.1, XP_012408111.1, XP_003773875.2, XP_031797725.1, XP_003774679.2	XP_026235392.1, XP_026235393.1, XP_026237892.1
OG0000074	XP_031817868.1, XP_031817870.1, XP_031817869.1	XP_026256774.1, XP_026256773.1, XP_026256772.1
OG0000076	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2	XP_026240269.1, XP_026240265.1, XP_026240153.1, XP_026240261.1, XP_026240263.1
OG0000077	XP_031816276.1	XP_026247781.1
OG0000077	XP_003772367.1	XP_026254605.1
OG0000078	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1	XP_026248742.1, XP_026248740.1, XP_026248741.1, XP_026248739.1, XP_026248743.1
OG0000079	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1	XP_026237408.1, XP_026237407.1, XP_026237406.1, XP_026237410.1, XP_026237409.1
OG0000082	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1	XP_026237577.1
OG0000083	XP_031804876.1	XP_026237839.1, XP_026237843.1, XP_026237841.1, XP_026237844.1, XP_026237840.1, XP_026237849.1
OG0000084	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1	XP_026249387.1, XP_026249389.1, XP_026249390.1, XP_026249386.1, XP_026249388.1
OG0000085	XP_003763133.1, XP_003761019.2	XP_026237062.1, XP_026237047.1, XP_026237052.1, XP_026237043.1, XP_026237051.1, XP_026237053.1, XP_026238257.1, XP_026237049.1, XP_026237058.1
OG0000086	XP_003773922.1	XP_026262357.1
OG0000086	XP_003762123.1	XP_026236713.1
OG0000086	XP_031804914.1	XP_026257517.1
OG0000088	XP_023354622.1	XP_026255196.1
OG0000089	XP_012408110.1, XP_003773886.1	XP_026235390.1, XP_026235380.1, XP_026235385.1, XP_026235383.1, XP_026235386.1, XP_026235382.1, XP_026235379.1, XP_026235387.1, XP_026235375.1
OG0000090	XP_031805765.1	XP_026251494.1
OG0000092	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1	XP_026235362.1, XP_026235364.1, XP_026235361.1, XP_026235366.1, XP_026235365.1, XP_026235360.1, XP_026235389.1
OG0000093	XP_031797313.1	XP_026261477.1
OG0000095	XP_003757317.1	XP_026251505.1
OG0000096	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1	XP_026263269.1, XP_026263264.1, XP_026263266.1, XP_026263267.1, XP_026263268.1, XP_026238210.1, XP_026254701.1, XP_026237445.1
OG0000098	XP_012408191.2, XP_012408426.2, XP_031799528.1, XP_031797268.1, XP_031797270.1, XP_031799526.1, XP_031799525.1, XP_031799524.1, XP_012408215.2	XP_026267640.1
OG0000098	XP_003767037.2, XP_031817571.1, XP_031817575.1, XP_031817572.1, XP_031819190.1, XP_031819176.1, XP_031819183.1, XP_023354600.1, XP_031813162.1, XP_031813161.1, XP_031819174.1, XP_031805056.1, XP_031813018.1, XP_031804923.1, XP_031812979.1, XP_031805027.1, XP_023354496.2, XP_031805025.1, XP_012399581.1, XP_031805024.1, XP_031805004.1, XP_031804995.1, XP_031804987.1, XP_012401290.1, XP_031817561.1	XP_026270717.1, XP_026270722.1
OG0000099	XP_012409388.1	XP_026265511.1
OG0000099	XP_031805182.1, XP_031810473.1	XP_026237588.1
OG0000100	XP_031818873.1	XP_026270649.1, XP_026270648.1, XP_026270647.1, XP_026270646.1
OG0000100	XP_031821197.1, XP_031821198.1, XP_003768867.1	XP_026268919.1
OG0000101	XP_031809394.1	XP_026270063.1, XP_026266268.1, XP_026266270.1
OG0000102	XP_031799036.1, XP_031799035.1	XP_026236438.1, XP_026236437.1, XP_026236436.1
OG0000103	XP_003772476.1	XP_026267848.1, XP_026267862.1, XP_026269364.1, XP_026268481.1
OG0000104	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1	XP_026259115.1, XP_026237291.1, XP_026237292.1, XP_026238452.1
OG0000105	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1	XP_026251880.1
OG0000106	XP_012395236.2	XP_026255265.1
OG0000106	XP_031797249.1	XP_026235236.1
OG0000106	XP_031796163.1	XP_026256155.1
OG0000106	XP_003761065.1	XP_026241779.1
OG0000107	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1	XP_026262387.1, XP_026262379.1, XP_026262378.1
OG0000108	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1	XP_026270539.1
OG0000109	XP_003763327.3	XP_026235300.1
OG0000109	XP_003763301.1	XP_026235087.1, XP_026235073.1, XP_026235041.1, XP_026235048.1
OG0000110	XP_023358533.1	XP_026246377.1, XP_026246378.1, XP_026246357.1, XP_026246356.1, XP_026246355.1, XP_026246390.1
OG0000114	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1	XP_026250385.1, XP_026259154.1
OG0000115	XP_031793850.1, XP_031793851.1, XP_031793853.1	XP_026262880.1
OG0000116	XP_031809233.1	XP_026257026.1
OG0000116	XP_031805759.1	XP_026266433.1
OG0000116	XP_031812821.1	XP_026249009.1
OG0000117	XP_003765335.1, XP_003766613.1, XP_012402410.2, XP_012402716.2, XP_031813166.1, XP_031813167.1, XP_003765333.2, XP_003766611.1, XP_012402411.1, XP_031817647.1, XP_031813164.1, XP_003765336.1, XP_003766610.2	XP_026238628.1, XP_026238035.1, XP_026238034.1, XP_026238036.1, XP_026238209.1, XP_026236575.1
OG0000118	XP_031796389.1	XP_026256027.1, XP_026256028.1, XP_026256029.1
OG0000120	XP_012398224.1	XP_026259957.1
OG0000121	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1	XP_026251634.1
OG0000122	XP_031819649.1	XP_026247074.1
OG0000122	XP_031794144.1, XP_023357601.2, XP_031804926.1, XP_031793147.1	XP_026259024.1
OG0000123	XP_003758421.3, XP_031805104.1, XP_003758419.2	XP_026249709.1, XP_026249706.1
OG0000124	XP_023356116.1	XP_026266929.1
OG0000124	XP_012401572.1, XP_031814902.1, XP_031814901.1	XP_026237609.1
OG0000124	XP_012401570.1	XP_026237284.1
OG0000124	XP_003765651.2	XP_026235843.1
OG0000125	XP_012403745.2	XP_026242669.1
OG0000125	XP_012403748.1, XP_003768285.1, XP_003768278.1, XP_012403749.2	XP_026242611.1
OG0000127	XP_031798637.1, XP_012407463.1, XP_031798639.1, XP_031798638.1	XP_026258986.1
OG0000128	XP_031818477.1	XP_026263488.1, XP_026263508.1
OG0000130	XP_003764886.1, XP_012402225.2	XP_026256846.1, XP_026256845.1
OG0000130	XP_003766416.1, XP_012400883.1	XP_026256705.1
OG0000131	XP_003757913.1, XP_023350403.1, XP_003757914.1, XP_003759019.1, XP_003759243.2, XP_031805123.1	XP_026236795.1, XP_026236791.1, XP_026236793.1
OG0000132	XP_003769562.3	XP_026253416.1, XP_026253412.1, XP_026253414.1, XP_026253415.1, XP_026253413.1, XP_026253410.1, XP_026253411.1
OG0000133	XP_031825207.1, XP_031825209.1, XP_031825208.1, XP_031825210.1, XP_031825206.1	XP_026265758.1, XP_026265757.1
OG0000134	XP_012406199.1	XP_026259066.1
OG0000135	XP_031802264.1	XP_026250197.1
OG0000136	XP_031802238.1, XP_023351771.1, XP_023351772.1, XP_023351769.1, XP_023351770.1	XP_026264277.1, XP_026264276.1, XP_026264275.1
OG0000137	XP_003772721.1, XP_031795158.1, XP_003771745.1	XP_026265173.1, XP_026265174.1, XP_026265175.1
OG0000138	XP_003764805.1	XP_026256886.1
OG0000138	XP_012400865.1, XP_003764819.1, XP_003764815.1	XP_026256847.1, XP_026256881.1, XP_026256859.1
OG0000139	XP_031824297.1, XP_031824298.1, XP_031824296.1	XP_026236254.1, XP_026236259.1, XP_026236250.1, XP_026236256.1, XP_026236258.1, XP_026236255.1, XP_026236249.1, XP_026236251.1, XP_026236257.1, XP_026236253.1
OG0000140	XP_031809161.1	XP_026257802.1
OG0000141	XP_003768910.2	XP_026268094.1, XP_026237419.1, XP_026238596.1, XP_026237467.1, XP_026237468.1, XP_026237463.1, XP_026237466.1, XP_026237469.1, XP_026238377.1, XP_026237464.1
OG0000142	XP_012409297.1, XP_012409299.1, XP_031810413.1, XP_012409296.1, XP_031810414.1, XP_031810416.1, XP_031810415.1, XP_023349993.1	XP_026251487.1
OG0000143	XP_003757352.1	XP_026267021.1
OG0000145	XP_031812834.1, XP_031812833.1, XP_031812832.1, XP_031812831.1, XP_031812829.1, XP_031812830.1	XP_026264744.1, XP_026264745.1, XP_026264742.1, XP_026264743.1
OG0000146	XP_023352157.1, XP_031802841.1, XP_031802843.1, XP_003760295.1, XP_031802842.1, XP_031802845.1, XP_031802844.1	XP_026238756.1, XP_026238746.1, XP_026238765.1, XP_026238772.1
OG0000147	XP_031805537.1, XP_031805539.1, XP_031805536.1, XP_012396338.3, XP_031805534.1, XP_031805059.1, XP_012396336.1	XP_026251870.1, XP_026251867.1
OG0000148	XP_012399621.1, XP_003755833.1	XP_026267821.1, XP_026267807.1, XP_026267806.1
OG0000149	XP_003767906.1	XP_026263723.1
OG0000149	XP_031823223.1	XP_026249891.1
OG0000149	XP_031822713.1, XP_031822717.1, XP_031822714.1	XP_026263726.1
OG0000150	XP_003758442.1, XP_023350800.1, XP_031805099.1, XP_003758443.1	XP_026238430.1, XP_026237897.1, XP_026237898.1, XP_026237900.1, XP_026237899.1, XP_026237901.1, XP_026237903.1, XP_026238356.1, XP_026248438.1, XP_026269077.1, XP_026237896.1
OG0000151	XP_031823447.1, XP_031823446.1, XP_003770041.1	XP_026249932.1
OG0000153	XP_012406423.1, XP_023360058.1, XP_012405907.1, XP_003770946.1	XP_026236692.1, XP_026236697.1, XP_026236693.1, XP_026238092.1, XP_026238091.1, XP_026238093.1, XP_026237755.1
OG0000157	XP_031807643.1, XP_031807644.1	XP_026269250.1
OG0000157	XP_031820484.1, XP_003769255.1	XP_026249807.1
OG0000158	XP_003768068.1	XP_026268724.1
OG0000159	XP_003766412.1, XP_003766858.1	XP_026266848.1, XP_026266849.1, XP_026266846.1, XP_026266842.1
OG0000160	XP_023358024.1	XP_026268037.1
OG0000161	XP_003759113.1	XP_026267513.1, XP_026238663.1, XP_026267512.1
OG0000163	XP_012402414.1	XP_026248253.1
OG0000163	XP_003766617.1	XP_026248265.1, XP_026248287.1
OG0000164	XP_031802108.1	XP_026253089.1, XP_026253091.1
OG0000164	XP_003759749.1, XP_031802107.1	XP_026253092.1
OG0000165	XP_031795620.1, XP_031795619.1, XP_031795621.1, XP_031795617.1	XP_026258117.1, XP_026258109.1, XP_026258115.1, XP_026258113.1, XP_026258116.1, XP_026258114.1, XP_026258111.1, XP_026258110.1, XP_026258108.1, XP_026258112.1, XP_026258107.1
OG0000166	XP_012396468.1, XP_023351503.1, XP_031824634.1, XP_031824649.1, XP_023351504.1	XP_026250823.1, XP_026250824.1
OG0000167	XP_031798267.1, XP_031798272.1, XP_031798263.1, XP_031798266.1	XP_026258272.1, XP_026258273.1
OG0000168	XP_003768586.1	XP_026267489.1
OG0000170	XP_003773616.1	XP_026254811.1, XP_026254785.1, XP_026254784.1
OG0000171	XP_003769499.1	XP_026249924.1
OG0000172	XP_031802261.1	XP_026250205.1
OG0000172	XP_031793454.1	XP_026255734.1
OG0000172	XP_012409550.1, XP_023350190.1	XP_026269299.1
OG0000174	XP_012405557.1	XP_026235980.1, XP_026235982.1, XP_026235981.1
OG0000175	XP_003773749.1	XP_026260198.1
OG0000176	XP_023362209.1, XP_031797709.1, XP_031797711.1, XP_023362208.1	XP_026262373.1, XP_026262355.1
OG0000177	XP_031811873.1, XP_031811875.1, XP_031811871.1, XP_031811870.1, XP_031811872.1, XP_031811876.1, XP_031811868.1, XP_031811869.1, XP_031811867.1	XP_026240024.1, XP_026240023.1
OG0000178	XP_031813300.1, XP_031813299.1, XP_031813294.1, XP_031813298.1, XP_031813297.1, XP_031813296.1, XP_031813295.1	XP_026245161.1
OG0000179	XP_023355787.2, XP_012401166.1	XP_026236812.1
OG0000180	XP_012397749.1	XP_026267620.1, XP_026270750.1, XP_026270742.1, XP_026270714.1
OG0000182	XP_031792735.1	XP_026270826.1, XP_026270821.1
OG0000183	XP_031798882.1	XP_026254865.1
OG0000184	XP_031813724.1, XP_031800734.1	XP_026240862.1
OG0000188	XP_003764834.1	XP_026256750.1, XP_026256706.1
OG0000188	XP_003766999.1	XP_026256763.1
OG0000189	XP_003774897.1, XP_031797813.1	XP_026236650.1, XP_026270818.1
OG0000190	XP_031796825.1, XP_031796827.1, XP_031796826.1	XP_026265954.1
