Orthogroup	Sarcophilus_harrisii	Ictidomys_tridecemlineatus
OG0000009	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2	XP_040138269.1, XP_021591414.1, XP_040138266.1, XP_040138267.1, XP_005339080.1, XP_040138268.1, XP_005339081.1, XP_040139563.1, XP_040137927.1, XP_040137941.1, XP_040138201.1, XP_040138200.1, XP_040138192.1, XP_021577268.2, XP_021591274.1, XP_040138191.1, XP_005342513.1, XP_040138206.1, XP_040138208.1, XP_040138373.1
OG0000010	XP_031800130.1	XP_021585329.1
OG0000010	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1	XP_013216063.1, XP_005341590.1, XP_005330122.1, XP_005330123.1, XP_005330009.1, XP_005330125.1, XP_005330126.1, XP_005330124.1, XP_005341591.1, XP_005330010.1, XP_005330129.3, XP_005341582.1, XP_005330008.1
OG0000011	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3	XP_005324350.2, XP_013213581.1, XP_005324322.1, XP_005324316.1, XP_005324315.2, XP_013213584.1, XP_005324317.2, XP_013213578.3, XP_013213630.1, XP_021581395.1, XP_013213560.1, XP_005324320.1, XP_021581335.1
OG0000016	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1	XP_013218640.1, XP_013218639.1, XP_013218641.1, XP_005335969.1, XP_005335970.1, XP_005335982.1, XP_005335971.1, XP_013218637.1, XP_013218636.1
OG0000017	XP_003761039.1, XP_003761040.1, XP_003761048.1, XP_012397839.1, XP_012397826.1, XP_012397828.1, XP_031804001.1, XP_003763139.2, XP_012397824.1, XP_012397821.1, XP_012397829.1, XP_031806752.1, XP_003763137.1, XP_012397822.1, XP_003761034.1, XP_003761036.2, XP_003761037.1, XP_031806708.1, XP_012399622.1, XP_012397827.1, XP_003763235.1, XP_031806810.1, XP_003763234.1, XP_012397825.1	XP_021587110.1
OG0000017	XP_003775021.1	XP_013215216.2
OG0000017	XP_003758424.1, XP_031806205.1	XP_005319549.1
OG0000018	XP_031821686.1, XP_031821685.1, XP_031822886.1	XP_005332630.1
OG0000018	XP_023358477.2	XP_005331196.1
OG0000019	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2	XP_005337209.1, XP_005337210.1, XP_005342124.1, XP_005337214.1, XP_005337215.1, XP_040144992.1
OG0000019	XP_031805364.1, XP_003759311.2, XP_031805363.1, XP_003759310.2	XP_005337230.1
OG0000019	XP_031805360.1	XP_005337206.1, XP_005337211.1, XP_005337213.1, XP_005337212.1, XP_005337207.1
OG0000021	XP_012404626.1, XP_003769277.1, XP_003769271.1, XP_003769272.1, XP_031820467.1, XP_003769273.1	XP_013221200.1, XP_005341493.2, XP_013221937.1, XP_005341492.1, XP_005342426.1, XP_005342785.1
OG0000022	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1	XP_013213574.1, XP_013213552.1, XP_005324326.2, XP_013213585.2, XP_021581332.1, XP_013213586.1, XP_013213555.1, XP_005324347.1
OG0000023	XP_031819147.1, XP_031817546.1, XP_031817545.1	XP_040135787.1
OG0000024	XP_003764405.1	XP_005339563.1, XP_013215405.1, XP_013220287.1
OG0000024	XP_003764380.1, XP_003764382.1, XP_003764383.1, XP_003764381.1	XP_005339562.1, XP_013220292.1, XP_005339559.1, XP_005339605.1, XP_005339604.1, XP_013220289.1, XP_005339611.1, XP_005339609.1, XP_013220297.1, XP_005339612.1
OG0000026	XP_012397681.1, XP_012397680.1, XP_012397682.1	XP_040142789.1, XP_040142791.1, XP_040142780.1, XP_040142788.1, XP_040142787.1, XP_040139817.1, XP_040139796.1, XP_040139827.1, XP_040139822.1, XP_021580893.1, XP_021580898.1, XP_040139802.1, XP_040139784.1, XP_040139812.1, XP_021580894.1, XP_021580895.1
OG0000027	XP_003765946.1	XP_005330561.1
OG0000027	XP_023360032.2, XP_031820681.1	XP_005324967.1
OG0000027	XP_003767621.1	XP_040133416.1
OG0000027	XP_031804908.1	XP_005334559.2
OG0000027	XP_012401810.1	XP_005330562.1
OG0000027	XP_031793822.1, XP_012407220.2	XP_005324965.1
OG0000028	XP_003774032.2	XP_013216720.1, XP_013216706.1, XP_013216725.1, XP_013216733.1, XP_013216705.1, XP_013216734.1, XP_013216727.1, XP_005331624.1, XP_005331721.1, XP_013216726.1, XP_013216740.1, XP_013216744.1, XP_013216722.1, XP_013216731.1, XP_005331720.1, XP_013216730.1, XP_013216721.2, XP_013216708.1, XP_005331676.1, XP_013216707.1, XP_005331626.1, XP_013216709.1, XP_005331724.1, XP_005331725.1, XP_005331715.1, XP_005331616.1, XP_005331617.1, XP_013216742.1, XP_005331627.1, XP_005331726.1, XP_005331628.1, XP_005331629.1
OG0000029	XP_003766414.1	XP_040126529.1, XP_013221811.1, XP_005342657.1, XP_005342694.1, XP_005342692.1, XP_013221849.1, XP_013221850.1
OG0000031	XP_012404307.1	XP_005338901.1, XP_005342398.1
OG0000031	XP_003770492.1	XP_005341354.1
OG0000031	XP_003765338.1, XP_012400082.1, XP_031817645.1	XP_005342610.1, XP_005341277.1, XP_005341276.1, XP_005338884.1, XP_005337155.1, XP_005328675.1, XP_005341500.1
OG0000032	XP_031809276.1, XP_031809275.1, XP_031809269.1, XP_031809268.1, XP_012406642.2, XP_031809277.1, XP_031805170.1, XP_031805168.1	XP_005324354.2, XP_040128326.1, XP_040128232.1, XP_013213561.2, XP_005324357.2, XP_005343015.3, XP_040128235.1
OG0000032	XP_031809273.1	XP_021581396.1
OG0000035	XP_003756019.1	XP_005337186.1
OG0000035	XP_003767872.1	XP_005320444.1, XP_005320443.1
OG0000035	XP_031812848.1, XP_031812850.1	XP_005339240.1
OG0000035	XP_003761602.1	XP_005340097.1
OG0000035	XP_031821487.1	XP_005332707.2
OG0000035	XP_003759426.1	XP_005319663.1
OG0000035	XP_031805495.1	XP_005329403.1, XP_013215822.1
OG0000036	XP_003755303.1, XP_003755291.1	XP_005333768.1, XP_005333769.1, XP_021587598.1, XP_013217590.1, XP_021587606.1, XP_040128500.1, XP_005335361.2, XP_040128499.1, XP_005335356.1, XP_005335354.1
OG0000039	XP_031802795.1	XP_005327562.1
OG0000039	XP_003760265.2	XP_005327565.1
OG0000039	XP_003768941.1	XP_005341100.1
OG0000039	XP_003757584.1	XP_005336936.1
OG0000039	XP_031803594.1	XP_005332148.1
OG0000039	XP_031805964.1	XP_005335464.1
OG0000039	XP_031807551.1	XP_005327158.1
OG0000041	XP_023362197.2, XP_031799550.1	XP_013221691.1, XP_013221690.1, XP_013221696.1, XP_013221689.1, XP_005342624.1, XP_013221697.1, XP_013221693.1, XP_013221692.1, XP_013221787.1, XP_013221688.1, XP_005342442.1, XP_040142692.1
OG0000042	XP_031798147.1	XP_005326899.1, XP_040139669.1, XP_005326898.2, XP_005336026.2, XP_005336027.1, XP_040142711.1, XP_040139670.1, XP_040142712.1, XP_005326905.1, XP_005326904.1, XP_040139671.1, XP_040139672.1, XP_005326901.2, XP_040139674.1
OG0000044	XP_023353357.1	XP_013219127.1, XP_005337152.1
OG0000044	XP_012405112.1	XP_040136898.1, XP_040143434.1, XP_005331192.1
OG0000044	XP_031801760.1	XP_013219126.1, XP_040139588.1
OG0000045	XP_003759383.1	XP_005332936.1
OG0000045	XP_031821400.1	XP_005332932.1
OG0000045	XP_003759381.1	XP_021587077.1
OG0000045	XP_031821396.1	XP_040126471.1
OG0000045	XP_031821399.1	XP_005332934.1
OG0000046	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1	XP_040146918.1, XP_040146919.1
OG0000048	XP_012402396.1	XP_013218855.2, XP_005338303.3, XP_040134911.1
OG0000049	XP_003756342.1, XP_031808465.1	XP_040130229.1, XP_005343150.2, XP_013214161.1, XP_040149893.1, XP_040149885.1, XP_005325599.1, XP_013215733.3, XP_040123842.1, XP_040125817.1, XP_005334390.2, XP_040125827.1
OG0000050	XP_023363165.1	XP_005321215.1, XP_021579380.1, XP_013212110.1, XP_005321207.1
OG0000051	XP_003765783.1	XP_005317186.1
OG0000051	XP_031813804.1	XP_013214570.1
OG0000051	XP_023356253.1, XP_003765782.2	XP_005317045.1
OG0000051	XP_031813802.1, XP_031813803.1	XP_040140047.1, XP_040123860.1, XP_040123859.1, XP_021582811.1, XP_040123857.1
OG0000051	XP_031800822.1	XP_040137955.1
OG0000052	XP_023360233.1, XP_031794166.1	XP_040137742.1, XP_040134609.1
OG0000053	XP_031820019.1, XP_023357177.1, XP_031820025.1, XP_031815092.1, XP_031815091.1, XP_031820027.1, XP_031820028.1, XP_023354635.1, XP_023354634.1, XP_031820032.1, XP_031817123.1, XP_031820020.1, XP_031820023.1, XP_031820030.1, XP_023354638.1	XP_005323663.1, XP_005323664.1, XP_005323673.1, XP_005323669.1, XP_040143123.1, XP_005323662.1, XP_005323671.1, XP_005323672.1, XP_005323666.1, XP_005323668.1, XP_005323670.1, XP_021581028.1, XP_021580927.1
OG0000054	XP_012403485.2	XP_040143179.1, XP_013221082.1, XP_040132532.1, XP_040143180.1, XP_040144994.1, XP_005341253.2, XP_013221079.1, XP_013221071.2, XP_040144997.1, XP_005341251.1, XP_040144996.1, XP_040144998.1, XP_005341246.2, XP_040144995.1, XP_005339464.1, XP_040145000.1, XP_005339490.2
OG0000055	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1	XP_005341142.1, XP_005341134.1, XP_040142716.1
OG0000056	XP_003773826.1, XP_003773836.1, XP_003773828.1	XP_005341596.1, XP_005341589.2, XP_005330105.2, XP_005330107.1, XP_013216073.1, XP_013216064.1, XP_005330108.1, XP_005330006.1, XP_005329998.1
OG0000057	XP_031825154.1	XP_040123927.1, XP_005326507.1, XP_040123929.1, XP_040124065.1
OG0000058	XP_031815049.1, XP_031815044.1, XP_031815058.1	XP_013214838.1, XP_005326978.1, XP_040125642.1, XP_040125644.1, XP_040125643.1, XP_013214840.1, XP_013214841.1, XP_040125641.1, XP_021583143.1, XP_040125645.1
OG0000060	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1	XP_040125959.1, XP_040125955.1, XP_040125958.1, XP_040125951.1, XP_040125950.1, XP_021590911.1, XP_040125956.1, XP_040125953.1, XP_021590913.1, XP_040125954.1, XP_021590912.1, XP_005338352.1, XP_040125957.1
OG0000061	XP_012409487.1	XP_005329807.1
OG0000061	XP_031810834.1	XP_005337051.1
OG0000062	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1	XP_005329195.1
OG0000063	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1	XP_040130435.1, XP_040130436.1, XP_040130430.1, XP_040130433.1, XP_021580498.1, XP_021580497.1, XP_040130434.1, XP_040130432.1, XP_021580501.1, XP_040130431.1, XP_021580495.1
OG0000064	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1	XP_013220820.1, XP_013220823.1, XP_040147630.1, XP_040147629.1, XP_040147632.1, XP_005340727.1, XP_013220822.1, XP_040147631.1, XP_013220821.1
OG0000065	XP_003762637.1	XP_040147114.1, XP_040125725.1, XP_013214925.1, XP_005327044.1
OG0000066	XP_012402739.1, XP_003766943.1	XP_005333004.1
OG0000068	XP_031797906.1	XP_005331711.2, XP_005331611.1, XP_005331712.1
OG0000069	XP_012396962.1	XP_005339955.1, XP_040142748.1, XP_040142751.1, XP_021591066.1, XP_005338558.1, XP_005321271.1, XP_005339204.1, XP_040132166.1
OG0000070	XP_031799314.1	XP_040141790.1
OG0000070	XP_031825010.1	XP_040144576.1
OG0000071	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1	XP_021576711.1
OG0000072	XP_031812030.1, XP_023363032.1	XP_021588893.1, XP_040129688.1, XP_040129687.1, XP_021588891.1, XP_005335343.1, XP_021588892.1, XP_021588895.1, XP_021588896.1, XP_040129689.1, XP_021588894.1
OG0000073	XP_031798269.1, XP_023362166.1, XP_012408407.1, XP_012408406.1, XP_023362165.1, XP_003773872.1, XP_012408111.1, XP_003773875.2, XP_031797725.1, XP_003774679.2	XP_005342816.1, XP_005342237.1, XP_013221782.1
OG0000074	XP_031817868.1, XP_031817870.1, XP_031817869.1	XP_040140831.1, XP_040140832.1, XP_005323213.1, XP_005323210.1, XP_005323211.1
OG0000076	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2	XP_040129285.1, XP_005324331.2, XP_005324330.2, XP_005324328.1, XP_013213557.1, XP_021581334.1
OG0000077	XP_031816276.1	XP_021589420.2, XP_040124044.1, XP_040150448.1
OG0000077	XP_003772367.1	XP_013213894.1
OG0000078	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1	XP_021589222.1, XP_021589221.1, XP_013218509.1, XP_040136333.1, XP_040136334.1, XP_013218507.1, XP_013218508.1, XP_040136331.1, XP_040136332.1
OG0000079	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1	XP_013220941.1, XP_005340932.1, XP_005340931.1
OG0000080	XP_012408351.1, XP_012408350.1	XP_040140226.1, XP_040140227.1, XP_005331613.1, XP_040140229.1, XP_040140228.1, XP_040140224.1
OG0000082	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1	XP_021575720.2, XP_021575770.1, XP_040143062.1, XP_040143130.1
OG0000083	XP_031804876.1	XP_013221660.2, XP_021577079.1, XP_005342382.1, XP_040135107.1
OG0000084	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1	XP_040129409.1, XP_021578200.1, XP_040129406.1, XP_040129405.1, XP_040129407.1, XP_040129408.1
OG0000085	XP_003763133.1, XP_003761019.2	XP_005342202.3, XP_005342171.1, XP_021576992.1, XP_005342205.1, XP_013221555.1, XP_013221556.1, XP_005342187.1, XP_005342175.2, XP_005342206.1, XP_013221558.1, XP_005342170.1, XP_005342207.1, XP_005342188.1
OG0000086	XP_003773922.1	XP_040140257.1
OG0000086	XP_003762123.1	XP_005323877.1
OG0000086	XP_031804914.1	XP_040145207.1
OG0000088	XP_023354622.1	XP_021581027.1
OG0000089	XP_012408110.1, XP_003773886.1	XP_005342230.1, XP_005342231.1, XP_005342228.1, XP_005342229.1, XP_005342224.1, XP_005342226.1, XP_005342227.1, XP_005342243.1, XP_021577011.1, XP_005342241.1
OG0000090	XP_031805765.1	XP_013221796.1
OG0000092	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1	XP_005342974.1, XP_013221256.1, XP_005341611.1, XP_013221255.1, XP_005341610.1, XP_005341613.1, XP_040139657.1, XP_005341609.1, XP_013221253.1, XP_021577012.1
OG0000093	XP_031797313.1	XP_005339885.1
OG0000095	XP_003757317.1	XP_040134807.1, XP_005318255.1, XP_040134808.1
OG0000095	XP_031810396.1	XP_021577054.1
OG0000096	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1	XP_005323057.1, XP_013213016.1, XP_021577205.1, XP_005335225.1, XP_005342091.1
OG0000098	XP_003767037.2, XP_031817571.1, XP_031817575.1, XP_031817572.1, XP_031819190.1, XP_031819176.1, XP_031819183.1, XP_023354600.1, XP_031813162.1, XP_031813161.1, XP_031819174.1, XP_031805056.1, XP_031813018.1, XP_031804923.1, XP_031812979.1, XP_031805027.1, XP_023354496.2, XP_031805025.1, XP_012399581.1, XP_031805024.1, XP_031805004.1, XP_031804995.1, XP_031804987.1, XP_012401290.1, XP_031817561.1	XP_013216888.1, XP_021586686.2
OG0000099	XP_012409388.1	XP_005342780.2
OG0000099	XP_031805182.1, XP_031810473.1	XP_005320610.2
OG0000100	XP_031818873.1	XP_040143703.1, XP_005339292.1, XP_040143704.1, XP_040143707.1, XP_040143706.1, XP_040143705.1
OG0000101	XP_031809394.1	XP_013220236.1, XP_005340748.1, XP_040139417.1, XP_005340749.1
OG0000102	XP_031799036.1, XP_031799035.1	XP_040148272.1, XP_005333344.1, XP_040148273.1, XP_040148275.1, XP_005333337.1, XP_005333338.1, XP_005333343.1, XP_005333340.1, XP_005333341.1, XP_013217406.1, XP_040148109.1
OG0000103	XP_003772476.1	XP_005320375.1, XP_005320377.1, XP_005320379.1, XP_005320378.1
OG0000104	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1	XP_021577037.2, XP_005342309.1, XP_021577038.1, XP_040145143.1
OG0000105	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1	XP_021590157.1, XP_021590155.1, XP_021590159.1, XP_040141046.1, XP_040141047.1, XP_021590154.1, XP_021590160.1
OG0000106	XP_012395236.2	XP_021577903.2
OG0000106	XP_031796163.1	XP_040133154.1, XP_040133157.1, XP_040133158.1, XP_040133159.1, XP_005323910.1, XP_040133156.1
OG0000106	XP_003761065.1	XP_013215938.3
OG0000107	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1	XP_005331737.1, XP_013216748.1, XP_013216747.1, XP_013216746.1
OG0000108	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1	XP_013220342.1, XP_005339688.1
OG0000109	XP_003763327.3	XP_040142050.1
OG0000109	XP_003763301.1	XP_005326324.1, XP_021582691.1, XP_005326325.1, XP_005326411.1
OG0000110	XP_023358533.1	XP_040125245.1, XP_021586993.1, XP_040125246.1, XP_021587004.1, XP_040126469.1, XP_040125244.1
OG0000114	XP_003766021.1	XP_013221764.1, XP_005342106.1
OG0000114	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1	XP_013221763.1, XP_021577318.1, XP_021577316.1
OG0000115	XP_031793850.1, XP_031793851.1, XP_031793853.1	XP_005324954.1
OG0000115	XP_031816210.1, XP_031816220.1	XP_005341336.2
OG0000116	XP_031799222.1, XP_031799221.1, XP_031799220.1	XP_005325798.1, XP_005325799.1, XP_040148971.1
OG0000116	XP_031812821.1	XP_005334386.1
OG0000117	XP_003765335.1, XP_003766613.1, XP_012402410.2, XP_012402716.2, XP_031813166.1, XP_031813167.1, XP_003765333.2, XP_003766611.1, XP_012402411.1, XP_031817647.1, XP_031813164.1, XP_003765336.1, XP_003766610.2	XP_005342766.1, XP_005334194.1, XP_005334197.1, XP_005334196.1, XP_013217766.1, XP_013217765.1, XP_005342893.3, XP_040129251.1, XP_013221201.2
OG0000118	XP_031796389.1	XP_040147723.1, XP_040147721.1, XP_040147720.1, XP_040147726.1, XP_040147724.1, XP_040147722.1, XP_040147727.1, XP_013211422.1, XP_040147725.1, XP_005319199.1
OG0000120	XP_012398224.1	XP_040134537.1
OG0000121	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1	XP_013215795.1
OG0000122	XP_031819649.1	XP_005330655.1
OG0000122	XP_031794144.1, XP_023357601.2, XP_031804926.1, XP_031793147.1	XP_005338407.1
OG0000123	XP_003758421.3, XP_031805104.1, XP_003758419.2	XP_005337464.2, XP_005337344.1, XP_005337442.1, XP_005337346.1, XP_005337345.2, XP_040126472.1, XP_005337440.3, XP_005342518.1
OG0000124	XP_023356116.1	XP_040142828.1
OG0000124	XP_012401572.1, XP_031814902.1, XP_031814901.1	XP_013218452.2
OG0000124	XP_012401570.1	XP_005335592.1
OG0000124	XP_003765651.2	XP_013218443.1
OG0000125	XP_012403745.2	XP_005321900.1
OG0000127	XP_031798637.1, XP_012407463.1, XP_031798639.1, XP_031798638.1	XP_040148941.1, XP_005340848.1
OG0000128	XP_031818477.1	XP_005337092.1, XP_005337090.1
OG0000130	XP_003764886.1, XP_012402225.2	XP_005342576.1, XP_005342577.1
OG0000130	XP_003766416.1, XP_012400883.1	XP_005342584.1, XP_005342585.2
OG0000131	XP_003757913.1, XP_023350403.1, XP_003757914.1, XP_003759019.1, XP_003759243.2, XP_031805123.1	XP_005342523.1, XP_005342525.1, XP_005342524.1
OG0000132	XP_003769562.3	XP_040139331.1, XP_040139338.1, XP_040139337.1, XP_040139335.1, XP_040139330.1, XP_040139329.1, XP_040139336.1, XP_021588609.1, XP_040139334.1, XP_021588610.1, XP_013218100.1, XP_040139332.1
OG0000133	XP_031825207.1, XP_031825209.1, XP_031825208.1, XP_031825210.1, XP_031825206.1	XP_013215191.1, XP_013215190.1, XP_040144905.1, XP_021583713.1
OG0000134	XP_012406199.1	XP_013219711.1
OG0000135	XP_031802264.1	XP_021586730.1
OG0000136	XP_031802238.1, XP_023351771.1, XP_023351772.1, XP_023351769.1, XP_023351770.1	XP_021580553.1, XP_040149975.1, XP_005322988.1, XP_040149974.1, XP_040149976.1
OG0000137	XP_003772721.1, XP_031795158.1, XP_003771745.1	XP_005326680.1
OG0000138	XP_003764805.1	XP_005323362.1
OG0000138	XP_012400865.1, XP_003764819.1, XP_003764815.1	XP_005323163.1, XP_005323360.1, XP_005323162.1
OG0000139	XP_031824297.1, XP_031824298.1, XP_031824296.1	XP_013217775.1
OG0000140	XP_031809161.1	XP_005317220.1
OG0000141	XP_003768910.2	XP_013220938.1, XP_005340930.1, XP_005340929.1, XP_005340928.1, XP_005340948.1, XP_005342644.1, XP_005340926.1, XP_005339387.1, XP_005340927.1
OG0000142	XP_012409297.1, XP_012409299.1, XP_031810413.1, XP_012409296.1, XP_031810414.1, XP_031810416.1, XP_031810415.1, XP_023349993.1	XP_005318275.1
OG0000143	XP_003757352.1	XP_040128839.1
OG0000145	XP_031812834.1, XP_031812833.1, XP_031812832.1, XP_031812831.1, XP_031812829.1, XP_031812830.1	XP_040129752.1, XP_021591552.1, XP_040129751.1, XP_040129750.1, XP_005339253.1, XP_013220153.1
OG0000146	XP_023352157.1, XP_031802841.1, XP_031802843.1, XP_003760295.1, XP_031802842.1, XP_031802845.1, XP_031802844.1	XP_040149796.1, XP_040149799.1, XP_021584342.1, XP_021584343.1, XP_040149797.1, XP_040149798.1, XP_013215551.1, XP_040149800.1
