Orthogroup	Sarcophilus_harrisii	Canis_lupus_familiaris
OG0000054	XP_012403485.2	XP_038442333.1, NP_001122310.1, XP_038442330.1, NP_001122309.1, NP_001122308.1, NP_001124302.1
OG0000055	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1	XP_038424111.1, NP_001375864.1
OG0000056	XP_003773826.1, XP_003773836.1, XP_003773828.1	XP_038418408.1
OG0000057	XP_031825154.1	XP_038430031.1, XP_038430057.1, XP_038430066.1, XP_038430065.1, XP_038430019.1
OG0000058	XP_031815049.1, XP_031815044.1, XP_031815058.1	NP_001029164.1
OG0000060	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1	XP_038439698.1, XP_038439705.1, XP_038439714.1, XP_038439713.1, XP_038439709.1, XP_038439703.1, XP_038439700.1, XP_038439711.1, XP_038439699.1, XP_038439708.1, XP_038439706.1, XP_038439704.1, XP_038439710.1, XP_038439707.1, XP_038439697.1, XP_038439701.1, XP_038439702.1, XP_038439712.1
OG0000061	XP_012409487.1	NP_001271390.1
OG0000061	XP_031810834.1	XP_038404743.1
OG0000062	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1	XP_038440142.1
OG0000063	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1	XP_038400944.1, XP_038400933.1, XP_038400925.1, XP_038400941.1, XP_038400936.1, XP_038400948.1, XP_038400947.1, XP_038400945.1, XP_038400927.1, XP_038400938.1, XP_038400943.1, XP_038400924.1, XP_038400939.1, XP_038400932.1, XP_038400929.1, XP_038400930.1, XP_038400940.1, XP_038400931.1, XP_038400928.1, XP_038400937.1, XP_038400926.1, XP_038400934.1, XP_038400942.1
OG0000064	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1	NP_001171205.2
OG0000065	XP_003762637.1	XP_038442404.1, XP_038383040.1, XP_038394245.1, XP_038422207.1, XP_038381498.1, XP_038381496.1, XP_038385481.1
OG0000066	XP_012402739.1, XP_003766943.1	XP_038438120.1, XP_038441026.1, NP_001238973.1, XP_038394823.1, XP_038391773.1, XP_038418293.1, XP_038418454.1, XP_038431159.1
OG0000068	XP_031797906.1	NP_001375752.1, NP_001375509.1, XP_038418387.1, NP_001375803.1, NP_001375951.1, XP_038420397.1
OG0000069	XP_012396962.1	XP_038429693.1, XP_038429692.1, XP_038442580.1, XP_038401156.1, XP_038401908.1
OG0000070	XP_031799314.1	XP_038408465.1
OG0000070	XP_031825010.1	XP_038414006.1
OG0000071	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1	XP_038418378.1, XP_038418833.1, XP_038418375.1, XP_038418377.1
OG0000072	XP_031812030.1, XP_023363032.1	XP_038434303.1, XP_038434299.1, XP_038434301.1, XP_038434305.1, XP_038434302.1, XP_038434300.1, XP_038434307.1, XP_038434306.1, XP_038434304.1, XP_038434308.1
OG0000073	XP_031798269.1, XP_023362166.1, XP_012408407.1, XP_012408406.1, XP_023362165.1, XP_003773872.1, XP_012408111.1, XP_003773875.2, XP_031797725.1, XP_003774679.2	NP_001243375.1, NP_001375962.1
OG0000074	XP_031817868.1, XP_031817870.1, XP_031817869.1	XP_038424692.1, XP_038424721.1, XP_038424697.1, XP_038424695.1, XP_038424696.1, XP_038424052.1
OG0000076	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2	XP_038386335.1, XP_038386352.1, XP_038386350.1, XP_038386344.1, XP_038386343.1, XP_038386351.1, XP_038386345.1
OG0000077	XP_031816276.1	XP_038396460.1, XP_038438059.1, XP_038434167.1
OG0000077	XP_003772367.1	XP_038433776.1
OG0000078	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1	XP_038405772.1, XP_038405773.1, XP_038405778.1, XP_038405782.1, XP_038405775.1, XP_038405781.1, XP_038405776.1, XP_038405780.1, XP_038405774.1, XP_038405779.1, XP_038405777.1
OG0000079	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1	XP_038407595.1, XP_038407597.1, XP_038407596.1, XP_038407599.1, XP_038407598.1
OG0000080	XP_012408351.1, XP_012408350.1	XP_038419100.1, XP_038419098.1, XP_038419099.1
OG0000082	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1	XP_038437552.1, XP_038437560.1, XP_038437558.1, XP_038437649.1, XP_038437647.1, XP_038437551.1, XP_038437557.1, XP_038437081.1, XP_038437648.1, XP_038437559.1
OG0000083	XP_031804876.1	XP_038383884.1, XP_038383872.1, XP_038381465.1, XP_038383897.1, XP_038383883.1
OG0000084	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1	XP_038391095.1, XP_038391098.1, XP_038391096.1, XP_038391097.1
OG0000085	XP_003763133.1, XP_003761019.2	XP_038421311.1, NP_001375917.1, XP_038423318.1
OG0000086	XP_003773922.1	XP_038419157.1, XP_038419158.1
OG0000086	XP_003762123.1	XP_038395835.1
OG0000086	XP_031804914.1	XP_038431923.1
OG0000088	XP_023354622.1	XP_038437409.1, XP_038437417.1, XP_038437407.1, XP_038437420.1, XP_038437414.1, XP_038437424.1, XP_038437410.1, XP_038437418.1, XP_038437419.1, XP_038437423.1, XP_038437416.1, XP_038437421.1, XP_038437422.1, XP_038437411.1, XP_038437425.1, XP_038437408.1, XP_038437412.1, XP_038437415.1, XP_038437413.1
OG0000089	XP_012408110.1, XP_003773886.1	NP_001376137.1, XP_038418396.1, NP_001375994.1, NP_001375937.1
OG0000090	XP_031805765.1	XP_038386879.1, XP_038386881.1, XP_038386878.1, XP_038386880.1
OG0000092	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1	NP_001375549.1, NP_001375550.1, NP_001375834.1
OG0000093	XP_031797313.1	XP_038395629.1
OG0000095	XP_003757317.1	NP_001003150.1
OG0000096	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1	XP_038381766.1, XP_038439954.1, XP_038439955.1, XP_038439957.1
OG0000099	XP_012409388.1	XP_038428913.1, XP_038427754.1
OG0000099	XP_031805182.1, XP_031810473.1	XP_038427735.1
OG0000100	XP_031818873.1	NP_001003236.1
OG0000100	XP_031821197.1, XP_031821198.1, XP_003768867.1	XP_038395171.1
OG0000101	XP_031809394.1	XP_038407694.1, XP_038441038.1, XP_038443802.1, XP_038443801.1, XP_038443800.1
OG0000102	XP_031799036.1, XP_031799035.1	XP_038412155.1, XP_038412152.1, XP_038412153.1, NP_001003381.1, XP_038412156.1, XP_038412154.1
OG0000103	XP_003772476.1	NP_001012344.1
OG0000104	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1	XP_038397375.1
OG0000105	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1	XP_038431694.1, XP_038424242.1, XP_038431695.1, XP_038424245.1, XP_038424247.1, XP_038424248.1, XP_038424246.1, XP_038424241.1, XP_038424251.1, XP_038424244.1, XP_038424249.1, XP_038424243.1, XP_038431696.1, XP_038431697.1, XP_038424250.1, XP_038410565.1, XP_038437674.1, XP_038407573.1
OG0000106	XP_012395236.2	XP_038415502.1
OG0000106	XP_031797249.1	XP_038389598.1
OG0000106	XP_031796163.1	XP_038395750.1
OG0000106	XP_003761065.1	NP_001003069.1
OG0000107	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1	NP_001375528.1, NP_001375527.1, NP_001375529.1
OG0000108	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1	XP_038430375.1, XP_038437667.1, XP_038430373.1, XP_038429412.1
OG0000109	XP_003763327.3	NP_001243373.1
OG0000109	XP_003763301.1	NP_001375863.1, NP_001375457.1, NP_001375847.1, NP_001375801.1, XP_038407562.1, NP_001375846.1, XP_038407563.1, NP_001375456.1
OG0000110	XP_023358533.1	XP_038392542.1, XP_038392543.1, XP_038392566.1, XP_038392540.1
OG0000114	XP_003766021.1	NP_001104269.1
OG0000114	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1	NP_001106640.1, XP_038441037.1, XP_038441509.1, NP_001106641.1
OG0000116	XP_031809233.1	XP_038386227.1
OG0000116	XP_031812821.1	XP_038407551.1, XP_038389893.1
OG0000117	XP_003765335.1, XP_003766613.1, XP_012402410.2, XP_012402716.2, XP_031813166.1, XP_031813167.1, XP_003765333.2, XP_003766611.1, XP_012402411.1, XP_031817647.1, XP_031813164.1, XP_003765336.1, XP_003766610.2	XP_038412295.1
OG0000118	XP_031796389.1	XP_038413094.1, XP_038413092.1, XP_038413091.1, XP_038413093.1, XP_038413090.1, XP_038413095.1
OG0000120	XP_012398224.1	XP_038395395.1
OG0000121	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1	XP_038415793.1
OG0000122	XP_031819649.1	XP_038385259.1
OG0000122	XP_031794144.1, XP_023357601.2, XP_031804926.1, XP_031793147.1	XP_038421810.1, XP_038428305.1, NP_001003142.2, XP_038399787.1, XP_038388026.1
OG0000122	XP_012398126.2	XP_038406914.1, XP_038408058.1
OG0000123	XP_003758421.3, XP_031805104.1, XP_003758419.2	NP_001014309.1
OG0000124	XP_023356116.1	XP_038442694.1
OG0000124	XP_012401572.1, XP_031814902.1, XP_031814901.1	NP_001041587.1
OG0000124	XP_003765650.2	XP_038442663.1
OG0000124	XP_012401570.1	XP_038442662.1
OG0000124	XP_003765651.2	NP_001041588.1
OG0000125	XP_012403745.2	XP_038401950.1
OG0000125	XP_012403748.1, XP_003768285.1, XP_003768278.1, XP_012403749.2	XP_038402033.1
OG0000127	XP_031798637.1, XP_012407463.1, XP_031798639.1, XP_031798638.1	XP_038437879.1, XP_038437881.1, XP_038437890.1, XP_038437877.1, XP_038437884.1, XP_038437888.1, XP_038437883.1, XP_038437891.1, XP_038437892.1, XP_038437887.1, XP_038437882.1, XP_038437893.1, XP_038437880.1, XP_038437885.1, XP_038437878.1, XP_038437889.1, XP_038437886.1
OG0000128	XP_031818477.1	XP_038440255.1, XP_038440239.1, XP_038440246.1, XP_038440245.1
OG0000130	XP_003764886.1, XP_012402225.2	NP_001376119.1, NP_001375860.1, NP_001375892.1, XP_038424091.1, NP_001375626.1
OG0000130	XP_003766416.1, XP_012400883.1	XP_038424092.1
OG0000131	XP_003757913.1, XP_023350403.1, XP_003757914.1, XP_003759019.1, XP_003759243.2, XP_031805123.1	NP_001375841.1, NP_001375840.1, NP_001375664.1, NP_001375665.1
OG0000132	XP_003769562.3	XP_038382133.1, XP_038382135.1, XP_038382134.1
OG0000133	XP_031825207.1, XP_031825209.1, XP_031825208.1, XP_031825210.1, XP_031825206.1	XP_038397365.1, XP_038397362.1, XP_038397364.1, XP_038397366.1, XP_038397360.1, XP_038397361.1, XP_038397363.1
OG0000134	XP_012406199.1	XP_038432511.1
OG0000135	XP_031802264.1	XP_038435217.1
OG0000136	XP_031802238.1, XP_023351771.1, XP_023351772.1, XP_023351769.1, XP_023351770.1	XP_038435284.1, XP_038435281.1, XP_038435283.1, XP_038435288.1, XP_038435286.1, XP_038435280.1, XP_038435287.1, XP_038435282.1, XP_038435285.1
OG0000137	XP_003772721.1, XP_031795158.1, XP_003771745.1	NP_001375442.1, NP_001375897.1, NP_001375785.1, NP_001375750.1, NP_001375490.1, NP_001375491.1
OG0000138	XP_003764805.1	NP_001376043.1, XP_038424772.1
OG0000138	XP_012400865.1, XP_003764819.1, XP_003764815.1	NP_001375774.1, NP_001375932.1
OG0000139	XP_031824297.1, XP_031824298.1, XP_031824296.1	XP_038415419.1, XP_038415429.1, XP_038415424.1, XP_038415422.1, XP_038415427.1, XP_038415423.1, XP_038415426.1, XP_038415428.1, XP_038415420.1, XP_038415416.1, XP_038415421.1, XP_038415415.1, XP_038415417.1, XP_038415418.1, XP_038415425.1
OG0000140	XP_031809161.1	XP_038421936.1
OG0000142	XP_012409297.1, XP_012409299.1, XP_031810413.1, XP_012409296.1, XP_031810414.1, XP_031810416.1, XP_031810415.1, XP_023349993.1	XP_038386907.1
OG0000143	XP_031810460.1, XP_031810461.1	XP_038388519.1
OG0000143	XP_003757352.1	XP_038427721.1
OG0000145	XP_031812834.1, XP_031812833.1, XP_031812832.1, XP_031812831.1, XP_031812829.1, XP_031812830.1	XP_038431963.1, XP_038431964.1, XP_038431969.1, XP_038431970.1, XP_038431968.1, XP_038431966.1, XP_038431967.1, XP_038431965.1
OG0000146	XP_023352157.1, XP_031802841.1, XP_031802843.1, XP_003760295.1, XP_031802842.1, XP_031802845.1, XP_031802844.1	XP_038435683.1, XP_038435682.1, XP_038435680.1, XP_038435681.1
OG0000147	XP_031805537.1, XP_031805539.1, XP_031805536.1, XP_012396338.3, XP_031805534.1, XP_031805059.1, XP_012396336.1	NP_001243464.1, NP_001002945.2
OG0000148	XP_012399621.1, XP_003755833.1	NP_001375983.1, NP_001300743.1, NP_001375485.1
OG0000149	XP_003767906.1	XP_038442297.1
OG0000149	XP_031823223.1	NP_001376153.1
OG0000149	XP_031822713.1, XP_031822717.1, XP_031822714.1	XP_038442287.1
OG0000150	XP_003758442.1, XP_023350800.1, XP_031805099.1, XP_003758443.1	XP_038394660.1
OG0000151	XP_012405227.2	XP_038404025.1, XP_038404026.1
OG0000151	XP_031823447.1, XP_031823446.1, XP_003770041.1	XP_038402080.1
OG0000152	XP_031824533.1	XP_038418349.1
OG0000153	XP_012406423.1, XP_023360058.1, XP_012405907.1, XP_003770946.1	XP_038444820.1, XP_038444990.1, XP_038445011.1, XP_038444901.1
OG0000157	XP_031807643.1, XP_031807644.1	XP_038428800.1, XP_038428799.1
OG0000157	XP_031820484.1, XP_003769255.1	XP_038413304.1, NP_001184045.1, XP_038394106.1
OG0000158	XP_003768068.1	XP_038442421.1
OG0000159	XP_003766412.1, XP_003766858.1	NP_001375698.1, XP_038438398.1, NP_001375903.1
OG0000160	XP_023358024.1	XP_038391444.1, XP_038444118.1, XP_038432037.1, XP_038445636.1, XP_038405468.1, XP_038439966.1, XP_038437043.1, XP_038406797.1, XP_038428267.1, XP_038394772.1, XP_038431354.1, XP_038414942.1, XP_038407945.1, XP_038387301.1, XP_038445322.1
OG0000161	XP_003759113.1	XP_038417674.1
OG0000163	XP_012402413.1, XP_012402416.1	NP_001070704.1
OG0000163	XP_003766617.1	NP_001003125.1
OG0000164	XP_012396712.1, XP_031802108.1	XP_038435479.1
OG0000164	XP_031802109.1	XP_038435480.1
OG0000164	XP_003759749.1	XP_038383207.1
OG0000164	XP_031802107.1	XP_038435481.1
OG0000165	XP_031795620.1, XP_031795619.1, XP_031795621.1, XP_031795617.1	XP_038385822.1
OG0000166	XP_012396468.1, XP_023351503.1, XP_031824634.1, XP_031824649.1, XP_023351504.1	XP_038388120.1, XP_038388119.1, XP_038388116.1, XP_038388115.1, XP_038388117.1, XP_038388118.1
OG0000167	XP_031798267.1, XP_031798272.1, XP_031798263.1, XP_031798266.1	XP_038396079.1, XP_038396071.1, XP_038396081.1, XP_038396080.1, XP_038396074.1, XP_038396077.1, XP_038396072.1, XP_038396076.1, XP_038396078.1, XP_038396075.1, XP_038396073.1
OG0000168	XP_031821604.1	XP_038414635.1, XP_038437167.1, XP_038427261.1
OG0000170	XP_003773616.1	NP_001128448.1, NP_001002947.1, NP_001128449.1, NP_001002948.1, NP_001300719.1
OG0000171	XP_003769499.1	XP_038381974.1
OG0000172	XP_031802261.1	XP_038435243.1
OG0000172	XP_031793454.1	XP_038382293.1
