Orthogroup	Sarcophilus_harrisii	Loxodonta_africana
OG0000005	XP_031797105.1, XP_003772770.1, XP_003772446.1, XP_003772194.1, XP_003772752.2, XP_003772547.1, XP_003772546.1, XP_003772193.2, XP_031795112.1, XP_031797099.1, XP_031795113.1, XP_003772196.2, XP_031797098.1, XP_003772432.1, XP_003772758.1, XP_003772197.3	XP_010595805.1, XP_003405135.2, XP_003405571.1, XP_003405575.1, XP_003405134.2, XP_010599311.1, XP_003405143.1, XP_003405138.1, XP_003405142.1, XP_003405582.1, XP_003405140.1, XP_023396331.1, XP_023396345.1, XP_023396346.1, XP_010601004.1, XP_003405577.2, XP_010600920.2, XP_003405581.2, XP_003405141.2, XP_010599357.1, XP_003405137.3, XP_023396334.1, XP_003405584.2, XP_023396327.1, XP_003405136.1, XP_010595858.1, XP_003405560.1, XP_023396363.1
OG0000006	XP_031801369.1	XP_023411689.1
OG0000006	XP_031814102.1, XP_031814100.1	XP_023402983.1
OG0000007	XP_003766600.1, XP_031805073.1, XP_003766417.3, XP_031817681.1, XP_003766557.1, XP_003767059.2, XP_031817684.1, XP_031817685.1, XP_012402388.1, XP_012402308.1, XP_003766602.3, XP_003766585.1, XP_003766607.1, XP_003766586.3	XP_023399893.1, XP_010585368.2, XP_023399456.1, XP_003406631.2, XP_003406898.2, XP_023399943.1, XP_003406632.1, XP_023399856.1, XP_023399857.1, XP_010584713.1, XP_003406459.1, XP_003406456.1, XP_003406457.1, XP_023398909.1, XP_023398910.1, XP_023399797.1, XP_003406455.1, XP_003406479.1, XP_023398911.1, XP_003406460.1, XP_003406462.1, XP_003406461.1, XP_003406458.1, XP_010585307.2, XP_023399243.1
OG0000008	XP_031806199.1	XP_023399207.1, XP_010586028.2
OG0000008	XP_023362616.1, XP_031800616.1	XP_023396493.1
OG0000008	XP_023355868.1, XP_012401259.1	XP_023400813.1
OG0000008	XP_023361210.2, XP_031794448.1	XP_010599893.1, XP_023411607.1, XP_010594572.1, XP_023398361.1, XP_023413682.1, XP_010595066.1
OG0000009	XP_031820810.1, XP_031820813.1, NP_001267784.1, NP_001267783.1, XP_031820818.1, XP_003770511.2	XP_023398360.1, XP_023396632.1, XP_023397413.1, XP_010599502.2, XP_023396647.1, XP_023398346.1, XP_023396648.1, XP_010599487.1, XP_010599501.2, XP_003423760.3, XP_023397179.1, XP_010600918.1, XP_023398140.1, XP_023398138.1, XP_010600063.1
OG0000010	XP_003774628.2, XP_003774600.1, XP_003773825.2, XP_031797255.1, XP_003773817.1	XP_003412116.1, XP_023398287.1, XP_003423630.1, XP_003422377.1, XP_023406372.1, XP_023398137.1, XP_010599946.1, XP_003423564.1, XP_003422375.3, XP_023397312.1, XP_023406370.1, XP_023397837.1, XP_010600684.1, XP_023398285.1, XP_010600453.1, XP_023406371.1, XP_003412118.1, XP_003423465.1, XP_003422376.1, XP_003423464.1, XP_003422374.1, XP_023398143.1, XP_023398345.1, XP_003412115.1, XP_023398480.1, XP_010599936.1, XP_003423563.1, XP_003422972.1, XP_003423562.1, XP_003422401.1, XP_003422971.1, XP_003423565.1, XP_003422378.1, XP_023394658.1, XP_003423667.1, XP_023397301.1, XP_003412114.1, XP_003412119.2, XP_003412120.2
OG0000011	XP_003756690.1, XP_031809283.1, XP_012406726.2, XP_003756688.2, XP_003756706.1, XP_003756687.1, XP_031809280.1, XP_031809281.1, XP_031809282.1, XP_031805171.1, XP_003756713.3	XP_010589626.1, XP_010589614.1, XP_003404600.1, XP_003404609.1, XP_003404610.1, XP_003404608.1, XP_003404601.1, XP_003404607.1, XP_003404606.1, XP_023405595.1, XP_003404605.1, XP_003404603.1, XP_023405607.1, XP_003404858.2, XP_010589642.2
OG0000016	XP_003761438.1, XP_031805148.1, XP_031805154.1, XP_003761437.1, XP_003763316.1	XP_010586204.1, XP_023401131.1, XP_023401102.1, XP_023398452.1, XP_023401103.1, XP_023398430.1, XP_003407701.1, XP_003407380.1, XP_003407381.1, XP_003407700.1, XP_023401100.1, XP_003407699.1, XP_003407706.1, XP_003407703.1, XP_023401101.1
OG0000017	XP_012398581.1	XP_023413222.1, XP_003417700.1, XP_003417799.2, XP_023413220.1
OG0000017	XP_023358579.1	XP_003422523.1
OG0000018	XP_031822886.1	XP_010595256.1, XP_003410978.1
OG0000018	XP_023358477.2	XP_023403166.1
OG0000019	XP_003759021.3, XP_012396292.2, XP_003759020.2, XP_031805362.1, XP_003759091.1, XP_023351323.2, XP_003759269.2	XP_023414395.1, XP_023397997.1, XP_003418668.1, XP_003423141.1, XP_003418671.1, XP_003423142.1, XP_003418670.1, XP_003423143.1, XP_003418669.1, XP_003423625.1, XP_003423144.1, XP_003423146.1, XP_003423145.1, XP_003423149.2, XP_003423148.2, XP_003418816.1, XP_003423153.1
OG0000019	XP_031805364.1, XP_003759311.2, XP_031805363.1, XP_003759310.2	XP_003423152.2
OG0000019	XP_031805360.1	XP_010600381.1, XP_003418673.1, XP_010600382.1, XP_003418770.1, XP_003423150.2
OG0000021	XP_003765334.1, XP_003765337.2	XP_003422178.2, XP_003423157.2
OG0000021	XP_012404626.1, XP_003769277.1, XP_003769271.1, XP_003769272.1, XP_031820467.1, XP_003769273.1	XP_023397618.1, XP_010598586.2, XP_023409443.1, XP_010598561.1, XP_023397622.1, XP_003423689.1, XP_003405014.3, XP_003423706.1, XP_003423543.1, XP_023398470.1, XP_003421246.1, XP_003420774.1, XP_023397996.1, XP_003423139.1, XP_010596465.1, XP_023397628.1, XP_010596431.1
OG0000022	XP_023361089.1, XP_031809290.1, XP_031809294.1, XP_031809299.1, XP_031809291.1, XP_031809285.1	XP_023405713.1, XP_023405791.1, XP_023405679.1, XP_023405693.1, XP_023405753.1, XP_023405676.1, XP_023405672.1, XP_023405683.1, XP_023405761.1, XP_023408412.1, XP_023405686.1
OG0000023	XP_031819147.1, XP_031817546.1, XP_031817545.1	XP_023399059.1
OG0000024	XP_003764405.1	XP_023414015.1, XP_023414014.1, XP_023396972.1, XP_003418353.3
OG0000024	XP_003764386.1, XP_012400565.1, XP_031813093.1, XP_031813090.1, XP_012400567.1, XP_012400561.1, XP_012400564.1	XP_010599957.1, XP_023414007.1
OG0000024	XP_003764380.1, XP_003764382.1, XP_003764383.1, XP_003764381.1	XP_010596288.1, XP_003423049.1, XP_003423308.1, XP_003423050.1, XP_023397321.1, XP_003423307.1, XP_023398548.1, XP_010599716.1, XP_003422134.1, XP_003418355.1, XP_003423483.2, XP_010596276.1, XP_003422128.1, XP_010599724.1, XP_010596285.1, XP_003422132.2, XP_003418357.2, XP_010596282.2, XP_003422133.1, XP_010596283.1, XP_003422131.1, XP_003418359.1, XP_010596287.1, XP_010596279.1, XP_003422408.1, XP_010599952.1, XP_023414009.1, XP_023397328.1, XP_003423692.2, XP_003422129.2, XP_010596286.1, XP_023397324.1, XP_010600832.1, XP_003422405.1, XP_023398407.1, XP_010599725.1, XP_003422135.2, XP_003422117.2, XP_010599718.1
OG0000026	XP_012397681.1, XP_012397680.1, XP_012397682.1	XP_003421750.1, XP_010593038.2
OG0000027	XP_003765946.1	XP_023397082.1
OG0000027	XP_023360032.2, XP_031820681.1	XP_010594690.1
OG0000027	XP_023360426.1	XP_010589075.1
OG0000027	XP_031804908.1	XP_010597190.2
OG0000027	XP_031793822.1, XP_012407220.2	XP_010594676.1
OG0000028	XP_003774032.2	XP_003421460.1, XP_003421459.1, XP_003421458.2, XP_003421393.1, XP_003421394.2, XP_003421462.1
OG0000029	XP_003766414.1	XP_003418984.1, XP_003418985.1, XP_003419000.1, XP_003410244.2, XP_010588697.2, XP_003418983.1, XP_003419008.1, XP_003418982.1, XP_003418979.1, XP_003418997.1, XP_023414851.1, XP_010596888.1, XP_003418989.1, XP_003418980.2, XP_003410246.1, XP_010588698.2, XP_003410245.1, XP_003418981.1, XP_003410398.1, XP_003410397.1
OG0000031	XP_012404307.1	XP_003421878.1
OG0000031	XP_003770492.1	XP_023396098.1, XP_023397619.1
OG0000031	XP_003765338.1, XP_012400082.1, XP_031817645.1	XP_010598978.2, XP_010598992.1, XP_003421186.3, XP_003421172.1, XP_003421169.1, XP_010600828.2, XP_003421174.1, XP_003421170.1, XP_003421173.1, XP_023396127.1, XP_010599050.1, XP_023397571.1, XP_023396126.1
OG0000032	XP_031809276.1, XP_031809275.1, XP_031809269.1, XP_031809268.1, XP_012406642.2, XP_031809277.1, XP_031805170.1, XP_031805168.1	XP_003404853.1, XP_003404851.2, XP_010589568.1, XP_003404850.1
OG0000032	XP_031809273.1	XP_010589555.1, XP_023405530.1, XP_010589550.1, XP_023405548.1
OG0000033	XP_012403541.1	XP_023412690.1, XP_023412695.1, XP_023412688.1
OG0000033	XP_023358276.2	XP_023412685.1
OG0000035	XP_003756019.1	XP_003418690.1
OG0000035	XP_003767872.1	XP_003415269.1
OG0000035	XP_031812849.1, XP_031812848.1, XP_031812850.1	XP_003409293.1
OG0000035	XP_003761602.1	XP_010594571.1
OG0000035	XP_031821487.1	XP_010595197.1
OG0000035	XP_012399891.2	XP_003417431.1
OG0000035	XP_003759426.1	XP_003408097.1
OG0000035	XP_031805495.1	XP_003413731.1
OG0000036	XP_031812610.1, XP_031812613.1, XP_031812612.1, XP_031812611.1, XP_003754959.1, XP_003754958.1, XP_031812533.1, XP_031812108.1	XP_003409026.2
OG0000036	XP_003755303.1, XP_003755291.1	XP_023402679.1, XP_023402678.1, XP_023402681.1, XP_003409270.1, XP_023402680.1, XP_003409272.1, XP_003409268.2, XP_003409269.2
OG0000039	XP_003760265.2	XP_003417907.1
OG0000039	XP_031807551.1	XP_003420000.1
OG0000039	XP_003760117.1	XP_003406436.1
OG0000041	XP_023362197.2, XP_031799550.1	XP_023398386.1, XP_003423044.1, XP_023397894.1, XP_003422742.1, XP_003423623.1, XP_010600256.1, XP_010600503.1, XP_023398385.1, XP_003423001.1, XP_023398526.1, XP_003422709.1, XP_010600257.2, XP_023397905.1, XP_003423045.2, XP_003423002.1, XP_003423054.1, XP_023397898.1, XP_010600712.1, XP_023397631.1, XP_023397889.1, XP_023398315.1, XP_010600511.1, XP_023397907.1, XP_023398490.1, XP_010600275.1, XP_010600498.1, XP_010600250.1, XP_003422741.1, XP_003423018.1, XP_010600935.1, XP_023398436.1, XP_010600514.2, XP_023397913.1, XP_010600251.2, XP_003422738.1, XP_003422739.1, XP_010600497.1, XP_010600274.1, XP_010600936.2, XP_003423468.3, XP_010600280.2, XP_010600502.1, XP_010600255.2, XP_003423765.3, XP_010600509.1
OG0000042	XP_031798147.1	XP_010590492.2
OG0000044	XP_023353357.1	XP_003416454.1
OG0000044	XP_012405112.1	XP_023411493.1, XP_023411495.1
OG0000044	XP_031801760.1	XP_023397189.1
OG0000045	XP_003759383.1	XP_023412232.1
OG0000045	XP_031821400.1	XP_003416837.1
OG0000045	XP_003759381.1	XP_010594913.2
OG0000045	XP_031821396.1	XP_003416978.1, XP_003416977.1
OG0000045	XP_031821399.1	XP_010594915.1
OG0000046	XP_031803805.1, XP_031803806.1, XP_031803802.1, XP_012399591.1, XP_031803801.1, XP_031803800.1, XP_012399592.1	XP_023408049.1, XP_023408052.1, XP_003413337.1, XP_003413338.1, XP_023408040.1
OG0000048	XP_012402396.1	XP_023398867.1, XP_023398863.1, XP_023399788.1, XP_010584712.1
OG0000049	XP_003756342.1, XP_031808465.1	XP_010587012.1, XP_023402084.1, XP_010593953.1
OG0000050	XP_023363165.1	XP_023400730.1, XP_023400731.1, XP_023401108.1, XP_023401106.1, XP_023401107.1, XP_003407522.1
OG0000051	XP_003765783.1	XP_010592337.1
OG0000051	XP_031813804.1	XP_010595976.1
OG0000051	XP_023356253.1, XP_003765782.2	XP_023408848.1
OG0000051	XP_031813802.1, XP_031813803.1	XP_010593035.1, XP_010595977.1
OG0000051	XP_031800822.1	XP_010593034.1
OG0000052	XP_023360233.1, XP_031794166.1	XP_023415736.1, XP_023415722.1, XP_010597642.1, XP_023415721.1, XP_023415723.1, XP_023415724.1
OG0000053	XP_031820019.1, XP_023357177.1, XP_031820025.1, XP_031815092.1, XP_031815091.1, XP_031820027.1, XP_031820028.1, XP_023354635.1, XP_023354634.1, XP_031820032.1, XP_031817123.1, XP_031820020.1, XP_031820023.1, XP_031820030.1, XP_023354638.1	XP_023403949.1, XP_023403950.1
OG0000054	XP_012403485.2	NP_001267816.1, XP_003415217.1, XP_003415004.1
OG0000055	XP_012407911.2, XP_031799412.1, XP_003773572.1, XP_003773594.1, XP_031799414.1, XP_003773595.1, XP_003773591.1, XP_003773570.1, XP_012407918.2, XP_012407920.1, XP_023362003.1, XP_031799413.1, XP_003773568.1, XP_031797713.1, XP_003773567.1, XP_003773565.1, XP_031797511.1, XP_012407910.2, XP_003773586.2, XP_031798061.1, XP_003773597.2, XP_031797781.1, XP_003773674.1, XP_003773673.1	XP_003412241.1, XP_010590623.2, XP_003412238.2, XP_003412240.1, XP_003412088.1, XP_003412237.1, XP_023406386.1, XP_003412075.1, XP_023406383.1, XP_003412076.1, XP_003412078.1, XP_003412079.1, XP_003412077.1
OG0000056	XP_003773826.1, XP_003773836.1, XP_003773828.1	XP_003412113.2, XP_023397629.1, XP_010601026.1, XP_010600263.1, XP_010600683.1, XP_010600687.1, XP_010600686.1, XP_010599948.1, XP_010601073.1, XP_023398466.1, XP_003412274.1, XP_023397839.1, XP_010600591.1, XP_003422382.1, XP_023397625.1, XP_010600983.1, XP_003422400.1, XP_023398318.1, XP_010600450.2, XP_010590582.2, XP_010600841.1, XP_003422967.1, XP_010599943.2, XP_010590580.1
OG0000057	XP_031825154.1	XP_023413548.1, XP_023413479.1, XP_023413547.1, XP_023408522.1, XP_010595922.1, XP_023413538.1
OG0000058	XP_031815049.1, XP_031815044.1, XP_031815058.1	XP_023403494.1, XP_010588101.1, XP_003409702.1, XP_010588103.1, XP_023403498.1, XP_023403496.1, XP_023403495.1, XP_023403499.1, XP_023403497.1
OG0000060	XP_031813464.1, XP_031813465.1, XP_031813466.1, XP_012402080.1, XP_012402081.1	XP_010599816.1, XP_010599817.1
OG0000061	XP_031810834.1	XP_023397963.1
OG0000062	XP_031802673.1, XP_031802674.1, XP_031802672.1, XP_031802675.1, XP_031802676.1	XP_023411563.1, XP_023411549.1, XP_023411555.1, XP_023411546.1, XP_023411558.1, XP_023411561.1, XP_023411545.1, XP_023411553.1, XP_023411568.1, XP_023411559.1, XP_023411551.1, XP_010594502.1, XP_023411552.1, XP_023411548.1, XP_023411565.1, XP_023411566.1, XP_023411567.1, XP_023411562.1, XP_023411554.1, XP_010594500.1, XP_023411556.1, XP_023411550.1, XP_023411557.1, XP_023411560.1, XP_023411547.1, XP_010594501.1, XP_023411569.1, XP_023411564.1
OG0000063	XP_012404335.1, XP_031808641.1, XP_031808640.1, XP_031808638.1, XP_031808635.1, XP_031808639.1, XP_031808637.1, XP_031808634.1	XP_023402049.1, XP_023402035.1, XP_023402045.1, XP_023402036.1, XP_023402052.1, XP_023402051.1, XP_023402046.1, XP_023402047.1, XP_023402048.1, XP_023402042.1, XP_023402039.1, XP_023402044.1, XP_023402043.1, XP_023402038.1, XP_023402050.1, XP_023402041.1, XP_023402040.1, XP_023402037.1
OG0000064	XP_012406369.1, XP_031794536.1, XP_031794534.1, XP_003771509.1, XP_031794535.1	XP_023400244.1, XP_023400246.1, XP_023400242.1, XP_023400243.1, XP_023400247.1
OG0000065	XP_003762637.1	XP_010588064.1, XP_003410116.1
OG0000066	XP_012402739.1, XP_003766943.1	XP_010592277.1, XP_010592278.1, XP_010592279.1, XP_010592276.1, XP_023408909.1
OG0000068	XP_031797906.1	XP_003422804.1, XP_023397700.1, XP_003422796.1, XP_003422799.1, XP_003422795.1, XP_003422798.1, XP_023397698.1, XP_003422803.1, XP_003422802.1, XP_003422797.1, XP_003422801.1, XP_023397697.1, XP_003422800.1
OG0000069	XP_012396962.1	XP_003412414.1, XP_010599078.1, XP_010599088.1, XP_010599087.1, XP_010587034.1, XP_023402289.1
OG0000070	XP_031825010.1	XP_010589597.1
OG0000071	XP_012408371.3, XP_031798442.1, XP_003774284.1, XP_031798368.1	XP_003423116.1, XP_010600554.1, XP_003423115.1, XP_010600557.1
OG0000072	XP_031812030.1, XP_023363032.1	XP_023402648.1, XP_023402655.1, XP_023402641.1, XP_023402651.1, XP_003409261.1, XP_023402645.1, XP_023402644.1, XP_023402652.1, XP_023402654.1, XP_023402643.1, XP_023402647.1, XP_023402646.1, XP_023402653.1, XP_023402649.1, XP_023402640.1, XP_023402642.1, XP_023402650.1
OG0000073	XP_031798269.1, XP_023362166.1, XP_012408407.1, XP_012408406.1, XP_023362165.1, XP_003773872.1, XP_012408111.1, XP_003773875.2, XP_031797725.1, XP_003774679.2	XP_023397904.1, XP_010600495.2, XP_003423015.2, XP_003423011.2, XP_010600489.1, XP_003423326.1, XP_010600516.1, XP_003423006.1, XP_010600996.1, XP_003423007.1, XP_010600709.1, XP_010600517.1, XP_003423013.3, XP_003423008.1, XP_003423432.1, XP_023398259.1, XP_010601011.1, XP_023397903.1, XP_023397613.1, XP_003423010.2, XP_023411822.1, XP_003423012.2, XP_003423017.2, XP_010601075.2, XP_003423435.1, XP_003423016.2, XP_003416748.1, XP_023397888.1, XP_003422684.1, XP_003423063.2, XP_010600788.2, XP_010600252.1, XP_010601051.2, XP_023397896.1, XP_010600708.1, XP_003423396.2, XP_023398260.1, XP_003422681.2, XP_003423062.2, XP_003422770.1, XP_003422369.1, XP_010600258.1, XP_003422393.2, XP_023398367.1, XP_003423677.3, XP_003422687.1, XP_003423764.1, XP_023398159.1, XP_023411831.1, XP_003423031.1, XP_023397899.1, XP_003422997.2, XP_003422682.2, XP_023398158.1
OG0000074	XP_031817868.1, XP_031817870.1, XP_031817869.1	XP_010597906.1, XP_023394765.1, XP_003420109.1, XP_023394764.1, XP_003420108.1
OG0000076	XP_003756722.2, XP_031809308.1, XP_023361121.2, XP_031808280.1, XP_031809305.1, XP_023361110.2	XP_023405724.1, XP_010589665.2, XP_023405722.1, XP_023405706.1, XP_023405697.1, XP_023405769.1, XP_023405781.1, XP_023405771.1
OG0000077	XP_031816276.1	XP_023398818.1
OG0000077	XP_003772367.1	XP_010595592.1, XP_023412867.1
OG0000078	XP_031796846.1, XP_031796851.1, XP_031796854.1, XP_031796843.1, XP_031796853.1, XP_031796852.1, XP_031796844.1, XP_031796849.1, XP_031796842.1, XP_031796847.1, XP_031796845.1, XP_031796850.1	XP_023414046.1, XP_023414012.1, XP_023414036.1, XP_023414040.1, XP_023414006.1, XP_023414017.1, XP_023414056.1, XP_023414091.1, XP_023414079.1, XP_023414002.1, XP_023414022.1, XP_023414008.1, XP_023414016.1, XP_023414004.1, XP_023414003.1, XP_023414051.1, XP_023414070.1, XP_023414028.1, XP_023414064.1, XP_023414010.1, XP_023414018.1, XP_003405220.1, XP_023414072.1, XP_023414085.1, XP_023414081.1
OG0000079	XP_023358602.1, XP_012404289.1, XP_003768908.1, XP_012404290.1	XP_010591405.1, XP_003404746.1, XP_023407941.1, XP_023407952.1
OG0000080	XP_012408351.1, XP_012408350.1	XP_003422818.1, XP_023397707.1, XP_003422816.1, XP_023397706.1
OG0000082	XP_031824208.1, XP_031824209.1, XP_031824204.1, XP_031824646.1, XP_031824206.1	XP_023414920.1, XP_023414942.1, XP_003419087.1, XP_023414943.1, XP_023414921.1
OG0000083	XP_031804876.1	XP_023399155.1, XP_010584862.2, XP_010584861.2, XP_010584866.1, XP_010584887.1, XP_010584888.1, XP_023399201.1, XP_023399158.1, XP_023399175.1, XP_010584876.1, XP_023399176.1, XP_010584882.1, XP_023399156.1, XP_023399208.1, XP_023399163.1, XP_023399167.1, XP_023399166.1, XP_023399854.1, XP_023399159.1, XP_023399165.1
OG0000084	XP_012396865.1, XP_012396864.1, XP_031820589.1, XP_003759953.1, XP_031820580.1, XP_023351875.1	XP_010586430.1, XP_010586431.1, XP_023401214.1, XP_023401216.1, XP_010586432.1, XP_023401215.1, XP_003408064.1, XP_023401213.1
OG0000085	XP_003763133.1, XP_003761019.2	XP_003413458.2, XP_003422953.2, XP_003413452.2, XP_003413157.1, XP_023407704.1, XP_003413158.2, XP_023407703.1, XP_003423725.2, XP_023398363.1, XP_023398230.1, XP_023398493.1, XP_023398327.1, XP_003423521.1, XP_023408239.1, XP_003413454.2, XP_003413455.1, XP_023407700.1
OG0000086	XP_003762123.1	XP_003418974.1
OG0000086	XP_031804914.1	XP_003419385.1
OG0000088	XP_023354622.1	XP_023414947.1
OG0000089	XP_012408110.1, XP_003773886.1	XP_003423294.1, XP_003422403.1, XP_003423533.1, XP_003423709.1, XP_003423754.1, XP_003422671.1, XP_003422672.1, XP_003423690.1, XP_003423774.1, XP_023397300.1, XP_003423296.1, XP_010599937.1, XP_010600253.1, XP_003423691.2, XP_003423295.1, XP_003423756.3, XP_023397304.1, XP_003422391.1, XP_003423718.2, XP_003423599.2, XP_003412110.1, XP_003412111.1
OG0000090	XP_031805765.1	XP_010594360.1, XP_010594361.1
OG0000092	XP_031797705.1, XP_003773846.2, XP_031799556.1, XP_003774370.1, XP_003773843.2, XP_003773842.1, XP_031798334.1, XP_031798090.1, XP_003773858.1, XP_003773856.2, XP_003773841.1, XP_003773859.1, XP_003773860.1	XP_003423397.1, XP_003423699.1, XP_023397675.1, XP_003423398.1, XP_023397677.1, XP_023397680.1, XP_010600624.1, XP_023398535.1, XP_023398073.1, XP_023398349.1, XP_003423183.2, XP_003422775.1, XP_003423672.1, XP_003423700.1, XP_003423636.2, XP_003422773.1
OG0000093	XP_031797313.1	XP_010594545.1
OG0000095	XP_031810396.1	XP_003416351.1
OG0000096	XP_031802049.1, XP_031802050.1, XP_031802054.1, XP_031802256.1	XP_003406307.2, XP_003417893.1
OG0000099	XP_012409388.1	XP_023405867.1, XP_023405864.1, XP_023405866.1, XP_023405863.1
OG0000099	XP_031805182.1, XP_031810473.1	XP_010589883.1, XP_023405873.1, XP_023405680.1, XP_023405681.1, XP_023405871.1
OG0000100	XP_031818873.1	XP_003413557.1, XP_010591477.1
OG0000100	XP_031821197.1, XP_031821198.1, XP_003768867.1	XP_003422537.1
OG0000101	XP_031809394.1	XP_010591456.1, XP_010599683.1
OG0000102	XP_031799036.1, XP_031799035.1	XP_023409136.1, XP_003414225.1, XP_003414221.2, XP_023410885.1, XP_003415961.1, XP_003415958.1
OG0000103	XP_003772476.1	XP_023404728.1, XP_023404730.1, XP_003410798.2, XP_003410652.1, XP_003410650.1
OG0000104	XP_031825221.1, XP_012402985.2, XP_031825226.1, XP_031825232.1, XP_031825231.1, XP_031825224.1, XP_031825223.1, XP_031824426.1, XP_031825230.1	XP_010589616.1, XP_010589617.2, XP_023405166.1, XP_003411151.1, XP_003411149.1, XP_023414212.1
OG0000105	XP_003764368.1, XP_012400544.1, XP_012400542.1, XP_031816865.1	XP_010593685.2
OG0000106	XP_012395236.2	XP_023414383.1
OG0000106	XP_031797249.1	XP_023405554.1
OG0000107	XP_003773982.2, XP_003773984.2, XP_003773983.1, XP_003773986.2, XP_003773988.1, XP_012408137.1, XP_003773916.1, XP_031798962.1, XP_012408136.1, XP_003773978.1, XP_003773917.1, XP_003773979.1, XP_012408134.1	XP_003421414.1, XP_003421421.1, XP_003421422.1, XP_010599187.1, XP_010599189.1, XP_010599188.1, XP_010599214.1, XP_010599185.1, XP_010599190.1, XP_010599195.1, XP_010599191.1, XP_010599192.1, XP_010599193.1, XP_010599194.1
OG0000108	XP_031804844.1, XP_031813337.1, XP_031813336.1, XP_031813338.1, XP_031813335.1, XP_031813334.1	XP_023396044.1
OG0000109	XP_003763327.3	XP_003407595.1
OG0000109	XP_003763301.1	XP_003407918.2, XP_003407916.1, XP_003407920.1, XP_003407921.1
OG0000110	XP_023358533.1	XP_023411919.1, XP_023411883.1, XP_023412142.1, XP_023412134.1
OG0000114	XP_003766021.1	XP_003406146.1, XP_003406145.1, XP_010600572.1
OG0000114	XP_003766034.1, XP_003766023.1, XP_003766020.2, XP_012401869.1	XP_003406147.1
OG0000115	XP_031793850.1, XP_031793851.1, XP_031793853.1	XP_010594619.1
OG0000115	XP_031816220.1	XP_003421242.1
OG0000116	XP_031799222.1, XP_031799221.1, XP_031799220.1	XP_010588779.1
OG0000116	XP_031809233.1	XP_003404581.1
OG0000117	XP_003765335.1, XP_003766613.1, XP_012402410.2, XP_012402716.2, XP_031813166.1, XP_031813167.1, XP_003765333.2, XP_003766611.1, XP_012402411.1, XP_031817647.1, XP_031813164.1, XP_003765336.1, XP_003766610.2	XP_003423158.2, XP_003423428.2, XP_010591669.1, XP_010600547.2, XP_023397941.1, XP_023398258.1, XP_010592974.2, XP_003422195.1, XP_003404999.2, XP_023397055.1, XP_023397050.1, XP_003422203.1, XP_003404759.2, XP_003404998.1, XP_003422204.1, XP_003422186.1, XP_023397059.1
OG0000118	XP_031796389.1	XP_003407108.1
OG0000120	XP_012398224.1	XP_023411608.1
OG0000121	XP_031806672.1, XP_031806668.1, XP_031806670.1, XP_031806673.1, XP_031806671.1, XP_031806669.1, XP_031806674.1	XP_023406825.1, XP_023406828.1, XP_010590715.1, XP_023406823.1, XP_023406822.1, XP_010590713.1, XP_023406826.1, XP_023406824.1, XP_010590712.1, XP_010590714.1, XP_023406827.1
OG0000122	XP_031819649.1	XP_023395590.1
